Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4057973,1208,9
PART,1,4100244,1572,16
PART,2,3784486,3074,19
PART,3,3669729,298,4
PART,4,6528595,1933,29
PART,5,4658378,2360,19
PART,6,3989513,1319,8
PART,7,4928460,269,5
PART,8,4329162,9957,31
PART,9,6511027,7060,11
PART,0,4054918,1180,9
PART,1,4093648,1515,16
PART,2,3672028,1741,19
PART,3,3668973,278,4
PART,4,6508919,1633,29
PART,5,4646702,2238,19
PART,6,3940811,5086,8
PART,7,4929028,270,5
PART,8,4327811,9938,31
PART,9,6501648,6145,11
PART,0,4061757,1158,9
PART,1,4089405,1453,16
PART,2,3672919,1755,19
PART,3,3669027,281,4
PART,4,6505757,1614,29
PART,5,4646325,2230,19
PART,6,3941000,5083,8
PART,7,4928243,269,5
PART,8,4327973,9935,31
PART,9,6503000,6160,11
PART,0,4054541,1156,9
PART,1,4089649,1453,16
PART,2,3673081,1757,19
PART,3,3669270,282,4
PART,4,6505351,1605,29
PART,5,4649837,2242,19
PART,6,3940946,5089,8
PART,7,4928675,268,5
PART,8,4328271,9935,31
PART,9,6502162,6143,11
PART,0,4057135,1156,9
PART,1,4089162,1457,16
PART,2,3722675,1726,19
PART,3,3671486,282,4
PART,4,6505379,1613,29
PART,5,4649405,2254,19
PART,6,3940622,5080,8
PART,7,4928217,269,5
PART,8,4328514,9936,31
PART,9,6501676,6161,11
PART,0,4055000,1154,9
PART,1,4085054,1464,16
PART,2,3722756,1726,19
PART,3,3669270,280,4
PART,4,6505676,1612,29
PART,5,4649216,2258,19
PART,6,3940811,5083,8
PART,7,4928216,269,5
PART,8,4327946,9936,31
PART,9,6502405,6126,11
PART,0,4056784,1155,9
PART,1,4090702,1425,16
PART,2,3672838,1733,19
PART,3,3669405,282,4
PART,4,6502703,1604,29
PART,5,4651162,2256,19
PART,6,3941136,5081,8
PART,7,4928919,272,5
PART,8,4328216,9933,31
PART,9,6502594,6177,11
PART,0,4054784,1155,9
PART,1,4090865,1472,16
PART,2,3671919,1720,19
PART,3,3671649,283,4
PART,4,6504973,1608,29
PART,5,4651568,2259,19
PART,6,3940892,5080,8
PART,7,4928405,269,5
PART,8,4328432,9939,31
PART,9,6501703,6127,11
PART,0,4057298,1159,9
PART,1,4091919,1459,16
PART,2,3671622,1721,19
PART,3,3671324,281,4
PART,4,6504838,1607,29
PART,5,4649703,2248,19
PART,6,3940108,5082,8
PART,7,4928297,270,5
PART,8,4327865,9937,31
PART,9,6502649,6109,11
PART,0,4054919,1156,9
PART,1,4087514,1469,16
PART,2,3672757,1743,19
PART,3,3669379,282,4
PART,4,6503540,1597,29
PART,5,4650784,2261,19
PART,6,3941270,5076,8
PART,7,4928540,270,5
PART,8,4328297,9933,31
PART,9,6503027,6144,11
PART,0,4055054,1157,9
PART,1,4087433,1467,16
PART,2,3670649,1714,19
PART,3,3669432,284,4
PART,4,6504324,1607,29
PART,5,4650621,2260,19
PART,6,3941108,5083,8
PART,7,4927892,269,5
PART,8,4327973,9938,31
PART,9,6502784,6127,11
PART,0,4053811,1157,9
PART,1,4089162,1442,16
PART,2,3672487,1732,19
PART,3,3669027,281,4
PART,4,6504432,1607,29
PART,5,4648783,2257,19
PART,6,3941756,5083,8
PART,7,4928486,270,5
PART,8,4327919,9937,31
PART,9,6501730,6127,11
PART,0,4054865,1155,9
PART,1,4092136,1477,16
PART,2,3671973,1730,19
PART,3,3669216,283,4
PART,4,6504676,1604,29
PART,5,4647730,2264,19
PART,6,3942486,5085,8
PART,7,4928432,270,5
PART,8,4327784,9939,31
PART,9,6502811,6126,11
PART,0,4056000,1157,9
PART,1,4092162,1478,16
PART,2,3673216,1722,19
PART,3,3669433,281,4
PART,4,6504514,1609,29
PART,5,4652352,2266,19
PART,6,3945973,5081,8
PART,7,4928378,270,5
PART,8,4328216,9939,31
PART,9,6502378,6109,11
PART,0,4055162,1155,9
PART,1,4091189,1418,16
PART,2,3722946,1733,19
PART,3,3669054,282,4
PART,4,6504162,1612,29
PART,5,4651000,2259,19
PART,6,3950324,5084,8
PART,7,4927892,267,5
PART,8,4327703,9938,31
PART,9,6502243,6127,11
PART,0,4054919,1156,9
PART,1,4090919,1423,16
PART,2,3672487,1730,19
PART,3,3669054,280,4
PART,4,6505405,1606,29
PART,5,4651108,2261,19
PART,6,3953135,5081,8
PART,7,4928973,270,5
PART,8,4327919,9939,31
PART,9,6501730,6124,11
PART,0,4053946,1158,9
PART,1,4090595,1458,16
PART,2,3670865,1715,19
PART,3,3668919,283,4
