Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,9676,110,2
ExtINT,1,4730,40,0
ExtINT,1,4352,39,0
ExtINT,1,4757,40,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4514,41,0
ExtINT,1,4433,40,0
ExtINT,1,4270,38,0
ExtINT,1,4568,40,0
ExtINT,1,4297,38,0
ExtINT,1,4325,38,0
ExtINT,1,4568,41,0
ExtINT,1,4325,38,0
ExtINT,1,4298,38,0
ExtINT,1,4622,42,0
ExtINT,1,4271,38,0
ExtINT,1,4298,39,0
ExtINT,1,4595,40,0
ExtINT,1,4271,38,0
ExtINT,1,4270,38,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4459,40,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4271,38,0
ExtINT,1,4325,38,0
ExtINT,1,4297,39,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4459,40,0
ExtINT,1,4297,38,0
ExtINT,1,4297,39,0
ExtINT,1,4270,38,0
ExtINT,1,4298,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4270,38,0
ExtINT,1,4405,40,0
ExtINT,1,4297,38,0
ExtINT,1,4270,38,0
ExtINT,1,4244,38,0
ExtINT,1,4271,38,0
ExtINT,1,4270,39,0
ExtINT,1,4297,38,0
ExtINT,1,4270,38,0
ExtINT,1,4432,40,0
ExtINT,1,4270,38,0
ExtINT,1,4298,39,0
ExtINT,1,4271,38,0
ExtINT,1,4297,38,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4487,40,0
ExtINT,1,12919,142,0
ExtINT,1,12649,82,0
ExtINT,1,12568,83,0
ExtINT,1,13000,84,0
ExtINT,1,12676,80,0
ExtINT,1,12325,81,0
ExtINT,1,12379,78,0
ExtINT,1,12514,82,0
ExtINT,1,12352,81,0
ExtINT,1,12379,80,0
ExtINT,1,12298,81,0
ExtINT,1,12378,81,0
ExtINT,1,12324,77,0
ExtINT,1,12324,80,0
ExtINT,1,12297,81,0
ExtINT,1,12459,83,0
ExtINT,1,12324,80,0
ExtINT,1,12351,80,0
ExtINT,1,12351,77,0
ExtINT,1,12351,81,0
ExtINT,1,12297,80,0
ExtINT,1,12352,81,0
ExtINT,1,12514,80,0
ExtINT,1,12487,80,0
ExtINT,1,12352,78,0
ExtINT,1,12352,81,0
ExtINT,1,12325,80,0
ExtINT,1,12352,81,0
ExtINT,1,12351,80,0
ExtINT,1,12351,81,0
ExtINT,1,12378,78,0
ExtINT,1,12459,82,0
ExtINT,1,12351,80,0
ExtINT,1,12378,81,0
ExtINT,1,12378,81,0
ExtINT,1,12378,80,0
