Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4056676,1208,9
PART,1,4093405,1569,16
PART,2,3733379,3076,19
PART,3,3670081,299,4
PART,4,6529135,1927,29
PART,5,4660810,2361,19
PART,6,3990135,1301,8
PART,7,4928621,270,5
PART,8,4328919,9954,31
PART,9,6511864,7056,11
PART,0,4056216,1179,9
PART,1,4095865,1510,16
PART,2,3673919,1756,19
PART,3,3669162,283,4
PART,4,6508649,1651,29
PART,5,4646919,2233,19
PART,6,3941351,5078,8
PART,7,4928487,270,5
PART,8,4328108,9938,31
PART,9,6501865,6141,11
PART,0,4055460,1160,9
PART,1,4090892,1441,16
PART,2,3672865,1768,19
PART,3,3669189,281,4
PART,4,6505352,1612,29
PART,5,4646892,2226,19
PART,6,3940676,5089,8
PART,7,4928351,270,5
PART,8,4327810,9938,31
PART,9,6502189,6142,11
PART,0,4054810,1158,9
PART,1,4084352,1468,16
PART,2,3674108,1764,19
PART,3,3671621,282,4
PART,4,6503513,1612,29
PART,5,4649621,2244,19
PART,6,3941054,5090,8
PART,7,4928054,269,5
PART,8,4327730,9940,31
PART,9,6503595,6126,11
PART,0,4054811,1158,9
PART,1,4090298,1475,16
PART,2,3672459,1738,19
PART,3,3671460,282,4
PART,4,6501973,1618,29
PART,5,4650081,2256,19
PART,6,3941162,5086,8
PART,7,4928729,268,5
PART,8,4327919,9940,31
PART,9,6502297,6160,11
PART,0,4054513,1157,9
PART,1,4087460,1468,16
PART,2,3673460,1761,19
PART,3,3669135,282,4
PART,4,6503324,1615,29
PART,5,4649216,2253,19
PART,6,3940811,5091,8
PART,7,4928621,273,5
PART,8,4328216,9937,31
PART,9,6502027,6142,11
PART,0,4055676,1158,9
PART,1,4091379,1442,16
PART,2,3672568,1740,19
PART,3,3669135,281,4
PART,4,6502000,1608,29
PART,5,4650027,2262,19
PART,6,3940946,5080,8
PART,7,4928378,269,5
PART,8,4328243,9936,31
PART,9,6503865,6176,11
PART,0,4055918,1157,9
PART,1,4087297,1466,16
PART,2,3672379,1728,19
PART,3,3669514,282,4
PART,4,6505162,1616,29
PART,5,4651271,2262,19
PART,6,3941108,5079,8
PART,7,4928973,275,5
PART,8,4328054,9937,31
PART,9,6502027,6143,11
PART,0,4054757,1158,9
PART,1,4089595,1470,16
PART,2,3672649,1717,19
PART,3,3671379,282,4
PART,4,6506946,1622,29
PART,5,4650838,2247,19
PART,6,3941432,5076,8
PART,7,4928837,270,5
PART,8,4327919,9937,31
PART,9,6504595,6125,11
PART,0,4055486,1158,9
PART,1,4098243,1466,16
PART,2,3722351,1743,19
PART,3,3671676,281,4
PART,4,6504541,1604,29
PART,5,4650108,2256,19
PART,6,3941405,5085,8
PART,7,4929027,269,5
PART,8,4328270,9936,31
PART,9,6504514,6126,11
PART,0,4055189,1159,9
PART,1,4093054,1450,16
PART,2,3723837,1721,19
PART,3,3669162,282,4
PART,4,6505675,1607,29
PART,5,4651216,2258,19
PART,6,3941460,5083,8
PART,7,4928108,270,5
PART,8,4328000,9935,31
PART,9,6506378,6144,11
PART,0,4055919,1156,9
PART,1,4093865,1438,16
PART,2,3674486,1744,19
PART,3,3669540,282,4
PART,4,6505027,1609,29
PART,5,4649649,2248,19
PART,6,3941676,5084,8
PART,7,4928378,268,5
PART,8,4327865,9938,31
PART,9,6504838,6127,11
PART,0,4055217,1154,9
PART,1,4094568,1485,16
PART,2,3674595,1743,19
PART,3,3669054,281,4
PART,4,6505784,1608,29
PART,5,4652325,2254,19
PART,6,3942297,5091,8
PART,7,4929217,277,5
PART,8,4328189,9938,31
PART,9,6503243,6143,11
PART,0,4072027,1157,9
PART,1,4097973,1480,16
PART,2,3673892,1736,19
PART,3,3672244,281,4
PART,4,6505162,1610,29
PART,5,4650298,2258,19
PART,6,3946406,5088,8
PART,7,4928324,269,5
PART,8,4328081,9938,31
PART,9,6502892,6109,11
PART,0,4059973,1159,9
PART,1,4096217,1468,16
PART,2,3723676,1745,19
PART,3,3671244,280,4
PART,4,6506594,1617,29
PART,5,4648324,2250,19
PART,6,3950541,5081,8
PART,7,4929108,275,5
PART,8,4327811,9940,31
PART,9,6502811,6109,11
PART,0,4056730,1157,9
PART,1,4090351,1462,16
PART,2,3675433,1752,19
PART,3,3669054,282,4
PART,4,6503973,1608,29
PART,5,4649622,2249,19
PART,6,3953594,5084,8
PART,7,4928946,270,5
PART,8,4327703,9940,31
PART,9,6502405,6108,11
PART,0,4055189,1159,9
PART,1,4096433,1449,16
PART,2,3673000,1713,19
PART,3,3669027,284,4
PART,4,6505081,1611,29
PART,5,4650513,2251,19
PART,6,3954216,5090,8
PART,7,4929055,269,5
PART,8,4328108,9939,31
PART,9,6502865,6108,11
PART,0,4058892,1158,9
PART,1,4087432,1464,16
PART,2,3674297,1750,19
PART,3,3671432,281,4
PART,4,6506108,1614,29
PART,5,4650811,2243,19
PART,6,3954108,5087,8
PART,7,4929297,277,5
PART,8,4327622,9940,31
PART,9,6503379,6109,11
PART,0,4057243,1157,9
PART,1,4097433,1477,16
PART,2,3674649,1739,19
PART,3,3671730,283,4
PART,4,6503919,1615,29
PART,5,4649973,2254,19
PART,6,3953892,5086,8
PART,7,4928109,270,5
PART,8,4327703,9940,31
PART,9,6503217,6108,11
PART,0,4056784,1158,9
PART,1,4091405,1476,16
PART,2,3672757,1731,19
PART,3,3669622,283,4
PART,4,6503054,1612,29
PART,5,4652595,2254,19
PART,6,3954000,5081,8
PART,7,4928730,268,5
PART,8,4327865,9938,31
PART,9,6502378,6125,11
PART,0,4054756,1157,9
PART,1,4088676,1469,16
PART,2,3673595,1735,19
PART,3,3669135,282,4
PART,4,6506756,1615,29
PART,5,4652351,2243,19
PART,6,3954217,5076,8
PART,7,4928271,269,5
PART,8,4327973,9937,31
PART,9,6503973,6126,11
PART,0,4059379,1154,9
PART,1,4097487,1479,16
PART,2,3673649,1741,19
PART,3,3669189,281,4
PART,4,6504243,1610,29
PART,5,4649973,2253,19
PART,6,3954487,5085,8
PART,7,4928270,269,5
PART,8,4327702,9938,31
PART,9,6503298,6126,11
PART,0,4057054,1159,9
PART,1,4093676,1482,16
PART,2,3724190,1727,19
PART,3,3669324,281,4
PART,4,6508135,1610,29
PART,5,4653217,2251,19
PART,6,3953649,5081,8
PART,7,4928270,266,5
PART,8,4328243,9936,31
PART,9,6505892,6125,11
PART,0,4056190,1153,9
PART,1,4090784,1468,16
PART,2,3723432,1749,19
PART,3,3671649,283,4
PART,4,6505757,1608,29
PART,5,4651054,2237,19
PART,6,3954108,5071,8
PART,7,4928324,268,5
PART,8,4328216,9933,31
PART,9,6503622,6127,11
PART,0,4054352,1158,9
PART,1,4098892,1446,16
PART,2,3673838,1716,19
PART,3,3671568,283,4
PART,4,6504298,1606,29
PART,5,4651405,2252,19
PART,6,3954243,5086,8
PART,7,4928730,270,5
PART,8,4328000,9935,31
PART,9,6501892,6110,11
PART,0,4055784,1155,9
PART,1,4091972,1446,16
