Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,9432,108,2
ExtINT,1,4595,40,0
ExtINT,1,4324,39,0
ExtINT,1,4514,40,0
ExtINT,1,4297,38,0
ExtINT,1,4271,38,0
ExtINT,1,4271,38,0
ExtINT,1,4757,41,0
ExtINT,1,4460,40,0
ExtINT,1,4325,38,0
ExtINT,1,4568,40,0
ExtINT,1,4324,38,0
ExtINT,1,4352,38,0
ExtINT,1,4595,41,0
ExtINT,1,4297,38,0
ExtINT,1,4298,38,0
ExtINT,1,4649,42,0
ExtINT,1,4298,38,0
ExtINT,1,4298,39,0
ExtINT,1,4514,40,0
ExtINT,1,4298,38,0
ExtINT,1,4270,38,0
ExtINT,1,4324,38,0
ExtINT,1,4297,38,0
ExtINT,1,4378,40,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4298,38,0
ExtINT,1,4271,38,0
ExtINT,1,4324,39,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4459,40,0
ExtINT,1,4324,38,0
ExtINT,1,4297,39,0
ExtINT,1,4270,38,0
ExtINT,1,4271,38,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4405,40,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4298,38,0
ExtINT,1,4271,38,0
ExtINT,1,4324,39,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4405,40,0
ExtINT,1,4270,38,0
ExtINT,1,4325,39,0
ExtINT,1,4271,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4406,40,0
ExtINT,1,4271,38,0
ExtINT,1,12946,141,0
ExtINT,1,12649,83,0
ExtINT,1,12568,82,0
ExtINT,1,13081,82,0
ExtINT,1,12568,82,0
ExtINT,1,12352,81,0
ExtINT,1,12568,80,0
ExtINT,1,12379,80,0
ExtINT,1,12379,80,0
ExtINT,1,12298,80,0
ExtINT,1,12351,81,0
ExtINT,1,12378,80,0
ExtINT,1,12351,78,0
ExtINT,1,12378,81,0
ExtINT,1,12486,82,0
ExtINT,1,12324,81,0
ExtINT,1,12351,80,0
ExtINT,1,12378,81,0
ExtINT,1,12378,78,0
ExtINT,1,12324,80,0
ExtINT,1,12325,80,0
ExtINT,1,12352,81,0
ExtINT,1,12703,80,0
ExtINT,1,12351,80,0
ExtINT,1,12325,78,0
ExtINT,1,12352,81,0
ExtINT,1,12352,80,0
ExtINT,1,12352,80,0
ExtINT,1,12352,80,0
ExtINT,1,12351,81,0
ExtINT,1,12649,79,0
ExtINT,1,12379,81,0
ExtINT,1,12379,81,0
ExtINT,1,12351,80,0
