Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4056513,1208,9
PART,1,4095405,1577,16
PART,2,3733351,3076,19
PART,3,3670162,303,4
PART,4,6531459,1939,29
PART,5,4658567,2361,19
PART,6,3989594,1300,8
PART,7,4929135,270,5
PART,8,4329027,9956,31
PART,9,6511189,7056,11
PART,0,4055351,1178,9
PART,1,4095675,1532,16
PART,2,3722811,1746,19
PART,3,3669270,281,4
PART,4,6508108,1641,29
PART,5,4649703,2242,19
PART,6,3941081,5088,8
PART,7,4928675,276,5
PART,8,4327838,9938,31
PART,9,6503703,6124,11
PART,0,4054892,1157,9
PART,1,4088486,1424,16
PART,2,3720919,1738,19
PART,3,3669378,280,4
PART,4,6504946,1613,29
PART,5,4646649,2226,19
PART,6,3940757,5088,8
PART,7,4928433,270,5
PART,8,4327838,9939,31
PART,9,6501621,6143,11
PART,0,4054298,1157,9
PART,1,4088298,1466,16
PART,2,3721946,1742,19
PART,3,3669324,281,4
PART,4,6504135,1613,29
PART,5,4649648,2248,19
PART,6,3941405,5088,8
PART,7,4928838,269,5
PART,8,4327918,9939,31
PART,9,6502352,6109,11
PART,0,4055865,1157,9
PART,1,4091054,1435,16
PART,2,3670811,1711,19
PART,3,3668973,281,4
PART,4,6507298,1615,29
PART,5,4649946,2252,19
PART,6,3941594,5078,8
PART,7,4928351,269,5
PART,8,4327621,9939,31
PART,9,6502649,6144,11
PART,0,4057487,1157,9
PART,1,4086729,1474,16
PART,2,3721027,1733,19
PART,3,3671703,280,4
PART,4,6504433,1615,29
PART,5,4648406,2255,19
PART,6,3940946,5087,8
PART,7,4928621,269,5
PART,8,4328135,9933,31
PART,9,6503162,6126,11
PART,0,4055352,1157,9
PART,1,4087702,1439,16
PART,2,3672270,1727,19
PART,3,3669135,281,4
PART,4,6504649,1603,29
PART,5,4651297,2259,19
PART,6,3940595,5076,8
PART,7,4928649,275,5
PART,8,4328243,9935,31
PART,9,6503054,6176,11
PART,0,4055135,1157,9
PART,1,4087460,1474,16
PART,2,3671919,1707,19
PART,3,3671541,282,4
PART,4,6504297,1613,29
PART,5,4651621,2257,19
PART,6,3940783,5080,8
PART,7,4928676,269,5
PART,8,4328243,9936,31
PART,9,6502622,6144,11
PART,0,4055676,1157,9
PART,1,4091541,1471,16
PART,2,3670244,1696,19
PART,3,3669108,281,4
PART,4,6506081,1614,29
PART,5,4650027,2248,19
PART,6,3940865,5081,8
PART,7,4928729,272,5
PART,8,4328081,9936,31
PART,9,6504108,6126,11
PART,0,4054892,1157,9
PART,1,4095298,1462,16
PART,2,3673055,1731,19
PART,3,3671514,281,4
PART,4,6505054,1605,29
PART,5,4653054,2252,19
PART,6,3941244,5077,8
PART,7,4928675,270,5
PART,8,4328324,9929,31
PART,9,6501568,6143,11
PART,0,4055081,1158,9
PART,1,4089811,1481,16
PART,2,3672108,1709,19
PART,3,3670270,283,4
PART,4,6505406,1609,29
PART,5,4649676,2253,19
PART,6,3941378,5081,8
PART,7,4928784,271,5
