Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4056973,1208,9
PART,1,4098811,1588,16
PART,2,3732946,3074,19
PART,3,3670243,300,4
PART,4,6529892,1933,29
PART,5,4657945,2359,19
PART,6,3989540,1313,8
PART,7,4928784,275,5
PART,8,4329352,9953,31
PART,9,6511271,7056,11
PART,0,4053865,1178,9
PART,1,4094703,1553,16
PART,2,3672405,1745,19
PART,3,3671648,282,4
PART,4,6507432,1638,29
PART,5,4650432,2238,19
PART,6,3941081,5091,8
PART,7,4928810,270,5
PART,8,4327865,9937,31
PART,9,6503649,6140,11
PART,0,4055541,1158,9
PART,1,4084486,1426,16
PART,2,3672837,1750,19
PART,3,3665108,281,4
PART,4,6504919,1617,29
PART,5,4647216,2225,19
PART,6,3941622,5092,8
PART,7,4928378,272,5
PART,8,4328027,9937,31
PART,9,6503567,6177,11
PART,0,4055189,1157,9
PART,1,4089892,1472,16
PART,2,3720865,1752,19
PART,3,3671486,282,4
PART,4,6503135,1611,29
PART,5,4649081,2242,19
PART,6,3941432,5085,8
PART,7,4927892,269,5
PART,8,4327865,9939,31
PART,9,6502865,6126,11
PART,0,4054108,1157,9
PART,1,4087838,1473,16
PART,2,3671108,1726,19
PART,3,3671216,280,4
PART,4,6505000,1617,29
PART,5,4649676,2252,19
PART,6,3940811,5091,8
PART,7,4928730,270,5
PART,8,4327594,9936,31
PART,9,6502000,6144,11
PART,0,4055270,1157,9
PART,1,4089109,1468,16
PART,2,3672784,1738,19
PART,3,3671838,281,4
PART,4,6504919,1620,29
PART,5,4649784,2254,19
PART,6,3941000,5073,8
PART,7,4928513,271,5
PART,8,4328189,9935,31
PART,9,6503405,6160,11
PART,0,4055702,1157,9
PART,1,4090486,1479,16
PART,2,3671729,1734,19
PART,3,3671108,281,4
PART,4,6507162,1611,29
PART,5,4651324,2261,19
PART,6,3940676,5085,8
PART,7,4928378,269,5
PART,8,4328487,9935,31
PART,9,6503351,6176,11
PART,0,4053811,1156,9
PART,1,4092054,1441,16
PART,2,3672432,1713,19
PART,3,3669379,282,4
PART,4,6504784,1617,29
PART,5,4648757,2258,19
PART,6,3940027,5084,8
PART,7,4928541,269,5
PART,8,4328135,9936,31
PART,9,6502837,6144,11
PART,0,4055135,1157,9
PART,1,4092216,1468,16
PART,2,3671919,1717,19
PART,3,3671108,282,4
PART,4,6504892,1622,29
PART,5,4650378,2243,19
PART,6,3940676,5084,8
PART,7,4928648,270,5
PART,8,4327919,9936,31
PART,9,6502730,6143,11
PART,0,4055622,1157,9
PART,1,4089108,1479,16
PART,2,3672676,1736,19
PART,3,3669189,281,4
PART,4,6504217,1613,29
PART,5,4650676,2252,19
PART,6,3941811,5101,8
PART,7,4928541,270,5
PART,8,4328027,9935,31
PART,9,6503216,6141,11
PART,0,4057216,1158,9
PART,1,4089972,1439,16
PART,2,3671838,1708,19
PART,3,3669108,281,4
PART,4,6503838,1613,29
PART,5,4650000,2256,19
PART,6,3941136,5085,8
PART,7,4928108,270,5
PART,8,4328054,9936,31
PART,9,6501135,6143,11
