Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4058270,1209,9
PART,1,4101865,1583,16
PART,2,3735513,3071,19
PART,3,3670784,300,4
PART,4,6526135,1934,29
PART,5,4659703,2358,19
PART,6,3989217,1302,8
PART,7,4928730,270,5
PART,8,4329108,9952,31
PART,9,6508595,7056,11
PART,0,4054919,1175,9
PART,1,4095082,1549,16
PART,2,3672757,1746,19
PART,3,3669243,281,4
PART,4,6510000,1643,29
PART,5,4648433,2234,19
PART,6,3941162,5090,8
PART,7,4928811,270,5
PART,8,4328189,9937,31
PART,9,6503243,6142,11
PART,0,4055676,1155,9
PART,1,4085324,1431,16
PART,2,3674297,1759,19
PART,3,3665135,281,4
PART,4,6505433,1616,29
PART,5,4647676,2222,19
PART,6,3940784,5084,8
PART,7,4928486,269,5
PART,8,4328054,9937,31
PART,9,6502189,6161,11
PART,0,4055054,1154,9
PART,1,4090676,1438,16
PART,2,3674135,1762,19
PART,3,3671486,282,4
PART,4,6506054,1612,29
PART,5,4646325,2236,19
PART,6,3940973,5094,8
PART,7,4928649,269,5
PART,8,4327784,9939,31
PART,9,6503973,6161,11
PART,0,4054513,1154,9
PART,1,4087460,1446,16
PART,2,3723027,1737,19
PART,3,3671703,282,4
PART,4,6505406,1616,29
PART,5,4650244,2246,19
PART,6,3940433,5086,8
PART,7,4928486,270,5
PART,8,4327783,9936,31
PART,9,6503649,6145,11
PART,0,4054459,1153,9
PART,1,4089162,1441,16
PART,2,3672649,1736,19
PART,3,3669054,283,4
PART,4,6506027,1617,29
PART,5,4649703,2253,19
PART,6,3940676,5086,8
PART,7,4928297,270,5
PART,8,4328054,9933,31
PART,9,6503567,6144,11
PART,0,4054352,1154,9
PART,1,4092027,1446,16
PART,2,3673054,1741,19
PART,3,3668973,282,4
PART,4,6502892,1609,29
PART,5,4649378,2258,19
PART,6,3941135,5089,8
PART,7,4927973,270,5
PART,8,4328054,9936,31
PART,9,6502703,6177,11
PART,0,4053757,1153,9
PART,1,4091649,1445,16
PART,2,3672432,1725,19
PART,3,3669487,282,4
PART,4,6504054,1613,29
PART,5,4649054,2257,19
PART,6,3941027,5083,8
PART,7,4928513,267,5
PART,8,4327973,9936,31
PART,9,6501919,6145,11
PART,0,4054568,1154,9
