Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4055810,1208,9
PART,1,4086270,1557,16
PART,2,3734973,3076,19
PART,3,3670433,301,4
PART,4,6527919,1925,29
PART,5,4659297,2358,19
PART,6,3990135,1305,8
PART,7,4929379,270,5
PART,8,4329487,9956,31
PART,9,6508702,7055,11
PART,0,4055352,1179,9
PART,1,4096000,1514,16
PART,2,3673406,1747,19
PART,3,3669487,282,4
PART,4,6508324,1637,29
PART,5,4647811,2232,19
PART,6,3941027,5089,8
PART,7,4928621,270,5
PART,8,4328027,9938,31
PART,9,6502595,6141,11
PART,0,4056162,1159,9
PART,1,4090649,1421,16
PART,2,3722865,1752,19
PART,3,3671811,281,4
PART,4,6505595,1613,29
PART,5,4648838,2228,19
PART,6,3941000,5089,8
PART,7,4928622,270,5
PART,8,4328054,9938,31
PART,9,6502757,6160,11
PART,0,4055324,1158,9
PART,1,4091540,1471,16
PART,2,3673270,1757,19
PART,3,3671568,283,4
PART,4,6503298,1605,29
PART,5,4646811,2241,19
PART,6,3941216,5087,8
PART,7,4928567,269,5
PART,8,4327892,9940,31
PART,9,6501622,6125,11
PART,0,4058460,1158,9
PART,1,4088568,1432,16
PART,2,3671648,1722,19
PART,3,3671432,282,4
PART,4,6505541,1613,29
PART,5,4650000,2250,19
PART,6,3940784,5093,8
PART,7,4928486,270,5
PART,8,4327757,9939,31
PART,9,6502297,6161,11
PART,0,4055000,1158,9
PART,1,4087271,1465,16
PART,2,3673541,1734,19
PART,3,3671406,282,4
PART,4,6505378,1609,29
PART,5,4649892,2256,19
PART,6,3940729,5085,8
PART,7,4928648,270,5
PART,8,4327973,9934,31
PART,9,6501568,6143,11
PART,0,4055756,1158,9
PART,1,4086892,1436,16
PART,2,3673189,1738,19
PART,3,3669379,283,4
PART,4,6502784,1599,29
PART,5,4650324,2263,19
PART,6,3940838,5073,8
PART,7,4927892,269,5
PART,8,4328108,9934,31
PART,9,6504135,6159,11
PART,0,4054891,1158,9
PART,1,4093784,1443,16
PART,2,3672487,1721,19
PART,3,3669243,283,4
PART,4,6504325,1614,29
PART,5,4649730,2262,19
PART,6,3941513,5081,8
PART,7,4928675,265,5
PART,8,4328000,9935,31
PART,9,6502540,6145,11
PART,0,4054675,1158,9
PART,1,4088810,1474,16
PART,2,3672297,1715,19
PART,3,3671622,281,4
PART,4,6505730,1614,29
PART,5,4648622,2249,19
PART,6,3940919,5079,8
PART,7,4928892,271,5
PART,8,4327919,9937,31
PART,9,6505216,6126,11
PART,0,4055135,1157,9
PART,1,4091649,1458,16
PART,2,3672405,1735,19
PART,3,3669649,281,4
PART,4,6503675,1607,29
PART,5,4651946,2259,19
PART,6,3941108,5084,8
PART,7,4928838,270,5
PART,8,4328351,9934,31
PART,9,6503487,6125,11
PART,0,4055190,1159,9
PART,1,4087243,1437,16
PART,2,3721567,1718,19
PART,3,3669243,281,4
PART,4,6503325,1606,29
PART,5,4653270,2258,19
PART,6,3940784,5085,8
PART,7,4928405,270,5
PART,8,4328216,9937,31
PART,9,6502865,6123,11
PART,0,4054703,1156,9
PART,1,4089594,1467,16
PART,2,3722892,1732,19
PART,3,3669216,282,4
