Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4049892,9038,9
PART,1,4228244,51781,16
PART,2,3892324,6184,19
PART,3,3668756,14109,4
PART,4,6575784,6704,29
PART,5,4715352,33637,19
PART,6,3989460,42801,8
PART,7,4928973,587,5
PART,8,4330730,11483,31
PART,9,6510243,43327,11
PART,0,4050865,9013,9
PART,1,4224216,51554,16
PART,2,3892216,6186,19
PART,3,3668811,14103,4
PART,4,6576162,6709,29
PART,5,4718595,33671,19
PART,6,3940432,42554,8
PART,7,4929243,597,5
PART,8,4330730,11481,31
PART,9,6509865,43290,11
PART,0,4050892,9024,9
PART,1,4227081,51683,16
PART,2,3891135,6169,19
PART,3,3669189,14121,4
PART,4,6573271,6694,29
PART,5,4713811,33584,19
PART,6,3939918,42530,8
PART,7,4928567,589,5
PART,8,4330432,11480,31
PART,9,6509081,43311,11
PART,0,4049243,8994,9
PART,1,4224838,51777,16
PART,2,3889783,6169,19
PART,3,3669783,14113,4
PART,4,6575973,6692,29
PART,5,4715325,33615,19
PART,6,3940703,42555,8
PART,7,4928784,596,5
PART,8,4330946,11480,31
PART,9,6507595,43252,11
PART,0,4049162,8988,9
PART,1,4221432,51631,16
PART,2,3890756,6183,19
PART,3,3669270,14118,4
PART,4,6577135,6709,29
PART,5,4714703,33601,19
PART,6,3940514,42540,8
PART,7,4929135,594,5
PART,8,4331244,16504,31
PART,9,6507757,43311,11
PART,0,4051135,9021,9
PART,1,4219514,51742,16
PART,2,3889432,6171,19
PART,3,3670946,14107,4
PART,4,6577783,6729,29
PART,5,4713919,33547,19
PART,6,3940216,42545,8
PART,7,4928865,598,5
PART,8,4331271,16495,31
PART,9,6507865,43279,11
PART,0,4066162,9055,9
PART,1,4220541,51557,16
PART,2,3890189,6192,19
PART,3,3668838,14114,4
PART,4,6575919,6695,29
PART,5,4717892,33596,19
PART,6,3939865,42541,8
PART,7,4928919,591,5
PART,8,4331433,16498,31
PART,9,6511351,43318,11
PART,0,4051406,9002,9
PART,1,4225622,51739,16
PART,2,3894405,6196,19
PART,3,3668730,14109,4
PART,4,6578027,6720,29
PART,5,4712703,33584,19
PART,6,3940189,42533,8
PART,7,4928865,592,5
PART,8,4332081,11464,31
PART,9,6510460,43248,11
PART,0,4050730,9015,9
PART,1,4228973,51689,16
PART,2,3892081,6177,19
PART,3,3668730,14105,4
PART,4,6576405,6712,29
PART,5,4714163,33620,19
PART,6,3939946,42549,8
PART,7,4928622,595,5
PART,8,4331243,11494,31
PART,9,6510054,43275,11
PART,0,4051136,9013,9
PART,1,4221135,51516,16
PART,2,3890919,6194,19
PART,3,3668838,14100,4
PART,4,6576270,6712,29
PART,5,4714027,33597,19
PART,6,3940054,42541,8
PART,7,4929351,600,5
PART,8,4331378,11506,31
PART,9,6510054,43291,11
PART,0,4051892,9029,9
PART,1,4224595,51696,16
PART,2,3952568,6264,19
PART,3,3669108,14106,4
PART,4,6575568,6710,29
PART,5,4713405,33599,19
PART,6,3939783,42559,8
PART,7,4928406,589,5
PART,8,4331351,11496,31
PART,9,6508892,43325,11
PART,0,4051622,9049,9
PART,1,4222973,51647,16
PART,2,3890486,6182,19
PART,3,3664730,14119,4
PART,4,6576946,6754,29
PART,5,4717784,33620,19
PART,6,3942162,42548,8
PART,7,4929000,596,5
PART,8,4331703,16498,31
PART,9,6507757,43189,11
PART,0,4049919,9025,9
PART,1,4223946,51686,16
PART,2,3891244,6190,19
PART,3,3669055,14110,4
PART,4,6575297,6705,29
PART,5,4715000,33553,19
PART,6,3942054,42542,8
PART,7,4928756,590,5
PART,8,4331486,16534,31
PART,9,6508000,43327,11
PART,0,4049513,8990,9
PART,1,4228568,51876,16
PART,2,3950918,6235,19
PART,3,3668595,14109,4
PART,4,6575136,6689,29
PART,5,4718459,33635,19
PART,6,3945541,42557,8
PART,7,4929216,611,5
PART,8,4330919,16486,31
PART,9,6507324,43264,11
PART,0,4050244,9001,9
PART,1,4224487,51789,16
PART,2,3947432,6222,19
PART,3,3669297,14111,4
PART,4,6577649,6722,29
PART,5,4716784,33652,19
PART,6,3950757,42550,8
PART,7,4928892,590,5
PART,8,4330865,16485,31
PART,9,6509676,43224,11
PART,0,4051109,9029,9
PART,1,4222567,51823,16
PART,2,3950595,6228,19
PART,3,3668811,14107,4
PART,4,6577513,6704,29
PART,5,4716162,33596,19
PART,6,3951784,42538,8
PART,7,4929406,601,5
PART,8,4331270,16511,31
PART,9,6510216,43325,11
PART,0,4049270,9017,9
PART,1,4229675,51690,16
PART,2,3888621,6168,19
PART,3,3668405,14106,4
PART,4,6575486,6690,29
PART,5,4715567,33587,19
PART,6,3953595,42540,8
PART,7,4928811,612,5
PART,8,4330378,11478,31
PART,9,6508946,43201,11
PART,0,4050297,8983,9
PART,1,4222081,51751,16
PART,2,3890216,6162,19
PART,3,3669271,14104,4
