Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,3325,115,0
IPI,1,2108,84,0
IPI,1,2081,82,0
IPI,1,2081,83,0
IPI,1,2135,87,0
IPI,1,2054,85,0
IPI,1,2054,85,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2081,83,0
IPI,1,2028,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,85,0
IPI,1,2027,84,0
IPI,1,2054,84,0
IPI,1,2081,83,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2028,82,0
IPI,1,2054,84,0
IPI,1,2027,85,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2027,83,0
IPI,1,2054,84,0
IPI,1,2054,85,0
IPI,1,2054,85,0
IPI,1,2568,89,0
IPI,1,2055,76,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,84,0
IPI,1,2054,86,0
IPI,1,2027,85,0
IPI,1,2027,84,0
IPI,1,2054,82,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,85,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2027,84,0
IPI,1,2054,84,0
IPI,1,2270,85,0
IPI,1,2027,82,0
IPI,1,2000,82,0
IPI,1,2027,83,0
IPI,1,2108,83,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2027,86,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,84,0
IPI,1,2055,85,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2189,78,0
IPI,1,2054,78,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2027,85,0
IPI,1,2027,84,0
IPI,1,2054,84,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,84,0
IPI,1,2055,85,0
IPI,1,2054,84,0
IPI,1,2054,82,0
