Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,3162,117,0
IntINT,1,2270,85,0
IntINT,1,2081,83,0
IntINT,1,2081,83,0
IntINT,1,2027,85,0
IntINT,1,2081,84,0
IntINT,1,2027,85,0
IntINT,1,2054,84,0
IntINT,1,2081,83,0
IntINT,1,2027,84,0
IntINT,1,2081,83,0
IntINT,1,2081,82,0
IntINT,1,2081,83,0
IntINT,1,2027,83,0
IntINT,1,2054,85,0
IntINT,1,2054,83,0
IntINT,1,2055,83,0
IntINT,1,2054,84,0
IntINT,1,2027,83,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2081,82,0
IntINT,1,2054,83,0
IntINT,1,2054,84,0
IntINT,1,2055,84,0
IntINT,1,2054,86,0
IntINT,1,2054,83,0
IntINT,1,2000,82,0
IntINT,1,2054,83,0
IntINT,1,2270,83,0
IntINT,1,2190,84,0
IntINT,1,2108,83,0
IntINT,1,2081,83,0
IntINT,1,2027,83,0
IntINT,1,2081,86,0
IntINT,1,2054,85,0
IntINT,1,2595,90,0
IntINT,1,2054,77,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2054,84,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2000,85,0
IntINT,1,2054,84,0
IntINT,1,2027,83,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2000,83,0
IntINT,1,2027,83,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2027,86,0
IntINT,1,2000,83,0
IntINT,1,2000,84,0
IntINT,1,2027,82,0
IntINT,1,2081,82,0
IntINT,1,2027,83,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2000,82,0
IntINT,1,2054,82,0
IntINT,1,2027,87,0
IntINT,1,2054,83,0
IntINT,1,2028,84,0
IntINT,1,2054,83,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2054,84,0
IntINT,1,2081,82,0
IntINT,1,2027,84,0
IntINT,1,2000,84,0
IntINT,1,2054,84,0
IntINT,1,2054,82,0
IntINT,1,2162,80,0
IntINT,1,2054,78,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2000,85,0
IntINT,1,2027,83,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2054,82,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2027,85,0
IntINT,1,2054,84,0
IntINT,1,2055,83,0
IntINT,1,2216,82,0
IntINT,1,2135,82,0
IntINT,1,2054,82,0
IntINT,1,2027,84,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2000,83,0
IntINT,1,2054,84,0
IntINT,1,2000,83,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2054,83,0
IntINT,1,2000,82,0
IntINT,1,2027,84,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2000,84,0
IntINT,1,2027,83,0
IntINT,1,2054,84,0
IntINT,1,2027,82,0
IntINT,1,2000,82,0
IntINT,1,2163,83,0
IntINT,1,2054,76,0
IntINT,1,2108,83,0
IntINT,1,2027,82,0
IntINT,1,2000,84,0
IntINT,1,2000,84,0
IntINT,1,2027,83,0
IntINT,1,2027,84,0
IntINT,1,2081,83,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2027,84,0
IntINT,1,2054,83,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2000,86,0
IntINT,1,2054,83,0
IntINT,1,2000,83,0
IntINT,1,2027,83,0
IntINT,1,2000,82,0
IntINT,1,2054,83,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,85,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2243,84,0
IntINT,1,2054,84,0
IntINT,1,2054,84,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2027,82,0
IntINT,1,2081,82,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2054,85,0
IntINT,1,2000,83,0
IntINT,1,2027,82,0
IntINT,1,2081,84,0
IntINT,1,2054,82,0
IntINT,1,2027,83,0
IntINT,1,2189,81,0
IntINT,1,2054,78,0
IntINT,1,2027,83,0
IntINT,1,2054,84,0
IntINT,1,2027,83,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2055,84,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2000,84,0
IntINT,1,2027,84,0
IntINT,1,2028,84,0
IntINT,1,2054,84,0
IntINT,1,2000,83,0
IntINT,1,2054,83,0
IntINT,1,2000,82,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2054,83,0
IntINT,1,2000,84,0
IntINT,1,2027,83,0
IntINT,1,2081,84,0
IntINT,1,2054,83,0
IntINT,1,2081,82,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2054,81,0
IntINT,1,2027,82,0
IntINT,1,2000,84,0
IntINT,1,2000,83,0
IntINT,1,2108,84,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2135,78,0
IntINT,1,2054,78,0
IntINT,1,2000,85,0
IntINT,1,2054,83,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2027,82,0
IntINT,1,8108,81,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,8622,91,0
IntINT,1,2135,83,0
IntINT,1,2027,84,0
IntINT,1,2108,82,0
IntINT,1,2054,82,0
IntINT,1,2000,83,0
IntINT,1,2054,83,0
IntINT,1,2000,83,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2027,85,0
IntINT,1,2000,84,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2054,84,0
IntINT,1,2162,83,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2000,83,0
IntINT,1,2000,82,0
IntINT,1,2162,84,0
IntINT,1,2027,83,0
IntINT,1,2055,84,0
IntINT,1,2027,83,0
IntINT,1,2054,83,0
IntINT,1,2108,83,0
IntINT,1,2405,83,0
IntINT,1,2027,83,0
IntINT,1,2000,82,0
IntINT,1,2135,85,0
IntINT,1,2054,78,0
IntINT,1,2054,83,0
IntINT,1,2000,85,0
IntINT,1,2054,83,0
IntINT,1,2000,84,0
IntINT,1,2054,83,0
IntINT,1,2054,84,0
IntINT,1,2027,83,0
IntINT,1,2054,82,0
IntINT,1,2108,83,0
IntINT,1,2081,84,0
IntINT,1,2027,84,0
IntINT,1,2000,84,0
IntINT,1,2054,82,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2000,82,0
IntINT,1,2000,83,0
IntINT,1,2054,85,0
IntINT,1,2054,84,0
IntINT,1,2054,84,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2054,83,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2027,85,0
IntINT,1,2027,83,0
IntINT,1,2000,84,0
IntINT,1,2054,82,0
IntINT,1,2108,83,0
IntINT,1,2108,84,0
IntINT,1,2027,82,0
IntINT,1,2000,84,0
IntINT,1,2054,83,0
IntINT,1,2000,82,0
IntINT,1,2189,85,0
IntINT,1,2135,80,0
IntINT,1,2027,80,0
IntINT,1,2135,83,0
IntINT,1,2027,82,0
IntINT,1,2054,82,0
IntINT,1,2054,84,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2027,82,0
IntINT,1,2082,84,0
IntINT,1,2054,84,0
IntINT,1,2054,85,0
IntINT,1,2000,82,0
