Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4050838,9006,9
PART,1,4222838,51567,16
PART,2,3951162,6243,19
PART,3,3668649,14111,4
PART,4,6574892,6692,29
PART,5,4714189,33588,19
PART,6,3989432,42827,8
PART,7,4929567,604,5
PART,8,4331000,16482,31
PART,9,6510054,43293,11
PART,0,4051270,9013,9
PART,1,4226081,51706,16
PART,2,3950622,6253,19
PART,3,3671081,14110,4
PART,4,6578432,6708,29
PART,5,4718676,33611,19
PART,6,3940703,42546,8
PART,7,4929216,593,5
PART,8,4331000,16449,31
PART,9,6510460,43339,11
PART,0,4050270,8991,9
PART,1,4225432,51639,16
PART,2,3892270,6182,19
PART,3,3669189,14113,4
PART,4,6576351,6714,29
PART,5,4715784,33613,19
PART,6,3940702,42551,8
PART,7,4928919,593,5
PART,8,4330703,11487,31
PART,9,6510189,43342,11
PART,0,4051000,9023,9
PART,1,4229298,51809,16
PART,2,3949460,6231,19
PART,3,3668973,14109,4
PART,4,6574216,6698,29
PART,5,4716946,33621,19
PART,6,3940162,42546,8
PART,7,4928973,612,5
PART,8,4330649,11488,31
PART,9,6509784,43319,11
PART,0,4050621,9000,9
PART,1,4220649,51646,16
PART,2,3891351,6186,19
PART,3,3671460,14110,4
PART,4,6577135,6703,29
PART,5,4715000,33618,19
PART,6,3940757,42539,8
PART,7,4928784,589,5
PART,8,4330324,11479,31
PART,9,6509460,43308,11
PART,0,4050297,9015,9
PART,1,4218838,51523,16
PART,2,3889081,6165,19
PART,3,3668865,14107,5
PART,4,6576243,6718,29
PART,5,4715189,33584,19
PART,6,3939946,42535,8
PART,7,4928838,591,5
PART,8,4330649,11476,31
PART,9,6508594,43335,11
PART,0,4051243,9024,9
PART,1,4224892,51549,16
PART,2,3889271,6170,19
PART,3,3668379,14105,4
PART,4,6575648,6715,29
PART,5,4714189,33646,19
PART,6,3940540,42544,8
PART,7,4928513,593,5
PART,8,4331756,16501,31
PART,9,6508162,43230,11
PART,0,4050216,9014,9
PART,1,4226054,51666,16
PART,2,3950675,6230,19
PART,3,3669082,14104,4
PART,4,6575514,6716,29
PART,5,4714595,33603,19
PART,6,3940460,42545,8
PART,7,4928622,591,5
PART,8,4331864,16503,31
PART,9,6507594,43231,11
PART,0,4052594,9016,9
PART,1,4201757,51080,16
PART,2,3896270,6206,19
PART,3,3669675,14108,4
PART,4,6577784,6702,29
PART,5,4719865,33595,19
PART,6,3942216,42530,8
PART,7,4929703,589,5
PART,8,4331081,11507,31
PART,9,6512946,43229,11
PART,0,4052162,8978,9
PART,1,4230811,51453,16
PART,2,3893675,6199,19
PART,3,3669568,14097,4
PART,4,6577649,6690,29
PART,5,4717216,33629,19
PART,6,3940406,42534,8
PART,7,4929811,594,5
PART,8,4331406,12862,31
PART,9,6516676,43342,11
PART,0,4054054,9037,9
PART,1,4240190,51650,16
PART,2,3897000,6195,19
PART,3,3669757,14108,4
PART,4,6577460,6730,29
PART,5,4720594,33626,19
PART,6,3940405,42551,8
PART,7,4929757,609,5
PART,8,4331757,13657,31
PART,9,6511460,43297,11
PART,0,4052379,9000,9
PART,1,4235567,51665,16
PART,2,3895730,6206,19
PART,3,3669297,14093,4
PART,4,6576865,6726,29
PART,5,4724567,33578,19
PART,6,3941135,42525,8
PART,7,4931162,604,5
PART,8,4332514,16514,31
PART,9,6513486,43260,11
PART,0,4052054,8990,9
PART,1,4231730,51714,16
PART,2,3898081,6208,19
PART,3,3669838,14116,4
PART,4,6577838,6740,29
PART,5,4716352,33657,19
PART,6,3942540,42535,8
PART,7,4929162,595,5
PART,8,4331757,11498,31
PART,9,6516297,43287,11
PART,0,4054405,9037,9
PART,1,4232081,51298,16
PART,2,3896433,6220,19
PART,3,3671811,14127,4
PART,4,6579649,6722,29
PART,5,4717216,33639,19
PART,6,3947054,42559,8
PART,7,4929108,598,5
PART,8,4331838,11702,31
PART,9,6510108,43258,11
PART,0,4053027,8996,9
PART,1,4236811,51571,16
PART,2,3894676,6233,19
PART,3,3669837,14100,4
PART,4,6577648,6708,29
PART,5,4719568,33623,19
PART,6,3950729,42527,8
PART,7,4929405,599,5
PART,8,4331865,16502,31
PART,9,6511675,43252,11
PART,0,4054243,9055,9
PART,1,4237702,51871,16
PART,2,3894837,6199,19
PART,3,3669460,14112,4
PART,4,6573973,6700,29
PART,5,4720027,33587,19
PART,6,3953108,42560,8
PART,7,4930460,603,5
PART,8,4330892,16487,31
PART,9,6514081,43304,11
PART,0,4054514,9045,9
PART,1,4240352,51623,16
PART,2,3896027,6210,19
PART,3,3671703,14090,4
PART,4,6580784,6740,29
PART,5,4721433,33589,19
PART,6,3954324,42578,8
PART,7,4929243,599,5
PART,8,4332189,12777,31
PART,9,6514459,43285,11
PART,0,4051027,9008,9
PART,1,4234595,51737,16
PART,2,3953784,6243,19
PART,3,3669270,14117,4
PART,4,6580297,6723,29
PART,5,4717189,33576,19
PART,6,3954027,42541,8
PART,7,4929243,591,5
PART,8,4330919,15240,31
PART,9,6514406,43261,11
PART,0,4052514,9001,9
PART,1,4233757,51474,16
PART,2,3951703,6235,19
PART,3,3669811,14113,4
PART,4,6579757,6701,29
PART,5,4718757,33599,19
PART,6,3954027,42531,8
PART,7,4929162,594,5
PART,8,4331108,16486,31
PART,9,6510189,43265,11
PART,0,4052756,9004,9
PART,1,4239946,51634,16
PART,2,3896217,6193,19
PART,3,3669216,14109,5
PART,4,6575757,6711,29
PART,5,4719892,33631,19
PART,6,3953811,42566,8
PART,7,4929244,601,5
PART,8,4333000,12073,31
PART,9,6512108,43320,11
PART,0,4051054,9026,9
PART,1,4231405,51624,16
PART,2,3951054,6233,19
PART,3,3666784,14103,4
PART,4,6580000,6751,29
PART,5,4719379,33575,19
PART,6,3954189,42567,8
PART,7,4929352,590,5
PART,8,4331702,14424,31
PART,9,6514540,43250,11
PART,0,4053270,9019,9
PART,1,4191108,50849,16
PART,2,3952243,6246,19
PART,3,3670135,14102,4
PART,4,6579946,6729,29
PART,5,4718432,33590,19
PART,6,3953973,42538,8
PART,7,4929243,594,5
PART,8,4332054,11461,31
PART,9,6511892,43232,11
PART,0,4052108,8995,9
PART,1,4235486,51673,16
PART,2,3895162,6204,19
PART,3,3669568,14110,4
PART,4,6579514,6716,29
PART,5,4721243,33580,19
PART,6,3954675,42557,8
PART,7,4931729,600,5
PART,8,4332811,15947,31
PART,9,6515000,43301,11
PART,0,4051190,9005,9
PART,1,4230702,51525,16
PART,2,3897027,6224,19
PART,3,3669379,14105,4
PART,4,6578784,6775,29
PART,5,4718189,33539,19
PART,6,3954379,42533,8
PART,7,4929649,594,5
PART,8,4332270,12169,31
PART,9,6511622,43326,11
PART,0,4052757,9046,9
PART,1,4213730,51111,16
PART,2,3893379,6181,19
PART,3,3669054,14106,4
PART,4,6577892,6708,29
PART,5,4720297,33558,19
PART,6,3955540,42545,8
PART,7,4930892,599,5
PART,8,4331135,11489,31
PART,9,6511351,43241,11
PART,0,4051000,9012,9
PART,1,4233244,51706,16
PART,2,3951027,6226,19
PART,3,3670568,14109,4
PART,4,6576621,6705,29
PART,5,4718568,33604,19
PART,6,3953838,42527,8
PART,7,4929243,592,5
PART,8,4330703,13302,31
PART,9,6517135,43262,11
PART,0,4056756,9048,9
PART,1,4243216,51741,16
PART,2,3951865,6231,19
PART,3,3670054,14114,4
PART,4,6579460,6714,29
PART,5,4719784,33612,19
PART,6,3954243,42535,8
PART,7,4929405,590,5
PART,8,4331162,11443,31
PART,9,6512432,43335,11
PART,0,4053135,8991,9
PART,1,4238162,51689,16
PART,2,3894973,6197,19
PART,3,3671486,14109,4
PART,4,6579189,6711,29
PART,5,4721567,33610,19
PART,6,3954351,42535,8
PART,7,4932757,611,5
PART,8,4330973,16496,31
PART,9,6512108,43335,11
PART,0,4052190,9019,9
PART,1,4232945,51604,16
PART,2,3898243,6211,19
PART,3,3669352,14095,4
PART,4,6578298,6712,29
PART,5,4718811,33618,19
PART,6,3954271,42541,8
PART,7,4929243,600,5
PART,8,4331352,11772,31
PART,9,6515513,43337,11
PART,0,4054244,9036,9
PART,1,4220406,51196,16
PART,2,3896811,6211,19
PART,3,3671351,14107,4
PART,4,6576702,6711,29
PART,5,4721351,33657,19
PART,6,3954432,42545,8
PART,7,4929514,602,5
PART,8,4331513,16449,31
PART,9,6513487,43258,11
PART,0,4054324,9038,9
PART,1,4242784,51771,16
PART,2,3897108,6207,19
PART,3,3671081,14139,4
PART,4,6580297,6704,29
PART,5,4719513,33576,19
PART,6,3954081,42541,8
PART,7,4929081,611,5
PART,8,4331243,12165,31
PART,9,6514919,43321,11
PART,0,4054757,9026,9
PART,1,4216486,51339,16
PART,2,3895163,6198,19
PART,3,3670054,14118,4
PART,4,6578838,6740,29
PART,5,4720622,33657,19
PART,6,3953649,42536,8
PART,7,4930784,598,5
PART,8,4331054,15236,31
PART,9,6516459,43320,11
PART,0,4052838,9018,9
PART,1,4244217,51735,16
PART,2,3895702,6194,19
PART,3,3669000,14096,4
PART,4,6579865,6717,29
PART,5,4721648,33632,19
PART,6,3954730,42539,8
PART,7,4929190,597,5
PART,8,4331865,16511,31
PART,9,6513189,43256,11
PART,0,4051325,9007,9
PART,1,4244946,51735,16
PART,2,3895135,6213,19
PART,3,3669378,14109,4
PART,4,6579649,6727,29
PART,5,4719162,33568,19
PART,6,3955811,42571,8
PART,7,4929540,607,5
PART,8,4331649,11884,31
PART,9,6514973,43321,11
PART,0,4053865,9030,9
PART,1,4210811,51090,16
PART,2,3897162,6219,19
PART,3,3669297,14112,4
PART,4,6582946,6758,29
PART,5,4718027,33596,19
PART,6,3954027,42581,8
PART,7,4930919,597,5
PART,8,4333676,13226,31
PART,9,6515405,43271,11
PART,0,4054432,8987,9
PART,1,4236541,51693,16
PART,2,3896297,6211,19
PART,3,3670946,14104,4
PART,4,6577756,6702,29
PART,5,4719027,33620,19
PART,6,3953595,42536,8
PART,7,4929405,591,5
PART,8,4331973,11740,31
PART,9,6511567,43233,11
PART,0,4053108,8992,9
PART,1,4230811,51532,16
PART,2,3894594,6219,19
PART,3,3669811,14102,4
PART,4,6578189,6707,29
PART,5,4721811,33616,19
PART,6,3955838,42573,8
PART,7,4929135,588,5
PART,8,4332433,14723,31
PART,9,6510811,43308,11
PART,0,4053675,9011,9
PART,1,4230270,51534,16
PART,2,3893730,6219,19
PART,3,3669621,14108,4
PART,4,6578811,6702,29
PART,5,4717487,33552,19
PART,6,3953081,42535,8
PART,7,4929973,601,5
PART,8,4331270,15222,31
PART,9,6513243,43238,11
PART,0,4052946,9017,9
PART,1,4241352,51731,16
PART,2,3891190,6185,19
PART,3,3673162,14113,4
PART,4,6576622,6695,29
PART,5,4717433,33580,19
PART,6,3954622,42547,8
PART,7,4929162,598,5
PART,8,4331433,12084,31
PART,9,6513027,43244,11
PART,0,4053730,9026,9
PART,1,4238189,51764,16
PART,2,3952540,6246,19
PART,3,3669432,14107,4
PART,4,6576541,6725,29
PART,5,4723621,33629,19
PART,6,3954541,42548,8
PART,7,4929703,603,5
PART,8,4330811,11501,31
PART,9,6514054,43313,11
PART,0,4053946,9004,9
PART,1,4202676,51035,16
PART,2,3894946,6210,19
PART,3,3669865,14122,4
PART,4,6575027,6694,29
PART,5,4721270,33595,19
PART,6,3954243,42537,8
PART,7,4929919,612,5
PART,8,4331027,12009,31
PART,9,6513973,43257,11
PART,0,4052676,9048,9
PART,1,4233757,51806,16
PART,2,3894649,6201,19
PART,3,3672081,14096,4
PART,4,6578568,6702,29
PART,5,4722000,33605,19
PART,6,3954325,42546,8
PART,7,4929568,597,5
PART,8,4332459,13927,31
PART,9,6516217,43250,11
PART,0,4056000,9006,9
PART,1,4242811,51704,16
PART,2,3894405,6212,19
PART,3,3669324,14107,4
PART,4,6578757,6751,29
PART,5,4720189,33600,19
PART,6,3955216,42556,8
PART,7,4928837,592,5
PART,8,4331649,16448,31
PART,9,6512946,43268,11
PART,0,4052594,9030,9
PART,1,4241298,51690,16
PART,2,3896595,6219,19
PART,3,3669676,14106,4
PART,4,6576486,6707,29
PART,5,4716513,33561,19
PART,6,3953459,42571,8
PART,7,4929919,599,5
PART,8,4331243,11504,31
PART,9,6510163,43225,11
PART,0,4051756,9008,9
PART,1,4223594,51735,16
PART,2,3893487,6197,19
PART,3,3671649,14109,4
PART,4,6580162,6731,29
PART,5,4718594,33668,19
PART,6,3953054,42528,8
PART,7,4929486,591,5
PART,8,4331324,15240,31
PART,9,6513676,43259,11
PART,0,4055702,9034,9
PART,1,4225919,51311,16
PART,2,3949919,6243,19
PART,3,3668568,14106,4
PART,4,6578513,6711,29
PART,5,4720703,33616,19
PART,6,3915892,41856,8
PART,7,4929541,591,5
PART,8,4331054,15199,31
PART,9,6508784,43313,11
PART,0,4051595,9023,9
PART,1,4236108,51768,16
PART,2,3896027,6210,19
PART,3,3669486,14110,4
PART,4,6581379,6743,29
PART,5,4719703,33567,19
PART,6,3867811,41047,8
PART,7,4929271,588,5
PART,8,4332055,14427,31
PART,9,6510108,43318,11
PART,0,4052324,9026,9
PART,1,4226162,51615,16
PART,2,3952919,6244,19
PART,3,3669513,14110,4
PART,4,6576405,6700,29
PART,5,4720054,33542,19
PART,6,3868270,41063,8
PART,7,4930594,597,5
PART,8,4332189,13367,31
PART,9,6515297,43341,11
PART,0,4053432,8969,9
PART,1,4238108,51624,16
PART,2,3898568,6222,19
PART,3,3668891,14107,4
PART,4,6578892,6721,29
PART,5,4721270,33586,19
PART,6,3868190,41031,8
PART,7,4929108,596,5
PART,8,4331783,11503,31
PART,9,6510432,43322,11
PART,0,4052298,9020,9
PART,1,4232243,51580,16
PART,2,3894649,6198,19
PART,3,3671216,14105,4
PART,4,6579081,6733,29
PART,5,4717486,33530,19
PART,6,3867757,41057,8
PART,7,4929675,590,5
PART,8,4331189,12234,31
PART,9,6514054,43317,11
PART,0,4054027,9039,9
PART,1,4226973,51502,16
PART,2,3895406,6203,19
PART,3,3669351,14100,4
PART,4,6579216,6708,29
PART,5,4718595,33634,19
PART,6,3868676,41037,8
PART,7,4929189,595,5
PART,8,4330919,12044,31
PART,9,6514892,43262,11
PART,0,4051568,9002,9
PART,1,4242243,51677,16
PART,2,3896838,6191,19
PART,3,3669297,14105,4
PART,4,6577919,6693,29
PART,5,4722351,33624,19
PART,6,3867757,41054,8
PART,7,4929919,593,5
PART,8,4331244,13034,31
PART,9,6513027,43263,11
PART,0,4051730,8967,9
PART,1,4234811,51663,16
PART,2,3895784,6201,19
PART,3,3669297,14108,4
PART,4,6576270,6717,29
