Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4050378,9007,9
PART,1,4225486,51770,16
PART,2,3891271,6174,19
PART,3,3668675,14109,4
PART,4,6577324,6703,29
PART,5,4718054,33631,19
PART,6,3990135,42826,8
PART,7,4929054,596,5
PART,8,4331054,16489,31
PART,9,6511298,43297,11
PART,0,4050351,9000,9
PART,1,4228973,51777,16
PART,2,3889622,6167,19
PART,3,3668892,14113,4
PART,4,6576648,6722,29
PART,5,4713513,33633,19
PART,6,3940487,42540,8
PART,7,4928946,607,5
PART,8,4331135,11483,31
PART,9,6510702,43323,11
PART,0,4048352,8977,9
PART,1,4223811,51602,16
PART,2,3949973,6238,19
PART,3,3668676,14110,5
PART,4,6574513,6684,29
PART,5,4715622,33603,19
PART,6,3940216,42543,8
PART,7,4928325,588,5
PART,8,4331054,16446,31
PART,9,6510298,43235,11
PART,0,4051649,9014,9
PART,1,4227811,51615,16
PART,2,3891946,6179,19
PART,3,3671541,14116,4
PART,4,6577027,6692,29
PART,5,4717378,33587,19
PART,6,3940270,42545,8
PART,7,4928973,610,5
PART,8,4331487,11496,31
PART,9,6510324,43280,11
PART,0,4050568,9011,9
PART,1,4227622,51719,16
PART,2,3891676,6171,19
PART,3,3668919,14107,4
PART,4,6577622,6726,29
PART,5,4713135,33657,19
PART,6,3940190,42526,8
PART,7,4928675,604,5
PART,8,4331297,11454,31
PART,9,6510216,43296,11
PART,0,4051081,9014,9
PART,1,4231189,51657,16
PART,2,3892837,6191,19
PART,3,3669027,14106,4
PART,4,6576135,6720,29
PART,5,4715649,33629,19
PART,6,3941081,42573,8
PART,7,4929270,602,5
PART,8,4331568,11495,31
PART,9,6510352,43292,11
PART,0,4051000,9035,9
PART,1,4225081,51567,16
PART,2,3891865,6184,19
PART,3,3668486,14101,4
PART,4,6574757,6709,29
PART,5,4715730,33654,19
PART,6,3940460,42535,8
PART,7,4928730,588,5
PART,8,4331487,11496,31
PART,9,6509162,43285,11
PART,0,4051189,9045,9
PART,1,4224460,51800,16
PART,2,3890378,6185,19
PART,3,3668757,14109,4
PART,4,6578405,6749,29
PART,5,4713459,33548,19
PART,6,3941054,42566,8
PART,7,4929054,601,5
PART,8,4331379,11497,31
PART,9,6509054,43320,11
PART,0,4052108,9012,9
PART,1,4234325,51849,16
PART,2,3893703,6202,19
PART,3,3674216,14107,4
PART,4,6576243,6711,29
PART,5,4717324,33618,19
PART,6,3940513,42523,8
PART,7,4929243,602,5
PART,8,4331568,15490,31
PART,9,6514568,43315,11
PART,0,4053189,9050,9
PART,1,4236108,51738,16
PART,2,3894135,6199,19
PART,3,3668811,14112,4
PART,4,6576946,6715,29
PART,5,4717487,33571,19
PART,6,3940379,42539,8
PART,7,4929027,592,5
PART,8,4332189,13972,31
PART,9,6510865,43209,11
PART,0,4051811,9011,9
PART,1,4229135,51573,16
PART,2,3894270,6206,19
PART,3,3671513,14115,4
PART,4,6575702,6735,29
PART,5,4716162,33588,19
PART,6,3941352,42542,8
PART,7,4929243,595,5
PART,8,4331918,12973,31
PART,9,6514081,43273,11
PART,0,4052162,9023,9
PART,1,4205864,51026,16
PART,2,3892648,6191,19
PART,3,3669054,14110,4
PART,4,6577405,6716,29
PART,5,4717352,33625,19
PART,6,3941729,42553,8
PART,7,4929676,600,5
PART,8,4331811,11466,31
PART,9,6512756,43253,11
PART,0,4053595,8994,9
PART,1,4234405,51799,16
PART,2,3892351,6183,19
PART,3,3669486,14106,4
PART,4,6576324,6698,29
PART,5,4716541,33586,19
PART,6,3942351,42555,8
PART,7,4929189,595,5
PART,8,4330865,11485,31
PART,9,6509648,43314,11
PART,0,4051271,8998,9
PART,1,4228081,51792,16
PART,2,3892865,6188,19
PART,3,3669135,14109,4
PART,4,6574946,6717,29
PART,5,4717216,33606,19
PART,6,3945460,42524,8
PART,7,4931622,611,5
PART,8,4330892,12744,31
PART,9,6512676,43321,11
PART,0,4051567,8995,9
PART,1,4226027,51813,16
PART,2,3893270,6190,19
PART,3,3671325,14106,4
PART,4,6577216,6709,29
PART,5,4716324,33679,19
PART,6,3949946,42533,8
PART,7,4929432,596,5
PART,8,4330919,15245,31
PART,9,6511676,43225,11
PART,0,4052567,9012,9
PART,1,4232540,51726,16
PART,2,3892027,6185,19
PART,3,3669676,14115,4
PART,4,6577270,6722,29
PART,5,4717892,33630,19
PART,6,3953406,42547,8
PART,7,4929216,592,5
PART,8,4331054,15245,31
PART,9,6511540,43291,11
PART,0,4053703,9015,9
PART,1,4233784,51670,16
PART,2,3892730,6190,19
PART,3,3669270,14116,4
PART,4,6578676,6719,29
PART,5,4715946,33625,19
PART,6,3954135,42547,8
PART,7,4929621,598,5
PART,8,4330865,11523,31
PART,9,6509108,43315,11
PART,0,4050460,9015,9
PART,1,4229892,51748,16
PART,2,3893405,6181,19
PART,3,3669622,14121,4
PART,4,6577405,6696,29
PART,5,4715243,33595,19
PART,6,3953621,42540,8
PART,7,4929676,600,5
PART,8,4330919,16448,31
PART,9,6514244,43279,11
PART,0,4050324,8988,9
PART,1,4233000,51840,16
PART,2,3892081,6187,19
PART,3,3669270,14116,4
PART,4,6576243,6713,29
PART,5,4722000,33641,19
PART,6,3953567,42529,8
PART,7,4928919,590,5
PART,8,4330973,13259,31
PART,9,6515730,43250,11
PART,0,4053108,8976,9
PART,1,4231514,51673,16
PART,2,3892217,6190,19
PART,3,3668703,14105,4
PART,4,6576243,6708,29
PART,5,4716379,33560,19
PART,6,3953541,42538,8
PART,7,4929135,591,5
PART,8,4331568,16452,31
PART,9,6510513,43315,11
PART,0,4051244,9024,9
PART,1,4227783,51738,16
PART,2,3893540,6184,19
PART,3,3669406,14104,4
PART,4,6575351,6723,29
PART,5,4716270,33595,19
PART,6,3953756,42529,8
PART,7,4929217,595,5
PART,8,4330811,12002,31
PART,9,6512892,43317,11
PART,0,4051784,9026,9
PART,1,4226594,51575,16
PART,2,3891811,6185,19
PART,3,3668945,14102,4
PART,4,6576946,6705,29
PART,5,4718217,33620,19
PART,6,3953621,42559,8
PART,7,4929190,605,5
PART,8,4330784,12741,31
PART,9,6516892,43330,11
PART,0,4052459,9006,9
PART,1,4239216,51602,16
PART,2,3891946,6185,19
PART,3,3669595,14107,4
PART,4,6576865,6710,29
PART,5,4718081,33625,19
PART,6,3954162,42535,8
PART,7,4929189,598,5
PART,8,4331243,11500,31
PART,9,6511406,43327,11
PART,0,4050919,9037,9
PART,1,4233703,51556,16
PART,2,3891811,6179,19
PART,3,3669000,14105,4
PART,4,6576540,6700,29
PART,5,4715460,33603,19
PART,6,3953784,42538,8
PART,7,4928811,596,5
PART,8,4330838,13564,31
PART,9,6511919,43253,11
PART,0,4054513,9044,9
PART,1,4236108,51650,16
PART,2,3893676,6198,19
PART,3,3669217,14108,4
PART,4,6579919,6743,29
PART,5,4713379,33611,19
PART,6,3953919,42537,8
PART,7,4928486,590,5
PART,8,4331648,11500,31
PART,9,6508919,43323,11
PART,0,4052135,9038,9
PART,1,4230540,51805,16
PART,2,3951243,6245,19
PART,3,3671838,14111,4
PART,4,6576513,6723,29
PART,5,4716108,33609,19
PART,6,3954244,42549,8
PART,7,4929378,606,5
PART,8,4331351,11498,31
PART,9,6511162,43309,11
PART,0,4051892,9026,9
PART,1,4227459,51633,16
PART,2,3893405,6188,19
PART,3,3669649,14112,4
PART,4,6577730,6713,29
PART,5,4716973,33588,19
PART,6,3953108,42553,8
PART,7,4929406,598,5
PART,8,4332243,11459,31
PART,9,6510243,43259,11
PART,0,4052541,9025,9
PART,1,4236865,51669,16
PART,2,3892405,6180,19
PART,3,3669460,14112,4
PART,4,6578919,6742,29
PART,5,4717784,33618,19
PART,6,3953351,42547,8
PART,7,4929297,595,5
PART,8,4330784,11834,31
PART,9,6510082,43316,11
PART,0,4051595,9019,9
PART,1,4234135,51718,16
PART,2,3894108,6210,19
PART,3,3669432,14105,4
PART,4,6576838,6720,29
PART,5,4717135,33596,19
PART,6,3953892,42534,8
PART,7,4930865,602,5
PART,8,4330811,12063,31
PART,9,6512865,43210,11
PART,0,4051108,8999,9
PART,1,4227810,51568,16
PART,2,3895702,6201,19
PART,3,3665676,14121,4
PART,4,6575190,6722,29
PART,5,4714486,33585,19
PART,6,3953595,42553,8
PART,7,4929838,606,5
PART,8,4331135,11487,31
PART,9,6512973,43337,11
PART,0,4054298,9024,9
PART,1,4240135,51823,16
PART,2,3890865,6170,19
PART,3,3668864,14104,4
PART,4,6578540,6693,29
PART,5,4715568,33615,19
PART,6,3953757,42568,8
PART,7,4929892,604,5
PART,8,4330865,13878,31
PART,9,6510243,43327,11
PART,0,4052784,8999,9
PART,1,4228513,51503,16
PART,2,3950973,6242,19
PART,3,3668703,14113,4
PART,4,6575891,6703,29
PART,5,4718297,33609,19
PART,6,3954189,42542,8
PART,7,4930189,598,5
PART,8,4330513,11486,31
PART,9,6511351,43337,11
PART,0,4052730,9017,9
PART,1,4244756,51783,16
PART,2,3893730,6181,19
PART,3,3671216,14117,4
PART,4,6578162,6719,29
PART,5,4716973,33645,19
PART,6,3953891,42563,8
PART,7,4928649,601,5
PART,8,4331054,15399,31
PART,9,6508513,43243,11
PART,0,4052297,9015,9
PART,1,4234162,51648,16
PART,2,3895595,6211,19
PART,3,3669405,14114,4
PART,4,6578919,6721,29
PART,5,4716189,33578,19
PART,6,3953568,42564,8
PART,7,4929243,593,5
PART,8,4331243,11446,31
PART,9,6510703,43325,11
PART,0,4052946,9016,9
PART,1,4229946,51792,16
PART,2,3894378,6201,19
PART,3,3669676,14114,4
PART,4,6576378,6715,29
PART,5,4716919,33589,19
PART,6,3953567,42536,8
PART,7,4929622,599,5
PART,8,4330649,13987,31
PART,9,6513865,43322,11
PART,0,4052703,8978,9
PART,1,4238784,51872,16
PART,2,3891865,6189,19
PART,3,3673325,14117,4
PART,4,6578243,6735,29
PART,5,4719540,33636,19
PART,6,3953459,42538,8
PART,7,4929432,598,5
PART,8,4331756,12522,31
PART,9,6509271,43232,11
PART,0,4054324,9028,9
PART,1,4227352,51688,16
PART,2,3894757,6211,19
PART,3,3671298,14107,4
PART,4,6578162,6700,29
PART,5,4718594,33636,19
PART,6,3954702,42555,8
PART,7,4928919,596,5
PART,8,4331459,15250,31
PART,9,6509567,43318,11
PART,0,4052865,8996,9
PART,1,4228000,51690,16
PART,2,3894865,6203,19
PART,3,3671459,14110,4
PART,4,6578054,6752,29
PART,5,4716649,33602,19
PART,6,3954217,42556,8
PART,7,4930486,598,5
PART,8,4331730,11859,31
PART,9,6512946,43235,11
PART,0,4051865,9022,9
PART,1,4239379,51648,16
PART,2,3895973,6233,19
PART,3,3670973,14105,4
PART,4,6579162,6727,29
PART,5,4714541,33522,19
PART,6,3954081,42541,8
PART,7,4929081,600,5
PART,8,4332027,12777,31
PART,9,6515730,43264,11
PART,0,4052892,9023,9
PART,1,4233027,51623,16
PART,2,3894487,6207,19
PART,3,3671784,14113,4
PART,4,6576919,6727,29
PART,5,4718162,33605,19
PART,6,3953810,42563,8
PART,7,4929000,587,5
PART,8,4332000,16495,31
PART,9,6511351,43309,11
PART,0,4055784,9003,9
PART,1,4240135,51701,16
PART,2,3891351,6187,19
PART,3,3669486,14122,4
PART,4,6577189,6702,29
PART,5,4717567,33586,19
PART,6,3953676,42552,8
PART,7,4929027,605,5
PART,8,4330702,15231,31
PART,9,6513189,43250,11
PART,0,4053352,9036,9
PART,1,4233946,51565,16
PART,2,3893054,6186,19
PART,3,3671891,14118,4
PART,4,6577784,6700,29
PART,5,4717054,33595,19
PART,6,3953595,42543,8
PART,7,4928567,599,5
PART,8,4330892,11491,31
PART,9,6513757,43339,11
PART,0,4051189,8985,9
PART,1,4233027,51820,16
PART,2,3950378,6237,19
PART,3,3669055,14104,4
PART,4,6577676,6699,29
PART,5,4718297,33560,19
PART,6,3953433,42508,8
PART,7,4929432,600,5
PART,8,4331271,16449,31
PART,9,6514027,43317,11
PART,0,4051135,8995,9
PART,1,4213378,51372,16
PART,2,3896541,6201,19
PART,3,3668973,14097,4
PART,4,6576973,6723,29
PART,5,4719811,33601,19
PART,6,3954108,42564,8
PART,7,4929189,601,5
PART,8,4330973,11466,31
PART,9,6515082,43345,11
PART,0,4052730,8992,9
