Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,3108,116,0
IntINT,1,2460,87,0
IntINT,1,2108,82,0
IntINT,1,2054,82,0
IntINT,1,2109,85,0
IntINT,1,2027,84,0
IntINT,1,2027,84,0
IntINT,1,2081,84,0
IntINT,1,2054,84,0
IntINT,1,2027,84,0
IntINT,1,2054,83,0
IntINT,1,2081,83,0
IntINT,1,2028,83,0
IntINT,1,2054,83,0
IntINT,1,2054,85,0
IntINT,1,2000,85,0
IntINT,1,2054,84,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2027,82,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,84,0
IntINT,1,2054,85,0
IntINT,1,2055,85,0
IntINT,1,2054,85,0
IntINT,1,2000,84,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2000,84,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2054,84,0
IntINT,1,2054,85,0
IntINT,1,2055,83,0
IntINT,1,2568,91,0
IntINT,1,2054,77,0
IntINT,1,2054,84,0
IntINT,1,2082,83,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2027,84,0
IntINT,1,2054,84,0
IntINT,1,2054,85,0
IntINT,1,2054,83,0
IntINT,1,2027,84,0
IntINT,1,2000,82,0
IntINT,1,2000,83,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2000,82,0
IntINT,1,2028,84,0
IntINT,1,2027,83,0
IntINT,1,2054,84,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2000,84,0
IntINT,1,2055,84,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2027,85,0
IntINT,1,2027,84,0
IntINT,1,2000,83,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2027,81,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2000,82,0
IntINT,1,2054,84,0
IntINT,1,2000,84,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2162,79,0
IntINT,1,2054,78,0
IntINT,1,2000,82,0
IntINT,1,2000,81,0
IntINT,1,2027,82,0
IntINT,1,2000,82,0
IntINT,1,2027,85,0
IntINT,1,2027,83,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2000,82,0
IntINT,1,2054,85,0
IntINT,1,2000,81,0
IntINT,1,2027,84,0
IntINT,1,2027,84,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2000,82,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2000,84,0
IntINT,1,2027,85,0
IntINT,1,2000,83,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2028,84,0
IntINT,1,2054,86,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2135,83,0
IntINT,1,2054,77,0
IntINT,1,2000,82,0
IntINT,1,2027,83,0
IntINT,1,2000,83,0
IntINT,1,2054,86,0
IntINT,1,2055,83,0
IntINT,1,2027,84,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2054,81,0
IntINT,1,2027,86,0
IntINT,1,2054,83,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2027,84,0
IntINT,1,2000,83,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2027,85,0
IntINT,1,2054,83,0
IntINT,1,2000,83,0
IntINT,1,2000,83,0
IntINT,1,2000,82,0
IntINT,1,2082,82,0
IntINT,1,2027,84,0
IntINT,1,2054,84,0
IntINT,1,2000,82,0
IntINT,1,2027,83,0
IntINT,1,2000,84,0
IntINT,1,2027,84,0
IntINT,1,2027,83,0
IntINT,1,2027,81,0
IntINT,1,2027,83,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2136,78,0
IntINT,1,2054,78,0
IntINT,1,2054,82,0
IntINT,1,2000,84,0
IntINT,1,2027,83,0
IntINT,1,2027,84,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2054,82,0
IntINT,1,2027,84,0
IntINT,1,2027,84,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2027,84,0
IntINT,1,2027,86,0
IntINT,1,2000,83,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2081,86,0
IntINT,1,2054,83,0
IntINT,1,2000,84,0
IntINT,1,2000,82,0
IntINT,1,2054,82,0
IntINT,1,2081,83,0
IntINT,1,2054,82,0
IntINT,1,2027,83,0
IntINT,1,2189,79,0
IntINT,1,2027,79,0
IntINT,1,2054,86,0
IntINT,1,2054,83,0
IntINT,1,2000,83,0
IntINT,1,2000,82,0
IntINT,1,2027,85,0
IntINT,1,2054,81,0
IntINT,1,2054,83,0
IntINT,1,2055,82,0
IntINT,1,2027,82,0
IntINT,1,2000,82,0
IntINT,1,2081,84,0
IntINT,1,2054,83,0
IntINT,1,2082,84,0
IntINT,1,2000,82,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2054,82,0
IntINT,1,2027,85,0
IntINT,1,2027,83,0
IntINT,1,2027,83,0
IntINT,1,2081,84,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2027,82,0
IntINT,1,2054,82,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2054,84,0
IntINT,1,2135,83,0
IntINT,1,2055,83,0
IntINT,1,2081,82,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2108,83,0
IntINT,1,2000,79,0
IntINT,1,2027,84,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2081,83,0
IntINT,1,2054,83,0
IntINT,1,2054,84,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2054,84,0
IntINT,1,2081,85,0
IntINT,1,2054,83,0
IntINT,1,2027,82,0
IntINT,1,2000,83,0
IntINT,1,2081,83,0
IntINT,1,2000,82,0
IntINT,1,2055,83,0
IntINT,1,2054,82,0
IntINT,1,2000,83,0
IntINT,1,2027,84,0
IntINT,1,2027,85,0
IntINT,1,2027,87,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2081,82,0
IntINT,1,2000,84,0
IntINT,1,2000,83,0
IntINT,1,2081,82,0
IntINT,1,2028,83,0
IntINT,1,2054,85,0
IntINT,1,2027,83,0
IntINT,1,2000,83,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2000,83,0
IntINT,1,2027,82,0
IntINT,1,2081,82,0
IntINT,1,2027,83,0
IntINT,1,2027,83,0
IntINT,1,2027,84,0
IntINT,1,2163,79,0
IntINT,1,2054,79,0
IntINT,1,2000,82,0
IntINT,1,2000,84,0
IntINT,1,2054,83,0
IntINT,1,2162,82,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,84,0
IntINT,1,2027,83,0
IntINT,1,2054,83,0
IntINT,1,2162,84,0
IntINT,1,2054,83,0
IntINT,1,2054,85,0
IntINT,1,2054,82,0
IntINT,1,2055,82,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2054,86,0
