Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4051459,9002,9
PART,1,4227298,51730,16
PART,2,3890919,6165,19
PART,3,3669594,14129,4
PART,4,6575460,6706,29
PART,5,4715594,33576,19
PART,6,3989622,42806,8
PART,7,4929135,592,5
PART,8,4330379,11480,31
PART,9,6508568,43280,11
PART,0,4051432,8995,9
PART,1,4229081,51804,16
PART,2,3890297,6182,19
PART,3,3668567,14115,4
PART,4,6576730,6715,29
PART,5,4719702,33600,19
PART,6,3940702,42540,8
PART,7,4928919,598,5
PART,8,4330918,16492,31
PART,9,6512378,43284,11
PART,0,4050108,9012,9
PART,1,4227973,51785,16
PART,2,3892216,6180,19
PART,3,3671379,14111,4
PART,4,6577352,6729,29
PART,5,4717595,33627,19
PART,6,3940622,42525,8
PART,7,4928271,599,5
PART,8,4330594,16488,31
PART,9,6507594,43318,11
PART,0,4050703,9050,9
PART,1,4222379,51652,16
PART,2,3951027,6247,19
PART,3,3671054,14117,5
PART,4,6576945,6701,29
PART,5,4716838,33646,19
PART,6,3940649,42556,8
PART,7,4928892,592,5
PART,8,4330730,11482,31
PART,9,6510838,43294,11
PART,0,4048865,8995,9
PART,1,4230622,51914,16
PART,2,3890703,6180,19
PART,3,3668919,14111,4
PART,4,6574460,6714,29
PART,5,4712892,33584,19
PART,6,3940595,42550,8
PART,7,4928891,599,5
PART,8,4330675,11482,31
PART,9,6510486,43327,11
PART,0,4051216,9039,9
PART,1,4227649,51757,16
PART,2,3890487,6171,19
PART,3,3668649,14108,4
PART,4,6574730,6712,29
PART,5,4716676,33636,19
PART,6,3940297,42550,8
PART,7,4928919,591,5
PART,8,4331324,11486,31
PART,9,6510243,43299,11
PART,0,4050702,9008,9
PART,1,4224162,51702,16
PART,2,3891595,6174,19
PART,3,3671054,14101,4
PART,4,6578054,6720,29
PART,5,4719081,33603,19
PART,6,3940378,42538,8
PART,7,4928811,586,5
PART,8,4331270,11496,31
PART,9,6510432,43320,11
PART,0,4051027,8997,9
PART,1,4229487,51844,16
PART,2,3892541,6200,19
PART,3,3668486,14102,4
PART,4,6577567,6728,29
PART,5,4714271,33599,19
PART,6,3940649,42559,8
PART,7,4929054,604,5
PART,8,4331595,11496,31
PART,9,6510054,43251,11
PART,0,4051433,9002,9
PART,1,4229784,51769,16
PART,2,3890595,6181,19
PART,3,3668757,14105,4
PART,4,6576135,6711,29
PART,5,4715595,33571,19
PART,6,3940378,42531,8
PART,7,4929216,600,5
PART,8,4330757,11503,31
PART,9,6508486,43327,11
PART,0,4050378,9024,9
PART,1,4229622,51810,16
PART,2,3951541,6244,19
PART,3,3668756,14115,4
PART,4,6576405,6728,29
PART,5,4714757,33558,19
PART,6,3940838,42547,8
PART,7,4929135,602,5
PART,8,4331487,16497,31
PART,9,6508351,43321,11
PART,0,4050973,9042,9
PART,1,4224486,51713,16
PART,2,3893108,6188,19
PART,3,3669082,14106,4
PART,4,6574729,6724,29
PART,5,4716784,33580,19
PART,6,3940541,42535,8
PART,7,4929406,591,5
PART,8,4332081,11509,31
PART,9,6507702,43253,11
PART,0,4050783,8991,9
PART,1,4225486,51613,16
PART,2,3951892,6268,19
PART,3,3668919,14106,4
PART,4,6577918,6738,29
PART,5,4713919,33616,19
PART,6,3941217,42539,8
PART,7,4928919,605,5
PART,8,4332244,11462,31
PART,9,6507378,43321,11
PART,0,4051919,9000,9
PART,1,4224946,51522,16
PART,2,3891757,6189,19
PART,3,3668541,14104,4
PART,4,6578027,6736,29
PART,5,4716108,33609,19
PART,6,3943973,42560,8
PART,7,4928946,591,5
PART,8,4331946,12754,31
PART,9,6510351,43307,11
PART,0,4048568,8983,9
PART,1,4230432,51603,16
PART,2,3950433,6253,19
PART,3,3669460,14112,4
PART,4,6577189,6732,29
PART,5,4715730,33604,19
PART,6,3945811,42551,8
PART,7,4928730,590,5
PART,8,4331919,12780,31
PART,9,6510270,43320,11
PART,0,4051622,9034,9
PART,1,4228621,51784,16
PART,2,3889216,6167,19
PART,3,3668946,14107,4
PART,4,6576568,6693,29
PART,5,4716216,33637,19
PART,6,3949973,42551,8
PART,7,4928567,606,5
PART,8,4330756,12737,31
PART,9,6510405,43269,11
PART,0,4050081,8999,9
PART,1,4206892,51208,16
PART,2,3949811,6235,19
PART,3,3671000,14106,4
PART,4,6577135,6696,29
PART,5,4714594,33626,19
PART,6,3952865,42549,8
PART,7,4929135,596,5
PART,8,4330459,11483,31
PART,9,6509108,43332,11
PART,0,4051189,8982,9
PART,1,4230054,51625,16
PART,2,3891027,6187,19
PART,3,3668703,14106,4
PART,4,6577756,6735,29
PART,5,4716865,33618,19
PART,6,3953649,42551,8
PART,7,4929271,600,5
PART,8,4331568,13442,31
PART,9,6507730,43199,11
PART,0,4050081,9004,9
PART,1,4225784,51708,16
PART,2,3891216,6173,19
PART,3,3668891,14103,4
PART,4,6576648,6708,29
PART,5,4716216,33628,19
PART,6,3954216,42559,8
PART,7,4928433,589,5
PART,8,4330919,13811,31
PART,9,6507756,43257,11
PART,0,4050108,9005,9
PART,1,4226082,51634,16
PART,2,3950351,6260,19
PART,3,3669162,14107,4
PART,4,6575973,6685,29
PART,5,4717919,33601,19
PART,6,3954000,42561,8
PART,7,4929162,598,5
PART,8,4331136,11482,31
PART,9,6510730,43317,11
PART,0,4057351,9095,9
PART,1,4226405,51758,16
PART,2,3951703,6259,19
PART,3,3671514,14109,4
PART,4,6576865,6725,29
PART,5,4716973,33567,19
PART,6,3953433,42544,8
PART,7,4929297,593,5
PART,8,4330946,11445,31
PART,9,6509297,43237,11
PART,0,4051378,9024,9
PART,1,4229189,51839,16
PART,2,3950162,6257,19
PART,3,3671352,14105,4
PART,4,6573270,6696,29
PART,5,4715622,33601,19
PART,6,3953675,42537,8
PART,7,4928919,597,5
PART,8,4331108,14018,31
PART,9,6510460,43275,11
PART,0,4051351,9013,9
PART,1,4230595,51656,16
PART,2,3950892,6248,19
PART,3,3668460,14099,4
PART,4,6576162,6709,29
PART,5,4716135,33554,19
PART,6,3953298,42536,8
PART,7,4928676,592,5
PART,8,4330838,11510,31
PART,9,6510378,43304,11
PART,0,4051702,9007,9
PART,1,4230649,51775,16
PART,2,3892514,6170,19
PART,3,3668595,14104,4
PART,4,6579324,6730,29
PART,5,4716514,33590,19
PART,6,3953405,42529,8
PART,7,4929487,598,5
PART,8,4331676,15274,31
PART,9,6509216,43249,11
PART,0,4052811,9036,9
PART,1,4211189,51488,16
PART,2,3892054,6195,19
PART,3,3668946,14118,4
PART,4,6573973,6722,29
PART,5,4716540,33600,19
PART,6,3954054,42557,8
PART,7,4930622,604,5
PART,8,4331649,11498,31
PART,9,6508459,43316,11
PART,0,4052297,9031,9
PART,1,4222729,51846,16
PART,2,3893811,6179,19
PART,3,3668730,14117,4
PART,4,6575567,6717,29
PART,5,4717946,33585,19
PART,6,3953730,42541,8
PART,7,4928594,590,5
PART,8,4331649,16499,31
PART,9,6511216,43223,11
PART,0,4048973,8999,9
PART,1,4227405,51656,16
PART,2,3893108,6200,19
PART,3,3668757,14098,4
PART,4,6577919,6740,29
PART,5,4714351,33602,19
PART,6,3953838,42552,8
PART,7,4929244,600,5
PART,8,4331081,16447,31
PART,9,6510406,43292,11
PART,0,4052378,8999,9
PART,1,4231676,51669,16
PART,2,3891594,6175,19
PART,3,3669000,14108,4
PART,4,6576217,6722,29
PART,5,4717243,33626,19
PART,6,3953486,42547,8
PART,7,4928838,596,5
PART,8,4330811,16489,31
PART,9,6510459,43261,11
PART,0,4050351,9039,9
PART,1,4229405,51612,16
PART,2,3894297,6193,19
PART,3,3669243,14107,4
PART,4,6577054,6700,29
PART,5,4717216,33645,19
PART,6,3953892,42537,8
PART,7,4928811,597,5
PART,8,4330568,11478,31
PART,9,6510676,43333,11
PART,0,4051486,8973,9
PART,1,4230702,51732,16
PART,2,3894459,6188,19
PART,3,3668946,14108,4
PART,4,6578729,6698,29
PART,5,4716297,33646,19
PART,6,3953054,42540,8
PART,7,4928784,592,5
