Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,3027,121,0
IPI,1,2162,88,0
IPI,1,2081,84,0
IPI,1,2081,83,0
IPI,1,2081,85,0
IPI,1,2054,84,0
IPI,1,2054,85,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2081,84,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2081,83,0
IPI,1,2054,83,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2082,84,0
IPI,1,2081,83,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2081,83,0
IPI,1,2054,82,0
IPI,1,2081,83,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2055,83,0
IPI,1,2108,83,0
IPI,1,2081,83,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,85,0
IPI,1,2567,93,0
IPI,1,2081,76,0
IPI,1,2081,82,0
IPI,1,2081,83,0
IPI,1,2054,83,0
IPI,1,2028,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2055,84,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2027,84,0
IPI,1,2054,85,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2027,84,0
IPI,1,2054,85,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2027,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2081,83,0
IPI,1,2054,82,0
IPI,1,2027,85,0
IPI,1,2054,85,0
IPI,1,2055,84,0
IPI,1,2054,83,0
IPI,1,2162,78,0
IPI,1,2054,78,0
IPI,1,2054,82,0
IPI,1,2081,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,85,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2082,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2028,84,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2082,84,0
IPI,1,2081,85,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2135,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2055,83,0
IPI,1,2054,82,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,85,0
IPI,1,2028,82,0
IPI,1,2027,82,0
IPI,1,2162,84,0
IPI,1,2081,76,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2081,85,0
IPI,1,2054,84,0
IPI,1,2081,85,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2081,82,0
IPI,1,2027,84,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2054,82,0
IPI,1,2081,83,0
IPI,1,2054,83,0
IPI,1,2082,82,0
IPI,1,2054,86,0
IPI,1,2054,84,0
IPI,1,2027,84,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2027,84,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2162,78,0
IPI,1,2054,78,0
IPI,1,2054,82,0
IPI,1,2054,86,0
IPI,1,2054,84,0
IPI,1,2027,84,0
IPI,1,2027,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2054,85,0
IPI,1,2082,84,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2028,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2027,84,0
IPI,1,2081,84,0
IPI,1,2055,84,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2108,86,0
IPI,1,2135,82,0
IPI,1,2324,84,0
IPI,1,2054,84,0
IPI,1,2055,85,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2055,82,0
IPI,1,2189,78,0
IPI,1,2054,78,0
IPI,1,2027,84,0
IPI,1,2081,84,0
IPI,1,2054,84,0
IPI,1,2108,83,0
IPI,1,3027,83,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2162,82,0
IPI,1,2054,82,0
IPI,1,2270,82,0
IPI,1,2324,84,0
IPI,1,2054,85,0
IPI,1,2054,86,0
IPI,1,2054,83,0
IPI,1,2055,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2028,82,0
IPI,1,2081,85,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2081,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2460,82,0
IPI,1,2298,84,0
IPI,1,2054,82,0
IPI,1,2027,84,0
IPI,1,2028,85,0
IPI,1,2027,84,0
IPI,1,2027,83,0
IPI,1,2081,83,0
IPI,1,2081,83,0
IPI,1,2054,84,0
IPI,1,2081,82,0
IPI,1,2081,82,0
IPI,1,2163,84,0
IPI,1,2054,78,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2270,83,0
IPI,1,2189,82,0
IPI,1,2054,82,0
IPI,1,2081,83,0
IPI,1,2027,84,0
IPI,1,2054,86,0
IPI,1,2027,84,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2081,82,0
IPI,1,2054,83,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,85,0
IPI,1,2055,84,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2027,83,0
IPI,1,2055,82,0
IPI,1,2027,82,0
IPI,1,2054,85,0
IPI,1,2325,84,0
IPI,1,2297,84,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2054,82,0
IPI,1,2027,84,0
IPI,1,2189,83,0
IPI,1,2243,82,0
IPI,1,2000,84,0
IPI,1,2189,82,0
IPI,1,2027,80,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2108,82,0
IPI,1,2027,82,0
IPI,1,2243,83,0
IPI,1,2324,82,0
IPI,1,2082,82,0
IPI,1,2054,86,0
IPI,1,2054,86,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2055,82,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,83,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2270,83,0
IPI,1,2081,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,84,0
IPI,1,2054,86,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2028,83,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2027,83,0
IPI,1,2055,84,0
IPI,1,2054,84,0
IPI,1,2189,86,0
IPI,1,2054,76,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2216,83,0
IPI,1,2216,82,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2027,84,0
IPI,1,2055,84,0
IPI,1,2054,85,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2055,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,84,0
IPI,1,2054,84,0
IPI,1,2054,86,0
IPI,1,2081,82,0
IPI,1,2298,84,0
IPI,1,2297,83,0
IPI,1,2081,82,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2055,85,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2055,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,85,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,82,0
IPI,1,2162,79,0
IPI,1,2054,78,0
IPI,1,2054,82,0
IPI,1,2270,82,0
IPI,1,2297,82,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2027,84,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2054,84,0
IPI,1,2054,86,0
IPI,1,2352,84,0
IPI,1,2325,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2108,85,0
IPI,1,2054,83,0
IPI,1,2271,83,0
IPI,1,3216,84,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2027,83,0
IPI,1,8973,87,0
IPI,1,2271,85,0
IPI,1,2297,85,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2189,78,0
IPI,1,2027,78,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,86,0
IPI,1,2054,85,0
IPI,1,2243,84,0
IPI,1,2135,82,0
IPI,1,2054,83,0
IPI,1,2081,81,0
IPI,1,2054,84,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2135,83,0
IPI,1,2324,84,0
IPI,1,2297,84,0
IPI,1,2027,84,0
IPI,1,2027,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,85,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2054,86,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2055,83,0
IPI,1,2081,83,0
IPI,1,2054,84,0
IPI,1,2027,82,0
IPI,1,2243,82,0
IPI,1,2324,84,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2162,84,0
IPI,1,2081,78,0
IPI,1,2054,82,0
IPI,1,2055,82,0
IPI,1,2054,87,0
IPI,1,2054,84,0
IPI,1,2081,84,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2108,82,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2054,86,0
IPI,1,2054,84,0
IPI,1,2378,83,0
IPI,1,2297,82,0
IPI,1,2054,83,0
IPI,1,2054,85,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2378,85,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2081,84,0
IPI,1,2297,82,0
IPI,1,2352,85,0
IPI,1,2027,84,0
IPI,1,2054,85,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2054,82,0
IPI,1,2162,78,0
IPI,1,2054,78,0
IPI,1,2054,84,0
IPI,1,2055,86,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2270,82,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2027,85,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,82,0
IPI,1,2054,85,0
IPI,1,2027,84,0
IPI,1,2054,85,0
IPI,1,2027,82,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2054,83,0
IPI,1,2054,83,0
IPI,1,2216,83,0
IPI,1,2351,82,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2027,84,0
IPI,1,2054,82,0
IPI,1,2027,82,0
IPI,1,2027,82,0
IPI,1,2027,85,0
IPI,1,2027,82,0
IPI,1,2054,84,0
IPI,1,2162,83,0
IPI,1,2054,79,0
IPI,1,2055,84,0
IPI,1,2027,84,0
IPI,1,2054,84,0
IPI,1,2081,83,0
IPI,1,2054,83,0
IPI,1,2324,83,0
IPI,1,2325,82,0
IPI,1,2027,84,0
IPI,1,2054,83,0
IPI,1,2054,84,0
IPI,1,2081,86,0
IPI,1,2054,84,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2054,83,0
IPI,1,2054,82,0
IPI,1,2081,83,0
IPI,1,2055,82,0
IPI,1,2054,83,0
IPI,1,2054,85,0
IPI,1,2054,84,0
IPI,1,2027,85,0
IPI,1,2027,82,0
IPI,1,2027,83,0
IPI,1,2054,82,0
IPI,1,2054,84,0
IPI,1,2054,84,0
IPI,1,2054,83,0
IPI,1,2054,81,0
IPI,1,2270,86,0
IPI,1,2297,84,0
IPI,1,2054,84,0
IPI,1,2054,82,0
