Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4050379,9010,9
PART,1,4229622,51842,16
PART,2,3890972,6174,19
PART,3,3668973,14104,4
PART,4,6573973,6708,29
PART,5,4717351,33618,19
PART,6,3989567,42810,8
PART,7,4928757,591,5
PART,8,4330649,11482,31
PART,9,6507378,43314,11
PART,0,4049703,8953,9
PART,1,4225243,51669,16
PART,2,3949838,6236,19
PART,3,3668811,14110,4
PART,4,6574216,6688,29
PART,5,4713946,33578,19
PART,6,3940406,42569,8
PART,7,4928810,584,5
PART,8,4330919,11445,31
PART,9,6507513,43319,11
PART,0,4049838,9018,9
PART,1,4226514,51817,16
PART,2,3891621,6175,19
PART,3,3670946,14108,4
PART,4,6575271,6716,29
PART,5,4712298,33592,19
PART,6,3940379,42540,8
PART,7,4929081,592,5
PART,8,4331622,11495,31
PART,9,6510649,43289,11
PART,0,4050135,9018,9
PART,1,4226378,51622,16
PART,2,3891271,6184,19
PART,3,3671541,14110,4
PART,4,6578000,6707,29
PART,5,4716081,33594,19
PART,6,3940351,42552,8
PART,7,4928594,594,5
PART,8,4331243,11490,31
PART,9,6510351,43304,11
PART,0,4051973,9001,9
PART,1,4226460,51554,16
PART,2,3891595,6189,19
PART,3,3669486,14106,4
PART,4,6576000,6718,29
PART,5,4716865,33629,19
PART,6,3940243,42530,8
PART,7,4929054,595,5
PART,8,4331703,11502,31
PART,9,6509838,43276,11
PART,0,4051892,9064,9
PART,1,4222541,51723,16
PART,2,3892189,6193,19
PART,3,3668810,14104,4
PART,4,6575189,6734,29
PART,5,4716487,33590,19
PART,6,3940594,42518,8
PART,7,4929243,592,5
PART,8,4331568,11495,31
PART,9,6508973,43192,11
PART,0,4050594,9006,9
PART,1,4223081,51651,16
PART,2,3892730,6202,19
PART,3,3668594,14113,4
PART,4,6576352,6761,29
PART,5,4714514,33660,19
PART,6,3941432,42549,8
PART,7,4929162,598,5
PART,8,4331270,11493,31
PART,9,6508946,43321,11
PART,0,4050649,9011,9
PART,1,4225162,51749,16
PART,2,3891433,6188,19
PART,3,3668892,14104,4
PART,4,6574946,6717,29
PART,5,4714729,33635,19
PART,6,3939892,42543,8
PART,7,4928649,588,5
PART,8,4331757,16505,31
PART,9,6508027,43198,11
PART,0,4051135,9035,9
PART,1,4227540,51785,16
PART,2,3952378,6271,19
PART,3,3669243,14108,4
PART,4,6578189,6764,29
PART,5,4717865,33733,19
PART,6,3940595,42540,8
PART,7,4928946,597,5
PART,8,4331514,16166,31
PART,9,6508054,43316,11
PART,0,4051406,9026,9
PART,1,4222460,51748,16
PART,2,3892379,6196,19
PART,3,3664838,14105,4
PART,4,6579378,6726,29
PART,5,4717649,33626,19
PART,6,3941541,42561,8
PART,7,4928865,593,5
PART,8,4331730,11457,31
PART,9,6510378,43309,11
PART,0,4051622,8990,9
PART,1,4227352,51538,16
PART,2,3890594,6169,19
PART,3,3669216,14110,4
PART,4,6578162,6722,29
PART,5,4714297,33560,19
PART,6,3940216,42542,8
PART,7,4929081,601,5
PART,8,4331027,16449,31
PART,9,6510919,43271,11
PART,0,4050865,8999,9
PART,1,4226919,51760,16
PART,2,3891946,6184,19
PART,3,3669108,14104,4
PART,4,6576216,6716,29
PART,5,4717378,33617,19
PART,6,3940784,42546,8
PART,7,4928946,600,5
PART,8,4330703,11483,31
PART,9,6510459,43321,11
PART,0,4050973,9019,9
PART,1,4230351,51788,16
PART,2,3892865,6186,19
PART,3,3668973,14104,4
PART,4,6575243,6708,29
PART,5,4714783,33611,19
PART,6,3942541,42546,8
PART,7,4929162,600,5
PART,8,4331000,11481,31
PART,9,6509189,43209,11
PART,0,4050054,8986,9
PART,1,4224054,51799,16
PART,2,3890595,6167,19
PART,3,3669243,14109,5
PART,4,6577216,6698,29
PART,5,4715676,33582,19
PART,6,3945946,42577,8
PART,7,4929162,593,5
PART,8,4330730,11480,31
PART,9,6508811,43316,11
PART,0,4050702,9048,9
PART,1,4225973,51631,16
PART,2,3892298,6190,19
PART,3,3669270,14113,4
PART,4,6575243,6711,29
PART,5,4712838,33585,19
PART,6,3949487,42539,8
PART,7,4928730,592,5
PART,8,4330784,11479,31
PART,9,6511432,43316,11
PART,0,4050108,9003,9
PART,1,4225513,51713,16
PART,2,3891054,6180,19
PART,3,3669730,14124,4
PART,4,6577324,6692,29
PART,5,4717838,33569,19
PART,6,3953487,42540,8
PART,7,4928298,590,5
PART,8,4331216,16485,31
PART,9,6509217,43270,11
PART,0,4051622,9007,9
PART,1,4229973,51650,16
PART,2,3892783,6187,19
PART,3,3668919,14099,4
PART,4,6579108,6730,29
PART,5,4716784,33627,19
PART,6,3953568,42535,8
PART,7,4928919,591,5
PART,8,4330838,16154,31
PART,9,6510730,43326,11
PART,0,4049784,9036,9
PART,1,4230432,51614,16
PART,2,3892838,6177,19
PART,3,3669135,14120,4
PART,4,6574675,6689,29
PART,5,4715621,33604,19
PART,6,3953189,42546,8
PART,7,4929784,611,5
PART,8,4331081,11444,31
PART,9,6509406,43312,11
PART,0,4051567,9010,9
PART,1,4224352,51764,16
PART,2,3893405,6185,19
PART,3,3670756,14095,4
PART,4,6577567,6742,29
PART,5,4716108,33637,19
PART,6,3953622,42546,8
PART,7,4929108,602,5
PART,8,4330486,11480,31
PART,9,6510324,43333,11
PART,0,4050325,9026,9
PART,1,4226568,51596,16
PART,2,3891568,6181,19
PART,3,3668784,14105,4
PART,4,6576973,6730,29
PART,5,4717351,33645,19
PART,6,3953459,42531,8
PART,7,4928621,597,5
PART,8,4330675,11483,31
PART,9,6509946,43261,11
PART,0,4050135,8971,9
PART,1,4223513,51653,16
PART,2,3948460,6222,19
PART,3,3668703,14106,4
PART,4,6577891,6734,29
PART,5,4718081,33608,19
PART,6,3952811,42512,8
PART,7,4928405,591,5
PART,8,4330784,11481,31
PART,9,6508487,43252,11
PART,0,4050487,9013,9
PART,1,4227892,51860,16
PART,2,3890730,6173,19
PART,3,3668649,14116,4
PART,4,6576459,6721,29
PART,5,4715270,33520,19
PART,6,3952838,42537,8
PART,7,4929027,612,5
PART,8,4330595,11483,31
PART,9,6508297,43241,11
PART,0,4051892,9051,9
PART,1,4231162,51595,16
PART,2,3952352,6241,19
PART,3,3669108,14108,4
PART,4,6576540,6708,29
PART,5,4716406,33587,19
PART,6,3953189,42538,8
PART,7,4928784,592,5
PART,8,4330433,11484,31
PART,9,6508243,43218,11
PART,0,4058000,9031,9
PART,1,4225027,51759,16
PART,2,3894081,6188,19
PART,3,3669081,14111,4
PART,4,6577189,6741,29
PART,5,4716946,33584,19
PART,6,3953892,42539,8
PART,7,4928810,593,5
PART,8,4330757,11485,31
PART,9,6507648,43312,11
PART,0,4052433,8983,9
PART,1,4225513,51742,16
PART,2,3894730,6205,19
PART,3,3668783,14100,4
PART,4,6576405,6713,29
PART,5,4716352,33607,19
PART,6,3954000,42548,8
PART,7,4928459,596,5
PART,8,4331162,15250,31
PART,9,6510352,43219,11
PART,0,4050379,8978,9
PART,1,4230567,51605,16
PART,2,3893189,6193,19
PART,3,3668270,14101,4
PART,4,6576459,6736,29
PART,5,4715702,33645,19
PART,6,3953865,42665,8
PART,7,4928487,598,5
PART,8,4332162,11501,31
PART,9,6510216,43243,11
PART,0,4050135,9038,9
PART,1,4230784,51779,16
PART,2,3892000,6204,19
PART,3,3669243,14103,4
PART,4,6577108,6716,29
PART,5,4716271,33560,19
PART,6,3953594,42549,8
PART,7,4929108,596,5
PART,8,4331540,16501,31
PART,9,6510027,43272,11
PART,0,4053703,9052,9
PART,1,4226594,51772,16
PART,2,3891676,6183,19
PART,3,3668865,14104,4
PART,4,6578838,6721,29
PART,5,4715946,33588,19
PART,6,3952892,42535,8
PART,7,4928460,601,5
PART,8,4331513,11495,31
PART,9,6510271,43318,11
PART,0,4050459,9012,9
PART,1,4227000,51627,16
PART,2,3894702,6211,19
PART,3,3669162,14106,4
PART,4,6577054,6716,29
PART,5,4714594,33555,19
PART,6,3953297,42541,8
PART,7,4928892,602,5
PART,8,4331405,11490,31
PART,9,6508973,43311,11
PART,0,4049622,8998,9
PART,1,4228730,51725,16
PART,2,3893244,6188,19
PART,3,3668811,14108,4
PART,4,6573513,6709,29
PART,5,4715757,33571,19
PART,6,3953324,42528,8
PART,7,4928757,595,5
PART,8,4330595,11501,31
PART,9,6507649,43233,11
PART,0,4050243,9028,9
PART,1,4225135,51624,16
PART,2,3893541,6206,19
PART,3,3668567,14106,4
PART,4,6572622,6682,29
PART,5,4718703,33591,19
PART,6,3954000,42548,8
PART,7,4928540,587,5
PART,8,4330919,11481,31
PART,9,6507730,43328,11
PART,0,4050081,8981,9
PART,1,4222297,51561,16
PART,2,3893379,6182,19
PART,3,3671298,14111,4
PART,4,6578838,6720,29
PART,5,4716865,33614,19
PART,6,3953784,42548,8
PART,7,4929081,602,5
PART,8,4331379,16490,31
PART,9,6511243,43207,11
PART,0,4049594,9015,9
PART,1,4229216,51701,16
PART,2,3951756,6258,19
PART,3,3668972,14103,4
PART,4,6577162,6688,29
PART,5,4715135,33615,19
PART,6,3953351,42545,8
PART,7,4928703,589,5
PART,8,4330703,11486,31
PART,9,6509757,43279,11
PART,0,4052270,8999,9
PART,1,4225594,51633,16
PART,2,3894379,6191,19
PART,3,3668892,14116,4
PART,4,6575027,6714,29
PART,5,4715919,33617,19
PART,6,3953135,42531,8
PART,7,4929351,614,5
PART,8,4330649,16488,31
PART,9,6508730,43310,11
PART,0,4050595,8982,9
PART,1,4226514,51728,16
