Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,6081,171,1
SC,1,2325,65,0
SC,1,1919,62,0
SC,1,1865,59,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1892,59,0
SC,1,1865,62,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1865,63,0
SC,1,1891,62,0
SC,1,1892,62,0
SC,1,1891,62,0
SC,1,1892,60,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1892,63,0
SC,1,1892,63,0
SC,1,1892,61,0
SC,1,1892,62,0
SC,1,1892,62,0
SC,1,1891,61,0
SC,1,1892,61,0
SC,1,1865,63,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1892,62,0
SC,1,1919,62,0
SC,1,1865,63,0
SC,1,1892,61,0
SC,1,1891,61,0
SC,1,1892,62,0
SC,1,1892,63,0
SC,1,1865,63,0
SC,1,1865,62,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1892,62,0
SC,1,1919,61,0
SC,1,1892,61,0
SC,1,1891,62,0
SC,1,1892,61,0
SC,1,1892,63,0
SC,1,1892,62,0
SC,1,1865,62,0
SC,1,1865,63,0
SC,1,1892,63,0
SC,1,1865,63,0
SC,1,1892,62,0
SC,1,1891,62,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1892,63,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1864,61,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1864,61,0
SC,1,1892,62,0
SC,1,1865,62,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,2432,69,0
SC,1,1892,60,0
SC,1,1892,60,0
SC,1,1864,61,0
SC,1,1865,61,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1865,62,0
SC,1,1891,62,0
SC,1,1892,62,0
SC,1,1865,63,0
SC,1,1865,63,0
SC,1,1892,63,0
SC,1,1865,61,0
SC,1,1892,63,0
SC,1,1892,60,0
SC,1,1865,61,0
SC,1,1891,62,0
SC,1,1892,63,0
SC,1,1865,62,0
SC,1,1865,59,0
SC,1,1892,62,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1892,63,0
SC,1,1892,60,0
SC,1,1891,60,0
SC,1,1865,62,0
SC,1,1864,62,0
SC,1,1892,62,0
SC,1,1892,63,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1919,63,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1891,61,0
SC,1,1892,63,0
SC,1,1892,63,0
SC,1,1919,61,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1865,62,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1891,63,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1865,59,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1864,61,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1892,63,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1865,59,0
SC,1,1891,61,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1892,60,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1891,61,0
SC,1,1892,59,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1891,61,0
SC,1,1865,61,0
SC,1,1892,62,0
SC,1,2027,62,0
SC,1,1891,60,0
SC,1,1865,60,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1892,59,0
SC,1,1892,61,0
SC,1,1865,63,0
SC,1,1919,62,0
SC,1,1865,59,0
SC,1,1864,61,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1864,63,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1865,61,0
SC,1,1892,63,0
SC,1,1865,62,0
SC,1,1892,62,0
SC,1,1892,62,0
SC,1,1891,63,0
SC,1,1865,62,0
SC,1,1892,62,0
SC,1,1892,63,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1891,61,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,2000,60,0
SC,1,2000,60,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1918,62,0
SC,1,1865,59,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1891,59,0
SC,1,1892,60,0
SC,1,1892,60,0
SC,1,1892,60,0
SC,1,3000,60,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,3135,61,0
SC,1,1973,61,0
SC,1,1973,59,0
SC,1,1865,59,0
SC,1,1864,62,0
SC,1,1919,59,0
SC,1,1865,59,0
SC,1,1919,61,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1892,61,0
SC,1,1892,59,0
SC,1,1891,60,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1973,59,0
SC,1,1973,61,0
SC,1,1865,60,0
SC,1,2027,61,0
SC,1,1865,58,0
SC,1,1865,60,0
SC,1,1865,61,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1864,59,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1864,60,0
SC,1,1865,61,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1865,59,0
SC,1,1946,61,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1892,61,0
SC,1,1891,59,0
SC,1,1865,62,0
SC,1,1892,61,0
SC,1,1919,60,0
SC,1,1865,61,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1865,60,0
SC,1,1892,59,0
SC,1,1918,59,0
SC,1,1919,60,0
SC,1,1891,59,0
SC,1,1892,60,0
SC,1,1919,59,0
SC,1,1892,61,0
SC,1,1865,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1865,62,0
SC,1,1865,59,0
SC,1,1865,60,0
SC,1,1973,59,0
SC,1,1946,61,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1892,62,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,1891,59,0
SC,1,1892,59,0
SC,1,1919,59,0
SC,1,1865,59,0
SC,1,1892,61,0
SC,1,1865,60,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1864,59,0
SC,1,1865,60,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1864,60,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,61,0
SC,1,1946,61,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1919,60,0
SC,1,1892,59,0
SC,1,1864,59,0
SC,1,1919,60,0
SC,1,1865,60,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,2000,59,0
SC,1,1892,58,0
SC,1,1892,60,0
SC,1,1892,61,0
SC,1,1891,59,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1865,61,0
SC,1,1865,61,0
SC,1,1864,61,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1892,61,0
SC,1,1973,59,0
SC,1,1892,61,0
SC,1,1892,59,0
SC,1,1865,59,0
SC,1,1864,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1892,61,0
SC,1,1865,60,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1891,60,0
SC,1,1865,57,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1865,59,0
SC,1,1946,59,0
SC,1,1892,59,0
SC,1,1865,61,0
SC,1,1865,59,0
SC,1,1864,60,0
SC,1,1865,59,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1891,62,0
SC,1,1892,61,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1919,59,0
SC,1,1891,59,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1973,60,0
SC,1,1865,60,0
SC,1,1865,59,0
SC,1,1892,61,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,1891,59,0
SC,1,1892,60,0
SC,1,1892,61,0
SC,1,1892,60,0
SC,1,1892,60,0
SC,1,1919,59,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1973,59,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1891,59,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1865,61,0
SC,1,1865,59,0
SC,1,1865,59,0
SC,1,1864,61,0
SC,1,1892,60,0
SC,1,2000,60,0
SC,1,1892,58,0
SC,1,1891,59,0
SC,1,2595,62,0
SC,1,1892,59,0
SC,1,1865,60,0
SC,1,1892,61,0
SC,1,1918,60,0
SC,1,2270,60,0
SC,1,1919,60,0
SC,1,1865,59,0
SC,1,1919,60,0
SC,1,1892,59,0
SC,1,1865,60,0
SC,1,1892,59,0
SC,1,1864,59,0
SC,1,1892,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1892,61,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1919,62,0
SC,1,1864,62,0
SC,1,1865,62,0
SC,1,1892,61,0
SC,1,1946,61,0
SC,1,1919,59,0
SC,1,1892,61,0
SC,1,1865,59,0
SC,1,1865,60,0
SC,1,1892,59,0
SC,1,1864,59,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1865,60,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1892,61,0
SC,1,1919,61,0
SC,1,1864,60,0
SC,1,1892,59,0
SC,1,1865,62,0
SC,1,1892,63,0
SC,1,1865,61,0
SC,1,1919,61,0
SC,1,1865,61,0
SC,1,1892,62,0
SC,1,1892,62,0
SC,1,1864,61,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1865,60,0
SC,1,1865,61,0
SC,1,1865,60,0
SC,1,1865,59,0
SC,1,1864,59,0
SC,1,1892,59,0
SC,1,1865,60,0
SC,1,1865,62,0
SC,1,1865,61,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1891,63,0
SC,1,1892,61,0
SC,1,1865,62,0
SC,1,1892,61,0
SC,1,1892,62,0
SC,1,1973,62,0
SC,1,1919,61,0
SC,1,1892,62,0
SC,1,1865,61,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1891,61,0
SC,1,1892,61,0
SC,1,1892,62,0
SC,1,1973,62,0
SC,1,1919,61,0
SC,1,1865,62,0
SC,1,1919,61,0
SC,1,2000,61,0
SC,1,1865,61,0
SC,1,1892,60,0
SC,1,1892,61,0
SC,1,1946,62,0
SC,1,1892,62,0
SC,1,1864,61,0
SC,1,1865,62,0
SC,1,1892,62,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1865,59,0
SC,1,1892,60,0
SC,1,1865,60,0
SC,1,1892,60,0
SC,1,1891,60,0
SC,1,1892,59,0
SC,1,1865,61,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1973,60,0
SC,1,1973,60,0
SC,1,1892,60,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1891,60,0
SC,1,1892,59,0
SC,1,1865,59,0
SC,1,1892,61,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1865,59,0
SC,1,1892,59,0
SC,1,1892,59,0
SC,1,1864,59,0
SC,1,1892,61,0
SC,1,1892,59,0
SC,1,1919,59,0
SC,1,1865,61,0
SC,1,1865,62,0
SC,1,1865,61,0
SC,1,1945,61,0
SC,1,1892,61,0
SC,1,1892,61,0
SC,1,1865,62,0
SC,1,1865,63,0
SC,1,1892,60,0
SC,1,1865,59,0
SC,1,1892,60,0
SC,1,1892,59,0
SC,1,1864,59,0
SC,1,1865,59,0
