Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4050730,1114,9
PART,1,4079649,1352,16
PART,2,3733405,3038,19
PART,3,3668054,213,4
PART,4,6464459,1216,29
PART,5,4638162,2080,19
PART,6,3985487,1157,8
PART,7,4926270,163,5
PART,8,4328189,9910,31
PART,9,6510595,6991,11
PART,0,4036568,829,9
PART,1,4069730,1049,16
PART,2,3614297,495,19
PART,3,3663946,109,4
PART,4,6461054,1085,29
PART,5,4596757,1624,19
PART,6,3935405,4553,8
PART,7,4924514,119,5
PART,8,4327054,9884,31
PART,9,6461297,1136,11
PART,0,4028486,662,9
PART,1,4053514,761,16
PART,2,3615054,502,19
PART,3,3664973,115,4
PART,4,6450108,965,29
PART,5,4559108,1204,19
PART,6,3932000,4517,8
PART,7,4924324,110,5
PART,8,4327324,9877,31
PART,9,6459567,967,11
PART,0,4019189,516,9
PART,1,4052648,782,16
PART,2,3614000,486,19
PART,3,3665217,111,4
PART,4,6447108,927,29
PART,5,4558811,1202,19
PART,6,3931864,4511,8
PART,7,4924027,124,5
PART,8,4326486,9878,31
PART,9,6459567,834,11
PART,0,4019784,520,9
PART,1,4055081,777,16
PART,2,3612757,459,19
PART,3,3665081,113,4
PART,4,6446270,941,29
PART,5,4559433,1204,19
PART,6,3931649,4505,8
PART,7,4924378,127,5
PART,8,4326784,9874,31
PART,9,6459892,829,11
PART,0,4018892,517,9
PART,1,4054406,760,16
PART,2,3613649,476,19
PART,3,3662594,114,4
PART,4,6447243,936,29
PART,5,4557433,1189,19
PART,6,3932216,4508,8
PART,7,4924054,125,5
PART,8,4327190,9872,31
PART,9,6459324,803,11
PART,0,4018217,513,9
PART,1,4053000,772,16
PART,2,3612703,468,19
PART,3,3662324,109,4
PART,4,6446135,927,29
PART,5,4558784,1193,19
PART,6,3931810,4504,8
PART,7,4924162,124,5
PART,8,4326865,9870,31
PART,9,6458865,834,11
PART,0,4017378,509,9
PART,1,4057162,776,16
PART,2,3612622,459,19
PART,3,3662351,111,4
PART,4,6447000,921,29
PART,5,4556567,1203,19
PART,6,3931487,4506,8
PART,7,4924081,105,5
PART,8,4327027,9873,31
PART,9,6459405,805,11
PART,0,4029649,667,9
PART,1,4056568,785,16
PART,2,3615270,513,19
PART,3,3662730,115,4
PART,4,6450081,971,29
PART,5,4554135,1197,19
PART,6,3931567,4688,8
PART,7,4924162,135,5
PART,8,4326649,9877,31
PART,9,6461108,1087,11
PART,0,4021568,585,9
PART,1,4052379,715,16
PART,2,3612216,465,19
PART,3,3662243,107,4
PART,4,6445432,935,29
PART,5,4556379,1185,19
PART,6,3932000,4689,8
PART,7,4924541,125,5
PART,8,4327027,9870,31
PART,9,6459325,806,11
PART,0,4019513,537,9
PART,1,4050919,679,16
PART,2,3612378,451,19
PART,3,3662135,107,4
PART,4,6446513,931,29
PART,5,4553027,1162,19
PART,6,3932459,4688,8
PART,7,4924487,127,5
PART,8,4327027,9873,31
PART,9,6458676,788,11
PART,0,4017567,507,9
PART,1,4044649,685,16
PART,2,3613054,454,19
PART,3,3662298,110,4
PART,4,6446595,930,29
PART,5,4551676,1148,19
PART,6,3932811,4686,8
PART,7,4923946,121,5
PART,8,4326703,9874,31
PART,9,6459622,814,11
PART,0,4018271,504,9
PART,1,4049459,694,16
PART,2,3612811,459,19
PART,3,3664783,110,5
PART,4,6447243,931,29
PART,5,4551027,1151,19
PART,6,3933973,4684,8
PART,7,4923838,109,5
PART,8,4326730,9871,31
PART,9,6459054,796,11
PART,0,4017595,506,9
PART,1,4049676,689,16
PART,2,3612406,445,19
PART,3,3664622,110,4
PART,4,6447054,933,29
PART,5,4554460,1163,19
PART,6,3936865,4686,8
PART,7,4924000,122,5
PART,8,4326757,9873,31
PART,9,6458919,753,11
PART,0,4018081,506,9
PART,1,4054865,685,16
PART,2,3612568,460,19
PART,3,3664973,111,4
PART,4,6446703,935,29
PART,5,4552595,1142,19
PART,6,3941433,4693,8
PART,7,4923784,103,5
PART,8,4326514,9876,31
PART,9,6458756,780,11
PART,0,4017459,493,9
PART,1,4053702,690,16
PART,2,3613540,463,19
PART,3,3662784,111,4
PART,4,6445000,927,29
PART,5,4553513,1153,19
PART,6,3944676,4690,8
PART,7,4923864,121,5
PART,8,4326973,9874,31
PART,9,6459703,743,11
PART,0,4024351,612,9
PART,1,4049946,710,16
PART,2,3615298,509,19
PART,3,3662649,126,4
PART,4,6449892,968,29
PART,5,4557541,1200,19
PART,6,3946108,4702,8
PART,7,4924297,133,5
PART,8,4327054,9880,31
PART,9,6461162,1159,11
PART,0,4018405,526,9
PART,1,4049594,665,16
PART,2,3613622,479,19
PART,3,3664784,109,4
PART,4,6444946,934,29
PART,5,4553027,1159,19
PART,6,3945730,4688,8
PART,7,4923784,124,5
PART,8,4326486,9877,31
PART,9,6459568,826,11
PART,0,4015298,472,9
PART,1,4049270,673,16
PART,2,3612108,447,19
PART,3,3662324,110,4
PART,4,6446486,931,29
PART,5,4552243,1152,19
PART,6,3945703,4683,8
PART,7,4924000,124,5
PART,8,4326567,9875,31
PART,9,6458189,821,11
PART,0,4014783,461,9
PART,1,4049432,673,16
PART,2,3661541,440,19
PART,3,3662540,110,4
PART,4,6445837,937,29
PART,5,4551784,1142,19
PART,6,3945216,4696,8
PART,7,4923703,120,5
PART,8,4326622,9877,31
PART,9,6457459,742,11
PART,0,4014892,475,9
PART,1,4048567,657,16
PART,2,3612405,453,19
PART,3,3662784,112,4
PART,4,6446865,937,29
PART,5,4550837,1128,19
PART,6,3945162,4692,8
PART,7,4923514,101,5
PART,8,4326486,9878,31
PART,9,6457270,757,11
PART,0,4015190,479,9
PART,1,4049729,669,16
PART,2,3612189,450,19
PART,3,3662405,110,4
PART,4,6445864,932,29
PART,5,4548838,1133,19
PART,6,3944784,4685,8
PART,7,4923892,121,5
PART,8,4326568,9877,31
PART,9,6459216,802,11
PART,0,4014729,478,9
PART,1,4048270,670,16
PART,2,3611810,444,19
PART,3,3662919,110,4
PART,4,6445432,928,29
PART,5,4549811,1129,19
PART,6,3945135,4691,8
PART,7,4923811,120,5
PART,8,4326892,9875,31
PART,9,6458676,710,11
PART,0,4015136,481,9
PART,1,4048054,657,16
PART,2,3612270,455,19
PART,3,3662486,110,4
PART,4,6446270,926,29
PART,5,4550757,1130,19
PART,6,3945432,4684,8
PART,7,4923919,105,5
PART,8,4327000,9874,31
PART,9,6459513,743,11
PART,0,4020865,576,9
PART,1,4053838,690,16
PART,2,3614486,506,19
PART,3,3662730,119,4
PART,4,6448649,946,29
PART,5,4554379,1178,19
PART,6,3945568,4697,8
PART,7,4924162,134,5
PART,8,4327000,9878,31
PART,9,6461135,1119,11
PART,0,4017622,534,9
PART,1,4049460,674,16
PART,2,3612243,455,19
PART,3,3662621,111,4
PART,4,6446784,937,29
PART,5,4550595,1143,19
PART,6,3945783,4692,8
PART,7,4924108,126,5
PART,8,4326406,9878,31
PART,9,6460108,853,11
