Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,9135,95,1
SC,1,2487,16,0
SC,1,3865,42,0
SC,1,4432,38,0
SC,1,3946,34,0
SC,1,3486,30,0
SC,1,4459,51,0
SC,1,3081,26,0
SC,1,4027,41,0
SC,1,3243,27,0
SC,1,4081,41,0
SC,1,3216,28,0
SC,1,3784,39,0
SC,1,3378,29,0
SC,1,3757,39,0
SC,1,2946,25,0
SC,1,3946,39,0
SC,1,3648,31,0
SC,1,4352,45,0
SC,1,3108,24,0
SC,1,4270,42,0
SC,1,2892,22,0
SC,1,4297,42,0
SC,1,3324,24,0
SC,1,4000,40,0
SC,1,3271,24,0
SC,1,4730,50,0
SC,1,3730,24,0
SC,1,3486,38,0
SC,1,3108,27,0
SC,1,3540,34,0
SC,1,3243,26,0
SC,1,3541,35,0
SC,1,2973,26,0
SC,1,3837,35,0
SC,1,3189,26,0
SC,1,3756,35,0
SC,1,3514,30,0
SC,1,3594,37,0
SC,1,3541,29,0
SC,1,3540,37,0
SC,1,3405,29,0
SC,1,3595,37,0
SC,1,3351,29,0
SC,1,3432,37,0
SC,1,3459,29,0
SC,1,3540,37,0
SC,1,3379,29,0
SC,1,3378,38,0
SC,1,3351,29,0
SC,1,3595,38,0
SC,1,3594,29,0
SC,1,3568,38,0
SC,1,3676,29,0
SC,1,3703,37,0
SC,1,3406,29,0
SC,1,3865,41,0
SC,1,3514,29,0
SC,1,3567,37,0
SC,1,3352,29,0
SC,1,3405,37,0
SC,1,3324,29,0
SC,1,3514,38,0
SC,1,3594,30,0
SC,1,3757,39,0
SC,1,3378,28,0
SC,1,3514,38,0
SC,1,3459,28,0
SC,1,3703,37,0
SC,1,3486,28,0
SC,1,3514,37,0
SC,1,3378,28,0
SC,1,4270,41,0
SC,1,3622,28,0
SC,1,3729,37,0
SC,1,3109,28,0
SC,1,4027,40,0
SC,1,2864,26,0
SC,1,3946,41,0
SC,1,2919,26,0
SC,1,4027,42,0
SC,1,3081,26,0
SC,1,3919,41,0
SC,1,3054,26,0
SC,1,3784,37,0
SC,1,3135,27,0
SC,1,3567,37,0
SC,1,3216,26,0
SC,1,3622,37,0
SC,1,3054,26,0
SC,1,3000,25,0
SC,1,3243,36,0
SC,1,2540,19,0
SC,1,3730,37,0
SC,1,2946,23,0
SC,1,3405,36,0
SC,1,2946,21,0
SC,1,3324,36,0
SC,1,2810,20,0
SC,1,3487,36,0
SC,1,2702,20,0
SC,1,4973,48,0
SC,1,2513,18,0
SC,1,3000,33,0
SC,1,2568,24,0
SC,1,3135,33,0
SC,1,2568,24,0
SC,1,3000,33,0
SC,1,2567,24,0
SC,1,3135,33,0
SC,1,2568,24,0
SC,1,3027,33,0
SC,1,2622,24,0
SC,1,3459,37,0
SC,1,2757,25,0
SC,1,3189,34,0
SC,1,2730,25,0
SC,1,3405,35,0
SC,1,2729,25,0
SC,1,3135,34,0
SC,1,2757,25,0
SC,1,3217,34,0
SC,1,2973,25,0
SC,1,3189,35,0
SC,1,2919,26,0
SC,1,3432,35,0
SC,1,2892,26,0
SC,1,3324,35,0
SC,1,2865,26,0
SC,1,3216,35,0
SC,1,3000,26,0
SC,1,3405,35,0
SC,1,3108,26,0
SC,1,3189,36,0
SC,1,2892,26,0
SC,1,3244,35,0
SC,1,3054,26,0
SC,1,3406,35,0
SC,1,2919,26,0
SC,1,3244,35,0
SC,1,2892,26,0
SC,1,3352,35,0
SC,1,2892,21,0
SC,1,2649,20,0
SC,1,2513,19,0
SC,1,2703,20,0
SC,1,2324,19,0
SC,1,2837,20,0
SC,1,2325,19,0
SC,1,2649,21,0
SC,1,2378,19,0
SC,1,2892,20,0
SC,1,4163,45,0
SC,1,2703,25,0
SC,1,3027,32,0
SC,1,3595,28,0
SC,1,3136,32,0
SC,1,2945,24,0
SC,1,3244,34,0
SC,1,3027,25,0
SC,1,3108,33,0
SC,1,2919,26,0
SC,1,3027,32,0
SC,1,2784,25,0
SC,1,3162,32,0
SC,1,2703,25,0
SC,1,3081,32,0
SC,1,2811,25,0
SC,1,3244,33,0
SC,1,2702,25,0
SC,1,3027,32,0
