Type,Id,ExecTime,l2Miss,tlbMiss
PART,1,4079162,1300,16
PART,2,3734810,3048,19
PART,3,3668135,244,4
PART,4,6465838,1257,29
PART,5,4639351,2093,19
PART,6,3985568,1165,8
PART,7,4925919,160,5
PART,8,4328676,9918,31
PART,9,6508622,6995,11
PART,0,4050621,1115,9
PART,1,4066000,994,16
PART,2,3664811,481,19
PART,3,3665081,120,4
PART,4,6469730,1164,29
PART,5,4598000,1618,19
PART,6,3934729,4816,8
PART,7,4924865,119,5
PART,8,4327135,9879,31
PART,9,6460189,1010,11
PART,0,4025406,628,9
PART,1,4043460,711,16
PART,2,3664973,492,19
PART,3,3662568,120,4
PART,4,6454892,1014,29
PART,5,4579405,1423,19
PART,6,3932459,4747,8
PART,7,4925190,134,5
PART,8,4327622,9875,31
PART,9,6460108,967,11
PART,0,4021162,549,9
PART,1,4047892,714,16
PART,2,3614702,471,19
PART,3,3664702,112,4
PART,4,6454595,1000,29
PART,5,4576405,1391,19
PART,6,3932135,4746,8
PART,7,4924541,128,5
PART,8,4327324,9875,31
PART,9,6459486,906,11
PART,0,4020162,551,9
PART,1,4046054,717,16
PART,2,3614217,464,19
PART,3,3662054,110,4
PART,4,6453216,991,29
PART,5,4574756,1386,19
PART,6,3931244,4741,8
PART,7,4924594,128,5
PART,8,4327054,9876,31
PART,9,6460081,884,11
PART,0,4021189,547,9
PART,1,4043243,706,16
PART,2,3614189,468,19
PART,3,3661973,113,4
PART,4,6451514,975,29
PART,5,4573108,1345,19
PART,6,3932135,4742,8
PART,7,4924513,109,5
PART,8,4327027,9875,31
PART,9,6459540,901,11
PART,0,4022379,553,9
PART,1,4051676,703,16
PART,2,3614649,479,19
PART,3,3662027,113,4
PART,4,6450621,982,29
PART,5,4575784,1369,19
PART,6,3931865,4728,8
PART,7,4924703,110,5
PART,8,4327189,9875,31
PART,9,6459162,920,11
PART,0,4019378,534,9
PART,1,4048054,704,16
PART,2,3613351,458,19
PART,3,3664351,114,4
PART,4,6453000,991,29
PART,5,4572216,1348,19
PART,6,3932027,4722,8
PART,7,4924405,108,5
PART,8,4326837,9878,31
PART,9,6459433,874,11
PART,0,4044514,530,9
PART,1,4056189,790,16
PART,2,3621297,613,19
PART,3,3662757,139,4
PART,4,6457811,1063,29
PART,5,4581595,1476,19
PART,6,3935811,4787,8
PART,7,4926540,165,5
PART,8,4329136,9915,31
PART,9,6465757,1387,11
PART,0,4032973,754,9
PART,1,4056486,731,16
PART,2,3615324,492,19
PART,3,3662432,128,4
PART,4,6455730,1045,29
PART,5,4577109,1409,19
PART,6,3933325,4872,8
PART,7,4925486,131,5
PART,8,4329405,9918,31
PART,9,6463541,866,11
PART,0,4025298,644,9
PART,1,4049865,679,16
PART,2,3615567,497,19
PART,3,3664514,118,4
PART,4,6455675,1020,29
PART,5,4571648,1357,19
PART,6,3932648,4859,8
PART,7,4925784,157,5
PART,8,4327487,9906,31
PART,9,6460946,823,11
PART,0,4027135,639,9
PART,1,4052108,714,16
PART,2,3613864,465,19
PART,3,3662244,122,4
PART,4,6454000,1022,29
