Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4051406,1117,9
PART,1,4083757,1323,16
PART,2,3733216,3043,19
PART,3,3666757,206,4
PART,4,6467946,1233,29
PART,5,4636946,2065,19
PART,6,3985486,1165,8
PART,7,4925243,156,5
PART,8,4328460,9921,31
PART,9,6511054,6994,11
PART,0,4036567,830,9
PART,1,4068189,1056,16
PART,2,3614810,496,19
PART,3,3664810,117,4
PART,4,6464135,1140,29
PART,5,4587054,1509,19
PART,6,3935540,4554,8
PART,7,4924459,139,5
PART,8,4326946,9886,31
PART,9,6461487,1117,11
PART,0,4026757,656,9
PART,1,4052541,760,16
PART,2,3614595,484,19
PART,3,3664757,113,4
PART,4,6448892,974,29
PART,5,4559973,1236,19
PART,6,3932406,4520,8
PART,7,4924541,128,5
PART,8,4327000,9880,31
PART,9,6460216,1034,11
PART,0,4017298,501,9
PART,1,4052865,783,16
PART,2,3613567,469,19
PART,3,3664865,113,4
PART,4,6447432,944,29
PART,5,4557649,1208,19
PART,6,3932216,4510,8
PART,7,4924379,128,5
PART,8,4327108,9878,31
PART,9,6459919,947,11
PART,0,4018568,507,9
PART,1,4052487,776,16
PART,2,3612351,446,19
PART,3,3662271,111,4
PART,4,6447487,953,29
PART,5,4557243,1202,19
PART,6,3932162,4506,8
PART,7,4924270,124,5
PART,8,4326919,9878,31
PART,9,6459784,916,11
PART,0,4017541,495,9
PART,1,4054055,765,16
PART,2,3612946,462,19
PART,3,3662108,104,4
PART,4,6447162,949,29
PART,5,4557162,1193,19
PART,6,3932297,4500,8
PART,7,4924055,124,5
PART,8,4327055,9874,31
PART,9,6459541,904,11
PART,0,4017486,509,9
PART,1,4053865,774,16
PART,2,3612864,462,19
PART,3,3662568,108,4
PART,4,6448405,950,29
PART,5,4556675,1205,19
PART,6,3932027,4511,8
PART,7,4924054,123,5
PART,8,4327081,9876,31
PART,9,6459730,879,11
PART,0,4015756,487,9
PART,1,4055892,774,16
PART,2,3612189,437,19
PART,3,3664756,108,4
PART,4,6446243,935,29
PART,5,4554757,1183,19
PART,6,3931541,4507,8
PART,7,4924216,125,5
PART,8,4326811,9875,31
PART,9,6460217,965,11
PART,0,4030351,712,9
PART,1,4065406,878,16
PART,2,3617378,545,19
PART,3,3665189,126,4
PART,4,6453513,1033,29
PART,5,4562703,1271,19
PART,6,3934757,4809,8
PART,7,4925460,145,5
PART,8,4330027,9920,31
PART,9,6467487,1341,11
PART,0,4024135,612,9
PART,1,4052865,763,16
PART,2,3663243,465,19
PART,3,3664783,118,4
PART,4,6452757,1000,29
PART,5,4563648,1300,19
PART,6,3935541,4809,8
PART,7,4925621,155,5
PART,8,4330189,9902,31
PART,9,6463027,907,11
PART,0,4020973,579,9
PART,1,4053486,751,16
PART,2,3614784,473,19
PART,3,3662324,111,4
PART,4,6451486,981,29
PART,5,4563459,1297,19
PART,6,3934676,4813,8
