Type,Id,ExecTime,l2Miss,tlbMiss
PART,1,4076217,1266,16
PART,2,3732891,3036,19
PART,3,3667838,214,4
PART,4,6465919,1240,29
PART,5,4635514,2046,19
PART,6,3985514,1145,8
PART,7,4925594,147,5
PART,8,4329244,9908,31
PART,9,6512622,6993,11
PART,0,4050973,1120,9
PART,1,4066729,1010,16
PART,2,3614460,482,19
PART,3,3662514,119,4
PART,4,6471702,1169,29
PART,5,4592243,1571,19
PART,6,3934352,4488,8
PART,7,4924757,118,5
PART,8,4327567,9883,31
PART,9,6460703,1009,11
PART,0,4040459,636,9
PART,1,4047027,727,16
PART,2,3614379,480,19
PART,3,3664810,116,4
PART,4,6454540,997,29
PART,5,4575054,1382,19
PART,6,3932568,4660,8
PART,7,4924675,127,5
PART,8,4327270,9880,31
PART,9,6459405,1035,11
PART,0,4018594,515,9
PART,1,4052919,725,16
PART,2,3613676,470,19
PART,3,3664432,116,4
PART,4,6454027,996,29
PART,5,4575027,1373,19
PART,6,3932054,4651,8
PART,7,4924649,128,5
PART,8,4327216,9874,31
PART,9,6458864,967,11
PART,0,4019622,533,9
PART,1,4046271,724,16
PART,2,3612649,446,19
PART,3,3662541,109,4
PART,4,6455514,1004,29
PART,5,4576784,1377,19
PART,6,3931838,4656,8
PART,7,4924432,109,5
PART,8,4327243,9876,31
PART,9,6459892,936,11
PART,0,4017837,518,9
PART,1,4047892,714,16
PART,2,3613892,470,19
PART,3,3662108,114,4
PART,4,6453000,1001,29
PART,5,4570162,1328,19
PART,6,3932162,4755,8
PART,7,4924378,110,5
PART,8,4326757,9877,31
PART,9,6460946,880,11
PART,0,4018351,518,9
PART,1,4051054,727,16
PART,2,3663162,465,19
PART,3,3662676,114,4
PART,4,6453243,991,29
PART,5,4571649,1357,19
PART,6,3932027,4753,8
PART,7,4924243,114,5
PART,8,4326946,9879,31
PART,9,6459811,922,11
PART,0,4018000,509,9
PART,1,4052270,722,16
PART,2,3612568,445,19
PART,3,3662567,112,4
PART,4,6453271,997,29
PART,5,4571216,1346,19
PART,6,3932324,4756,8
PART,7,4924351,127,5
PART,8,4326891,9878,31
PART,9,6459919,904,11
PART,0,4017622,508,9
PART,1,4062703,851,16
PART,2,3619676,605,19
PART,3,3665919,137,4
PART,4,6461054,1087,29
PART,5,4582027,1487,19
PART,6,3933730,4787,8
PART,7,4926378,165,5
