Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,7514,74,1
SC,1,2378,16,0
SC,1,4108,42,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,2351,17,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,2216,16,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,2216,16,0
SC,1,3541,38,0
SC,1,1865,14,0
SC,1,2271,16,0
SC,1,1865,14,0
SC,1,1838,15,0
SC,1,2460,16,0
SC,1,1838,14,0
SC,1,1810,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1864,14,0
SC,1,3243,39,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1810,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,15,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,3108,36,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1811,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,15,0
SC,1,1811,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,3594,38,0
SC,1,1865,12,0
SC,1,1838,12,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1864,15,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1892,14,0
SC,1,3216,36,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,15,0
SC,1,1811,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,3567,39,0
SC,1,1838,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1864,14,0
SC,1,1865,15,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,3081,36,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1837,15,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,3514,39,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,2270,14,0
SC,1,1865,12,0
SC,1,1865,12,0
SC,1,1838,14,0
SC,1,1892,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,3324,39,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1891,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1838,15,0
SC,1,1811,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,3594,38,0
SC,1,2729,19,0
SC,1,3081,31,0
SC,1,2783,19,0
SC,1,1919,14,0
SC,1,2270,17,0
SC,1,1865,14,0
SC,1,3622,29,0
SC,1,2054,15,0
SC,1,2594,21,0
SC,1,1865,14,0
SC,1,1865,15,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,3648,40,0
SC,1,2676,21,0
SC,1,3405,24,0
SC,1,5676,24,0
SC,1,2568,21,0
SC,1,1864,14,0
SC,1,8189,14,0
SC,1,1865,14,0
SC,1,3379,30,0
SC,1,2000,14,0
SC,1,2865,24,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1892,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1865,14,0
SC,1,3919,40,0
SC,1,3000,22,0
SC,1,1838,14,0
SC,1,2676,27,0
SC,1,1838,14,0
SC,1,1838,15,0
SC,1,1865,14,0
SC,1,3217,32,0
SC,1,1946,15,0
SC,1,2513,18,0
SC,1,1838,14,0
SC,1,2243,14,0
SC,1,1865,12,0
SC,1,1865,12,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,3405,37,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1811,14,0
SC,1,1838,14,0
SC,1,1838,15,0
SC,1,1837,14,0
SC,1,3892,40,0
SC,1,2000,14,0
SC,1,2189,17,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1891,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,3702,41,0
SC,1,2243,18,0
SC,1,2162,17,0
SC,1,1837,14,0
SC,1,1811,14,0
SC,1,1838,14,0
SC,1,2297,16,0
SC,1,2000,16,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1865,14,0
SC,1,2271,19,0
SC,1,2568,19,0
SC,1,1973,14,0
SC,1,2216,17,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1891,15,0
SC,1,1865,14,0
SC,1,4000,39,0
SC,1,2189,15,0
SC,1,2783,21,0
SC,1,2189,15,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1891,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,2865,23,0
SC,1,1865,14,0
SC,1,2567,19,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1837,15,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1919,14,0
SC,1,4459,39,0
SC,1,3000,19,0
SC,1,2946,17,0
SC,1,2973,17,0
SC,1,2622,17,0
SC,1,2810,17,0
SC,1,3054,18,0
SC,1,2621,16,0
SC,1,3297,26,0
SC,1,1837,14,0
SC,1,2432,19,0
SC,1,1865,15,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,2243,14,0
SC,1,1865,12,0
SC,1,3379,35,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,3946,42,0
SC,1,1946,15,0
SC,1,2703,21,0
SC,1,1838,14,0
SC,1,1864,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,3514,37,0
SC,1,2487,18,0
SC,1,1865,14,0
SC,1,2324,16,0
SC,1,1838,14,0
SC,1,2324,16,0
SC,1,2324,16,0
SC,1,1837,15,0
SC,1,3324,25,0
SC,1,1919,14,0
SC,1,2433,18,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,5162,36,0
SC,1,2216,17,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,2189,18,0
SC,1,1864,14,0
SC,1,2216,17,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,4081,36,0
SC,1,1919,15,0
SC,1,2540,19,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,6243,38,0
SC,1,3027,23,0
SC,1,2622,27,0
SC,1,2514,19,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,2351,17,0
SC,1,1865,14,0
SC,1,3217,28,0
SC,1,1892,14,0
SC,1,2378,19,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1811,14,0
SC,1,1810,14,0
SC,1,1919,14,0
SC,1,1838,14,0
SC,1,3973,39,0
SC,1,3216,22,0
SC,1,1865,14,0
SC,1,5649,27,0
SC,1,3054,23,0
SC,1,1865,12,0
SC,1,1838,14,0
SC,1,3486,13,0
SC,1,3783,29,0
SC,1,1973,15,0
SC,1,3243,25,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,15,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,4108,22,0
SC,1,3622,40,0
SC,1,1892,14,0
SC,1,2432,25,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,4054,42,0
SC,1,2054,15,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,15,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1811,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,3594,38,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,3135,36,0
SC,1,2000,14,0
SC,1,2486,21,0
SC,1,2000,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1810,14,0
SC,1,1838,14,0
SC,1,3919,41,0
SC,1,2486,18,0
SC,1,2162,17,0
SC,1,2162,17,0
SC,1,2595,17,0
SC,1,1865,14,0
SC,1,1865,15,0
SC,1,1973,16,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1892,14,0
SC,1,2297,19,0
SC,1,3108,23,0
SC,1,1946,15,0
SC,1,2270,19,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,3405,39,0
SC,1,3297,25,0
SC,1,3190,23,0
SC,1,2352,18,0
SC,1,1919,14,0
SC,1,1864,14,0
SC,1,1973,14,0
SC,1,1838,14,0
SC,1,2000,14,0
SC,1,3784,26,0
SC,1,1892,12,0
SC,1,2325,18,0
SC,1,1892,14,0
SC,1,1837,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1810,14,0
SC,1,4108,37,0
SC,1,2810,18,0
SC,1,2838,19,0
SC,1,2784,19,0
SC,1,3162,20,0
SC,1,2757,19,0
SC,1,2594,17,0
SC,1,2649,17,0
SC,1,3108,28,0
SC,1,1973,14,0
SC,1,2460,19,0
SC,1,1892,14,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1837,15,0
SC,1,3432,39,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1838,14,0
SC,1,1837,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,4054,44,0
SC,1,1919,14,0
SC,1,2541,20,0
SC,1,1892,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,1865,15,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,1838,14,0
SC,1,3217,36,0
SC,1,2189,17,0
SC,1,2676,18,0
SC,1,2379,16,0
SC,1,1838,14,0
SC,1,2378,16,0
SC,1,1838,14,0
SC,1,2405,17,0
SC,1,3216,26,0
SC,1,1973,14,0
SC,1,2270,19,0
SC,1,1838,14,0
SC,1,1865,15,0
SC,1,1865,14,0
SC,1,1865,14,0
SC,1,1864,14,0
SC,1,1838,14,0
SC,1,1865,14,0
SC,1,1838,14,0
SC,1,5433,38,0
SC,1,2379,17,0
SC,1,1865,14,0
SC,1,1837,14,0
SC,1,2541,17,0
SC,1,1838,14,0
SC,1,1810,14,0
