Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,13784,175,2
ExtINT,1,7135,64,0
ExtINT,1,6595,62,0
ExtINT,1,6459,58,0
ExtINT,1,6892,70,0
ExtINT,1,5865,54,0
ExtINT,1,6919,66,0
ExtINT,1,6244,58,0
ExtINT,1,6946,68,0
ExtINT,1,6162,54,0
ExtINT,1,6973,66,0
ExtINT,1,6189,57,0
ExtINT,1,6946,64,0
ExtINT,1,6135,56,0
ExtINT,1,6919,67,0
ExtINT,1,5891,53,0
ExtINT,1,7459,76,0
ExtINT,1,6513,56,0
ExtINT,1,7298,73,0
ExtINT,1,6162,55,0
ExtINT,1,7378,72,0
ExtINT,1,6271,56,0
ExtINT,1,7162,70,0
ExtINT,1,6513,64,0
ExtINT,1,8649,75,0
ExtINT,1,6487,63,0
ExtINT,1,5622,55,0
ExtINT,1,5703,50,0
ExtINT,1,5622,55,0
ExtINT,1,5784,51,0
ExtINT,1,5621,56,0
ExtINT,1,5729,50,0
ExtINT,1,5811,57,0
ExtINT,1,6838,59,0
ExtINT,1,5675,60,0
ExtINT,1,5919,52,0
ExtINT,1,5784,59,0
ExtINT,1,5892,52,0
ExtINT,1,5784,59,0
ExtINT,1,5919,52,0
ExtINT,1,5892,61,0
ExtINT,1,5946,52,0
ExtINT,1,5784,59,0
ExtINT,1,5892,52,0
ExtINT,1,5783,59,0
ExtINT,1,5919,53,0
ExtINT,1,5730,60,0
ExtINT,1,5919,52,0
ExtINT,1,5757,61,0
ExtINT,1,5892,52,0
ExtINT,1,5622,60,0
ExtINT,1,5919,52,0
ExtINT,1,5648,61,0
ExtINT,1,5919,52,0
ExtINT,1,5622,59,0
ExtINT,1,5919,52,0
ExtINT,1,5757,61,0
ExtINT,1,15649,182,0
ExtINT,1,14135,103,0
ExtINT,1,14271,97,0
ExtINT,1,14946,108,0
ExtINT,1,14432,95,0
ExtINT,1,13865,102,0
ExtINT,1,14108,94,0
ExtINT,1,14081,103,0
ExtINT,1,14108,95,0
ExtINT,1,13919,102,0
ExtINT,1,14270,95,0
ExtINT,1,13838,102,0
ExtINT,1,14459,92,0
ExtINT,1,13838,102,0
ExtINT,1,14595,97,0
ExtINT,1,14594,106,0
ExtINT,1,13541,88,0
ExtINT,1,14459,103,0
ExtINT,1,13271,87,0
ExtINT,1,14190,104,0
ExtINT,1,13567,88,0
ExtINT,1,14108,104,0
ExtINT,1,14487,93,0
ExtINT,1,14270,104,0
ExtINT,1,13784,90,0
ExtINT,1,14054,102,0
ExtINT,1,13757,90,0
ExtINT,1,13702,103,0
ExtINT,1,13865,90,0
ExtINT,1,14432,112,0
ExtINT,1,14486,94,0
ExtINT,1,15217,109,0
ExtINT,1,13433,90,0
ExtINT,1,14540,110,0
ExtINT,1,13703,92,0
ExtINT,1,14459,105,0
ExtINT,1,13811,90,0
ExtINT,1,14324,105,0
ExtINT,1,13973,92,0
ExtINT,1,14594,107,0
ExtINT,1,15189,102,0
ExtINT,1,14405,105,0
ExtINT,1,13324,83,0
ExtINT,1,13162,98,0
ExtINT,1,13189,88,0
ExtINT,1,13216,97,0
ExtINT,1,13216,88,0
ExtINT,1,13486,99,0
ExtINT,1,13190,85,0
ExtINT,1,13271,98,0
ExtINT,1,13405,87,0
ExtINT,1,13216,97,0
ExtINT,1,13595,91,0
ExtINT,1,13297,99,0
ExtINT,1,13324,85,0
ExtINT,1,13487,100,0
ExtINT,1,13784,88,0
ExtINT,1,13514,99,0
ExtINT,1,13270,88,0
ExtINT,1,13459,99,0
ExtINT,1,13756,87,0
ExtINT,1,13568,97,0
ExtINT,1,13405,89,0
ExtINT,1,13946,101,0
ExtINT,1,13433,88,0
ExtINT,1,13784,99,0
ExtINT,1,13406,87,0
ExtINT,1,13784,99,0
ExtINT,1,13406,89,0
ExtINT,1,13541,98,0
ExtINT,1,13568,89,0
ExtINT,1,13811,102,0
ExtINT,1,13325,88,0
ExtINT,1,13460,98,0
ExtINT,1,13459,88,0
ExtINT,1,13432,98,0
ExtINT,1,13487,89,0
ExtINT,1,13460,98,0
ExtINT,1,13378,88,0
ExtINT,1,14621,111,0
ExtINT,1,14243,94,0
ExtINT,1,13406,89,0
ExtINT,1,13487,91,0
ExtINT,1,13486,88,0
ExtINT,1,13675,88,0
ExtINT,1,13459,88,0
ExtINT,1,13459,91,0
ExtINT,1,13352,89,0
ExtINT,1,13622,90,0
ExtINT,1,14027,90,0
ExtINT,1,13810,94,0
ExtINT,1,13189,97,0
ExtINT,1,13432,88,0
ExtINT,1,13271,96,0
ExtINT,1,13513,88,0
ExtINT,1,13513,97,0
ExtINT,1,13541,86,0
ExtINT,1,13297,97,0
ExtINT,1,14487,93,0
ExtINT,1,13298,95,0
ExtINT,1,13378,89,0
ExtINT,1,13432,97,0
ExtINT,1,13379,86,0
ExtINT,1,13351,97,0
ExtINT,1,13568,88,0
ExtINT,1,13514,97,0
ExtINT,1,13378,89,0
ExtINT,1,13460,96,0
ExtINT,1,13513,88,0
ExtINT,1,13324,97,0
ExtINT,1,13297,89,0
ExtINT,1,13378,96,0
ExtINT,1,13270,88,0
ExtINT,1,13270,96,0
ExtINT,1,13514,86,0
ExtINT,1,13243,96,0
ExtINT,1,13324,89,0
ExtINT,1,13568,98,0
ExtINT,1,13567,87,0
ExtINT,1,13351,97,0
ExtINT,1,13595,87,0
ExtINT,1,13486,96,0
ExtINT,1,13379,89,0
ExtINT,1,13486,96,0
ExtINT,1,13378,89,0
ExtINT,1,13406,97,0
ExtINT,1,13324,87,0
ExtINT,1,13324,99,0
ExtINT,1,13568,90,0
ExtINT,1,13432,99,0
ExtINT,1,14946,98,0
ExtINT,1,13919,88,0
ExtINT,1,13595,88,0
ExtINT,1,13379,86,0
ExtINT,1,13595,90,0
ExtINT,1,13324,85,0
ExtINT,1,14108,90,0
ExtINT,1,13271,85,0
ExtINT,1,14243,92,0
ExtINT,1,12595,82,0
ExtINT,1,13622,87,0
ExtINT,1,12649,81,0
ExtINT,1,13378,87,0
ExtINT,1,12595,82,0
ExtINT,1,13379,86,0
ExtINT,1,12946,82,0
ExtINT,1,14973,109,0
ExtINT,1,14027,92,0
ExtINT,1,13432,88,0
ExtINT,1,18784,98,0
ExtINT,1,13973,90,0
ExtINT,1,14459,103,0
ExtINT,1,39243,90,0
ExtINT,1,14054,101,0
ExtINT,1,14054,95,0
ExtINT,1,14541,100,0
ExtINT,1,13054,81,0
ExtINT,1,13000,86,0
ExtINT,1,13027,85,0
ExtINT,1,13217,85,0
ExtINT,1,12892,84,0
ExtINT,1,12973,85,0
ExtINT,1,12838,82,0
ExtINT,1,13000,85,0
ExtINT,1,12892,85,0
ExtINT,1,14324,108,0
ExtINT,1,13433,88,0
ExtINT,1,13270,86,0
ExtINT,1,13405,85,0
ExtINT,1,13541,99,0
ExtINT,1,13027,87,0
ExtINT,1,13567,101,0
ExtINT,1,13459,86,0
ExtINT,1,14270,107,0
ExtINT,1,13730,84,0
ExtINT,1,13568,89,0
ExtINT,1,13163,86,0
ExtINT,1,13351,90,0
ExtINT,1,14784,93,0
ExtINT,1,13784,89,0
ExtINT,1,13081,82,0
ExtINT,1,13325,89,0
ExtINT,1,13054,85,0
ExtINT,1,13352,89,0
ExtINT,1,14973,97,0
ExtINT,1,13081,86,0
ExtINT,1,12568,80,0
ExtINT,1,13189,86,0
ExtINT,1,12648,83,0
ExtINT,1,12946,87,0
ExtINT,1,14162,90,0
ExtINT,1,13189,87,0
ExtINT,1,14162,93,0
ExtINT,1,13460,86,0
ExtINT,1,14108,95,0
ExtINT,1,13000,87,0
ExtINT,1,14162,96,0
ExtINT,1,13054,86,0
ExtINT,1,13865,92,0
ExtINT,1,12973,86,0
ExtINT,1,13838,96,0
ExtINT,1,13244,86,0
ExtINT,1,14622,106,0
ExtINT,1,16405,116,0
ExtINT,1,13757,89,0
ExtINT,1,13567,90,0
ExtINT,1,13919,97,0
ExtINT,1,13378,90,0
ExtINT,1,14054,96,0
ExtINT,1,13108,86,0
ExtINT,1,13864,93,0
ExtINT,1,13027,87,0
ExtINT,1,14243,95,0
ExtINT,1,13136,86,0
ExtINT,1,14406,98,0
ExtINT,1,14378,95,0
ExtINT,1,14162,91,0
ExtINT,1,13892,91,0
ExtINT,1,13865,91,0
ExtINT,1,13784,92,0
ExtINT,1,13810,91,0
ExtINT,1,14568,99,0
ExtINT,1,14189,92,0
ExtINT,1,14730,111,0
ExtINT,1,14216,94,0
ExtINT,1,14351,102,0
ExtINT,1,14136,92,0
ExtINT,1,15729,121,0
ExtINT,1,15162,104,0
ExtINT,1,16027,106,0
ExtINT,1,15270,115,0
ExtINT,1,14406,95,0
ExtINT,1,14108,95,0
ExtINT,1,14135,100,0
ExtINT,1,13864,90,0
ExtINT,1,13675,89,0
ExtINT,1,13811,91,0
ExtINT,1,13621,89,0
ExtINT,1,13757,92,0
ExtINT,1,13702,89,0
ExtINT,1,14811,104,0
ExtINT,1,13946,90,0
ExtINT,1,16163,99,0
ExtINT,1,14054,88,0
ExtINT,1,15433,101,0
ExtINT,1,13324,86,0
ExtINT,1,15486,100,0
ExtINT,1,13784,91,0
ExtINT,1,14081,100,0
ExtINT,1,13892,90,0
ExtINT,1,14352,99,0
ExtINT,1,13432,88,0
ExtINT,1,13919,97,0
ExtINT,1,13540,89,0
ExtINT,1,13919,99,0
ExtINT,1,13675,90,0
ExtINT,1,13622,97,0
ExtINT,1,13405,89,0
ExtINT,1,13459,94,0
ExtINT,1,13811,95,0
ExtINT,1,14216,101,0
ExtINT,1,14162,94,0
ExtINT,1,13919,101,0
ExtINT,1,14108,96,0
ExtINT,1,14000,98,0
ExtINT,1,14027,95,0
ExtINT,1,14000,100,0
ExtINT,1,13973,95,0
ExtINT,1,14729,104,0
ExtINT,1,14541,94,0
ExtINT,1,13540,85,0
ExtINT,1,13838,95,0
ExtINT,1,13837,91,0
ExtINT,1,13838,94,0
ExtINT,1,13432,88,0
ExtINT,1,13865,94,0
ExtINT,1,13405,86,0
ExtINT,1,13838,94,0
ExtINT,1,14270,101,0
ExtINT,1,13541,91,0
ExtINT,1,13054,86,0
ExtINT,1,13973,93,0
ExtINT,1,13649,92,0
ExtINT,1,14433,97,0
ExtINT,1,13108,86,0
ExtINT,1,13487,88,0
ExtINT,1,14108,96,0
ExtINT,1,13811,91,0
ExtINT,1,13459,83,0
ExtINT,1,13460,88,0
ExtINT,1,13190,87,0
ExtINT,1,13486,89,0
ExtINT,1,13135,86,0
ExtINT,1,13703,88,0
ExtINT,1,13162,85,0
ExtINT,1,13757,91,0
ExtINT,1,19676,97,0
ExtINT,1,13649,89,0
ExtINT,1,14514,104,0
ExtINT,1,13378,87,0
ExtINT,1,13270,85,0
ExtINT,1,13379,87,0
ExtINT,1,13298,87,0
ExtINT,1,14675,108,0
ExtINT,1,13432,86,0
ExtINT,1,14270,97,0
ExtINT,1,13297,85,0
ExtINT,1,14649,96,0
ExtINT,1,14513,98,0
ExtINT,1,14054,92,0
ExtINT,1,14135,95,0
ExtINT,1,13648,90,0
ExtINT,1,13730,88,0
ExtINT,1,13486,88,0
ExtINT,1,13730,92,0
ExtINT,1,14271,99,0
ExtINT,1,13946,97,0
ExtINT,1,13757,95,0
ExtINT,1,13460,85,0
ExtINT,1,14217,101,0
ExtINT,1,13810,90,0
ExtINT,1,13838,95,0
ExtINT,1,14297,92,0
ExtINT,1,13811,90,0
ExtINT,1,13730,88,0
ExtINT,1,13325,89,0
ExtINT,1,14000,87,0
ExtINT,1,13433,88,0
ExtINT,1,13243,87,0
ExtINT,1,13487,88,0
ExtINT,1,12892,82,0
ExtINT,1,12919,83,0
ExtINT,1,13081,84,0
ExtINT,1,12946,84,0
ExtINT,1,14216,95,0
ExtINT,1,16027,97,0
ExtINT,1,14405,94,0
ExtINT,1,18432,97,0
ExtINT,1,14270,103,0
ExtINT,1,14108,94,0
ExtINT,1,30352,81,0
ExtINT,1,14081,96,0
ExtINT,1,14675,102,0
ExtINT,1,15163,108,0
ExtINT,1,14271,99,0
ExtINT,1,14324,94,0
ExtINT,1,14460,100,0
ExtINT,1,13757,94,0
ExtINT,1,14378,98,0
ExtINT,1,13919,94,0
ExtINT,1,14514,100,0
ExtINT,1,14081,95,0
ExtINT,1,14297,99,0
ExtINT,1,14189,101,0
ExtINT,1,13973,92,0
ExtINT,1,14027,95,0
ExtINT,1,13892,94,0
ExtINT,1,14433,105,0
ExtINT,1,13892,94,0
ExtINT,1,14621,106,0
ExtINT,1,14459,98,0
ExtINT,1,14892,106,0
ExtINT,1,13675,93,0
ExtINT,1,13838,92,0
ExtINT,1,13811,91,0
ExtINT,1,13756,93,0
ExtINT,1,13568,89,0
ExtINT,1,13946,95,0
ExtINT,1,13595,91,0
ExtINT,1,13784,93,0
ExtINT,1,13568,92,0
ExtINT,1,13757,92,0
ExtINT,1,14379,105,0
ExtINT,1,13595,90,0
ExtINT,1,14000,101,0
ExtINT,1,13702,91,0
ExtINT,1,14027,100,0
ExtINT,1,13514,89,0
ExtINT,1,14757,102,0
ExtINT,1,14135,95,0
ExtINT,1,14946,106,0
ExtINT,1,13027,87,0
ExtINT,1,13784,94,0
ExtINT,1,13757,91,0
ExtINT,1,13622,92,0
ExtINT,1,13567,92,0
ExtINT,1,14081,102,0
ExtINT,1,13567,92,0
ExtINT,1,14135,102,0
ExtINT,1,13784,93,0
ExtINT,1,13973,97,0
ExtINT,1,15459,123,0
ExtINT,1,13919,94,0
ExtINT,1,13675,92,0
ExtINT,1,13919,93,0
ExtINT,1,13649,93,0
ExtINT,1,13946,92,0
ExtINT,1,13676,94,0
ExtINT,1,13946,96,0
ExtINT,1,13757,96,0
ExtINT,1,14162,96,0
ExtINT,1,13649,93,0
ExtINT,1,15784,96,0
ExtINT,1,14865,103,0
ExtINT,1,13675,93,0
ExtINT,1,14297,100,0
ExtINT,1,13730,93,0
ExtINT,1,14433,102,0
ExtINT,1,13811,91,0
ExtINT,1,14973,105,0
ExtINT,1,13838,95,0
ExtINT,1,14702,116,0
ExtINT,1,14567,98,0
ExtINT,1,14486,101,0
ExtINT,1,14297,93,0
ExtINT,1,15243,117,0
ExtINT,1,15081,111,0
ExtINT,1,14622,102,0
ExtINT,1,15108,114,0
ExtINT,1,14190,98,0
ExtINT,1,13676,90,0
ExtINT,1,14324,96,0
ExtINT,1,13675,93,0
ExtINT,1,14109,98,0
ExtINT,1,13676,93,0
ExtINT,1,14135,96,0
ExtINT,1,14243,99,0
ExtINT,1,13459,89,0
ExtINT,1,14325,90,0
ExtINT,1,14460,104,0
ExtINT,1,13270,87,0
ExtINT,1,14729,103,0
ExtINT,1,13216,82,0
ExtINT,1,15649,107,0
ExtINT,1,14000,89,0
ExtINT,1,13865,92,0
ExtINT,1,15054,107,0
ExtINT,1,13541,93,0
ExtINT,1,14595,104,0
ExtINT,1,13784,94,0
ExtINT,1,14703,102,0
ExtINT,1,13649,93,0
ExtINT,1,14595,102,0
ExtINT,1,13568,93,0
ExtINT,1,14406,99,0
ExtINT,1,13567,93,0
ExtINT,1,14405,103,0
ExtINT,1,13568,94,0
ExtINT,1,14865,108,0
ExtINT,1,13784,93,0
ExtINT,1,14757,106,0
ExtINT,1,13729,92,0
ExtINT,1,14973,107,0
ExtINT,1,13568,92,0
ExtINT,1,14946,108,0
ExtINT,1,13595,92,0
ExtINT,1,15244,109,0
ExtINT,1,14432,98,0
ExtINT,1,15081,107,0
ExtINT,1,13919,91,0
ExtINT,1,14946,108,0
ExtINT,1,13703,93,0
ExtINT,1,14729,105,0
ExtINT,1,13838,93,0
ExtINT,1,14838,108,0
ExtINT,1,14459,96,0
ExtINT,1,15540,113,0
ExtINT,1,13864,93,0
ExtINT,1,14216,95,0
ExtINT,1,14162,96,0
ExtINT,1,14730,98,0
ExtINT,1,13838,94,0
ExtINT,1,14216,97,0
ExtINT,1,14730,98,0
ExtINT,1,14892,103,0
ExtINT,1,13109,84,0
ExtINT,1,13351,89,0
ExtINT,1,12973,83,0
ExtINT,1,13567,86,0
ExtINT,1,12865,84,0
ExtINT,1,13324,85,0
ExtINT,1,12432,82,0
ExtINT,1,13406,88,0
ExtINT,1,12676,82,0
ExtINT,1,25459,96,0
ExtINT,1,12784,82,0
ExtINT,1,14108,89,0
ExtINT,1,13513,90,0
ExtINT,1,14730,107,0
ExtINT,1,13540,87,0
ExtINT,1,14487,106,0
ExtINT,1,13621,88,0
ExtINT,1,14297,100,0
ExtINT,1,13460,86,0
ExtINT,1,14352,103,0
ExtINT,1,13702,89,0
ExtINT,1,15838,111,0
ExtINT,1,14216,91,0
ExtINT,1,14703,103,0
ExtINT,1,14000,95,0
ExtINT,1,13946,96,0
ExtINT,1,14054,95,0
ExtINT,1,13946,96,0
ExtINT,1,14838,102,0
ExtINT,1,14973,102,0
ExtINT,1,14433,102,0
ExtINT,1,13649,94,0
ExtINT,1,14676,104,0
ExtINT,1,14433,102,0
ExtINT,1,14432,101,0
ExtINT,1,14784,102,0
ExtINT,1,15054,104,0
ExtINT,1,14784,103,0
ExtINT,1,13946,96,0
ExtINT,1,14243,99,0
ExtINT,1,13865,94,0
ExtINT,1,14513,96,0
ExtINT,1,14135,95,0
ExtINT,1,14000,98,0
ExtINT,1,14405,97,0
ExtINT,1,14297,103,0
ExtINT,1,13406,89,0
ExtINT,1,14621,101,0
ExtINT,1,12919,87,0
ExtINT,1,13649,91,0
ExtINT,1,17243,89,0
ExtINT,1,13702,97,0
ExtINT,1,13514,87,0
ExtINT,1,13405,91,0
ExtINT,1,12487,81,0
ExtINT,1,14513,99,0
ExtINT,1,12973,84,0
ExtINT,1,14027,95,0
ExtINT,1,13487,89,0
ExtINT,1,13622,89,0
ExtINT,1,14379,94,0
ExtINT,1,13703,94,0
ExtINT,1,14000,92,0
ExtINT,1,13486,93,0
ExtINT,1,14054,93,0
ExtINT,1,13513,90,0
ExtINT,1,14270,107,0
ExtINT,1,14027,95,0
ExtINT,1,14027,105,0
ExtINT,1,14324,97,0
ExtINT,1,14325,107,0
ExtINT,1,14270,96,0
ExtINT,1,13946,103,0
ExtINT,1,15298,106,0
ExtINT,1,14189,105,0
ExtINT,1,14109,97,0
ExtINT,1,13459,90,0
ExtINT,1,14567,97,0
ExtINT,1,13541,92,0
ExtINT,1,14163,94,0
ExtINT,1,13270,91,0
ExtINT,1,14244,99,0
ExtINT,1,13216,88,0
ExtINT,1,14378,97,0
ExtINT,1,15568,99,0
ExtINT,1,14135,95,0
ExtINT,1,13892,93,0
ExtINT,1,13730,93,0
ExtINT,1,13946,94,0
ExtINT,1,13784,93,0
ExtINT,1,13784,93,0
ExtINT,1,14406,98,0
ExtINT,1,14243,95,0
ExtINT,1,14567,101,0
ExtINT,1,14162,95,0
ExtINT,1,12865,82,0
ExtINT,1,12649,85,0
ExtINT,1,13108,85,0
ExtINT,1,12729,82,0
ExtINT,1,13190,86,0
ExtINT,1,12757,85,0
ExtINT,1,12865,82,0
ExtINT,1,12702,85,0
ExtINT,1,14027,95,0
ExtINT,1,15297,121,0
ExtINT,1,13243,89,0
ExtINT,1,13000,87,0
ExtINT,1,12838,82,0
ExtINT,1,12919,86,0
ExtINT,1,13135,87,0
ExtINT,1,13000,89,0
ExtINT,1,13784,92,0
ExtINT,1,13946,93,0
ExtINT,1,13513,90,0
ExtINT,1,13973,94,0
ExtINT,1,13973,96,0
ExtINT,1,15324,105,0
ExtINT,1,13540,89,0
ExtINT,1,14054,97,0
ExtINT,1,13730,90,0
ExtINT,1,13946,95,0
ExtINT,1,13622,93,0
ExtINT,1,14892,97,0
ExtINT,1,14487,100,0
ExtINT,1,14892,111,0
ExtINT,1,14081,97,0
ExtINT,1,14432,97,0
ExtINT,1,14459,101,0
ExtINT,1,15784,117,0
ExtINT,1,15297,117,0
ExtINT,1,14865,96,0
ExtINT,1,15513,117,0
ExtINT,1,13541,92,0
ExtINT,1,14027,95,0
ExtINT,1,13324,90,0
ExtINT,1,14513,95,0
ExtINT,1,13297,87,0
ExtINT,1,13973,93,0
ExtINT,1,13351,90,0
ExtINT,1,14081,95,0
ExtINT,1,13378,92,0
ExtINT,1,19595,107,0
ExtINT,1,14622,93,0
ExtINT,1,12648,80,0
ExtINT,1,14243,86,0
