Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,5027,72,0
IPI,1,3784,39,0
IPI,1,4298,42,0
IPI,1,3892,33,0
IPI,1,4595,44,0
IPI,1,3811,34,0
IPI,1,4648,44,0
IPI,1,3838,34,0
IPI,1,4649,44,0
IPI,1,3594,32,0
IPI,1,4433,42,0
IPI,1,3783,33,0
IPI,1,4811,48,0
IPI,1,4000,33,0
IPI,1,5081,52,0
IPI,1,3595,32,0
IPI,1,5216,50,0
IPI,1,3838,34,0
IPI,1,4892,48,0
IPI,1,3973,33,0
IPI,1,4892,48,0
IPI,1,3892,33,0
IPI,1,3595,32,0
IPI,1,3541,33,0
IPI,1,3865,32,0
IPI,1,3946,37,0
IPI,1,3621,32,0
IPI,1,3919,36,0
IPI,1,3622,32,0
IPI,1,3946,36,0
IPI,1,3621,32,0
IPI,1,3432,39,0
IPI,1,4027,34,0
IPI,1,3946,41,0
IPI,1,3973,34,0
IPI,1,3865,40,0
IPI,1,4324,35,0
IPI,1,3514,37,0
IPI,1,3946,33,0
IPI,1,3675,39,0
IPI,1,4081,34,0
IPI,1,3676,40,0
IPI,1,3865,33,0
IPI,1,3676,40,0
IPI,1,3811,33,0
IPI,1,3649,39,0
IPI,1,3919,33,0
IPI,1,3676,39,0
IPI,1,4027,34,0
IPI,1,3648,39,0
IPI,1,3810,33,0
IPI,1,3784,40,0
IPI,1,3811,33,0
IPI,1,3621,40,0
IPI,1,3973,33,0
IPI,1,3784,40,0
IPI,1,3865,34,0
IPI,1,3702,39,0
IPI,1,3973,34,0
IPI,1,4081,41,0
IPI,1,3918,34,0
IPI,1,4027,40,0
IPI,1,4027,34,0
IPI,1,3784,40,0
IPI,1,4054,35,0
IPI,1,4027,40,0
IPI,1,4108,34,0
IPI,1,3892,41,0
IPI,1,3973,34,0
IPI,1,4324,43,0
IPI,1,3432,28,0
IPI,1,4297,42,0
IPI,1,3324,29,0
IPI,1,4270,42,0
IPI,1,3297,28,0
IPI,1,4243,43,0
IPI,1,3298,28,0
IPI,1,4271,42,0
IPI,1,3811,28,0
IPI,1,4055,38,0
IPI,1,3594,30,0
IPI,1,3919,40,0
IPI,1,3622,30,0
IPI,1,3919,40,0
IPI,1,3838,33,0
IPI,1,3838,42,0
IPI,1,3324,27,0
IPI,1,4405,43,0
IPI,1,3027,25,0
IPI,1,4054,43,0
IPI,1,3405,27,0
IPI,1,3811,41,0
IPI,1,3486,28,0
IPI,1,3865,41,0
IPI,1,3324,27,0
IPI,1,4000,40,0
IPI,1,3162,25,0
IPI,1,3189,24,0
IPI,1,3432,36,0
IPI,1,3163,27,0
IPI,1,3379,37,0
IPI,1,3135,27,0
IPI,1,3352,36,0
IPI,1,3108,27,0
IPI,1,3648,36,0
IPI,1,3162,27,0
IPI,1,3324,36,0
IPI,1,3406,29,0
IPI,1,3595,39,0
IPI,1,3351,27,0
IPI,1,3540,36,0
IPI,1,3162,27,0
IPI,1,3514,36,0
IPI,1,3162,27,0
IPI,1,3297,36,0
IPI,1,3351,27,0
IPI,1,3405,37,0
IPI,1,3081,27,0
IPI,1,3351,36,0
IPI,1,4135,31,0
IPI,1,3487,33,0
IPI,1,3135,27,0
IPI,1,3298,36,0
IPI,1,3270,28,0
IPI,1,3297,36,0
IPI,1,3081,27,0
IPI,1,3486,37,0
IPI,1,3163,27,0
IPI,1,3270,36,0
IPI,1,3163,27,0
IPI,1,3595,36,0
IPI,1,3324,28,0
IPI,1,3567,36,0
IPI,1,3163,27,0
IPI,1,3595,37,0
IPI,1,3838,36,0
IPI,1,3459,36,0
IPI,1,2568,21,0
IPI,1,3000,23,0
IPI,1,2865,26,0
IPI,1,3054,23,0
IPI,1,2892,25,0
IPI,1,2919,24,0
IPI,1,2811,25,0
IPI,1,3027,23,0
IPI,1,2864,25,0
IPI,1,3162,25,0
IPI,1,3298,35,0
IPI,1,3108,27,0
IPI,1,3216,34,0
IPI,1,3135,28,0
IPI,1,3243,34,0
IPI,1,3162,27,0
IPI,1,3189,34,0
IPI,1,3135,27,0
IPI,1,3514,36,0
IPI,1,3378,28,0
IPI,1,3594,35,0
IPI,1,3243,29,0
IPI,1,3324,35,0
IPI,1,3297,28,0
IPI,1,3352,33,0
IPI,1,3243,25,0
IPI,1,3270,34,0
IPI,1,3189,27,0
IPI,1,3432,34,0
IPI,1,3243,29,0
IPI,1,3244,35,0
IPI,1,3162,27,0
IPI,1,3216,34,0
IPI,1,3108,27,0
IPI,1,3243,34,0
IPI,1,3351,27,0
IPI,1,3405,34,0
IPI,1,3243,28,0
IPI,1,3378,36,0
IPI,1,3379,28,0
IPI,1,3352,35,0
IPI,1,3297,28,0
IPI,1,3540,35,0
IPI,1,3271,28,0
IPI,1,3622,35,0
IPI,1,3459,28,0
IPI,1,3514,36,0
IPI,1,3324,29,0
IPI,1,3432,37,0
IPI,1,3271,28,0
IPI,1,4000,38,0
IPI,1,3325,29,0
IPI,1,2973,21,0
IPI,1,3000,26,0
IPI,1,2756,22,0
IPI,1,3027,26,0
IPI,1,2676,21,0
IPI,1,2946,26,0
IPI,1,2595,20,0
IPI,1,1973,17,0
IPI,1,2945,26,0
IPI,1,2513,19,0
IPI,1,3000,27,0
IPI,1,2702,19,0
IPI,1,2973,26,0
IPI,1,2757,18,0
IPI,1,3838,31,0
IPI,1,2919,22,0
IPI,1,2459,19,0
IPI,1,5919,43,0
IPI,1,3325,27,0
IPI,1,4567,46,0
IPI,1,3405,29,0
IPI,1,7541,40,0
IPI,1,3189,22,0
IPI,1,4027,37,0
IPI,1,2919,24,0
IPI,1,3297,27,0
IPI,1,2945,24,0
IPI,1,2973,26,0
IPI,1,2892,24,0
IPI,1,3000,25,0
IPI,1,2892,24,0
IPI,1,3081,25,0
IPI,1,2892,24,0
IPI,1,4378,33,0
IPI,1,3405,27,0
IPI,1,3351,26,0
IPI,1,3649,31,0
IPI,1,4189,42,0
IPI,1,3217,28,0
IPI,1,3756,41,0
IPI,1,3973,31,0
IPI,1,4730,49,0
IPI,1,3027,25,0
IPI,1,3244,29,0
IPI,1,2892,24,0
IPI,1,3379,28,0
IPI,1,2865,24,0
IPI,1,4244,29,0
IPI,1,2297,18,0
IPI,1,2784,23,0
IPI,1,2567,20,0
IPI,1,2838,24,0
IPI,1,2595,20,0
IPI,1,3162,28,0
IPI,1,3730,31,0
IPI,1,2946,18,0
IPI,1,3324,25,0
IPI,1,2757,21,0
IPI,1,3351,26,0
IPI,1,2865,21,0
IPI,1,3946,31,0
IPI,1,4460,39,0
IPI,1,3027,25,0
IPI,1,4108,34,0
IPI,1,3135,25,0
IPI,1,3865,34,0
IPI,1,3000,26,0
IPI,1,3865,34,0
IPI,1,3054,25,0
IPI,1,4108,35,0
IPI,1,3081,25,0
IPI,1,4054,34,0
IPI,1,4405,38,0
IPI,1,3946,34,0
IPI,1,2919,23,0
IPI,1,3433,31,0
IPI,1,2676,22,0
IPI,1,3487,32,0
IPI,1,3162,25,0
IPI,1,4135,38,0
IPI,1,3460,29,0
IPI,1,4190,38,0
IPI,1,3324,30,0
IPI,1,4298,38,0
IPI,1,3567,29,0
IPI,1,4135,34,0
IPI,1,4027,33,0
IPI,1,3918,32,0
IPI,1,3567,31,0
IPI,1,3865,31,0
IPI,1,3810,32,0
