Type,Id,ExecTime,l2Miss,tlbMiss
PART,1,4074460,1306,16
PART,2,3785811,3040,19
PART,3,3666514,198,4
PART,4,6472865,1293,29
PART,5,4636216,2027,19
PART,6,3986351,1153,8
PART,7,4926460,156,5
PART,8,4328811,9909,31
PART,9,6509000,6994,11
PART,0,4049433,1114,9
PART,1,4064892,994,16
PART,2,3614973,495,19
PART,3,3662406,112,4
PART,4,6467810,1154,29
PART,5,4598514,1660,19
PART,6,3935054,4730,8
PART,7,4924865,131,5
PART,8,4326703,9879,31
PART,9,6460162,1085,11
PART,0,4024622,607,9
PART,1,4050568,703,16
PART,2,3614946,504,19
PART,3,3662730,114,4
PART,4,6455541,1021,29
PART,5,4580784,1460,19
PART,6,3932298,4759,8
PART,7,4924594,127,5
PART,8,4327217,9875,31
PART,9,6459730,1004,11
PART,0,4023405,511,9
PART,1,4044189,706,16
PART,2,3613892,474,19
PART,3,3662297,109,4
PART,4,6452622,1009,29
PART,5,4578270,1424,19
PART,6,3932270,4758,8
PART,7,4924892,110,5
PART,8,4327162,9878,31
PART,9,6458811,985,11
PART,0,4016216,489,9
PART,1,4047675,719,16
PART,2,3613109,455,19
PART,3,3664675,109,4
PART,4,6452405,1004,29
PART,5,4575702,1390,19
PART,6,3931568,4742,8
PART,7,4924730,126,5
PART,8,4327081,9877,31
PART,9,6458946,975,11
PART,0,4018108,509,9
PART,1,4045108,695,16
PART,2,3614270,470,19
PART,3,3662811,109,4
PART,4,6454162,1012,29
PART,5,4574027,1373,19
PART,6,3932351,4756,8
PART,7,4924487,110,5
PART,8,4327000,9878,31
PART,9,6458811,949,11
PART,0,4017648,516,9
PART,1,4046351,706,16
PART,2,3613649,474,19
PART,3,3664946,108,4
PART,4,6453946,1002,29
PART,5,4575135,1385,19
PART,6,3932271,4762,8
PART,7,4924405,128,5
PART,8,4327189,9881,31
PART,9,6458973,1020,11
PART,0,4016730,502,9
PART,1,4044838,692,16
PART,2,3612756,463,19
PART,3,3664784,111,4
PART,4,6451838,1000,29
PART,5,4574298,1384,19
PART,6,3931730,4748,8
PART,7,4924189,111,5
PART,8,4326838,9884,31
PART,9,6458810,983,11
PART,0,4019162,513,9
PART,1,4066649,880,16
PART,2,3623514,642,19
PART,3,3663298,146,4
PART,4,6467676,1170,29
PART,5,4592703,1572,19
PART,6,3936973,4914,8
PART,7,4926486,152,5
PART,8,4333054,9942,31
PART,9,6470406,1825,11
PART,0,4034189,741,9
PART,1,4069730,791,16
PART,2,3668378,532,19
PART,3,3665324,136,4
PART,4,6463864,1106,29
PART,5,4586027,1515,19
PART,6,3938027,4907,8
PART,7,4925325,145,5
PART,8,4332324,9956,31
PART,9,6464730,1077,11
PART,0,4031568,730,9
PART,1,4056217,732,16
PART,2,3617486,494,19
PART,3,3662243,114,4
PART,4,6459756,1060,29
PART,5,4584757,1491,19
PART,6,3934757,4870,8
PART,7,4925270,146,5
PART,8,4331027,9940,31
PART,9,6463973,1047,11
PART,0,4032865,735,9
PART,1,4051892,718,16
PART,2,3666189,494,19
PART,3,3662432,118,4
PART,4,6459540,1068,29
PART,5,4586108,1481,19
PART,6,3934378,4877,8
PART,7,4925405,157,5
PART,8,4332055,9931,31
PART,9,6464216,925,11
PART,0,4030675,677,9
PART,1,4053081,753,16
PART,2,3615379,502,19
PART,3,3664432,116,4
PART,4,6461054,1074,29
PART,5,4579297,1434,19
PART,6,3936216,4871,8
PART,7,4924568,127,5
PART,8,4329135,9912,31
PART,9,6464784,934,11
PART,0,4026108,640,9
PART,1,4057217,722,16
PART,2,3616567,498,19
PART,3,3662000,119,4
PART,4,6460865,1086,29
PART,5,4579270,1418,19
PART,6,3940135,4882,8
PART,7,4925270,143,5
PART,8,4331189,9940,31
PART,9,6463270,947,11
PART,0,4024460,616,9
PART,1,4064838,759,16
PART,2,3618270,503,19
PART,3,3662649,116,4
