Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,13406,174,2
ExtINT,1,4811,40,0
ExtINT,1,7135,73,0
ExtINT,1,4541,38,0
ExtINT,1,4541,38,0
ExtINT,1,6838,68,0
ExtINT,1,4298,38,0
ExtINT,1,4541,41,0
ExtINT,1,4433,40,0
ExtINT,1,4298,38,0
ExtINT,1,4514,40,0
ExtINT,1,4325,38,0
ExtINT,1,4297,38,0
ExtINT,1,4622,41,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4595,42,0
ExtINT,1,5460,58,0
ExtINT,1,4352,39,0
ExtINT,1,4595,40,0
ExtINT,1,4298,38,0
ExtINT,1,4270,38,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4405,40,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4298,38,0
ExtINT,1,4298,38,0
ExtINT,1,4297,39,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4486,40,0
ExtINT,1,4297,38,0
ExtINT,1,4324,39,0
ExtINT,1,4297,38,0
ExtINT,1,5244,58,0
ExtINT,1,4298,38,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4378,40,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4270,38,0
ExtINT,1,4271,38,0
ExtINT,1,4297,39,0
ExtINT,1,4270,38,0
ExtINT,1,4297,38,0
ExtINT,1,4432,40,0
ExtINT,1,4297,38,0
ExtINT,1,4324,39,0
ExtINT,1,4324,38,0
ExtINT,1,4325,38,0
ExtINT,1,4325,38,0
ExtINT,1,4325,38,0
ExtINT,1,4649,39,0
ExtINT,1,5271,58,0
ExtINT,1,4270,38,0
ExtINT,1,13919,174,0
ExtINT,1,12702,84,0
ExtINT,1,12567,82,0
ExtINT,1,13135,82,0
ExtINT,1,12594,82,0
ExtINT,1,12378,81,0
ExtINT,1,12513,80,0
ExtINT,1,12324,80,0
ExtINT,1,12351,80,0
ExtINT,1,12405,80,0
ExtINT,1,12378,81,0
ExtINT,1,12351,80,0
ExtINT,1,12378,78,0
ExtINT,1,12351,81,0
ExtINT,1,12513,82,0
ExtINT,1,12324,81,0
ExtINT,1,13513,100,0
ExtINT,1,12378,81,0
ExtINT,1,12378,78,0
ExtINT,1,12324,80,0
ExtINT,1,12351,80,0
ExtINT,1,12352,81,0
ExtINT,1,12946,82,0
ExtINT,1,12351,80,0
ExtINT,1,12324,78,0
ExtINT,1,12351,81,0
ExtINT,1,12378,80,0
ExtINT,1,12324,80,0
ExtINT,1,12324,80,0
ExtINT,1,12325,81,0
ExtINT,1,12514,79,0
ExtINT,1,12379,81,0
ExtINT,1,12298,81,0
ExtINT,1,12325,80,0
ExtINT,1,12325,81,0
ExtINT,1,13703,101,0
ExtINT,1,12325,78,0
ExtINT,1,12379,81,0
ExtINT,1,12514,82,0
ExtINT,1,12325,80,0
ExtINT,1,12379,81,0
ExtINT,1,12595,78,0
ExtINT,1,12325,77,0
ExtINT,1,12298,81,0
ExtINT,1,12379,81,0
ExtINT,1,12406,80,0
ExtINT,1,12487,82,0
ExtINT,1,12325,80,0
ExtINT,1,12379,78,0
ExtINT,1,12324,80,0
ExtINT,1,12351,81,0
ExtINT,1,12351,81,0
ExtINT,1,12324,80,0
ExtINT,1,12378,81,0
ExtINT,1,13540,99,0
ExtINT,1,12378,81,0
ExtINT,1,12405,81,0
ExtINT,1,12351,80,0
ExtINT,1,12351,80,0
ExtINT,1,12351,81,0
ExtINT,1,12540,75,0
ExtINT,1,12324,80,0
ExtINT,1,12459,83,0
ExtINT,1,12378,81,0
ExtINT,1,12405,80,0
ExtINT,1,12378,80,0
ExtINT,1,12324,77,0
ExtINT,1,12379,81,0
ExtINT,1,12352,80,0
ExtINT,1,12352,81,0
ExtINT,1,12379,81,0
ExtINT,1,12352,80,0
ExtINT,1,12351,78,0
ExtINT,1,13324,100,0
ExtINT,1,12378,81,0
ExtINT,1,12378,81,0
ExtINT,1,12297,80,0
ExtINT,1,12378,80,0
ExtINT,1,12324,78,0
ExtINT,1,12567,78,0
ExtINT,1,12351,80,0
ExtINT,1,12351,81,0
ExtINT,1,12351,81,0
ExtINT,1,12378,80,0
ExtINT,1,12324,77,0
ExtINT,1,12379,80,0
ExtINT,1,12352,81,0
ExtINT,1,12379,80,0
ExtINT,1,12406,81,0
