Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4049594,1103,9
PART,1,4088352,1387,16
PART,2,3732730,3041,19
PART,3,3666054,196,4
PART,4,6466514,1255,29
PART,5,4636541,2069,19
PART,6,3986189,1173,8
PART,7,4925864,161,5
PART,8,4328810,9924,31
PART,9,6508351,6998,11
PART,0,4036730,870,9
PART,1,4066081,1027,16
PART,2,3614594,503,19
PART,3,3662595,123,4
PART,4,6468459,1134,29
PART,5,4596000,1604,19
PART,6,3934406,4650,8
PART,7,4924676,129,5
PART,8,4327190,9885,31
PART,9,6460622,1207,11
PART,0,4024703,644,9
PART,1,4049973,739,16
PART,2,3665811,516,19
PART,3,3662865,121,4
PART,4,6454486,1007,29
PART,5,4580946,1454,19
PART,6,3932594,4603,8
PART,7,4924298,122,5
PART,8,4327000,9882,31
PART,9,6459595,1033,11
PART,0,4019270,556,9
PART,1,4044216,733,16
PART,2,3663757,477,19
PART,3,3662460,115,4
PART,4,6453054,985,29
PART,5,4581054,1446,19
PART,6,3932189,4679,8
PART,7,4924514,123,5
PART,8,4326703,9878,31
PART,9,6459190,930,11
PART,0,4019027,555,9
PART,1,4053189,735,16
PART,2,3613811,475,19
PART,3,3662595,113,4
PART,4,6451973,979,29
PART,5,4578919,1433,19
PART,6,3931622,4683,8
PART,7,4924162,105,5
PART,8,4327027,9878,31
PART,9,6458703,938,11
PART,0,4018595,552,9
PART,1,4049919,727,16
PART,2,3614054,480,19
PART,3,3662621,115,4
PART,4,6451459,971,29
PART,5,4579270,1425,19
PART,6,3932162,4688,8
PART,7,4924621,107,5
PART,8,4327243,9875,31
PART,9,6458460,914,11
PART,0,4018297,551,9
PART,1,4051892,731,16
PART,2,3614648,479,19
PART,3,3662540,114,4
PART,4,6452864,976,29
PART,5,4578325,1432,19
PART,6,3932162,4684,8
PART,7,4924486,105,5
PART,8,4327108,9877,31
PART,9,6459000,948,11
PART,0,4019297,552,9
PART,1,4053865,733,16
PART,2,3613514,462,19
PART,3,3665190,114,4
PART,4,6450189,972,29
PART,5,4578784,1444,19
PART,6,3931730,4684,8
PART,7,4924108,104,5
PART,8,4327135,9877,31
PART,9,6458892,932,11
PART,0,4031324,718,9
PART,1,4062892,823,16
PART,2,3671324,606,19
PART,3,3663378,136,4
PART,4,6459702,1077,29
PART,5,4582919,1493,19
PART,6,3938568,4935,8
PART,7,4926217,141,5
PART,8,4330109,9923,31
PART,9,6464864,1444,11
PART,0,4028514,675,9
PART,1,4044379,718,16
PART,2,3664973,493,19
PART,3,3662189,116,4
PART,4,6457757,1026,29
PART,5,4583054,1488,19
PART,6,3936838,4917,8
PART,7,4925838,156,5
PART,8,4329702,9917,31
PART,9,6461703,1004,11
PART,0,4022243,559,9
PART,1,4043135,704,16
PART,2,3614622,486,19
PART,3,3662622,117,4
PART,4,6454297,1038,29
PART,5,4574325,1390,19
PART,6,3935865,4910,8
PART,7,4925648,149,5
PART,8,4329378,9915,31
PART,9,6460946,928,11
PART,0,4029973,589,9
PART,1,4049486,709,16
PART,2,3615838,501,19
PART,3,3662297,115,4
PART,4,6455460,1041,29
PART,5,4569460,1335,19
PART,6,3936108,4893,8
PART,7,4926054,149,5
PART,8,4329189,9916,31
PART,9,6461135,978,11
PART,0,4022838,562,9
PART,1,4046351,729,16
PART,2,3615514,501,19
PART,3,3662459,115,4
PART,4,6455054,1012,29
PART,5,4573513,1363,19
PART,6,3938675,4914,8
PART,7,4925621,154,5
PART,8,4329784,9915,31
PART,9,6461244,964,11
PART,0,4019837,526,9
PART,1,4048838,698,16
PART,2,3614189,485,19
PART,3,3662811,115,4
PART,4,6455486,1028,29
PART,5,4572919,1369,19
PART,6,3941027,4904,8
PART,7,4925352,149,5
PART,8,4329162,9922,31
PART,9,6460838,975,11
PART,0,4020973,530,9
PART,1,4050946,719,16
PART,2,3616325,521,19
PART,3,3664811,116,4
PART,4,6455162,1028,29
PART,5,4568352,1336,19
PART,6,3945702,4913,8
PART,7,4925946,154,5
PART,8,4329918,9921,31
PART,9,6461324,995,11
PART,0,4020216,521,9
PART,1,4046973,702,16
PART,2,3614946,481,19
PART,3,3662379,114,4
PART,4,6453622,1010,29
PART,5,4565675,1296,19
PART,6,3946000,4896,8
PART,7,4925189,154,5
PART,8,4329216,9914,31
PART,9,6461135,948,11
PART,0,4027757,644,9
PART,1,4056973,795,16
PART,2,3622405,618,19
PART,3,3663027,130,4
PART,4,6459162,1076,29
PART,5,4574865,1401,19
PART,6,3949540,4919,8
PART,7,4926054,149,5
PART,8,4329027,9923,31
PART,9,6463216,1218,11
PART,0,4026648,608,9
PART,1,4048054,657,16
PART,2,3614810,504,19
PART,3,3658567,117,4
PART,4,6453703,1027,29
PART,5,4571810,1352,19
PART,6,3949163,4890,8
PART,7,4925487,137,5
PART,8,4329297,9910,31
PART,9,6460702,906,11
PART,0,4019460,520,9
PART,1,4039676,604,16
PART,2,3614378,490,19
PART,3,3664486,114,4
PART,4,6454649,1019,29
PART,5,4562540,1267,19
PART,6,3947622,4912,8
PART,7,4925514,146,5
PART,8,4329513,9905,31
PART,9,6460055,908,11
PART,0,4021108,548,9
PART,1,4041946,605,16
PART,2,3616108,520,19
PART,3,3665297,119,4
PART,4,6452243,1011,29
PART,5,4564054,1270,19
PART,6,3948324,4906,8
PART,7,4924918,148,5
PART,8,4328784,9913,31
PART,9,6461054,963,11
PART,0,4020783,552,9
PART,1,4041405,628,16
PART,2,3614811,500,19
PART,3,3665297,123,4
PART,4,6451648,997,29
PART,5,4562649,1277,19
PART,6,3948324,4900,8
PART,7,4925243,150,5
PART,8,4329675,9910,31
PART,9,6460811,999,11
PART,0,4018892,544,9
PART,1,4040946,583,16
PART,2,3615298,496,19
PART,3,3662540,121,4
PART,4,6452081,994,29
PART,5,4562460,1269,19
PART,6,3947784,4912,8
PART,7,4925730,150,5
PART,8,4328810,9914,31
PART,9,6460703,973,11
PART,0,4019622,544,9
PART,1,4039919,605,16
PART,2,3616541,514,19
PART,3,3665298,126,4
PART,4,6452973,1017,29
PART,5,4562703,1263,19
PART,6,3947514,4907,8
PART,7,4925351,132,5
PART,8,4329297,9915,31
PART,9,6461027,973,11
PART,0,4019757,533,9
PART,1,4042703,607,16
PART,2,3615216,501,19
PART,3,3663108,126,4
PART,4,6452703,986,29
PART,5,4562621,1263,19
PART,6,3948838,4917,8
PART,7,4925379,136,5
PART,8,4329514,9912,31
PART,9,6461081,979,11
PART,0,4026378,645,9
PART,1,4047487,639,16
PART,2,3619838,612,19
PART,3,3663189,135,4
PART,4,6456082,1044,29
PART,5,4566432,1313,19
PART,6,3948892,4914,8
PART,7,4925811,162,5
PART,8,4328864,9915,31
PART,9,6462811,1180,11
PART,0,4025297,610,9
PART,1,4044946,619,16
PART,2,3613514,475,19
PART,3,3662514,116,4
PART,4,6454433,1021,29
PART,5,4564216,1282,19
PART,6,3948405,4888,8
PART,7,4925540,152,5
PART,8,4328838,9901,31
PART,9,6461162,980,11
PART,0,4019297,536,9
PART,1,4034568,581,16
PART,2,3614702,489,19
PART,3,3662405,112,4
PART,4,6452811,1004,29
PART,5,4560946,1226,19
PART,6,3948729,4908,8
PART,7,4925838,156,5
PART,8,4328919,9908,31
PART,9,6459784,931,11
PART,0,4064000,551,9
PART,1,4046108,592,16
PART,2,3615378,513,19
PART,3,3662676,117,4
PART,4,6456135,1019,29
PART,5,4559595,1240,19
PART,6,3949243,4910,8
PART,7,4924352,133,5
PART,8,4328757,9905,31
PART,9,6460648,1000,11
PART,0,4020919,536,9
PART,1,4044189,568,16
PART,2,3664000,480,19
PART,3,3662595,120,4
PART,4,6453000,999,29
PART,5,4558892,1215,19
PART,6,3947405,4901,8
PART,7,4925459,149,5
PART,8,4328892,9909,31
PART,9,6460324,898,11
PART,0,4019135,534,9
PART,1,4043865,582,16
PART,2,3665622,511,19
PART,3,3664919,114,4
PART,4,6452513,998,29
PART,5,4564757,1265,19
PART,6,3947297,4902,8
PART,7,4925622,146,5
PART,8,4328541,9906,31
PART,9,6460756,917,11
PART,0,4020649,545,9
PART,1,4040838,563,16
PART,2,3666270,494,19
PART,3,3664891,122,4
PART,4,6451514,983,29
PART,5,4559271,1221,19
PART,6,3947513,4907,8
PART,7,4925297,148,5
PART,8,4328649,9908,31
PART,9,6461297,968,11
PART,0,4020406,535,9
PART,1,4041162,566,16
PART,2,3663973,476,19
PART,3,3662757,114,4
PART,4,6450432,986,29
PART,5,4559270,1220,19
PART,6,3947000,4878,8
PART,7,4925189,127,5
PART,8,4328703,9906,31
PART,9,6460648,911,11
PART,0,4025000,618,9
PART,1,4046568,586,16
PART,2,3619433,563,19
PART,3,3663621,135,4
PART,4,6454892,1057,29
PART,5,4564973,1300,19
PART,6,3949379,4916,8
PART,7,4926000,153,5
PART,8,4328378,9915,31
PART,9,6462405,1187,11
PART,0,4024594,592,9
PART,1,4042540,588,16
PART,2,3614567,497,19
PART,3,3662513,114,4
PART,4,6453811,1014,29
PART,5,4564000,1273,19
PART,6,3947406,4891,8
PART,7,4925649,151,5
PART,8,4328838,9899,31
PART,9,6460675,964,11
PART,0,4016568,506,9
PART,1,4033243,573,16
PART,2,3615405,487,19
PART,3,3662703,118,4
PART,4,6451865,991,29
PART,5,4560865,1246,19
PART,6,3948108,4895,8
PART,7,4925405,129,5
PART,8,4328973,9901,31
PART,9,6460108,909,11
PART,0,4019352,540,9
PART,1,4044892,595,16
PART,2,3665432,505,19
PART,3,3665027,113,4
PART,4,6451676,1006,29
PART,5,4557271,1216,19
PART,6,3948189,4882,8
PART,7,4924622,133,5
PART,8,4329297,9911,31
PART,9,6461568,1044,11
PART,0,4018865,519,9
PART,1,4041189,562,16
PART,2,3664486,493,19
PART,3,3661946,106,4
PART,4,6453189,995,29
PART,5,4558243,1211,19
PART,6,3947244,4893,8
PART,7,4926054,160,5
PART,8,4328189,9897,31
PART,9,6460838,1065,11
PART,0,4019811,525,9
PART,1,4044135,585,16
PART,2,3667027,503,19
PART,3,3662514,120,4
PART,4,6452108,1010,29
PART,5,4561919,1254,19
PART,6,3949162,4891,8
PART,7,4925595,150,5
PART,8,4328189,9900,31
PART,9,6462703,1032,11
PART,0,4020189,542,9
PART,1,4040352,576,16
PART,2,3666730,502,19
PART,3,3665027,124,4
PART,4,6452946,997,29
PART,5,4557379,1210,19
PART,6,3947676,4871,8
PART,7,4925379,151,5
PART,8,4329594,9903,31
PART,9,6460838,899,11
PART,0,4019595,550,9
PART,1,4041000,591,16
PART,2,3614136,481,19
PART,3,3662892,126,4
PART,4,6455649,1011,29
PART,5,4562865,1263,19
PART,6,3947378,4898,8
PART,7,4925054,146,5
PART,8,4329514,9911,31
PART,9,6460540,831,11
PART,0,4031000,723,9
PART,1,4049676,644,16
PART,2,3620378,582,19
PART,3,3665162,132,4
PART,4,6456568,1074,29
PART,5,4568027,1308,19
PART,6,3948405,4887,8
PART,7,4925702,142,5
