Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4058784,1219,9
PART,1,4097676,1614,16
PART,2,3735973,3068,19
PART,3,3666379,300,4
PART,4,6530108,1902,29
PART,5,4663325,2359,19
PART,6,3991351,1311,8
PART,7,4929460,271,5
PART,8,4330783,9951,31
PART,9,6512730,7064,11
PART,0,4057811,1203,9
PART,1,4105838,1624,17
PART,2,3668243,1606,19
PART,3,3670298,284,4
PART,4,6509459,1627,29
PART,5,4649756,2242,19
PART,6,3941730,5094,8
PART,7,4929324,273,5
PART,8,4329811,9940,31
PART,9,6506892,6167,11
PART,0,4056703,1166,9
PART,1,4097000,1468,16
PART,2,3669946,1639,19
PART,3,3670406,286,4
PART,4,6505108,1596,29
PART,5,4646108,2215,19
PART,6,3942244,5094,8
PART,7,4929189,274,5
PART,8,4330054,9937,31
PART,9,6506216,6182,11
PART,0,4057325,1166,9
PART,1,4094811,1450,16
PART,2,3670406,1639,19
PART,3,3670135,286,4
PART,4,6503864,1586,29
PART,5,4649270,2244,19
PART,6,3942000,5079,8
PART,7,4929081,272,5
PART,8,4330108,9937,31
PART,9,6504838,6172,11
PART,0,4056757,1167,9
PART,1,4098513,1451,16
PART,2,3667757,1596,19
PART,3,3670081,287,5
PART,4,6507703,1593,29
PART,5,4650162,2246,19
PART,6,3941487,5084,8
PART,7,4928756,272,5
PART,8,4329946,9938,31
PART,9,6505216,6190,11
PART,0,4057649,1163,9
PART,1,4097081,1432,16
PART,2,3668865,1613,19
PART,3,3672081,285,4
PART,4,6507189,1594,29
PART,5,4650433,2247,19
PART,6,3941892,5093,8
PART,7,4929351,278,5
PART,8,4329784,9936,31
PART,9,6504378,6194,11
PART,0,4056757,1169,9
PART,1,4093756,1468,16
PART,2,3669379,1621,19
PART,3,3669784,286,5
PART,4,6505108,1583,29
PART,5,4653676,2250,19
PART,6,3942648,5097,8
PART,7,4928838,273,5
PART,8,4330189,9935,31
PART,9,6504108,6230,11
PART,0,4056054,1169,9
PART,1,4093378,1492,16
PART,2,3668081,1589,19
PART,3,3670000,283,4
PART,4,6507082,1599,29
PART,5,4652108,2256,19
PART,6,3941946,5101,8
PART,7,4928811,270,5
PART,8,4330379,9936,31
PART,9,6506729,6189,11
PART,0,4057513,1164,9
PART,1,4096757,1432,16
PART,2,3667027,1601,19
PART,3,3670135,283,5
PART,4,6506946,1600,29
PART,5,4648919,2235,19
PART,6,3942108,5097,8
PART,7,4929162,272,5
PART,8,4330189,9938,31
PART,9,6505649,6172,11
PART,0,4057594,1170,9
PART,1,4096865,1445,16
PART,2,3669270,1617,19
PART,3,3670027,284,4
PART,4,6504811,1590,29
PART,5,4649918,2260,19
PART,6,3942108,5085,8
PART,7,4928702,271,5
PART,8,4329973,9937,31
PART,9,6504756,6154,11
PART,0,4057973,1171,9
PART,1,4097433,1448,16
PART,2,3667297,1588,19
PART,3,3669973,286,4
PART,4,6506676,1592,29
PART,5,4649595,2250,19
PART,6,3941946,5089,8
PART,7,4928784,272,5
PART,8,4329838,9938,31
PART,9,6505756,6208,11
PART,0,4057216,1164,9
PART,1,4094378,1432,16
PART,2,3668324,1614,19
PART,3,3670027,285,5
PART,4,6506487,1597,29
PART,5,4649946,2236,19
PART,6,3942432,5082,8
PART,7,4929243,274,5
PART,8,4329702,9940,31
PART,9,6505000,6205,11
PART,0,4056810,1168,9
PART,1,4098729,1463,16
PART,2,3668135,1615,19
PART,3,3669838,286,5
PART,4,6506054,1585,29
PART,5,4652163,2257,19
PART,6,3942973,5097,8
PART,7,4929081,273,5
PART,8,4330351,9941,31
PART,9,6503946,6155,11
PART,0,4057027,1171,9
PART,1,4100027,1452,16
PART,2,3666757,1582,19
PART,3,3672433,286,4
PART,4,6506108,1599,29
PART,5,4652676,2257,19
PART,6,3947189,5096,8
PART,7,4929270,272,5
PART,8,4330243,9940,31
PART,9,6503351,6134,11
PART,0,4056595,1162,9
PART,1,4096379,1428,16
PART,2,3667784,1611,19
PART,3,3669946,287,4
PART,4,6505324,1595,29
PART,5,4651730,2241,19
PART,6,3951810,5084,8
PART,7,4928919,270,5
PART,8,4330108,9940,31
PART,9,6506324,6157,11
PART,0,4056730,1171,9
PART,1,4100081,1468,16
PART,2,3668054,1614,19
PART,3,3672486,284,5
PART,4,6504081,1586,29
PART,5,4652433,2254,19
PART,6,3954433,5089,8
PART,7,4928918,272,5
PART,8,4330054,9942,31
PART,9,6504892,6166,11
PART,0,4058973,1170,9
PART,1,4093730,1496,16
PART,2,3666081,1583,19
PART,3,3669757,283,4
PART,4,6505541,1596,29
PART,5,4651054,2251,19
PART,6,3954865,5082,8
PART,7,4929406,274,5
PART,8,4330027,9939,31
PART,9,6506432,6191,11
PART,0,4057405,1167,9
PART,1,4097595,1430,16
PART,2,3668189,1611,19
PART,3,3669865,284,5
PART,4,6505054,1592,29
PART,5,4648892,2237,19
PART,6,3955135,5084,8
PART,7,4929054,270,5
PART,8,4329810,9941,31
PART,9,6504757,6188,11
PART,0,4057487,1166,9
PART,1,4096513,1494,16
PART,2,3669054,1612,19
PART,3,3670270,283,4
PART,4,6506000,1581,29
PART,5,4653243,2254,19
PART,6,3954648,5096,8
PART,7,4929406,272,5
PART,8,4329784,9941,31
PART,9,6504270,6175,11
PART,0,4056649,1163,9
PART,1,4097108,1451,16
PART,2,3667783,1588,19
PART,3,3672189,286,4
PART,4,6506757,1596,29
PART,5,4652433,2253,19
PART,6,3955000,5085,8
PART,7,4929567,272,5
PART,8,4329946,9937,31
PART,9,6504270,6205,11
PART,0,4058108,1163,9
PART,1,4096702,1431,16
PART,2,3668162,1607,19
PART,3,3669973,282,4
PART,4,6505756,1598,29
PART,5,4648460,2236,19
PART,6,3954432,5093,8
PART,7,4929243,272,5
PART,8,4330432,9940,31
PART,9,6504379,6138,11
PART,0,4056135,1165,9
PART,1,4097541,1449,16
PART,2,3668513,1619,19
PART,3,3670648,286,5
PART,4,6505054,1584,29
