Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,13648,149,2
ExtINT,1,5595,47,0
ExtINT,1,5406,46,0
ExtINT,1,5433,47,0
ExtINT,1,5136,45,0
ExtINT,1,5378,46,0
ExtINT,1,5352,46,0
ExtINT,1,5919,49,0
ExtINT,1,5810,48,0
ExtINT,1,5460,46,0
ExtINT,1,5649,48,0
ExtINT,1,5513,46,0
ExtINT,1,5379,46,0
ExtINT,1,5837,49,0
ExtINT,1,5379,46,0
ExtINT,1,5405,46,0
ExtINT,1,5865,50,0
ExtINT,1,6567,46,0
ExtINT,1,5487,47,0
ExtINT,1,5648,48,0
ExtINT,1,5460,46,0
ExtINT,1,5432,46,0
ExtINT,1,5351,46,0
ExtINT,1,5595,46,0
ExtINT,1,5730,49,0
ExtINT,1,5378,46,0
ExtINT,1,5351,46,0
ExtINT,1,5460,46,0
ExtINT,1,5432,46,0
ExtINT,1,5406,47,0
ExtINT,1,5594,46,0
ExtINT,1,5406,46,0
ExtINT,1,5783,48,0
ExtINT,1,5460,46,0
ExtINT,1,6027,47,0
ExtINT,1,5405,46,0
ExtINT,1,5379,46,0
ExtINT,1,5406,46,0
ExtINT,1,5405,46,0
ExtINT,1,5433,46,0
ExtINT,1,5837,49,0
ExtINT,1,5378,46,0
ExtINT,1,5351,46,0
ExtINT,1,5379,46,0
ExtINT,1,5378,46,0
ExtINT,1,5378,47,0
ExtINT,1,5379,46,0
ExtINT,1,5378,46,0
ExtINT,1,5595,48,0
ExtINT,1,5351,46,0
ExtINT,1,5379,47,0
ExtINT,1,5405,46,0
ExtINT,1,5378,46,0
ExtINT,1,5406,46,0
ExtINT,1,5351,46,0
ExtINT,1,18135,196,0
ExtINT,1,13946,90,0
ExtINT,1,13730,88,0
ExtINT,1,13892,89,0
ExtINT,1,14595,93,0
ExtINT,1,13406,90,0
ExtINT,1,13541,84,0
ExtINT,1,13837,87,0
ExtINT,1,13595,86,0
ExtINT,1,13757,89,0
ExtINT,1,13648,87,0
ExtINT,1,13622,86,0
ExtINT,1,13514,85,0
ExtINT,1,13621,87,0
ExtINT,1,13568,86,0
ExtINT,1,13567,86,0
ExtINT,1,13541,85,0
ExtINT,1,13784,88,0
ExtINT,1,13567,85,0
ExtINT,1,13568,87,0
ExtINT,1,13486,87,0
ExtINT,1,13541,87,0
ExtINT,1,13541,85,0
ExtINT,1,13810,86,0
ExtINT,1,13514,85,0
ExtINT,1,13595,88,0
ExtINT,1,13540,86,0
ExtINT,1,13541,86,0
ExtINT,1,13513,87,0
ExtINT,1,13595,86,0
ExtINT,1,15405,84,0
ExtINT,1,13541,87,0
ExtINT,1,13567,86,0
ExtINT,1,13594,89,0
ExtINT,1,13541,85,0
ExtINT,1,13567,86,0
ExtINT,1,13622,84,0
ExtINT,1,13486,87,0
ExtINT,1,13676,86,0
ExtINT,1,13514,87,0
ExtINT,1,13648,87,0
ExtINT,1,13649,88,0
ExtINT,1,13865,84,0
ExtINT,1,13325,86,0
ExtINT,1,13487,85,0
ExtINT,1,13513,86,0
ExtINT,1,13594,86,0
ExtINT,1,13568,87,0
ExtINT,1,13594,84,0
ExtINT,1,13811,88,0
ExtINT,1,13703,87,0
ExtINT,1,13595,87,0
ExtINT,1,13756,87,0
ExtINT,1,13514,86,0
ExtINT,1,13730,84,0
ExtINT,1,13513,86,0
ExtINT,1,13649,87,0
ExtINT,1,13648,89,0
ExtINT,1,13730,87,0
ExtINT,1,13568,87,0
ExtINT,1,13594,83,0
ExtINT,1,13784,86,0
ExtINT,1,13324,86,0
ExtINT,1,13324,85,0
ExtINT,1,13730,87,0
ExtINT,1,13838,88,0
ExtINT,1,13729,85,0
ExtINT,1,13621,87,0
ExtINT,1,13649,86,0
ExtINT,1,13540,87,0
ExtINT,1,13757,87,0
ExtINT,1,13595,87,0
ExtINT,1,13648,84,0
ExtINT,1,13540,86,0
ExtINT,1,14000,86,0
ExtINT,1,13568,86,0
ExtINT,1,13513,87,0
ExtINT,1,13568,87,0
ExtINT,1,13648,85,0
ExtINT,1,13568,85,0
ExtINT,1,13784,86,0
ExtINT,1,13270,86,0
ExtINT,1,13675,85,0
ExtINT,1,13621,87,0
ExtINT,1,13514,84,0
ExtINT,1,13540,87,0
ExtINT,1,13622,87,0
ExtINT,1,13567,86,0
ExtINT,1,13541,87,0
ExtINT,1,14054,87,0
ExtINT,1,13541,85,0
ExtINT,1,13594,86,0
ExtINT,1,13541,86,0
ExtINT,1,13513,86,0
ExtINT,1,13514,86,0
ExtINT,1,13702,87,0
ExtINT,1,13541,85,0
ExtINT,1,13514,87,0
ExtINT,1,13540,86,0
ExtINT,1,13784,85,0
ExtINT,1,13540,87,0
ExtINT,1,13595,86,0
ExtINT,1,13460,85,0
ExtINT,1,13567,86,0
ExtINT,1,13514,86,0
ExtINT,1,13540,87,0
ExtINT,1,13568,86,0
ExtINT,1,13594,87,0
ExtINT,1,13513,85,0
ExtINT,1,13487,86,0
ExtINT,1,13594,86,0
ExtINT,1,13595,85,0
ExtINT,1,13540,85,0
ExtINT,1,13595,87,0
ExtINT,1,13568,84,0
ExtINT,1,13621,87,0
ExtINT,1,13622,87,0
ExtINT,1,13513,86,0
ExtINT,1,13757,86,0
ExtINT,1,13595,86,0
ExtINT,1,14513,84,0
ExtINT,1,13567,87,0
ExtINT,1,13730,86,0
ExtINT,1,13703,87,0
ExtINT,1,13540,87,0
ExtINT,1,13676,86,0
ExtINT,1,13594,85,0
ExtINT,1,13811,87,0
ExtINT,1,13730,87,0
ExtINT,1,13541,86,0
ExtINT,1,13675,86,0
ExtINT,1,13568,85,0
ExtINT,1,13784,85,0
ExtINT,1,13567,86,0
ExtINT,1,13541,87,0
ExtINT,1,13676,86,0
ExtINT,1,14054,86,0
ExtINT,1,13784,85,0
ExtINT,1,13784,85,0
ExtINT,1,13513,87,0
ExtINT,1,13865,86,0
ExtINT,1,13568,87,0
ExtINT,1,13567,86,0
ExtINT,1,13649,87,0
ExtINT,1,13757,85,0
ExtINT,1,13568,86,0
ExtINT,1,13756,87,0
ExtINT,1,13595,87,0
ExtINT,1,15297,87,0
ExtINT,1,18810,86,0
ExtINT,1,13487,83,0
ExtINT,1,13540,86,0
ExtINT,1,41784,88,0
ExtINT,1,13405,86,0
ExtINT,1,14027,87,0
ExtINT,1,15135,86,0
ExtINT,1,13567,83,0
ExtINT,1,13649,87,0
ExtINT,1,13703,87,0
ExtINT,1,13730,85,0
ExtINT,1,13783,87,0
ExtINT,1,13622,85,0
ExtINT,1,13568,85,0
ExtINT,1,13594,87,0
ExtINT,1,13514,85,0
ExtINT,1,13648,87,0
ExtINT,1,13648,86,0
ExtINT,1,13595,87,0
ExtINT,1,13567,84,0
ExtINT,1,13622,86,0
ExtINT,1,13595,86,0
ExtINT,1,13594,87,0
