Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,2973,25,0
IPI,1,3027,19,0
IPI,1,2109,16,0
IPI,1,3081,21,0
IPI,1,2135,16,0
IPI,1,2136,16,0
IPI,1,2108,16,0
IPI,1,2892,19,0
IPI,1,2081,16,0
IPI,1,2054,17,0
IPI,1,2594,18,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,3135,18,0
IPI,1,2054,16,0
IPI,1,2108,16,0
IPI,1,2838,18,0
IPI,1,2108,17,0
IPI,1,2081,16,0
IPI,1,2946,18,0
IPI,1,3135,16,0
IPI,1,2162,16,0
IPI,1,2082,16,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2081,17,0
IPI,1,2081,16,0
IPI,1,2108,16,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2108,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2082,17,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2460,17,0
IPI,1,2081,13,0
IPI,1,2081,16,0
IPI,1,2054,16,0
IPI,1,2054,17,0
IPI,1,2081,16,0
IPI,1,2082,16,0
IPI,1,2081,17,0
IPI,1,2081,16,0
IPI,1,2054,16,0
IPI,1,2108,16,0
IPI,1,2108,16,0
IPI,1,2081,17,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2054,17,0
IPI,1,2027,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2108,17,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2054,17,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2055,16,0
IPI,1,2054,17,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2081,17,0
IPI,1,2109,16,0
IPI,1,2081,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2054,17,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2081,17,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2189,13,0
IPI,1,2027,14,0
IPI,1,2054,16,0
IPI,1,2055,16,0
IPI,1,2081,16,0
IPI,1,2054,16,0
IPI,1,2081,17,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2108,16,0
IPI,1,2081,16,0
IPI,1,2514,16,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2081,17,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2054,16,0
IPI,1,2081,16,0
IPI,1,2081,16,0
IPI,1,2135,16,0
