Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,14379,147,2
ExtINT,1,5675,47,0
ExtINT,1,5162,46,0
ExtINT,1,5459,47,0
ExtINT,1,5568,46,0
ExtINT,1,5378,46,0
ExtINT,1,5433,46,0
ExtINT,1,5783,49,0
ExtINT,1,5541,48,0
ExtINT,1,5405,46,0
ExtINT,1,5676,48,0
ExtINT,1,5595,46,0
ExtINT,1,5486,46,0
ExtINT,1,5703,49,0
ExtINT,1,5513,46,0
ExtINT,1,5406,46,0
ExtINT,1,6027,51,0
ExtINT,1,5405,46,0
ExtINT,1,5460,47,0
ExtINT,1,5756,48,0
ExtINT,1,5379,46,0
ExtINT,1,5378,46,0
ExtINT,1,5406,46,0
ExtINT,1,5378,46,0
ExtINT,1,5757,49,0
ExtINT,1,5378,46,0
ExtINT,1,5460,46,0
ExtINT,1,5378,46,0
ExtINT,1,5540,46,0
ExtINT,1,5433,47,0
ExtINT,1,5432,46,0
ExtINT,1,5433,46,0
ExtINT,1,5648,48,0
ExtINT,1,5622,46,0
ExtINT,1,5567,47,0
ExtINT,1,5433,46,0
ExtINT,1,5405,46,0
ExtINT,1,5649,46,0
ExtINT,1,5405,46,0
ExtINT,1,5378,46,0
ExtINT,1,5595,48,0
ExtINT,1,5432,46,0
ExtINT,1,5433,46,0
ExtINT,1,5351,46,0
ExtINT,1,5595,46,0
ExtINT,1,5405,47,0
ExtINT,1,5460,46,0
ExtINT,1,5405,46,0
ExtINT,1,5622,48,0
ExtINT,1,5459,46,0
ExtINT,1,5432,47,0
ExtINT,1,5432,46,0
ExtINT,1,5405,46,0
ExtINT,1,5594,46,0
ExtINT,1,5460,46,0
ExtINT,1,18351,193,0
ExtINT,1,14081,90,0
ExtINT,1,13811,88,0
ExtINT,1,13675,89,0
ExtINT,1,14568,93,0
ExtINT,1,13568,86,0
ExtINT,1,13675,83,0
ExtINT,1,13757,87,0
ExtINT,1,13622,85,0
ExtINT,1,13865,88,0
ExtINT,1,13540,87,0
ExtINT,1,13568,85,0
ExtINT,1,13513,85,0
ExtINT,1,13757,87,0
ExtINT,1,13568,87,0
ExtINT,1,13648,86,0
ExtINT,1,13541,85,0
ExtINT,1,13703,88,0
ExtINT,1,13621,84,0
ExtINT,1,13514,86,0
ExtINT,1,13540,86,0
ExtINT,1,13541,86,0
ExtINT,1,13513,86,0
ExtINT,1,13703,86,0
ExtINT,1,13460,85,0
ExtINT,1,13675,88,0
ExtINT,1,13541,87,0
ExtINT,1,13567,86,0
ExtINT,1,13513,87,0
ExtINT,1,13622,87,0
ExtINT,1,13540,83,0
ExtINT,1,13649,87,0
ExtINT,1,13567,87,0
ExtINT,1,13703,89,0
ExtINT,1,13541,85,0
ExtINT,1,13567,85,0
ExtINT,1,13541,84,0
ExtINT,1,13676,87,0
ExtINT,1,13594,87,0
ExtINT,1,13541,87,0
ExtINT,1,13540,86,0
ExtINT,1,13649,87,0
ExtINT,1,13811,84,0
ExtINT,1,13513,86,0
ExtINT,1,13460,86,0
ExtINT,1,13540,86,0
ExtINT,1,13595,86,0
ExtINT,1,13540,87,0
ExtINT,1,13487,84,0
ExtINT,1,13676,88,0
ExtINT,1,13621,86,0
ExtINT,1,13649,87,0
ExtINT,1,13567,87,0
ExtINT,1,13514,86,0
ExtINT,1,13568,84,0
ExtINT,1,13567,85,0
ExtINT,1,13541,86,0
ExtINT,1,13675,88,0
ExtINT,1,13595,87,0
ExtINT,1,13514,87,0
ExtINT,1,13513,84,0
ExtINT,1,13784,85,0
ExtINT,1,13595,87,0
ExtINT,1,13513,86,0
ExtINT,1,13487,87,0
ExtINT,1,13864,88,0
ExtINT,1,13595,85,0
ExtINT,1,13541,87,0
ExtINT,1,13594,86,0
ExtINT,1,13487,87,0
ExtINT,1,13567,87,0
ExtINT,1,13541,86,0
ExtINT,1,13540,84,0
ExtINT,1,14000,86,0
ExtINT,1,13730,86,0
ExtINT,1,13595,87,0
ExtINT,1,13730,86,0
ExtINT,1,13567,87,0
ExtINT,1,13676,84,0
ExtINT,1,13486,86,0
ExtINT,1,13838,86,0
ExtINT,1,13514,86,0
ExtINT,1,13622,86,0
ExtINT,1,13756,86,0
ExtINT,1,13757,84,0
ExtINT,1,13730,87,0
ExtINT,1,13676,87,0
ExtINT,1,13540,85,0
ExtINT,1,13622,87,0
ExtINT,1,13594,87,0
ExtINT,1,13595,85,0
ExtINT,1,13541,86,0
ExtINT,1,13594,86,0
ExtINT,1,13568,86,0
ExtINT,1,13730,86,0
ExtINT,1,13540,87,0
ExtINT,1,13568,85,0
ExtINT,1,13567,87,0
ExtINT,1,13595,86,0
ExtINT,1,13784,85,0
ExtINT,1,13594,86,0
ExtINT,1,13595,86,0
ExtINT,1,13567,84,0
ExtINT,1,13595,85,0
ExtINT,1,13460,87,0
ExtINT,1,13567,86,0
ExtINT,1,13568,85,0
ExtINT,1,13540,86,0
ExtINT,1,13622,84,0
ExtINT,1,13540,86,0
ExtINT,1,13595,86,0
ExtINT,1,13541,86,0
ExtINT,1,13540,86,0
ExtINT,1,13595,86,0
ExtINT,1,13567,85,0
ExtINT,1,13541,87,0
ExtINT,1,13541,87,0
ExtINT,1,13567,86,0
ExtINT,1,13838,85,0
ExtINT,1,13541,87,0
ExtINT,1,13540,83,0
ExtINT,1,13541,87,0
ExtINT,1,13594,85,0
ExtINT,1,13541,87,0
ExtINT,1,13594,87,0
ExtINT,1,13540,85,0
ExtINT,1,13595,85,0
ExtINT,1,13594,87,0
ExtINT,1,13595,87,0
ExtINT,1,13621,86,0
ExtINT,1,14163,86,0
ExtINT,1,13729,86,0
ExtINT,1,13649,85,0
ExtINT,1,13622,87,0
ExtINT,1,13513,86,0
ExtINT,1,13784,86,0
ExtINT,1,13513,86,0
ExtINT,1,13756,85,0
ExtINT,1,13946,84,0
ExtINT,1,13676,87,0
ExtINT,1,13514,86,0
ExtINT,1,13729,87,0
ExtINT,1,13567,85,0
ExtINT,1,13568,86,0
ExtINT,1,13567,85,0
ExtINT,1,13540,85,0
ExtINT,1,13730,87,0
ExtINT,1,13730,87,0
ExtINT,1,13540,87,0
ExtINT,1,13703,86,0
ExtINT,1,13541,83,0
ExtINT,1,36135,87,0
ExtINT,1,16540,86,0
ExtINT,1,13703,87,0
ExtINT,1,13703,87,0
ExtINT,1,19081,86,0
ExtINT,1,13648,82,0
ExtINT,1,14244,87,0
ExtINT,1,13513,87,0
ExtINT,1,13568,86,0
ExtINT,1,13649,86,0
ExtINT,1,13567,86,0
ExtINT,1,13568,84,0
ExtINT,1,13540,86,0
ExtINT,1,13622,86,0
ExtINT,1,13567,87,0
ExtINT,1,13595,87,0
ExtINT,1,14865,87,0
ExtINT,1,13784,83,0
ExtINT,1,13568,86,0
ExtINT,1,13729,86,0
ExtINT,1,13595,87,0
ExtINT,1,13676,87,0
ExtINT,1,13540,87,0
ExtINT,1,13973,84,0
ExtINT,1,14027,85,0
ExtINT,1,13649,87,0
ExtINT,1,13784,87,0
ExtINT,1,13594,86,0
ExtINT,1,13703,86,0
ExtINT,1,13784,84,0
ExtINT,1,13703,86,0
ExtINT,1,13594,87,0
ExtINT,1,13784,86,0
ExtINT,1,13622,87,0
ExtINT,1,13621,87,0
ExtINT,1,13568,84,0
ExtINT,1,13730,85,0
ExtINT,1,13622,85,0
ExtINT,1,13865,86,0
ExtINT,1,13541,87,0
ExtINT,1,13675,87,0
ExtINT,1,13649,85,0
ExtINT,1,14027,86,0
ExtINT,1,13703,85,0
ExtINT,1,13540,86,0
ExtINT,1,13784,87,0
ExtINT,1,13594,86,0
ExtINT,1,13703,85,0
ExtINT,1,13513,85,0
ExtINT,1,13757,87,0
ExtINT,1,13487,86,0
ExtINT,1,13621,86,0
ExtINT,1,13568,86,0
ExtINT,1,13595,85,0
ExtINT,1,13621,86,0
ExtINT,1,13703,86,0
ExtINT,1,13595,85,0
ExtINT,1,13621,86,0
ExtINT,1,13514,87,0
ExtINT,1,13567,84,0
ExtINT,1,13594,87,0
ExtINT,1,13811,86,0
ExtINT,1,13703,84,0
ExtINT,1,13486,87,0
ExtINT,1,13676,87,0
ExtINT,1,13540,84,0
ExtINT,1,14136,86,0
ExtINT,1,13783,85,0
ExtINT,1,13568,87,0
ExtINT,1,13757,86,0
ExtINT,1,13702,86,0
ExtINT,1,13622,85,0
ExtINT,1,13757,87,0
ExtINT,1,14459,87,0
ExtINT,1,13649,86,0
ExtINT,1,13730,85,0
ExtINT,1,13487,85,0
ExtINT,1,13594,85,0
ExtINT,1,14000,87,0
ExtINT,1,13756,87,0
ExtINT,1,13757,85,0
ExtINT,1,14108,85,0
ExtINT,1,13757,86,0
ExtINT,1,15162,85,0
ExtINT,1,13703,85,0
ExtINT,1,13837,87,0
ExtINT,1,13568,85,0
ExtINT,1,13757,87,0
ExtINT,1,13513,86,0
ExtINT,1,13703,84,0
ExtINT,1,13622,87,0
ExtINT,1,13567,87,0
ExtINT,1,14298,86,0
ExtINT,1,14297,86,0
ExtINT,1,14135,86,0
ExtINT,1,14298,84,0
ExtINT,1,14324,86,0
ExtINT,1,14433,87,0
ExtINT,1,13973,87,0
ExtINT,1,13919,86,0
ExtINT,1,13757,85,0
ExtINT,1,13567,85,0
ExtINT,1,13514,87,0
ExtINT,1,13540,86,0
ExtINT,1,13595,86,0
ExtINT,1,13595,85,0
ExtINT,1,13567,86,0
ExtINT,1,13487,85,0
ExtINT,1,13621,85,0
ExtINT,1,13514,87,0
ExtINT,1,14595,86,0
ExtINT,1,13594,87,0
ExtINT,1,13730,86,0
ExtINT,1,13703,83,0
ExtINT,1,13649,86,0
ExtINT,1,13702,87,0
ExtINT,1,13541,86,0
ExtINT,1,13676,87,0
ExtINT,1,13810,85,0
ExtINT,1,13567,83,0
ExtINT,1,13757,86,0
ExtINT,1,13784,87,0
ExtINT,1,13702,86,0
ExtINT,1,13567,86,0
ExtINT,1,13811,86,0
ExtINT,1,13541,85,0
ExtINT,1,13621,87,0
ExtINT,1,13676,85,0
ExtINT,1,13568,87,0
ExtINT,1,13648,86,0
ExtINT,1,13811,87,0
ExtINT,1,13649,83,0
ExtINT,1,13595,86,0
ExtINT,1,13540,86,0
ExtINT,1,13676,87,0
ExtINT,1,13595,87,0
ExtINT,1,13621,87,0
ExtINT,1,14568,84,0
ExtINT,1,13757,85,0
ExtINT,1,13783,86,0
ExtINT,1,13568,87,0
ExtINT,1,13811,86,0
ExtINT,1,13621,86,0
ExtINT,1,13621,84,0
ExtINT,1,13514,86,0
ExtINT,1,13567,87,0
ExtINT,1,13595,85,0
ExtINT,1,13595,87,0
ExtINT,1,32405,88,0
ExtINT,1,13973,85,0
ExtINT,1,14027,85,0
ExtINT,1,13649,86,0
ExtINT,1,13730,86,0
ExtINT,1,13838,87,0
ExtINT,1,13757,87,0
ExtINT,1,13838,84,0
ExtINT,1,14027,86,0
ExtINT,1,13865,84,0
ExtINT,1,13892,87,0
ExtINT,1,13756,86,0
ExtINT,1,14027,86,0
ExtINT,1,13784,85,0
ExtINT,1,13594,86,0
ExtINT,1,13568,86,0
ExtINT,1,13568,87,0
ExtINT,1,13567,85,0
ExtINT,1,13649,87,0
ExtINT,1,13540,84,0
ExtINT,1,13568,87,0
ExtINT,1,13595,85,0
ExtINT,1,13567,85,0
ExtINT,1,13568,86,0
ExtINT,1,13648,87,0
ExtINT,1,13568,84,0
ExtINT,1,13892,86,0
ExtINT,1,14108,86,0
ExtINT,1,13622,85,0
ExtINT,1,13513,87,0
ExtINT,1,13649,86,0
ExtINT,1,13757,84,0
ExtINT,1,13622,86,0
ExtINT,1,13783,85,0
ExtINT,1,13649,87,0
ExtINT,1,13568,87,0
ExtINT,1,13567,85,0
ExtINT,1,13649,85,0
ExtINT,1,13595,86,0
ExtINT,1,13540,86,0
ExtINT,1,40541,86,0
ExtINT,1,13729,86,0
ExtINT,1,13973,86,0
ExtINT,1,13946,83,0
ExtINT,1,22595,89,0
ExtINT,1,13784,87,0
ExtINT,1,14135,84,0
ExtINT,1,13594,85,0
ExtINT,1,13595,87,0
ExtINT,1,13541,84,0
ExtINT,1,13648,86,0
ExtINT,1,13622,85,0
ExtINT,1,13513,86,0
ExtINT,1,13514,87,0
ExtINT,1,13622,86,0
ExtINT,1,13594,85,0
ExtINT,1,13649,87,0
ExtINT,1,13594,86,0
ExtINT,1,13730,87,0
ExtINT,1,13568,86,0
ExtINT,1,13594,86,0
ExtINT,1,13514,84,0
ExtINT,1,13595,86,0
ExtINT,1,13837,86,0
ExtINT,1,13703,87,0
ExtINT,1,14027,84,0
ExtINT,1,13676,86,0
ExtINT,1,13811,85,0
ExtINT,1,13595,86,0
ExtINT,1,13810,86,0
ExtINT,1,13703,86,0
ExtINT,1,13676,86,0
ExtINT,1,13594,87,0
ExtINT,1,13568,84,0
ExtINT,1,13649,87,0
ExtINT,1,13675,86,0
ExtINT,1,13595,86,0
ExtINT,1,13703,86,0
ExtINT,1,13892,86,0
ExtINT,1,13621,84,0
ExtINT,1,13702,87,0
ExtINT,1,14054,86,0
ExtINT,1,13946,87,0
ExtINT,1,13892,87,0
ExtINT,1,13811,85,0
ExtINT,1,13730,83,0
ExtINT,1,13703,87,0
ExtINT,1,13783,87,0
ExtINT,1,13595,86,0
ExtINT,1,13919,86,0
ExtINT,1,13595,86,0
ExtINT,1,13729,85,0
ExtINT,1,13649,86,0
ExtINT,1,13676,87,0
ExtINT,1,13757,87,0
ExtINT,1,13594,85,0
ExtINT,1,13676,86,0
ExtINT,1,13594,84,0
ExtINT,1,13595,87,0
ExtINT,1,13595,87,0
ExtINT,1,13621,86,0
ExtINT,1,13622,87,0
ExtINT,1,13595,87,0
ExtINT,1,13810,83,0
ExtINT,1,13784,86,0
ExtINT,1,13568,87,0
ExtINT,1,14000,87,0
ExtINT,1,13838,86,0
ExtINT,1,13621,86,0
ExtINT,1,13676,83,0
ExtINT,1,13811,86,0
ExtINT,1,13621,87,0
ExtINT,1,13676,86,0
ExtINT,1,13676,86,0
ExtINT,1,13784,86,0
ExtINT,1,13702,84,0
ExtINT,1,13622,85,0
ExtINT,1,13757,87,0
ExtINT,1,13811,87,0
ExtINT,1,13919,85,0
ExtINT,1,13838,87,0
ExtINT,1,14054,84,0
ExtINT,1,14270,87,0
ExtINT,1,13757,86,0
ExtINT,1,13730,87,0
ExtINT,1,13649,86,0
ExtINT,1,13621,86,0
ExtINT,1,13622,84,0
ExtINT,1,13622,86,0
ExtINT,1,13540,87,0
ExtINT,1,13541,86,0
ExtINT,1,13648,86,0
ExtINT,1,14217,87,0
ExtINT,1,14108,84,0
ExtINT,1,14135,86,0
ExtINT,1,14108,86,0
ExtINT,1,14406,87,0
ExtINT,1,14108,86,0
ExtINT,1,14243,86,0
ExtINT,1,13973,85,0
ExtINT,1,13946,87,0
ExtINT,1,13946,84,0
ExtINT,1,13622,86,0
ExtINT,1,13649,86,0
ExtINT,1,13648,87,0
ExtINT,1,13649,85,0
ExtINT,1,13622,85,0
ExtINT,1,13621,86,0
ExtINT,1,13622,87,0
ExtINT,1,13703,86,0
ExtINT,1,13756,87,0
ExtINT,1,13649,85,0
ExtINT,1,13838,85,0
ExtINT,1,13595,87,0
ExtINT,1,13567,86,0
ExtINT,1,13838,87,0
ExtINT,1,13811,87,0
ExtINT,1,13595,84,0
ExtINT,1,13648,87,0
ExtINT,1,13595,87,0
ExtINT,1,13973,85,0
ExtINT,1,13784,86,0
ExtINT,1,13594,87,0
ExtINT,1,13568,85,0
ExtINT,1,13676,85,0
ExtINT,1,13540,86,0
ExtINT,1,13595,86,0
ExtINT,1,13810,86,0
ExtINT,1,13595,87,0
ExtINT,1,13811,84,0
ExtINT,1,13568,87,0
ExtINT,1,13811,86,0
ExtINT,1,13864,86,0
ExtINT,1,14163,86,0
ExtINT,1,14027,86,0
ExtINT,1,13756,85,0
ExtINT,1,13811,86,0
ExtINT,1,13946,86,0
ExtINT,1,13946,87,0
ExtINT,1,13865,85,0
ExtINT,1,13622,86,0
ExtINT,1,13567,84,0
ExtINT,1,13568,87,0
ExtINT,1,13649,85,0
ExtINT,1,13567,86,0
ExtINT,1,13541,85,0
ExtINT,1,13567,86,0
ExtINT,1,13568,84,0
ExtINT,1,26243,87,0
ExtINT,1,13865,86,0
ExtINT,1,13946,85,0
ExtINT,1,13703,86,0
ExtINT,1,14000,86,0
ExtINT,1,13730,84,0
ExtINT,1,13838,86,0
ExtINT,1,13838,85,0
ExtINT,1,13919,87,0
ExtINT,1,13703,86,0
ExtINT,1,14135,85,0
ExtINT,1,13973,84,0
ExtINT,1,13946,86,0
ExtINT,1,13784,87,0
ExtINT,1,13595,85,0
ExtINT,1,13703,86,0
ExtINT,1,13837,86,0
ExtINT,1,13568,84,0
ExtINT,1,13784,87,0
ExtINT,1,13784,87,0
ExtINT,1,13702,87,0
ExtINT,1,13568,85,0
ExtINT,1,13541,87,0
ExtINT,1,13621,83,0
ExtINT,1,13595,87,0
