Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,2919,22,0
IntINT,1,3081,18,0
IntINT,1,2081,15,0
IntINT,1,3054,20,0
IntINT,1,2081,15,0
IntINT,1,2135,15,0
IntINT,1,2108,15,0
IntINT,1,2757,18,0
IntINT,1,2081,15,0
IntINT,1,2027,16,0
IntINT,1,3054,17,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2838,17,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2703,17,0
IntINT,1,2108,16,0
IntINT,1,2055,15,0
IntINT,1,3162,17,0
IntINT,1,2027,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2054,16,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2433,16,0
IntINT,1,2054,12,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2108,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2081,15,0
IntINT,1,2081,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2027,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2082,16,0
IntINT,1,2054,15,0
IntINT,1,2108,15,0
IntINT,1,2027,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2055,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2108,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2082,16,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2190,12,0
IntINT,1,2054,13,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2055,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2055,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2108,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2027,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2081,16,0
IntINT,1,2108,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2027,15,0
IntINT,1,2054,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2136,14,0
IntINT,1,2054,12,0
IntINT,1,2054,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2027,15,0
IntINT,1,2054,15,0
IntINT,1,2054,16,0
IntINT,1,2081,15,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2109,15,0
IntINT,1,2108,16,0
IntINT,1,2054,15,0
IntINT,1,2081,15,0
IntINT,1,2081,16,0
IntINT,1,2027,15,0
IntINT,1,2028,15,0
