Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4058189,1214,9
PART,1,4108027,1628,16
PART,2,3734946,3071,19
PART,3,3666648,302,4
PART,4,6528487,1897,29
PART,5,4662595,2364,19
PART,6,3991324,1318,8
PART,7,4929054,272,5
PART,8,4330676,9953,31
PART,9,6511919,7065,11
PART,0,4057460,1204,9
PART,1,4105108,1644,16
PART,2,3666946,1585,19
PART,3,3670000,285,5
PART,4,6512595,1633,29
PART,5,4654081,2255,19
PART,6,3941487,5096,8
PART,7,4928595,272,5
PART,8,4329837,9941,31
PART,9,6504811,6180,11
PART,0,4058244,1167,9
PART,1,4097405,1440,16
PART,2,3718622,1616,19
PART,3,3672595,285,4
PART,4,6507892,1593,29
PART,5,4650162,2238,19
PART,6,3942027,5089,8
PART,7,4928811,273,5
PART,8,4329865,9933,31
PART,9,6505351,6189,11
PART,0,4057081,1174,9
PART,1,4097946,1462,16
PART,2,3718541,1622,19
PART,3,3669865,287,5
PART,4,6506378,1584,29
PART,5,4652838,2262,19
PART,6,3942108,5099,8
PART,7,4928838,271,5
PART,8,4329946,9936,31
PART,9,6504756,6166,11
PART,0,4056405,1167,9
PART,1,4101027,1506,16
PART,2,3667054,1592,19
PART,3,3670352,286,4
PART,4,6505973,1596,29
PART,5,4651675,2255,19
PART,6,3942055,5086,8
PART,7,4929405,272,5
PART,8,4330190,9937,31
PART,9,6503973,6155,11
PART,0,4056379,1167,9
PART,1,4095946,1485,16
PART,2,3668379,1610,19
PART,3,3669973,285,4
PART,4,6506946,1593,29
PART,5,4650054,2240,19
PART,6,3942540,5099,8
PART,7,4929000,272,5
PART,8,4330351,9939,31
PART,9,6504649,6195,11
PART,0,4057243,1168,9
PART,1,4096919,1510,16
PART,2,3667595,1610,19
PART,3,3669838,287,4
PART,4,6506648,1587,29
PART,5,4651000,2249,19
PART,6,3942406,5097,8
PART,7,4929027,273,5
PART,8,4330081,9938,31
PART,9,6506054,6166,11
PART,0,4058270,1174,9
PART,1,4096810,1465,16
PART,2,3665081,1576,19
PART,3,3670378,286,4
PART,4,6506622,1597,29
PART,5,4651054,2257,19
PART,6,3941919,5085,8
PART,7,4929189,272,5
PART,8,4330109,9941,31
PART,9,6505621,6132,11
PART,0,4058162,1167,9
PART,1,4103757,1452,16
PART,2,3668838,1587,19
PART,3,3670568,286,5
PART,4,6508270,1594,29
PART,5,4650054,2240,19
PART,6,3941595,5093,8
PART,7,4929676,274,5
PART,8,4329838,9938,31
PART,9,6507216,6149,11
PART,0,4057190,1172,9
PART,1,4099810,1491,16
PART,2,3667730,1605,19
PART,3,3671649,287,4
PART,4,6506162,1588,29
PART,5,4656676,2252,19
PART,6,3942324,5097,8
PART,7,4929189,275,5
PART,8,4330108,9938,31
PART,9,6505568,6149,11
PART,0,4058756,1174,9
PART,1,4102459,1469,16
PART,2,3666973,1580,19
PART,3,3669757,287,4
PART,4,6507838,1594,29
PART,5,4652865,2260,19
PART,6,3942459,5087,8
PART,7,4929000,272,5
PART,8,4329568,9941,31
PART,9,6504811,6180,12
PART,0,4056811,1174,9
PART,1,4110378,1444,16
PART,2,3668514,1604,19
PART,3,3671648,281,4
PART,4,6506027,1599,29
PART,5,4651784,2236,19
PART,6,3942594,5095,8
PART,7,4929405,273,5
PART,8,4329730,9940,31
PART,9,6506973,6179,11
PART,0,4059973,1169,9
PART,1,4100919,1463,16
PART,2,3669540,1601,19
PART,3,3672162,287,4
PART,4,6508756,1593,29
PART,5,4654189,2258,19
PART,6,3945460,5095,8
PART,7,4929649,276,5
PART,8,4330243,9940,31
PART,9,6506973,6182,11
PART,0,4057622,1170,9
PART,1,4111541,1464,16
PART,2,3668783,1576,19
PART,3,3669919,285,4
PART,4,6506190,1600,29
PART,5,4653783,2261,19
PART,6,3947378,5109,8
PART,7,4929135,273,5
PART,8,4331162,9940,31
PART,9,6505649,6139,11
PART,0,4059108,1170,9
PART,1,4100784,1444,16
PART,2,3667162,1608,19
PART,3,3670108,284,5
PART,4,6507757,1601,29
PART,5,4651919,2240,19
PART,6,3952054,5095,8
PART,7,4929162,276,5
PART,8,4330081,9940,31
PART,9,6507189,6149,11
PART,0,4059432,1173,9
PART,1,4100433,1460,16
PART,2,3666621,1602,19
PART,3,3670189,284,5
PART,4,6507459,1590,29
PART,5,4654352,2254,19
PART,6,3954514,5096,8
PART,7,4929460,272,5
PART,8,4329649,9940,31
PART,9,6505622,6108,11
PART,0,4059405,1174,9
PART,1,4097081,1461,16
PART,2,3665027,1564,19
PART,3,3669487,283,5
PART,4,6510432,1598,29
PART,5,4653595,2252,19
PART,6,3954919,5081,8
PART,7,4929432,272,5
PART,8,4329811,9940,31
PART,9,6505675,6136,11
PART,0,4057162,1171,9
PART,1,4097108,1440,16
PART,2,3668757,1597,19
PART,3,3672190,280,4
PART,4,6508243,1601,29
PART,5,4653027,2236,19
PART,6,3954703,5086,8
PART,7,4929243,272,5
PART,8,4329838,9940,31
PART,9,6505730,6143,11
PART,0,4057216,1169,9
PART,1,4101108,1460,16
PART,2,3666729,1598,19
PART,3,3672378,285,4
PART,4,6507811,1589,29
PART,5,4655136,2256,19
PART,6,3954244,5094,8
PART,7,4929027,272,5
PART,8,4330243,9942,31
PART,9,6505189,6153,11
PART,0,4056189,1162,9
PART,1,4104297,1484,16
PART,2,3667054,1569,19
PART,3,3670325,286,4
PART,4,6509432,1594,29
PART,5,4654541,2261,19
PART,6,3954865,5083,8
PART,7,4929000,271,5
PART,8,4330189,9940,31
PART,9,6505649,6122,11
PART,0,4056594,1168,9
PART,1,4100189,1483,16
PART,2,3668027,1592,19
PART,3,3669946,284,4
PART,4,6508757,1592,29
PART,5,4652216,2241,19
PART,6,3955432,5094,8
PART,7,4928783,273,5
PART,8,4329703,9940,31
PART,9,6506081,6120,11
PART,0,4057081,1171,9
PART,1,4100351,1454,16
PART,2,3667918,1591,19
PART,3,3669838,284,4
PART,4,6506649,1587,29
PART,5,4651784,2254,19
PART,6,3955000,5098,8
PART,7,4929756,269,5
PART,8,4330109,9941,31
PART,9,6504757,6078,11
PART,0,4058865,1170,9
PART,1,4100298,1492,16
PART,2,3666621,1570,19
PART,3,3669891,284,5
PART,4,6509432,1593,29
PART,5,4656460,2261,19
PART,6,3954460,5092,8
PART,7,4929405,273,5
PART,8,4330216,9938,31
PART,9,6506621,6121,11
PART,0,4059000,1169,9
PART,1,4101352,1493,16
PART,2,3667621,1593,19
PART,3,3670054,283,4
PART,4,6508325,1595,29
PART,5,4652081,2244,19
PART,6,3954892,5094,8
PART,7,4929352,269,5
PART,8,4330081,9941,31
PART,9,6508189,6122,11
PART,0,4057432,1171,9
PART,1,4100297,1465,16
PART,2,3668838,1581,19
PART,3,3670027,283,5
PART,4,6507297,1584,29
PART,5,4652568,2261,19
PART,6,3955081,5095,8
PART,7,4929324,274,5
PART,8,4330162,9940,31
PART,9,6505135,6120,11
PART,0,4058433,1172,9
PART,1,4103081,1460,16
PART,2,3718162,1568,19
PART,3,3669946,284,4
PART,4,6507676,1593,29
PART,5,4655622,2253,19
PART,6,3955162,5081,8
PART,7,4928973,273,5
PART,8,4329865,9939,31
PART,9,6504811,6136,11
PART,0,4057162,1166,9
PART,1,4102649,1469,16
PART,2,3667838,1593,19
PART,3,3672568,285,5
PART,4,6508243,1596,29
PART,5,4652973,2240,19
PART,6,3954756,5100,8
PART,7,4929351,271,5
PART,8,4330136,9940,31
PART,9,6504865,6123,11
PART,0,4056838,1167,9
PART,1,4104648,1463,16
PART,2,3667378,1588,19
PART,3,3672054,285,4
PART,4,6507027,1589,29
PART,5,4655135,2259,19
PART,6,3955108,5099,8
PART,7,4929162,273,5
PART,8,4329892,9936,31
PART,9,6505622,6112,11
PART,0,4056729,1172,9
PART,1,4100108,1494,16
PART,2,3668109,1567,19
PART,3,3669622,287,4
PART,4,6509298,1599,29
PART,5,4653324,2256,19
PART,6,3957379,5097,8
PART,7,4929622,273,5
PART,8,4330081,9938,31
PART,9,6505487,6122,11
PART,0,4057811,1170,9
PART,1,4103297,1448,16
PART,2,3667676,1599,19
PART,3,3670351,286,4
PART,4,6507325,1597,29
PART,5,4651298,2239,19
PART,6,3955622,5098,8
PART,7,4929487,273,5
PART,8,4329919,9941,31
PART,9,6506783,6128,11
PART,0,4057838,1169,9
PART,1,4101838,1504,16
PART,2,3668297,1608,19
PART,3,3672324,285,4
