Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4052217,9017,9
PART,1,4231081,51647,16
PART,2,3954351,6233,19
PART,3,3669487,14121,4
PART,4,6584108,6697,29
PART,5,4721027,33620,19
PART,6,3989595,42819,8
PART,7,4929351,592,5
PART,8,4333838,11483,31
PART,9,6511297,43324,11
PART,0,4051919,9008,9
PART,1,4232459,51839,16
PART,2,3893568,6171,19
PART,3,3669324,14110,4
PART,4,6584648,6712,29
PART,5,4721216,33642,19
PART,6,3941298,42557,8
PART,7,4929081,599,5
PART,8,4334297,16489,31
PART,9,6510594,43272,11
PART,0,4051541,9013,9
PART,1,4229270,51525,16
PART,2,3894919,6167,19
PART,3,3669432,14110,4
PART,4,6582675,6725,29
PART,5,4720730,33596,19
PART,6,3940756,42550,8
PART,7,4929162,594,5
PART,8,4333433,16498,31
PART,9,6510325,43309,11
PART,0,4053189,9024,9
PART,1,4235000,51827,16
PART,2,3955135,6244,19
PART,3,3669433,14112,4
PART,4,6583757,6721,29
PART,5,4719973,33648,19
PART,6,3941243,42540,8
PART,7,4929244,596,5
PART,8,4333757,16493,31
PART,9,6510675,43254,11
PART,0,4051946,9015,9
PART,1,4230702,51728,16
PART,2,3894000,6170,19
PART,3,3669081,14105,4
PART,4,6581730,6702,29
PART,5,4719270,33589,19
PART,6,3940811,42549,8
PART,7,4929514,607,5
PART,8,4333541,16497,31
PART,9,6510216,43250,11
PART,0,4050189,9021,9
PART,1,4234676,51875,16
PART,2,3896514,6186,19
PART,3,3668973,14108,4
PART,4,6582540,6697,29
PART,5,4719649,33575,19
PART,6,3941108,42539,8
PART,7,4929703,598,5
PART,8,4333892,16505,31
PART,9,6510351,43323,11
PART,0,4058297,9068,9
PART,1,4230865,51781,16
PART,2,3954432,6235,19
PART,3,3669378,14103,4
PART,4,6585055,6705,29
PART,5,4718271,33602,19
PART,6,3940676,42546,8
PART,7,4929351,592,5
PART,8,4334325,16502,31
PART,9,6509946,43315,11
PART,0,4052270,9066,9
PART,1,4226675,51603,16
PART,2,3897621,6205,19
PART,3,3669811,14116,4
PART,4,6584594,6719,29
PART,5,4718000,33563,19
PART,6,3940892,42547,8
PART,7,4929486,601,5
PART,8,4334568,11500,31
PART,9,6508946,43322,11
PART,0,4052703,9033,9
PART,1,4230054,51647,16
PART,2,3894973,6183,19
PART,3,3669108,14109,4
PART,4,6585649,6734,29
PART,5,4720811,33553,19
PART,6,3940730,42560,8
PART,7,4929730,606,5
PART,8,4333838,11472,31
PART,9,6511918,43327,11
PART,0,4051270,8979,9
PART,1,4227838,51712,16
PART,2,3895378,6166,19
PART,3,3669271,14105,4
PART,4,6585676,6738,29
PART,5,4721324,33604,19
PART,6,3941000,42529,8
PART,7,4928865,588,5
PART,8,4334757,11503,31
PART,9,6510568,43230,11
PART,0,4050703,8984,9
PART,1,4230000,51547,16
PART,2,3894027,6171,19
PART,3,3669405,14116,5
PART,4,6585270,6701,29
PART,5,4720270,33602,19
PART,6,3940702,42543,8
PART,7,4929270,599,5
PART,8,4334567,16508,31
PART,9,6511054,43319,11
PART,0,4051027,9044,9
PART,1,4229540,51539,16
PART,2,3896919,6201,19
PART,3,3669082,14113,4
PART,4,6583027,6736,29
PART,5,4720027,33595,19
PART,6,3941514,42626,8
PART,7,4928892,589,5
PART,8,4334216,11501,31
PART,9,6510108,43221,11
PART,0,4051433,9033,9
PART,1,4229730,51762,16
PART,2,3898081,6199,19
PART,3,3669135,14102,4
PART,4,6582622,6716,29
PART,5,4720621,33608,19
PART,6,3943000,42556,8
PART,7,4929324,595,5
PART,8,4334027,16512,31
PART,9,6510297,43242,11
PART,0,4052568,9024,9
PART,1,4232649,51641,16
PART,2,3896621,6181,19
PART,3,3672000,14121,4
PART,4,6581946,6677,29
PART,5,4718190,33570,19
PART,6,3945702,42552,8
PART,7,4928784,597,5
PART,8,4334811,16508,31
PART,9,6509648,43237,11
PART,0,4052676,9028,9
PART,1,4228135,51612,16
PART,2,3893946,6165,19
PART,3,3671676,14110,4
PART,4,6582649,6705,29
PART,5,4718271,33588,19
PART,6,3949703,42507,8
PART,7,4928892,596,5
PART,8,4333378,16495,31
PART,9,6509703,43209,11
PART,0,4052027,9015,9
PART,1,4228135,51519,16
PART,2,3893298,6164,19
PART,3,3665027,14100,4
PART,4,6583217,6701,29
PART,5,4718054,33639,19
PART,6,3953460,42526,8
PART,7,4929054,595,5
PART,8,4334595,11481,31
PART,9,6509730,43316,11
PART,0,4052135,9012,9
PART,1,4229135,51736,16
PART,2,3957000,6277,19
PART,3,3671271,14113,4
PART,4,6584216,6714,29
PART,5,4719892,33589,19
PART,6,3954459,42553,8
PART,7,4929027,595,5
PART,8,4335216,16513,31
PART,9,6510513,43320,11
PART,0,4052297,9016,9
PART,1,4230378,51573,16
PART,2,3953649,6229,19
PART,3,3669352,14115,4
PART,4,6582298,6692,29
PART,5,4718945,33582,19
PART,6,3954109,42542,8
PART,7,4929027,598,5
PART,8,4333973,16454,31
PART,9,6511162,43316,11
PART,0,4050838,9022,9
PART,1,4229784,51796,16
PART,2,3895081,6167,19
PART,3,3671702,14114,4
PART,4,6584027,6698,29
PART,5,4719325,33584,19
PART,6,3954082,42523,8
PART,7,4929270,595,5
PART,8,4333730,11446,31
PART,9,6510081,43316,11
PART,0,4054459,9016,9
PART,1,4230595,51786,16
PART,2,3895162,6169,19
PART,3,3669297,14116,4
PART,4,6582621,6702,29
PART,5,4720838,33614,19
PART,6,3953648,42540,8
PART,7,4929459,602,5
PART,8,4333783,16492,31
PART,9,6510081,43316,11
PART,0,4051162,9023,9
PART,1,4234270,51753,16
PART,2,3896351,6174,19
PART,3,3669243,14109,4
PART,4,6582487,6711,29
PART,5,4720162,33622,19
PART,6,3954027,42553,8
PART,7,4928622,610,5
PART,8,4333865,11489,31
PART,9,6510054,43252,11
PART,0,4052622,9033,9
PART,1,4233406,51638,16
PART,2,3896757,6183,19
PART,3,3668811,14103,4
PART,4,6583621,6725,29
PART,5,4719379,33609,19
PART,6,3954216,42545,8
PART,7,4928676,591,5
PART,8,4333919,16497,31
PART,9,6510351,43323,11
PART,0,4052892,8978,9
PART,1,4231000,51680,16
PART,2,3955946,6250,19
PART,3,3671541,14106,5
PART,4,6585189,6720,29
PART,5,4719325,33639,19
PART,6,3953946,42535,8
PART,7,4929379,598,5
PART,8,4334594,11503,31
PART,9,6509271,43319,11
PART,0,4052297,9001,9
PART,1,4225757,51799,16
PART,2,3955027,6244,19
PART,3,3669622,14119,4
PART,4,6583486,6704,29
PART,5,4717594,33564,19
PART,6,3954919,42540,8
PART,7,4928838,594,5
PART,8,4334217,16523,31
PART,9,6508919,43328,11
PART,0,4050891,8995,9
PART,1,4230649,51706,16
PART,2,3896324,6179,19
PART,3,3669514,14108,4
PART,4,6585108,6759,29
PART,5,4721108,33628,19
PART,6,3953487,42536,8
PART,7,4929108,596,5
PART,8,4334325,11502,31
PART,9,6508703,43334,11
PART,0,4051460,9007,9
PART,1,4228405,51618,16
PART,2,3895946,6180,19
PART,3,3669513,14118,4
PART,4,6582973,6710,29
PART,5,4717891,33588,19
PART,6,3953892,42559,8
