Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,15487,402,2
ExtINT,1,4757,142,0
ExtINT,1,4514,127,0
ExtINT,1,4514,127,0
ExtINT,1,4514,128,0
ExtINT,1,4513,128,0
ExtINT,1,4486,128,0
ExtINT,1,4459,127,0
ExtINT,1,4919,129,0
ExtINT,1,4838,127,0
ExtINT,1,4486,128,0
ExtINT,1,4513,128,0
ExtINT,1,4459,128,0
ExtINT,1,4513,128,0
ExtINT,1,4513,128,0
ExtINT,1,4487,128,0
ExtINT,1,4676,130,0
ExtINT,1,4730,127,0
ExtINT,1,4675,130,0
ExtINT,1,4594,128,0
ExtINT,1,4487,128,0
ExtINT,1,4487,127,0
ExtINT,1,4487,128,0
ExtINT,1,4514,128,0
ExtINT,1,4676,131,0
ExtINT,1,4486,128,0
ExtINT,1,4838,127,0
ExtINT,1,4595,128,0
ExtINT,1,4541,129,0
ExtINT,1,4487,128,0
ExtINT,1,4487,128,0
ExtINT,1,4540,128,0
ExtINT,1,6297,131,0
ExtINT,1,5757,132,0
ExtINT,1,4486,128,0
ExtINT,1,4567,129,0
ExtINT,1,4459,127,0
ExtINT,1,4487,128,0
ExtINT,1,4487,127,0
ExtINT,1,4568,128,0
ExtINT,1,4811,129,0
ExtINT,1,4486,127,0
ExtINT,1,4513,129,0
ExtINT,1,4486,127,0
ExtINT,1,4486,127,0
ExtINT,1,4486,128,0
ExtINT,1,4486,127,0
ExtINT,1,4486,128,0
ExtINT,1,4676,129,0
ExtINT,1,4568,127,0
ExtINT,1,5622,127,0
ExtINT,1,20216,458,0
ExtINT,1,14189,314,0
ExtINT,1,13621,287,0
ExtINT,1,14919,286,0
ExtINT,1,13405,284,0
ExtINT,1,14676,313,0
ExtINT,1,13216,295,0
ExtINT,1,13298,293,0
ExtINT,1,13324,295,0
ExtINT,1,13189,293,0
ExtINT,1,13162,296,0
ExtINT,1,13297,293,0
ExtINT,1,13162,290,0
ExtINT,1,13406,298,0
ExtINT,1,13081,290,0
ExtINT,1,13082,292,0
ExtINT,1,13162,293,0
ExtINT,1,13351,292,0
ExtINT,1,13162,292,0
ExtINT,1,13190,294,0
ExtINT,1,13189,296,0
ExtINT,1,13405,301,0
ExtINT,1,13379,291,0
ExtINT,1,13297,292,0
ExtINT,1,13784,301,0
ExtINT,1,13162,293,0
ExtINT,1,13243,291,0
ExtINT,1,13352,295,0
ExtINT,1,13297,289,0
ExtINT,1,13622,294,0
ExtINT,1,13162,291,0
ExtINT,1,13297,289,0
ExtINT,1,13136,294,0
ExtINT,1,13351,294,0
ExtINT,1,13432,293,0
ExtINT,1,13216,294,0
ExtINT,1,13271,291,0
ExtINT,1,13649,298,0
ExtINT,1,13324,296,0
ExtINT,1,13298,298,0
ExtINT,1,13432,301,0
ExtINT,1,13135,296,0
ExtINT,1,15163,293,0
ExtINT,1,13486,305,0
ExtINT,1,13244,295,0
ExtINT,1,13783,299,0
ExtINT,1,13243,295,0
ExtINT,1,13216,293,0
ExtINT,1,13135,295,0
ExtINT,1,13324,298,0
ExtINT,1,14351,294,0
ExtINT,1,13244,294,0
ExtINT,1,13297,293,0
ExtINT,1,13487,299,0
ExtINT,1,13297,293,0
ExtINT,1,13190,292,0
ExtINT,1,13162,292,0
ExtINT,1,13487,290,0
ExtINT,1,13324,293,0
ExtINT,1,13189,292,0
ExtINT,1,13189,291,0
ExtINT,1,13459,292,0
ExtINT,1,13514,304,0
ExtINT,1,13405,291,0
ExtINT,1,13216,293,0
ExtINT,1,13297,297,0
ExtINT,1,13297,289,0
ExtINT,1,13081,291,0
ExtINT,1,13298,291,0
ExtINT,1,13621,288,0
ExtINT,1,13271,291,0
ExtINT,1,13109,291,0
ExtINT,1,13433,289,0
ExtINT,1,13297,291,0
ExtINT,1,13271,288,0
ExtINT,1,13189,290,0
ExtINT,1,13270,294,0
ExtINT,1,13406,292,0
ExtINT,1,13243,292,0
ExtINT,1,13081,295,0
ExtINT,1,13136,292,0
ExtINT,1,13621,298,0
ExtINT,1,13162,290,0
ExtINT,1,13460,293,0
ExtINT,1,13216,290,0
ExtINT,1,13108,289,0
ExtINT,1,13244,289,0
ExtINT,1,13162,288,0
ExtINT,1,13405,290,0
ExtINT,1,13973,301,0
ExtINT,1,13324,294,0
ExtINT,1,13297,295,0
ExtINT,1,13270,292,0
ExtINT,1,14108,292,0
ExtINT,1,13270,290,0
ExtINT,1,13216,297,0
ExtINT,1,13297,292,0
ExtINT,1,15271,293,0
ExtINT,1,13460,295,0
ExtINT,1,13162,292,0
ExtINT,1,13676,307,0
ExtINT,1,13541,290,0
ExtINT,1,13162,285,0
ExtINT,1,13054,290,0
ExtINT,1,13405,281,0
ExtINT,1,13324,288,0
ExtINT,1,13108,283,0
ExtINT,1,13108,282,0
ExtINT,1,13243,283,0
ExtINT,1,13081,285,0
ExtINT,1,13081,286,0
ExtINT,1,13244,282,0
ExtINT,1,13109,282,0
ExtINT,1,13027,284,0
ExtINT,1,13271,282,0
ExtINT,1,13081,291,0
ExtINT,1,13081,284,0
ExtINT,1,13270,286,0
ExtINT,1,13027,287,0
ExtINT,1,13595,292,0
ExtINT,1,13379,285,0
ExtINT,1,13190,285,0
ExtINT,1,13082,286,0
ExtINT,1,13325,283,0
ExtINT,1,13324,285,0
ExtINT,1,13108,284,0
ExtINT,1,13135,283,0
ExtINT,1,13243,283,0
ExtINT,1,13351,291,0
ExtINT,1,13081,292,0
ExtINT,1,13108,285,0
ExtINT,1,13297,283,0
ExtINT,1,13568,280,0
ExtINT,1,13000,286,0
ExtINT,1,13081,284,0
ExtINT,1,13217,284,0
ExtINT,1,13244,284,0
ExtINT,1,14459,287,0
ExtINT,1,13432,288,0
ExtINT,1,13081,283,0
ExtINT,1,13162,286,0
ExtINT,1,15108,349,0
ExtINT,1,13540,300,0
ExtINT,1,13243,289,0
ExtINT,1,13432,299,0
ExtINT,1,14595,292,0
ExtINT,1,13730,289,0
ExtINT,1,13190,288,0
ExtINT,1,13081,289,0
ExtINT,1,13108,294,0
ExtINT,1,13135,286,0
ExtINT,1,13081,289,0
ExtINT,1,13703,290,0
ExtINT,1,18081,292,0
ExtINT,1,13352,289,0
ExtINT,1,13081,284,0
ExtINT,1,13784,294,0
ExtINT,1,18298,289,0
ExtINT,1,13190,291,0
ExtINT,1,13055,290,0
ExtINT,1,13162,289,0
ExtINT,1,13135,292,0
ExtINT,1,13325,279,0
ExtINT,1,13216,282,0
ExtINT,1,13081,284,0
ExtINT,1,13378,282,0
ExtINT,1,13243,287,0
ExtINT,1,13351,292,0
ExtINT,1,13109,284,0
ExtINT,1,13081,281,0
ExtINT,1,13189,284,0
ExtINT,1,13216,281,0
ExtINT,1,13108,285,0
ExtINT,1,13297,287,0
ExtINT,1,13270,292,0
ExtINT,1,13756,300,0
ExtINT,1,13189,285,0
ExtINT,1,13244,294,0
ExtINT,1,13243,285,0
ExtINT,1,13054,283,0
ExtINT,1,13189,284,0
ExtINT,1,13351,281,0
ExtINT,1,13081,285,0
ExtINT,1,13054,285,0
ExtINT,1,13838,289,0
ExtINT,1,13190,287,0
ExtINT,1,13081,285,0
ExtINT,1,13081,288,0
ExtINT,1,13379,284,0
ExtINT,1,13514,284,0
ExtINT,1,13486,286,0
ExtINT,1,13297,285,0
ExtINT,1,13487,286,0
ExtINT,1,15108,292,0
ExtINT,1,13729,287,0
ExtINT,1,13217,287,0
ExtINT,1,13216,293,0
ExtINT,1,13190,289,0
ExtINT,1,13081,292,0
ExtINT,1,13405,302,0
ExtINT,1,13190,287,0
ExtINT,1,13108,295,0
