Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,3621,121,0
IPI,1,2919,85,0
IPI,1,2595,82,0
IPI,1,2865,82,0
IPI,1,2432,84,0
IPI,1,2567,85,0
IPI,1,2702,84,0
IPI,1,2513,82,0
IPI,1,2919,82,0
IPI,1,2864,83,0
IPI,1,2622,82,0
IPI,1,2676,82,0
IPI,1,2811,82,0
IPI,1,2621,83,0
IPI,1,2865,85,0
IPI,1,2541,85,0
IPI,1,2460,85,0
IPI,1,2838,83,0
IPI,1,2594,82,0
IPI,1,2757,82,0
IPI,1,2676,84,0
IPI,1,2513,82,0
IPI,1,2837,83,0
IPI,1,2757,82,0
IPI,1,2838,86,0
IPI,1,2973,86,0
IPI,1,2514,85,0
IPI,1,2649,83,0
IPI,1,2810,83,0
IPI,1,2622,83,0
IPI,1,2892,84,0
IPI,1,2864,83,0
IPI,1,2486,84,0
IPI,1,3054,84,0
IPI,1,3540,85,0
IPI,1,3513,85,0
IPI,1,3703,93,0
IPI,1,2270,78,0
IPI,1,2730,83,0
IPI,1,2514,82,0
IPI,1,2892,83,0
IPI,1,2648,82,0
IPI,1,2595,82,0
IPI,1,2838,83,0
IPI,1,2567,84,0
IPI,1,2567,85,0
IPI,1,2757,85,0
IPI,1,2622,84,0
IPI,1,2811,83,0
IPI,1,2892,82,0
IPI,1,2595,82,0
IPI,1,2784,83,0
IPI,1,2594,82,0
IPI,1,3486,89,0
IPI,1,2838,84,0
IPI,1,2703,84,0
IPI,1,2568,85,0
IPI,1,2918,82,0
IPI,1,2811,82,0
IPI,1,2460,84,0
IPI,1,2622,82,0
IPI,1,2486,82,0
IPI,1,2919,82,0
IPI,1,2757,82,0
IPI,1,2649,85,0
IPI,1,2783,84,0
IPI,1,2811,84,0
IPI,1,2703,83,0
IPI,1,2784,82,0
IPI,1,2594,82,0
IPI,1,2622,82,0
IPI,1,2784,82,0
IPI,1,2541,83,0
IPI,1,2945,82,0
IPI,1,2784,84,0
IPI,1,2406,85,0
IPI,1,2757,84,0
IPI,1,2621,82,0
IPI,1,2702,78,0
IPI,1,2351,80,0
IPI,1,2622,82,0
IPI,1,3054,82,0
IPI,1,2756,82,0
IPI,1,2595,82,0
IPI,1,2811,85,0
IPI,1,2567,84,0
IPI,1,2594,84,0
IPI,1,2784,82,0
IPI,1,2568,84,0
IPI,1,2676,82,0
IPI,1,2622,82,0
IPI,1,2594,82,0
IPI,1,2892,83,0
IPI,1,2622,83,0
IPI,1,2649,84,0
IPI,1,2675,84,0
IPI,1,2675,84,0
IPI,1,3676,82,0
IPI,1,2703,82,0
IPI,1,2756,84,0
IPI,1,2757,83,0
IPI,1,2838,82,0
IPI,1,2648,83,0
IPI,1,2838,82,0
IPI,1,2730,84,0
IPI,1,2622,84,0
IPI,1,2648,84,0
IPI,1,2594,82,0
IPI,1,2486,84,0
IPI,1,2757,82,0
IPI,1,2514,82,0
IPI,1,2676,82,0
IPI,1,2486,82,0
IPI,1,2621,84,0
IPI,1,2865,84,0
IPI,1,2541,84,0
IPI,1,2784,85,0
IPI,1,2783,82,0
IPI,1,2459,83,0
IPI,1,2973,83,0
IPI,1,2297,76,0
IPI,1,2622,82,0
IPI,1,2891,82,0
IPI,1,2649,83,0
IPI,1,2946,84,0
IPI,1,2811,84,0
IPI,1,2378,87,0
IPI,1,2946,82,0
IPI,1,2865,82,0
IPI,1,2595,82,0
IPI,1,2757,82,0
IPI,1,2568,83,0
IPI,1,2595,82,0
IPI,1,2783,82,0
IPI,1,2459,85,0
IPI,1,2730,84,0
IPI,1,2568,84,0
IPI,1,2433,82,0
IPI,1,2838,82,0
IPI,1,2459,83,0
IPI,1,2756,82,0
IPI,1,2865,82,0
IPI,1,2676,83,0
IPI,1,2756,82,0
IPI,1,3216,84,0
IPI,1,3243,84,0
IPI,1,2676,84,0
IPI,1,2864,85,0
IPI,1,2460,82,0
IPI,1,2811,83,0
IPI,1,2946,83,0
IPI,1,2649,83,0
IPI,1,2865,83,0
IPI,1,2648,82,0
IPI,1,2675,84,0
IPI,1,2703,85,0
IPI,1,2622,84,0
IPI,1,2946,82,0
IPI,1,2946,84,0
IPI,1,2649,82,0
IPI,1,2918,82,0
IPI,1,2919,78,0
IPI,1,2406,79,0
IPI,1,2784,84,0
IPI,1,2540,84,0
IPI,1,2567,84,0
IPI,1,2649,84,0
IPI,1,2460,85,0
IPI,1,2919,82,0
IPI,1,2811,82,0
IPI,1,2595,83,0
IPI,1,2865,82,0
IPI,1,2513,83,0
IPI,1,2838,82,0
IPI,1,2838,84,0
IPI,1,2649,85,0
IPI,1,2675,84,0
IPI,1,2838,82,0
IPI,1,2622,82,0
IPI,1,2622,82,0
IPI,1,2729,82,0
IPI,1,2540,82,0
IPI,1,2811,82,0
IPI,1,2622,83,0
IPI,1,2648,84,0
IPI,1,2756,84,0
IPI,1,2784,84,0
IPI,1,2892,82,0
IPI,1,2946,82,0
IPI,1,2433,84,0
IPI,1,2757,82,0
IPI,1,3000,83,0
IPI,1,3000,82,0
IPI,1,4081,85,0
IPI,1,3514,85,0
IPI,1,3216,86,0
IPI,1,2892,86,0
IPI,1,3082,82,0
IPI,1,2838,82,0
IPI,1,2541,83,0
IPI,1,2675,82,0
IPI,1,2540,82,0
IPI,1,2432,78,0
IPI,1,2540,78,0
IPI,1,2703,85,0
IPI,1,2838,85,0
IPI,1,2864,85,0
IPI,1,2568,82,0
IPI,1,3027,85,0
IPI,1,2811,82,0
IPI,1,8378,91,0
IPI,1,2676,84,0
IPI,1,2837,84,0
IPI,1,2865,83,0
IPI,1,2595,85,0
IPI,1,4082,96,0
IPI,1,2811,86,0
IPI,1,2919,84,0
IPI,1,2676,83,0
IPI,1,2865,85,0
IPI,1,2594,83,0
IPI,1,2594,84,0
IPI,1,2892,83,0
IPI,1,2622,84,0
IPI,1,2810,87,0
IPI,1,2919,85,0
IPI,1,2865,85,0
IPI,1,2865,83,0
IPI,1,2865,83,0
IPI,1,2648,83,0
IPI,1,2838,84,0
IPI,1,2973,84,0
IPI,1,2594,84,0
IPI,1,2811,83,0
IPI,1,3054,85,0
IPI,1,2703,85,0
IPI,1,2892,85,0
IPI,1,2892,83,0
IPI,1,2703,83,0
IPI,1,2865,83,0
IPI,1,2946,84,0
IPI,1,3676,89,0
IPI,1,3405,83,0
IPI,1,2837,84,0
IPI,1,2622,79,0
IPI,1,2595,86,0
IPI,1,2838,86,0
IPI,1,2946,84,0
IPI,1,2784,83,0
IPI,1,3027,85,0
IPI,1,2703,84,0
IPI,1,2784,83,0
IPI,1,2811,83,0
IPI,1,2946,83,0
IPI,1,2783,85,0
IPI,1,2865,86,0
IPI,1,2757,85,0
IPI,1,2648,84,0
IPI,1,2892,85,0
IPI,1,2757,85,0
IPI,1,2675,83,0
IPI,1,2919,84,0
IPI,1,2649,83,0
IPI,1,2648,84,0
IPI,1,3054,85,0
IPI,1,2487,85,0
IPI,1,2838,86,0
IPI,1,2811,83,0
IPI,1,2595,84,0
IPI,1,3054,83,0
IPI,1,2865,83,0
IPI,1,2649,84,0
IPI,1,2783,83,0
IPI,1,2784,83,0
IPI,1,2703,86,0
IPI,1,2784,85,0
IPI,1,2973,85,0
IPI,1,2487,82,0
IPI,1,2946,85,0
IPI,1,3054,85,0
IPI,1,2649,84,0
IPI,1,2811,83,0
IPI,1,2514,84,0
IPI,1,2595,84,0
IPI,1,2838,85,0
IPI,1,3000,81,0
IPI,1,2514,81,0
IPI,1,3027,83,0
IPI,1,2865,84,0
IPI,1,3054,83,0
IPI,1,5000,99,0
IPI,1,4054,89,0
IPI,1,3297,84,0
IPI,1,3081,83,0
IPI,1,2837,85,0
IPI,1,2703,85,0
IPI,1,2703,85,0
IPI,1,2621,84,0
IPI,1,2756,83,0
IPI,1,2811,84,0
IPI,1,2514,83,0
IPI,1,2784,83,0
IPI,1,2459,83,0
IPI,1,3486,84,0
IPI,1,3351,87,0
IPI,1,3297,86,0
IPI,1,2973,86,0
IPI,1,3027,85,0
IPI,1,3324,83,0
IPI,1,3594,83,0
IPI,1,3432,83,0
IPI,1,3054,83,0
IPI,1,2595,83,0
IPI,1,2702,83,0
IPI,1,2567,85,0
IPI,1,2946,86,0
IPI,1,2838,85,0
IPI,1,2540,83,0
IPI,1,2892,83,0
IPI,1,2757,85,0
IPI,1,2540,83,0
IPI,1,2865,83,0
IPI,1,3243,83,0
IPI,1,2486,84,0
IPI,1,2703,86,0
IPI,1,2595,85,0
IPI,1,2595,86,0
IPI,1,2405,77,0
IPI,1,2621,83,0
IPI,1,2892,84,0
IPI,1,2568,84,0
IPI,1,2514,83,0
IPI,1,2811,84,0
IPI,1,2757,84,0
IPI,1,2622,85,0
IPI,1,2919,85,0
IPI,1,2811,85,0
IPI,1,3054,83,0
IPI,1,2567,85,0
IPI,1,3432,82,0
IPI,1,2757,83,0
IPI,1,2811,84,0
IPI,1,2541,83,0
IPI,1,2756,83,0
IPI,1,3054,85,0
IPI,1,2676,86,0
IPI,1,2784,86,0
IPI,1,2892,86,0
IPI,1,2676,83,0
IPI,1,2946,84,0
IPI,1,2892,85,0
IPI,1,2621,83,0
IPI,1,2838,83,0
IPI,1,2811,83,0
IPI,1,2675,86,0
IPI,1,2757,85,0
IPI,1,2595,85,0
IPI,1,2784,85,0
IPI,1,2675,84,0
