Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,3756,121,0
IntINT,1,3216,84,0
IntINT,1,3162,83,0
IntINT,1,3352,82,0
IntINT,1,3054,84,0
IntINT,1,2730,84,0
IntINT,1,2892,85,0
IntINT,1,2892,83,0
IntINT,1,2811,83,0
IntINT,1,2919,85,0
IntINT,1,2946,83,0
IntINT,1,2784,83,0
IntINT,1,2811,83,0
IntINT,1,2973,83,0
IntINT,1,2594,84,0
IntINT,1,2838,83,0
IntINT,1,2865,83,0
IntINT,1,2946,83,0
IntINT,1,2892,83,0
IntINT,1,2946,83,0
IntINT,1,2811,83,0
IntINT,1,2783,82,0
IntINT,1,2919,82,0
IntINT,1,2757,83,0
IntINT,1,2729,85,0
IntINT,1,2973,84,0
IntINT,1,2810,84,0
IntINT,1,2757,83,0
IntINT,1,2919,83,0
IntINT,1,2784,83,0
IntINT,1,2784,83,0
IntINT,1,2946,83,0
IntINT,1,2784,82,0
IntINT,1,2838,83,0
IntINT,1,3000,85,0
IntINT,1,2757,84,0
IntINT,1,3000,94,0
IntINT,1,2730,76,0
IntINT,1,2811,83,0
IntINT,1,2784,83,0
IntINT,1,2946,83,0
IntINT,1,2756,84,0
IntINT,1,2784,82,0
IntINT,1,2973,84,0
IntINT,1,2729,85,0
IntINT,1,2811,85,0
IntINT,1,2919,84,0
IntINT,1,2946,83,0
IntINT,1,2892,84,0
IntINT,1,2865,83,0
IntINT,1,2784,82,0
IntINT,1,2891,83,0
IntINT,1,2892,82,0
IntINT,1,2757,82,0
IntINT,1,2675,84,0
IntINT,1,2919,83,0
IntINT,1,2811,84,0
IntINT,1,2919,82,0
IntINT,1,3081,82,0
IntINT,1,2757,83,0
IntINT,1,3703,85,0
IntINT,1,2892,82,0
IntINT,1,2946,82,0
IntINT,1,2757,82,0
IntINT,1,2837,85,0
IntINT,1,3027,83,0
IntINT,1,2756,83,0
IntINT,1,2919,83,0
IntINT,1,2919,83,0
IntINT,1,2757,82,0
IntINT,1,2811,82,0
