Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4051433,8990,9
PART,1,4235189,51626,16
PART,2,3954162,6237,19
PART,3,3669486,14114,4
PART,4,6582730,6700,29
PART,5,4719973,33583,19
PART,6,3989433,42823,8
PART,7,4929027,605,5
PART,8,4333649,16489,31
PART,9,6511811,43292,11
PART,0,4052108,9009,9
PART,1,4230135,51732,16
PART,2,3897756,6174,19
PART,3,3671487,14115,4
PART,4,6584271,6726,29
PART,5,4719513,33601,19
PART,6,3941081,42521,8
PART,7,4928919,596,5
PART,8,4333703,16490,31
PART,9,6510108,43234,11
PART,0,4051595,9012,9
PART,1,4229189,51597,16
PART,2,3896298,6180,19
PART,3,3671946,14117,4
PART,4,6581000,6701,29
PART,5,4723189,33641,19
PART,6,3940784,42547,8
PART,7,4929027,596,5
PART,8,4333648,16491,31
PART,9,6511297,43254,11
PART,0,4050811,8987,9
PART,1,4233513,51650,16
PART,2,3893918,6168,19
PART,3,3672108,14117,4
PART,4,6582459,6700,29
PART,5,4720919,33566,19
PART,6,3940594,42542,8
PART,7,4929703,606,5
PART,8,4333729,16491,31
PART,9,6509946,43310,11
PART,0,4050433,9008,9
PART,1,4227730,51765,16
PART,2,3896567,6178,19
PART,3,3669243,14106,4
PART,4,6584135,6704,29
PART,5,4718460,33623,19
PART,6,3941675,42553,8
PART,7,4929541,596,5
PART,8,4333918,16503,31
PART,9,6509189,43277,11
PART,0,4052270,9036,9
PART,1,4229406,51803,16
PART,2,3954406,6232,19
PART,3,3669621,14115,4
PART,4,6583865,6708,29
PART,5,4721919,33592,19
PART,6,3940649,42546,8
PART,7,4928622,592,5
PART,8,4334784,11497,31
PART,9,6512487,43330,11
PART,0,4051649,8999,9
PART,1,4235297,51815,16
PART,2,3897784,6195,19
PART,3,3669162,14108,4
PART,4,6584135,6715,29
PART,5,4721811,33551,19
PART,6,3941054,42565,8
PART,7,4929216,592,5
PART,8,4334298,11505,31
PART,9,6511486,43304,11
PART,0,4051730,9004,9
PART,1,4230919,51621,16
PART,2,3954162,6247,19
PART,3,3669081,14106,4
PART,4,6583243,6697,29
PART,5,4720838,33577,19
PART,6,3940567,42541,8
PART,7,4929000,596,5
PART,8,4334351,11502,31
PART,9,6511297,43284,11
PART,0,4053405,9026,9
PART,1,4245054,51633,16
PART,2,3900135,6184,19
PART,3,3669406,14103,4
PART,4,6589000,6749,29
PART,5,4728081,33760,19
PART,6,3941378,42543,8
PART,7,4929378,596,5
PART,8,4335027,11505,31
PART,9,6517054,43323,11
PART,0,4055568,9015,9
PART,1,4241027,51725,16
PART,2,3902675,6212,19
PART,3,3669838,14097,4
PART,4,6592027,6744,29
PART,5,4729973,33641,19
PART,6,3942946,42552,8
PART,7,4929324,591,5
PART,8,4334973,12858,31
PART,9,6517946,43264,11
PART,0,4057243,9018,9
PART,1,4245919,51755,16
PART,2,3901081,6220,19
