Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,3892,115,0
IntINT,1,3406,83,0
IntINT,1,2838,83,0
IntINT,1,2757,83,0
IntINT,1,2784,85,0
IntINT,1,2864,83,0
IntINT,1,2838,84,0
IntINT,1,2973,83,0
IntINT,1,2757,82,0
IntINT,1,2811,84,0
IntINT,1,2946,83,0
IntINT,1,2811,83,0
IntINT,1,2784,84,0
IntINT,1,2919,82,0
IntINT,1,2784,85,0
IntINT,1,2838,83,0
IntINT,1,3000,84,0
IntINT,1,2837,84,0
IntINT,1,2730,82,0
IntINT,1,2892,83,0
IntINT,1,2730,83,0
IntINT,1,2703,84,0
IntINT,1,3027,84,0
IntINT,1,2757,83,0
IntINT,1,2514,85,0
IntINT,1,3135,85,0
IntINT,1,2892,84,0
IntINT,1,2838,82,0
IntINT,1,3027,82,0
IntINT,1,2784,83,0
IntINT,1,2730,82,0
IntINT,1,2865,82,0
IntINT,1,2675,83,0
IntINT,1,2730,85,0
IntINT,1,2811,85,0
IntINT,1,2784,84,0
IntINT,1,3081,91,0
IntINT,1,2730,77,0
IntINT,1,2784,82,0
IntINT,1,2676,82,0
IntINT,1,3108,85,0
IntINT,1,2757,83,0
IntINT,1,2757,82,0
IntINT,1,2973,85,0
IntINT,1,2487,86,0
IntINT,1,2892,85,0
IntINT,1,3108,83,0
IntINT,1,2703,82,0
IntINT,1,2837,85,0
IntINT,1,2973,82,0
IntINT,1,2729,82,0
IntINT,1,2675,83,0
IntINT,1,2865,82,0
IntINT,1,3298,82,0
IntINT,1,2703,84,0
IntINT,1,2973,83,0
IntINT,1,2757,84,0
IntINT,1,2622,82,0
IntINT,1,2946,83,0
IntINT,1,2622,83,0
IntINT,1,2757,82,0
IntINT,1,3081,83,0
IntINT,1,2757,82,0
IntINT,1,2756,82,0
IntINT,1,2919,85,0
IntINT,1,2757,83,0
IntINT,1,2946,83,0
IntINT,1,3027,84,0
IntINT,1,2729,82,0
IntINT,1,2811,82,0
IntINT,1,3000,82,0
IntINT,1,2730,82,0
IntINT,1,2703,83,0
IntINT,1,2892,82,0
IntINT,1,2730,84,0
IntINT,1,3162,85,0
IntINT,1,3027,84,0
IntINT,1,2730,82,0
IntINT,1,2459,78,0
IntINT,1,2648,78,0
IntINT,1,2784,82,0
IntINT,1,2892,84,0
IntINT,1,2973,83,0
IntINT,1,2838,82,0
IntINT,1,2729,85,0
IntINT,1,3027,83,0
IntINT,1,2729,83,0
IntINT,1,2919,82,0
IntINT,1,3108,82,0
IntINT,1,2703,82,0
IntINT,1,2811,83,0
IntINT,1,3027,82,0
IntINT,1,2865,84,0
IntINT,1,2783,82,0
IntINT,1,2703,84,0
IntINT,1,2541,85,0
IntINT,1,2865,83,0
IntINT,1,2919,82,0
IntINT,1,2838,82,0
IntINT,1,2891,84,0
IntINT,1,3081,83,0
IntINT,1,2810,82,0
IntINT,1,3027,84,0
IntINT,1,2919,83,0
IntINT,1,2703,85,0
IntINT,1,2919,85,0
IntINT,1,3027,83,0
IntINT,1,2757,82,0
IntINT,1,2865,83,0
IntINT,1,2919,82,0
IntINT,1,2675,82,0
IntINT,1,2757,83,0
IntINT,1,3054,82,0
IntINT,1,2811,82,0
IntINT,1,2784,84,0
IntINT,1,3000,83,0
IntINT,1,2838,84,0
IntINT,1,2730,82,0
IntINT,1,3027,82,0
IntINT,1,2811,83,0
IntINT,1,2513,77,0
IntINT,1,3081,82,0
IntINT,1,2757,82,0
IntINT,1,2675,83,0
IntINT,1,2865,84,0
IntINT,1,2784,83,0
IntINT,1,2810,84,0
IntINT,1,2973,82,0
IntINT,1,2811,84,0
IntINT,1,2973,82,0
IntINT,1,2973,82,0
IntINT,1,2919,83,0
IntINT,1,2730,82,0
IntINT,1,2946,84,0
IntINT,1,2460,86,0
IntINT,1,2946,84,0
IntINT,1,3054,83,0
IntINT,1,2811,84,0
IntINT,1,2675,82,0
IntINT,1,3135,83,0
IntINT,1,2891,82,0
IntINT,1,2730,83,0
IntINT,1,2973,83,0
IntINT,1,2784,83,0
IntINT,1,2730,84,0
IntINT,1,3000,83,0
IntINT,1,2811,85,0
IntINT,1,2838,83,0
IntINT,1,2919,82,0
IntINT,1,2730,82,0
IntINT,1,2622,83,0
IntINT,1,3081,82,0
IntINT,1,2730,83,0
IntINT,1,3027,83,0
IntINT,1,2919,84,0
IntINT,1,2864,85,0
IntINT,1,2784,83,0
IntINT,1,2919,82,0
IntINT,1,2648,85,0
IntINT,1,2838,82,0
IntINT,1,2892,82,0
IntINT,1,2649,80,0
IntINT,1,2487,79,0
