Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4052837,9027,9
PART,1,4232811,51900,16
PART,2,3895270,6170,19
PART,3,3669081,14109,4
PART,4,6582784,6719,29
PART,5,4719109,33590,19
PART,6,3989433,42790,8
PART,7,4929433,594,5
PART,8,4333919,16494,31
PART,9,6509675,43342,11
PART,0,4051297,9027,9
PART,1,4230081,51655,16
PART,2,3893648,6163,19
PART,3,3669243,14108,4
PART,4,6582946,6726,29
PART,5,4720568,33654,19
PART,6,3940567,42535,8
PART,7,4929297,596,5
PART,8,4333622,11485,31
PART,9,6510054,43213,11
PART,0,4052729,9040,9
PART,1,4232621,51641,16
PART,2,3896892,6181,19
PART,3,3669486,14111,4
PART,4,6582919,6704,29
PART,5,4722405,33651,19
PART,6,3940865,42542,8
PART,7,4929325,593,5
PART,8,4333865,11491,31
PART,9,6509865,43322,11
PART,0,4051432,8984,9
PART,1,4229027,51753,16
PART,2,3953081,6231,19
PART,3,3669081,14104,4
PART,4,6583703,6721,29
PART,5,4721270,33625,19
PART,6,3941297,42534,8
PART,7,4928973,598,5
PART,8,4333648,11489,31
PART,9,6508837,43324,11
PART,0,4051919,9022,9
PART,1,4229568,51741,16
PART,2,3895784,6175,19
PART,3,3669270,14107,4
PART,4,6583189,6711,29
PART,5,4717838,33587,19
PART,6,3941190,42530,8
PART,7,4928487,597,5
PART,8,4334351,11501,31
PART,9,6511325,43304,11
PART,0,4051135,8995,9
PART,1,4231540,51811,16
PART,2,3895162,6174,19
PART,3,3669027,14105,4
PART,4,6583135,6718,29
PART,5,4720649,33634,19
PART,6,3941162,42542,8
PART,7,4929162,587,5
PART,8,4334513,11507,31
PART,9,6511621,43267,11
PART,0,4051027,8981,9
PART,1,4229514,51530,16
PART,2,3895486,6189,19
PART,3,3669000,14104,4
PART,4,6582811,6717,29
PART,5,4719379,33606,19
PART,6,3940784,42550,8
PART,7,4929730,596,5
PART,8,4335378,11501,31
PART,9,6510865,43255,11
PART,0,4052703,9020,9
PART,1,4233919,51625,16
PART,2,3953567,6244,19
PART,3,3669189,14109,4
PART,4,6585729,6736,29
PART,5,4720217,33614,19
PART,6,3940865,42555,8
PART,7,4929244,595,5
PART,8,4334405,11521,31
PART,9,6511055,43317,11
PART,0,4056297,9008,9
PART,1,4239298,51800,16
PART,2,3897486,6188,19
PART,3,3672027,14108,4
PART,4,6587946,6733,29
PART,5,4722189,33630,19
PART,6,3941108,42546,8
PART,7,4929486,595,5
PART,8,4334270,11494,31
PART,9,6513594,43263,11
PART,0,4051405,8996,9
PART,1,4231649,51852,16
PART,2,3896379,6190,19
PART,3,3669568,14115,4
PART,4,6587459,6716,29
PART,5,4725541,33788,19
PART,6,3943514,42550,8
PART,7,4928918,594,5
PART,8,4334405,15262,31
PART,9,6511486,43329,11
PART,0,4053270,9015,9
PART,1,4237027,51600,16
PART,2,3897352,6192,19
PART,3,3669595,14107,4
PART,4,6586568,6725,29
PART,5,4723811,33571,19
PART,6,3940865,42542,8
PART,7,4929216,595,5
PART,8,4334676,15257,31
PART,9,6512756,43322,11
PART,0,4052513,9042,9
PART,1,4194730,51029,16
PART,2,3954351,6236,19
PART,3,3669216,14104,4
PART,4,6586000,6752,29
PART,5,4722108,33639,19
PART,6,3942460,42569,8
PART,7,4928811,589,5
PART,8,4336567,12756,31
PART,9,6512784,43242,11
