Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,3460,116,0
IPI,1,2351,84,0
IPI,1,2838,82,0
IPI,1,2730,84,0
IPI,1,2594,85,0
IPI,1,2784,85,0
IPI,1,3000,84,0
IPI,1,2783,83,0
IPI,1,2892,83,0
IPI,1,2892,83,0
IPI,1,2567,83,0
IPI,1,2649,83,0
IPI,1,2352,83,0
IPI,1,2325,83,0
IPI,1,2757,86,0
IPI,1,2676,84,0
IPI,1,2864,84,0
IPI,1,2514,83,0
IPI,1,2433,82,0
IPI,1,2622,83,0
IPI,1,2541,82,0
IPI,1,2784,82,0
IPI,1,2567,84,0
IPI,1,2351,82,0
IPI,1,2729,84,0
IPI,1,2784,86,0
IPI,1,2703,84,0
IPI,1,2702,83,0
IPI,1,2540,82,0
IPI,1,3054,82,0
IPI,1,2621,84,0
IPI,1,3081,83,0
IPI,1,2784,82,0
IPI,1,2351,83,0
IPI,1,2648,84,0
IPI,1,2648,84,0
IPI,1,2622,87,0
IPI,1,2838,77,0
IPI,1,2783,82,0
IPI,1,2595,83,0
IPI,1,2919,83,0
IPI,1,2594,82,0
IPI,1,2621,82,0
IPI,1,2676,84,0
IPI,1,2595,84,0
IPI,1,2838,84,0
IPI,1,2675,84,0
IPI,1,2621,82,0
IPI,1,2838,83,0
IPI,1,2622,82,0
IPI,1,2594,82,0
IPI,1,2675,85,0
IPI,1,2622,82,0
IPI,1,3027,82,0
IPI,1,2594,84,0
IPI,1,2567,84,0
IPI,1,2946,85,0
IPI,1,2757,82,0
IPI,1,2648,82,0
IPI,1,2865,83,0
IPI,1,2676,82,0
IPI,1,2594,82,0
IPI,1,2567,82,0
IPI,1,2621,82,0
IPI,1,2703,85,0
IPI,1,2973,84,0
IPI,1,2756,84,0
IPI,1,2892,83,0
IPI,1,2919,82,0
IPI,1,2622,82,0
IPI,1,2703,82,0
IPI,1,2676,82,0
IPI,1,2567,83,0
IPI,1,2784,82,0
IPI,1,2568,84,0
IPI,1,2730,85,0
IPI,1,2892,85,0
IPI,1,2297,82,0
IPI,1,2513,79,0
IPI,1,2216,78,0
IPI,1,2783,82,0
IPI,1,2486,82,0
IPI,1,2838,82,0
IPI,1,2649,82,0
IPI,1,2541,85,0
IPI,1,2891,84,0
IPI,1,2973,84,0
IPI,1,2622,82,0
IPI,1,2865,82,0
IPI,1,2784,84,0
IPI,1,2541,83,0
IPI,1,2703,82,0
IPI,1,2648,83,0
IPI,1,2595,82,0
IPI,1,2838,84,0
IPI,1,2676,84,0
IPI,1,2729,84,0
IPI,1,2784,82,0
IPI,1,2379,82,0
IPI,1,2892,83,0
IPI,1,2513,83,0
IPI,1,2729,82,0
IPI,1,2784,83,0
IPI,1,2541,83,0
IPI,1,2865,84,0
IPI,1,2648,84,0
IPI,1,2595,84,0
IPI,1,2892,82,0
IPI,1,2513,83,0
IPI,1,2702,82,0
IPI,1,2676,82,0
IPI,1,2622,82,0
IPI,1,2757,82,0
IPI,1,2837,82,0
IPI,1,2432,84,0
IPI,1,2865,84,0
IPI,1,2703,85,0
IPI,1,2892,82,0
IPI,1,2676,82,0
IPI,1,2433,83,0
IPI,1,2487,76,0
IPI,1,2622,82,0
IPI,1,2622,82,0
IPI,1,2865,84,0
IPI,1,2513,86,0
IPI,1,3054,84,0
IPI,1,2702,85,0
IPI,1,2432,82,0
IPI,1,2946,83,0
IPI,1,2487,82,0
IPI,1,2622,82,0
IPI,1,2864,83,0
IPI,1,2486,83,0
IPI,1,2838,82,0
IPI,1,2730,85,0
IPI,1,2594,84,0
IPI,1,2865,85,0
IPI,1,2811,83,0
IPI,1,2621,82,0
IPI,1,2784,83,0
IPI,1,2784,82,0
IPI,1,2514,82,0
IPI,1,2567,83,0
IPI,1,2540,83,0
IPI,1,2946,86,0
IPI,1,2730,84,0
IPI,1,2514,84,0
IPI,1,2946,83,0
IPI,1,2622,82,0
IPI,1,2622,82,0
IPI,1,2703,84,0
IPI,1,2621,82,0
IPI,1,3000,84,0
IPI,1,2811,82,0
IPI,1,2567,84,0
IPI,1,2865,85,0
IPI,1,2784,84,0
IPI,1,2621,84,0
IPI,1,2865,84,0
IPI,1,2622,83,0
IPI,1,2595,82,0
IPI,1,2378,80,0
IPI,1,2244,78,0
IPI,1,2919,84,0
IPI,1,2540,84,0
IPI,1,2513,86,0
IPI,1,2730,86,0
IPI,1,2460,83,0
IPI,1,2946,83,0
IPI,1,2432,82,0
IPI,1,2621,83,0
