Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4051865,9017,9
PART,1,4233000,51612,16
PART,2,3893838,6169,19
PART,3,3669243,14108,4
PART,4,6583864,6700,29
PART,5,4721595,33626,19
PART,6,3990541,42835,8
PART,7,4929648,600,5
PART,8,4333621,11490,31
PART,9,6509595,43331,11
PART,0,4052270,9031,9
PART,1,4230648,51623,16
PART,2,3955324,6239,19
PART,3,3669297,14107,4
PART,4,6583136,6730,29
PART,5,4719270,33609,19
PART,6,3941136,42554,8
PART,7,4929216,594,5
PART,8,4333730,11488,31
PART,9,6512540,43223,11
PART,0,4052514,9013,9
PART,1,4235649,51786,16
PART,2,3953568,6236,19
PART,3,3671189,14108,4
PART,4,6583811,6717,29
PART,5,4722487,33624,19
PART,6,3941217,42537,8
PART,7,4929027,604,5
PART,8,4334351,11487,31
PART,9,6509892,43274,11
PART,0,4052000,9026,9
PART,1,4227135,51813,16
PART,2,3895594,6178,19
PART,3,3669081,14110,4
PART,4,6580918,6681,29
PART,5,4718784,33605,19
PART,6,3941270,42540,8
PART,7,4929297,605,5
PART,8,4333675,16491,31
PART,9,6509081,43317,11
PART,0,4052162,9030,9
PART,1,4226324,51606,16
PART,2,3894027,6170,19
PART,3,3668892,14105,4
PART,4,6585568,6720,29
PART,5,4718784,33605,19
PART,6,3940621,42546,8
PART,7,4928784,591,5
PART,8,4334487,11503,31
PART,9,6509406,43322,11
PART,0,4052189,9013,9
PART,1,4226514,51816,16
PART,2,3895486,6164,19
PART,3,3669243,14113,4
PART,4,6584459,6716,29
PART,5,4716811,33591,19
PART,6,3941081,42532,8
PART,7,4929487,604,5
PART,8,4334298,16498,31
PART,9,6508676,43267,11
PART,0,4051432,9012,9
PART,1,4230162,51735,16
PART,2,3955270,6254,19
PART,3,3669271,14113,4
PART,4,6582730,6719,29
PART,5,4721054,33660,19
PART,6,3940325,42551,8
PART,7,4929163,609,5
PART,8,4334379,11498,31
PART,9,6511541,43262,11
PART,0,4052378,9029,9
PART,1,4233486,51842,16
