Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4050865,9030,9
PART,1,4234676,51817,16
PART,2,3953514,6233,19
PART,3,3669270,14113,4
PART,4,6584973,6706,29
PART,5,4720622,33597,19
PART,6,3989757,42801,8
PART,7,4929027,595,5
PART,8,4333892,16497,31
PART,9,6511135,43340,11
PART,0,4051514,9039,9
PART,1,4231567,51675,16
PART,2,3894405,6172,19
PART,3,3669297,14119,4
PART,4,6584838,6713,29
PART,5,4721648,33627,19
PART,6,3940757,42533,8
PART,7,4928892,591,5
PART,8,4333513,11487,31
PART,9,6509865,43319,11
PART,0,4050540,9020,9
PART,1,4230108,51729,16
PART,2,3894027,6173,19
PART,3,3669324,14115,4
PART,4,6580784,6690,29
PART,5,4720649,33554,19
PART,6,3941162,42547,8
PART,7,4928919,589,5
PART,8,4334460,11487,31
PART,9,6510082,43294,11
PART,0,4050027,9010,9
PART,1,4232676,51893,16
PART,2,3896676,6179,19
PART,3,3669216,14105,4
PART,4,6584243,6703,29
PART,5,4719135,33554,19
PART,6,3940810,42532,8
PART,7,4929297,605,5
PART,8,4334405,11482,31
PART,9,6509649,43326,11
PART,0,4052298,9024,9
PART,1,4226891,51774,16
PART,2,3896622,6174,19
PART,3,3669297,14102,4
PART,4,6583514,6723,29
PART,5,4719649,33536,19
PART,6,3940919,42545,8
PART,7,4929513,600,5
PART,8,4333811,16502,31
PART,9,6509406,43279,11
PART,0,4050622,8994,9
PART,1,4228081,51737,16
PART,2,3896324,6177,19
PART,3,3669784,14116,4
PART,4,6582676,6705,29
PART,5,4720919,33657,19
PART,6,3941054,42549,8
PART,7,4928676,593,5
PART,8,4334594,11498,31
PART,9,6509784,43203,11
PART,0,4052595,9015,9
PART,1,4227027,51668,16
PART,2,3897541,6183,19
PART,3,3669459,14110,4
PART,4,6583135,6722,29
PART,5,4720702,33632,19
PART,6,3940514,42554,8
PART,7,4929135,595,5
PART,8,4334730,11523,31
PART,9,6509432,43324,11
PART,0,4051865,9039,9
PART,1,4224811,51518,16
PART,2,3895162,6186,19
PART,3,3671379,14099,4
PART,4,6583135,6742,29
PART,5,4717973,33556,19
PART,6,3940189,42540,8
PART,7,4928784,592,5
PART,8,4334324,11503,31
PART,9,6508973,43274,11
PART,0,4052378,8994,9
PART,1,4231270,51613,16
PART,2,3956432,6248,19
PART,3,3669568,14118,4
PART,4,6585189,6720,29
PART,5,4722027,33568,19
PART,6,3941487,42536,8
PART,7,4929297,597,5
PART,8,4334811,16506,31
PART,9,6510298,43243,11
PART,0,4054000,9010,9
PART,1,4235568,51817,16
PART,2,3955513,6253,19
PART,3,3669162,14104,4
PART,4,6585378,6725,29
PART,5,4720513,33595,19
PART,6,3941297,42565,8
PART,7,4928973,591,5
PART,8,4334487,14559,31
PART,9,6510216,43240,11
PART,0,4054135,9060,9
PART,1,4233162,51669,16
PART,2,3898243,6220,19
PART,3,3671810,14112,4
PART,4,6586433,6744,29
PART,5,4719054,33527,19
PART,6,3941000,42551,8
PART,7,4929243,594,5
PART,8,4334595,11501,31
PART,9,6510081,43308,11
PART,0,4051946,9061,9
PART,1,4240163,51612,16
PART,2,3897514,6189,19
PART,3,3669460,14113,4
PART,4,6584811,6738,29
PART,5,4721027,33577,19
PART,6,3942595,42569,8
PART,7,4929162,598,5
PART,8,4335109,11526,31
PART,9,6510676,43255,11
PART,0,4051378,8988,9
PART,1,4231919,51624,16
PART,2,3955217,6256,19
PART,3,3669297,14108,4
PART,4,6585838,6719,29
PART,5,4721811,33625,19
PART,6,3942378,42550,8
PART,7,4929027,595,5
PART,8,4334405,11507,31
PART,9,6510649,43238,11
PART,0,4053459,9058,9
PART,1,4231244,51616,16
PART,2,3898054,6180,19
PART,3,3669216,14104,4
PART,4,6583649,6720,29
PART,5,4721783,33618,19
PART,6,3945865,42550,8
PART,7,4928568,595,5
PART,8,4333621,11493,31
PART,9,6509108,43226,11
PART,0,4052027,9021,9
PART,1,4235595,51637,16
PART,2,3897000,6181,19
PART,3,3669325,14110,4
PART,4,6584217,6709,29
PART,5,4719406,33551,19
PART,6,3950784,42543,8
PART,7,4929109,596,5
PART,8,4334271,16445,31
PART,9,6512378,43313,11
PART,0,4053460,9031,9
PART,1,4239810,51654,16
PART,2,3896594,6181,19
PART,3,3669513,14111,4
PART,4,6585081,6711,29
PART,5,4722297,33579,19
PART,6,3953486,42543,8
PART,7,4929379,594,5
PART,8,4333810,11482,31
PART,9,6511594,43237,11
PART,0,4052433,9033,9
PART,1,4213271,51338,16
PART,2,3894459,6172,19
PART,3,3669217,14110,4
PART,4,6583189,6703,29
PART,5,4722108,33606,19
PART,6,3954216,42511,8
PART,7,4930324,600,5
PART,8,4333757,14891,31
PART,9,6510108,43296,11
PART,0,4051865,9031,9
PART,1,4228487,51515,16
PART,2,3896270,6173,19
PART,3,3672838,14112,4
PART,4,6582622,6750,29
PART,5,4719378,33583,19
PART,6,3953756,42553,8
PART,7,4929027,594,5
PART,8,4333973,16510,31
PART,9,6513433,43306,11
PART,0,4051405,8957,9
PART,1,4231405,51717,16
PART,2,3896189,6180,19
PART,3,3671595,14108,4
PART,4,6582217,6734,29
PART,5,4720162,33575,19
PART,6,3954028,42521,8
PART,7,4929513,600,5
PART,8,4334379,16446,31
PART,9,6509216,43235,11
PART,0,4052703,9009,9
PART,1,4230676,51758,16
PART,2,3954730,6250,19
PART,3,3669811,14108,4
PART,4,6586027,6712,29
PART,5,4718973,33542,19
PART,6,3954459,42546,8
PART,7,4929433,603,5
PART,8,4333595,11485,31
PART,9,6509757,43312,11
PART,0,4052243,8978,9
PART,1,4232406,51571,16
PART,2,3896757,6191,19
PART,3,3671756,14107,4
PART,4,6585378,6712,29
PART,5,4720298,33576,19
PART,6,3954486,42549,8
PART,7,4928919,599,5
PART,8,4333946,15249,31
PART,9,6512217,43291,11
PART,0,4051946,8995,9
PART,1,4237460,51819,16
PART,2,3896324,6181,19
PART,3,3669189,14114,4
PART,4,6584703,6727,29
PART,5,4721351,33638,19
PART,6,3953892,42538,8
PART,7,4929703,602,5
PART,8,4333811,11488,31
PART,9,6512864,43326,11
PART,0,4052324,9017,9
PART,1,4236216,51798,16
PART,2,3896216,6177,19
PART,3,3669433,14113,4
PART,4,6585622,6755,29
PART,5,4718837,33578,19
PART,6,3954081,42540,8
PART,7,4929513,606,5
PART,8,4333594,11485,31
PART,9,6509730,43331,11
PART,0,4053784,9043,9
PART,1,4216946,51352,16
PART,2,3896730,6182,19
PART,3,3670000,14116,4
PART,4,6582703,6729,29
PART,5,4719946,33625,19
PART,6,3954189,42545,8
PART,7,4929081,594,5
PART,8,4334514,11506,31
PART,9,6510837,43287,11
PART,0,4052351,9039,9
PART,1,4238865,51790,16
PART,2,3898622,6201,19
PART,3,3669027,14104,4
PART,4,6584838,6723,29
PART,5,4720568,33616,19
PART,6,3954730,42559,8
PART,7,4928865,588,5
PART,8,4334351,16465,31
PART,9,6510513,43315,11
PART,0,4051406,9005,9
PART,1,4236325,51632,16
PART,2,3955297,6249,19
PART,3,3669460,14110,4
PART,4,6584243,6692,29
PART,5,4719675,33555,19
