Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,6270,179,1
SC,1,2243,63,0
SC,1,2054,61,0
SC,1,2243,62,0
SC,1,2270,62,0
SC,1,2243,63,0
SC,1,2000,62,0
SC,1,2189,63,0
SC,1,2162,62,0
SC,1,2216,61,0
SC,1,2163,61,0
SC,1,2243,61,0
SC,1,2162,62,0
SC,1,2216,64,0
SC,1,2271,62,0
SC,1,2216,61,0
SC,1,2351,61,0
SC,1,2243,63,0
SC,1,2324,62,0
SC,1,2217,63,0
SC,1,2243,61,0
SC,1,2216,63,0
SC,1,2216,61,0
SC,1,2216,61,0
SC,1,2190,61,0
SC,1,2216,61,0
SC,1,2135,62,0
SC,1,2189,62,0
SC,1,2189,63,0
SC,1,2270,63,0
SC,1,2162,62,0
SC,1,2675,62,0
SC,1,2189,61,0
SC,1,2243,62,0
SC,1,2244,63,0
SC,1,2243,61,0
SC,1,2216,63,0
SC,1,2378,63,0
SC,1,2216,62,0
SC,1,2406,62,0
SC,1,2190,63,0
SC,1,2243,61,0
SC,1,2216,63,0
SC,1,2216,62,0
SC,1,2243,62,0
SC,1,2162,62,0
SC,1,2162,61,0
SC,1,2243,61,0
SC,1,2162,61,0
SC,1,2216,61,0
SC,1,2216,63,0
SC,1,2135,61,0
SC,1,2163,61,0
SC,1,2162,61,0
SC,1,2162,61,0
SC,1,2216,61,0
SC,1,2217,61,0
SC,1,2216,61,0
SC,1,2189,61,0
SC,1,2270,61,0
SC,1,2217,61,0
SC,1,2270,62,0
SC,1,2189,61,0
SC,1,2270,61,0
SC,1,2216,61,0
SC,1,2135,63,0
SC,1,2189,62,0
SC,1,2108,61,0
SC,1,2162,61,0
SC,1,2243,62,0
SC,1,2189,62,0
SC,1,2243,61,0
SC,1,2460,68,0
SC,1,2190,60,0
SC,1,2162,61,0
SC,1,2189,62,0
SC,1,2216,62,0
SC,1,2244,62,0
SC,1,2216,61,0
SC,1,1946,61,0
SC,1,2217,62,0
SC,1,2297,61,0
SC,1,2243,61,0
SC,1,2270,63,0
SC,1,2216,61,0
SC,1,2271,62,0
SC,1,2189,63,0
SC,1,2270,61,0
SC,1,2162,62,0
SC,1,2136,61,0
SC,1,2135,61,0
SC,1,1946,61,0
SC,1,2162,62,0
SC,1,1973,61,0
SC,1,2162,62,0
SC,1,2162,61,0
SC,1,2216,62,0
SC,1,2243,61,0
SC,1,2216,62,0
SC,1,2271,61,0
SC,1,2216,61,0
SC,1,2135,62,0
SC,1,2216,62,0
SC,1,2000,62,0
SC,1,2216,62,0
SC,1,2270,62,0
SC,1,2217,62,0
SC,1,2271,61,0
SC,1,2189,63,0
SC,1,2000,61,0
SC,1,2190,63,0
SC,1,2270,63,0
SC,1,2135,62,0
SC,1,2162,63,0
SC,1,2189,61,0
SC,1,2135,61,0
SC,1,2135,61,0
SC,1,2244,62,0
SC,1,2216,63,0
SC,1,2243,61,0
SC,1,2216,61,0
SC,1,2271,61,0
SC,1,2189,62,0
SC,1,2135,61,0
SC,1,2216,61,0
SC,1,2217,62,0
SC,1,2189,61,0
SC,1,2162,62,0
SC,1,2189,62,0
SC,1,2244,62,0
SC,1,2162,61,0
SC,1,2243,62,0
SC,1,2162,62,0
SC,1,2244,63,0
