Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4061946,1209,9
PART,1,4079352,1645,16
PART,2,3840648,3074,19
PART,3,3669946,302,4
PART,4,6533595,1955,29
PART,5,4662784,2371,19
PART,6,3990838,1311,8
PART,7,4928864,268,5
PART,8,4329595,9957,31
PART,9,6510892,7059,11
PART,0,4062027,1199,9
PART,1,4046514,1490,16
PART,2,3779379,1778,19
PART,3,3669594,285,4
PART,4,6508595,1635,29
PART,5,4657352,2304,19
PART,6,3941486,5092,8
PART,7,4928621,269,5
PART,8,4328163,9938,31
PART,9,6508298,6775,11
PART,0,4060162,1142,9
PART,1,4045352,1448,16
PART,2,3778730,1771,19
PART,3,3667324,285,4
PART,4,6507325,1613,29
PART,5,4655784,2299,19
PART,6,3941595,5090,8
PART,7,4928568,269,5
PART,8,4328351,9935,31
PART,9,6509324,6780,11
PART,0,4058595,1143,9
PART,1,4059486,1442,16
PART,2,3778892,1779,19
PART,3,3669513,286,4
PART,4,6508189,1612,29
PART,5,4657217,2303,19
PART,6,3941730,5096,8
PART,7,4928298,266,5
PART,8,4328352,9936,31
PART,9,6508567,6763,11
PART,0,4060189,1145,9
PART,1,4041217,1443,16
PART,2,3779621,1775,19
PART,3,3669540,286,4
PART,4,6508730,1623,29
PART,5,4657297,2301,19
PART,6,3942108,5087,8
PART,7,4928811,268,5
PART,8,4327973,9936,31
PART,9,6508973,6781,11
PART,0,4058837,1140,9
PART,1,4055541,1441,16
PART,2,3778730,1781,19
PART,3,3669757,285,4
PART,4,6507270,1620,29
PART,5,4656540,2293,19
PART,6,3941324,5080,8
PART,7,4929136,274,5
PART,8,4328136,9936,31
PART,9,6508838,6781,11
PART,0,4059054,1141,9
PART,1,4047081,1438,16
PART,2,3778459,1769,19
PART,3,3669702,288,4
PART,4,6507513,1616,29
PART,5,4656352,2301,19
PART,6,3942081,5083,8
PART,7,4928946,270,5
PART,8,4328270,9935,31
PART,9,6508432,6746,11
PART,0,4059757,1142,9
PART,1,4055756,1435,16
PART,2,3778865,1765,19
PART,3,3670000,286,4
PART,4,6507216,1619,29
PART,5,4655649,2291,19
PART,6,3941378,5094,8
PART,7,4928243,274,5
PART,8,4328190,9938,31
PART,9,6507811,6782,11
PART,0,4061351,1139,9
PART,1,4072162,1440,16
PART,2,3863406,1767,19
PART,3,3669595,285,4
PART,4,6506649,1619,29
PART,5,4656784,2292,19
PART,6,3941919,5087,8
PART,7,4929162,277,5
PART,8,4328054,9937,31
PART,9,6507405,6777,11
PART,0,4058486,1142,9
PART,1,4064460,1441,16
PART,2,3862946,1766,19
PART,3,3666702,287,4
PART,4,6506432,1613,29
PART,5,4656054,2304,19
PART,6,3942000,5092,8
PART,7,4928676,269,5
PART,8,4328324,9935,31
PART,9,6509730,6781,11
PART,0,4058973,1143,9
PART,1,4062487,1437,16
PART,2,3778081,1772,19
PART,3,3671757,286,4
PART,4,6507298,1614,29
PART,5,4655190,2303,19
PART,6,3942108,5091,8
PART,7,4928081,268,5
PART,8,4328027,9938,31
PART,9,6507594,6765,11
PART,0,4058027,1141,9
