Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,9027,80,2
ExtINT,1,4838,40,0
ExtINT,1,4622,39,0
ExtINT,1,4675,40,0
ExtINT,1,4568,38,0
ExtINT,1,4325,38,0
ExtINT,1,4352,38,0
ExtINT,1,4676,41,0
ExtINT,1,4541,40,0
ExtINT,1,4351,38,0
ExtINT,1,4595,40,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4594,41,0
ExtINT,1,4378,38,0
ExtINT,1,4351,38,0
ExtINT,1,4892,42,0
ExtINT,1,4379,38,0
ExtINT,1,4352,39,0
ExtINT,1,4568,40,0
ExtINT,1,4325,38,0
ExtINT,1,4325,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4459,40,0
ExtINT,1,4324,38,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4324,38,0
ExtINT,1,4351,39,0
ExtINT,1,4351,38,0
ExtINT,1,4378,38,0
ExtINT,1,4486,40,0
ExtINT,1,4324,38,0
ExtINT,1,4351,39,0
ExtINT,1,4324,38,0
ExtINT,1,4325,38,0
ExtINT,1,4325,38,0
ExtINT,1,4352,38,0
ExtINT,1,4352,38,0
ExtINT,1,4406,40,0
ExtINT,1,4324,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4297,38,0
ExtINT,1,4351,39,0
ExtINT,1,4324,38,0
ExtINT,1,4324,38,0
ExtINT,1,4459,40,0
ExtINT,1,4297,38,0
ExtINT,1,4324,39,0
ExtINT,1,4325,38,0
ExtINT,1,4325,38,0
ExtINT,1,4352,38,0
ExtINT,1,4325,38,0
ExtINT,1,4324,38,0
ExtINT,1,4432,40,0
ExtINT,1,13162,138,0
ExtINT,1,13622,82,0
ExtINT,1,13217,81,0
ExtINT,1,13595,82,0
ExtINT,1,13189,79,0
ExtINT,1,13054,79,0
ExtINT,1,13000,77,0
ExtINT,1,13162,80,0
ExtINT,1,13027,79,0
ExtINT,1,13027,78,0
ExtINT,1,13054,79,0
ExtINT,1,13027,79,0
ExtINT,1,13027,76,0
ExtINT,1,13054,80,0
ExtINT,1,13027,79,0
ExtINT,1,13216,81,0
