Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4061838,1207,9
PART,1,4055163,1622,16
PART,2,3839000,3074,19
PART,3,3670459,303,4
PART,4,6532324,1940,29
PART,5,4665487,2367,19
PART,6,3990783,1311,8
PART,7,4928352,268,5
PART,8,4329675,9957,31
PART,9,6513081,7057,11
PART,0,4062324,1198,9
PART,1,4046838,1477,16
PART,2,3779190,1791,19
PART,3,3669541,282,4
PART,4,6508324,1626,29
PART,5,4657432,2296,19
PART,6,3941676,5086,8
PART,7,4928757,270,5
PART,8,4328000,9940,31
PART,9,6508568,6807,11
PART,0,4057865,1140,9
PART,1,4042027,1420,16
PART,2,3778622,1781,19
PART,3,3669541,285,4
PART,4,6506405,1608,29
PART,5,4654244,2296,19
PART,6,3941838,5087,8
PART,7,4928622,268,5
PART,8,4327946,9939,31
PART,9,6508675,6808,11
PART,0,4058459,1140,9
PART,1,4081000,1429,16
PART,2,3863783,1778,19
PART,3,3669486,286,4
PART,4,6507919,1608,29
PART,5,4654081,2287,19
PART,6,3940838,5089,8
PART,7,4929351,270,5
PART,8,4327946,9938,31
PART,9,6508054,6808,11
PART,0,4059162,1140,9
PART,1,4071216,1426,16
PART,2,3777946,1777,19
PART,3,3669595,284,4
PART,4,6507081,1613,29
PART,5,4657541,2286,19
PART,6,3941189,5098,8
PART,7,4928730,269,5
PART,8,4328243,9935,31
PART,9,6508892,6807,11
PART,0,4059298,1139,9
PART,1,4047270,1408,16
PART,2,3778108,1772,19
PART,3,3669594,286,4
PART,4,6509379,1609,29
PART,5,4657676,2294,19
PART,6,3941838,5088,8
PART,7,4928135,268,5
PART,8,4328297,9935,31
PART,9,6508675,6807,11
PART,0,4059027,1139,9
PART,1,4042514,1416,16
PART,2,3778676,1762,19
PART,3,3669865,284,4
PART,4,6507405,1609,29
PART,5,4655216,2290,19
PART,6,3941864,5090,8
PART,7,4928648,268,5
PART,8,4328324,9936,31
PART,9,6508108,6791,11
PART,0,4059568,1137,9
PART,1,4081810,1428,16
PART,2,3862595,1766,19
PART,3,3669676,284,4
PART,4,6508162,1607,29
PART,5,4656811,2293,19
PART,6,3942297,5094,8
PART,7,4929081,268,5
PART,8,4327891,9936,31
PART,9,6507757,6804,11
PART,0,4061270,1140,9
PART,1,4057189,1407,16
PART,2,3780811,1764,19
PART,3,3665838,285,4
PART,4,6508244,1604,29
PART,5,4656567,2291,19
PART,6,3941837,5092,8
PART,7,4928325,269,5
PART,8,4328460,9935,31
PART,9,6508054,6807,11
PART,0,4061486,1140,9
PART,1,4048027,1436,16
PART,2,3867081,1767,19
PART,3,3670190,286,4
PART,4,6508568,1608,29
PART,5,4658189,2296,19
PART,6,3942270,5091,8
PART,7,4929811,268,5
PART,8,4327811,9933,31
PART,9,6509919,6808,11
PART,0,4060081,1137,9
PART,1,4068108,1421,16
PART,2,3865081,1763,19
PART,3,3669432,285,4
PART,4,6506054,1612,29
PART,5,4655135,2284,19
PART,6,3941702,5093,8
PART,7,4928919,268,5
PART,8,4327973,9936,31
PART,9,6509649,6807,11
PART,0,4060460,1138,9
PART,1,4081676,1422,16
PART,2,3781514,1769,19
PART,3,3665567,283,4
PART,4,6509405,1611,29
PART,5,4660325,2292,19
PART,6,3942594,5094,8
PART,7,4928703,268,5
PART,8,4328298,9935,31
PART,9,6508135,6807,11
PART,0,4059378,1140,9
PART,1,4050162,1422,16
PART,2,3867730,1771,19
PART,3,3669676,285,4
PART,4,6510676,1606,29
PART,5,4656297,2289,19
PART,6,3943513,5079,8
PART,7,4928567,267,5
PART,8,4328243,9938,31
PART,9,6511216,6810,11
PART,0,4058891,1141,9
PART,1,4066811,1432,16
PART,2,3781541,1766,19
PART,3,3665405,284,4
PART,4,6508487,1608,29
PART,5,4655757,2295,19
PART,6,3946649,5094,8
PART,7,4929973,269,5
PART,8,4327918,9939,31
PART,9,6512135,6812,11
PART,0,4060514,1139,9
PART,1,4081568,1432,16
PART,2,3781459,1754,19
PART,3,3672459,286,5
PART,4,6507919,1610,29
PART,5,4658568,2292,19
PART,6,3951621,5087,8
PART,7,4928838,271,5
PART,8,4328000,9939,31
PART,9,6511324,6808,11
PART,0,4060297,1140,9
PART,1,4053487,1434,16
PART,2,3779973,1755,19
PART,3,3669648,283,4
PART,4,6508216,1620,29
PART,5,4658649,2285,19
PART,6,3953919,5096,8
PART,7,4928487,266,5
PART,8,4327918,9938,31
PART,9,6511784,6808,11
PART,0,4062567,1140,9
PART,1,4050081,1426,16
PART,2,3864109,1750,19
PART,3,3669730,285,4
PART,4,6508352,1612,29
PART,5,4659621,2290,19
PART,6,3954649,5091,8
PART,7,4928784,269,5
PART,8,4327838,9939,31
PART,9,6509811,6804,11
PART,0,4060108,1138,9
