Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4061594,1207,9
PART,1,4055405,1611,16
PART,2,3925406,3074,19
PART,3,3670216,304,4
PART,4,6536243,1960,29
PART,5,4666892,2368,19
PART,6,3991108,1310,8
PART,7,4928297,269,5
PART,8,4329973,9957,31
PART,9,6512756,7057,11
PART,0,4061514,1180,9
PART,1,4047703,1472,16
PART,2,3778460,1785,19
PART,3,3669513,286,4
PART,4,6510784,1637,29
PART,5,4656432,2300,19
PART,6,3942054,5087,8
PART,7,4928892,266,5
PART,8,4328216,9939,31
PART,9,6508622,6728,11
PART,0,4059271,1164,9
PART,1,4041730,1441,16
PART,2,3777702,1776,19
PART,3,3669784,288,4
PART,4,6506162,1614,29
PART,5,4656432,2297,19
PART,6,3942081,5099,8
PART,7,4928811,268,5
PART,8,4327946,9939,31
PART,9,6508082,6727,11
PART,0,4059379,1164,9
PART,1,4043513,1428,16
PART,2,3864190,1776,19
PART,3,3669540,286,4
PART,4,6506919,1616,29
PART,5,4655919,2293,19
PART,6,3941756,5091,8
PART,7,4929000,269,5
PART,8,4327838,9938,31
PART,9,6507297,6729,11
PART,0,4059459,1164,9
PART,1,4044703,1439,16
PART,2,3778324,1777,19
PART,3,3669540,287,4
PART,4,6507487,1616,29
PART,5,4657162,2293,19
PART,6,3941838,5092,8
PART,7,4928594,269,5
PART,8,4328486,9935,31
PART,9,6507270,6728,11
PART,0,4061270,1167,9
PART,1,4044189,1434,16
PART,2,3778568,1775,19
PART,3,3665541,286,4
PART,4,6508702,1606,29
PART,5,4656837,2295,19
PART,6,3942000,5090,8
PART,7,4928027,268,5
PART,8,4328190,9935,31
PART,9,6506594,6727,11
PART,0,4061297,1164,9
PART,1,4043676,1431,16
PART,2,3780109,1773,19
PART,3,3666027,286,4
PART,4,6508325,1613,29
PART,5,4656513,2298,19
PART,6,3942271,5094,8
PART,7,4928649,269,5
PART,8,4328081,9934,31
PART,9,6506757,6712,11
PART,0,4062594,1161,9
PART,1,4041189,1435,16
PART,2,3779243,1776,19
PART,3,3669892,285,4
PART,4,6509135,1616,29
PART,5,4657622,2298,19
PART,6,3941622,5090,8
PART,7,4928594,268,5
PART,8,4327892,9936,31
PART,9,6506838,6727,11
PART,0,4061621,1164,9
PART,1,4047784,1437,16
PART,2,3780595,1760,19
PART,3,3669621,286,4
PART,4,6508973,1616,29
PART,5,4656784,2294,19
PART,6,3941729,5105,8
PART,7,4928784,268,5
PART,8,4328460,9935,31
PART,9,6507459,6727,11
PART,0,4060513,1167,9
PART,1,4043865,1440,16
PART,2,3779837,1769,19
PART,3,3669460,286,4
PART,4,6509109,1617,29
PART,5,4658000,2297,19
PART,6,3941270,5092,8
PART,7,4928892,268,5
PART,8,4328027,9936,31
PART,9,6508595,6728,11
PART,0,4060513,1164,9
PART,1,4045135,1439,16
PART,2,3780163,1775,19
PART,3,3669432,284,4
PART,4,6510838,1618,29
PART,5,4658567,2291,19
PART,6,3941703,5094,8
PART,7,4928865,265,5
PART,8,4328270,9936,31
PART,9,6510109,6727,11
PART,0,4064649,1162,9
PART,1,4049243,1440,16
PART,2,3779973,1775,19
PART,3,3669487,287,4
PART,4,6509406,1621,29
PART,5,4659378,2295,19
PART,6,3942514,5082,8
PART,7,4928783,271,5
PART,8,4328216,9935,31
PART,9,6507081,6727,11
PART,0,4059432,1165,9
PART,1,4041540,1428,16
PART,2,3864378,1781,19
PART,3,3669676,289,4
PART,4,6507946,1613,29
PART,5,4659432,2300,19
PART,6,3943189,5098,8
PART,7,4928136,268,5
PART,8,4328298,9939,31
PART,9,6511108,6729,11
PART,0,4061270,1165,9
PART,1,4046838,1441,16
PART,2,3779162,1775,19
PART,3,3665567,285,4
PART,4,6508270,1621,29
PART,5,4658945,2299,19
PART,6,3946703,5093,8
PART,7,4929324,275,5
PART,8,4328081,9939,31
PART,9,6511973,6729,11
PART,0,4062324,1163,9
PART,1,4051622,1435,16
PART,2,3780082,1781,19
PART,3,3669946,286,4
PART,4,6509919,1617,29
PART,5,4657540,2295,19
PART,6,3951054,5085,8
PART,7,4928487,269,5
PART,8,4328000,9939,31
PART,9,6509216,6709,11
PART,0,4061784,1167,9
PART,1,4044702,1439,16
PART,2,3780189,1773,19
PART,3,3665486,284,4
PART,4,6509811,1619,29
PART,5,4657432,2296,19
PART,6,3954459,5093,8
PART,7,4928621,265,5
PART,8,4327973,9935,31
PART,9,6509891,6728,11
PART,0,4062757,1163,9
PART,1,4047973,1414,16
PART,2,3779081,1774,19
PART,3,3669541,287,4
PART,4,6506216,1614,29
PART,5,4656675,2297,19
PART,6,3954352,5083,8
PART,7,4929000,269,5
PART,8,4327946,9939,31
PART,9,6508379,6728,11
PART,0,4060432,1163,9
PART,1,4043027,1423,16
PART,2,3780244,1779,19
PART,3,3669460,289,4
PART,4,6506460,1620,29
PART,5,4655757,2289,19
PART,6,3954379,5092,8
PART,7,4928621,269,5
PART,8,4328000,9939,31
PART,9,6508352,6729,11
PART,0,4060243,1164,9
PART,1,4044865,1429,16
PART,2,3780406,1774,19
PART,3,3669649,286,4
PART,4,6508649,1618,29
PART,5,4656838,2293,19
PART,6,3955000,5092,8
PART,7,4928460,269,5
PART,8,4328325,9935,31
PART,9,6512405,6727,11
PART,0,4062892,1162,9
PART,1,4048486,1423,16
PART,2,3780189,1773,19
PART,3,3669594,289,4
PART,4,6509486,1616,29
PART,5,4657162,2293,19
PART,6,3954892,5088,8
PART,7,4928540,271,5
PART,8,4328568,9939,31
PART,9,6508378,6737,11
PART,0,4062270,1167,9
PART,1,4043675,1410,16
PART,2,3781136,1781,19
PART,3,3669513,288,4
PART,4,6508081,1620,29
PART,5,4659324,2286,19
