Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4063081,1207,9
PART,1,4072000,1624,16
PART,2,3839514,3072,19
PART,3,3670270,301,4
PART,4,6536108,1957,29
PART,5,4662297,2368,19
PART,6,3990649,1306,8
PART,7,4928757,269,5
PART,8,4330027,9957,31
PART,9,6511135,7056,11
PART,0,4060784,1198,9
PART,1,4061973,1481,16
PART,2,3863486,1779,19
PART,3,3669702,285,4
PART,4,6512514,1649,29
PART,5,4657271,2297,19
PART,6,3941541,5097,8
PART,7,4928973,270,5
PART,8,4328162,9939,31
PART,9,6507352,6818,11
PART,0,4057865,1139,9
PART,1,4057865,1436,16
PART,2,3862838,1777,19
PART,3,3667027,286,4
PART,4,6507460,1625,29
PART,5,4657514,2295,19
PART,6,3941783,5095,8
PART,7,4928513,268,5
PART,8,4327892,9939,31
PART,9,6508054,6818,11
PART,0,4057703,1140,9
PART,1,4057676,1407,16
PART,2,3778514,1778,19
PART,3,3671540,286,4
PART,4,6508729,1627,29
PART,5,4657108,2290,19
PART,6,3941351,5098,8
PART,7,4929243,275,5
PART,8,4327865,9939,31
PART,9,6507784,6819,11
PART,0,4060459,1137,9
PART,1,4075892,1430,16
PART,2,3778783,1776,19
PART,3,3669433,287,4
PART,4,6508243,1625,29
PART,5,4656730,2300,19
PART,6,3941892,5086,8
PART,7,4928756,266,5
PART,8,4328108,9935,31
PART,9,6507540,6818,11
PART,0,4059054,1141,9
PART,1,4060595,1423,16
PART,2,3777729,1768,19
PART,3,3669865,285,4
PART,4,6507054,1618,29
PART,5,4656054,2303,19
PART,6,3941757,5098,8
PART,7,4928594,274,5
PART,8,4328054,9935,31
PART,9,6507784,6818,11
PART,0,4060000,1140,9
PART,1,4041189,1432,16
PART,2,3862432,1769,19
PART,3,3669540,286,4
PART,4,6508568,1622,29
PART,5,4655406,2300,19
PART,6,3941811,5092,8
PART,7,4928243,269,5
PART,8,4327838,9936,31
PART,9,6508838,6802,11
PART,0,4059243,1137,9
PART,1,4072190,1435,16
PART,2,3778838,1763,19
PART,3,3670054,286,4
PART,4,6506081,1623,29
PART,5,4656243,2298,19
PART,6,3941243,5095,8
PART,7,4928946,268,5
PART,8,4328054,9936,31
PART,9,6508406,6818,11
PART,0,4065514,1140,9
PART,1,4071730,1428,16
PART,2,3777811,1751,19
PART,3,3669487,285,4
PART,4,6507946,1621,29
PART,5,4659379,2301,19
PART,6,3941460,5100,8
PART,7,4927973,265,5
PART,8,4328135,9935,31
PART,9,6508271,6817,11
PART,0,4058405,1139,9
PART,1,4053216,1433,16
PART,2,3778595,1764,19
PART,3,3670000,288,4
PART,4,6508460,1623,29
PART,5,4655351,2300,19
PART,6,3941892,5085,8
PART,7,4928621,268,5
PART,8,4328108,9936,31
PART,9,6508487,6819,11
PART,0,4060648,1137,9
PART,1,4069595,1432,16
PART,2,3862892,1754,19
PART,3,3669838,284,4
PART,4,6508622,1622,29
PART,5,4657136,2294,19
PART,6,3941594,5093,8
PART,7,4928459,268,5
PART,8,4328163,9936,31
PART,9,6507973,6817,11
PART,0,4058946,1138,9
PART,1,4083622,1425,16
PART,2,3779162,1770,19
PART,3,3669811,286,4
PART,4,6508838,1626,29
PART,5,4656351,2292,19
PART,6,3942783,5089,8
PART,7,4929054,269,5
PART,8,4328243,9935,31
PART,9,6508108,6817,11
PART,0,4059513,1140,9
PART,1,4061946,1428,16
PART,2,3863135,1769,19
PART,3,3666135,285,4
PART,4,6507703,1611,29
PART,5,4657622,2301,19
PART,6,3944135,5094,8
PART,7,4928054,268,5
PART,8,4328325,9938,31
PART,9,6509081,6819,11
PART,0,4058594,1140,9
PART,1,4083054,1429,16
PART,2,3778919,1768,19
PART,3,3670000,283,4
PART,4,6508784,1618,29
PART,5,4653108,2287,19
PART,6,3947000,5085,8
PART,7,4928783,270,5
PART,8,4327946,9939,31
PART,9,6508162,6818,11
PART,0,4058864,1139,9
PART,1,4057027,1430,16
PART,2,3864216,1774,19
PART,3,3669540,285,4
PART,4,6507541,1616,29
PART,5,4658135,2306,19
PART,6,3951757,5092,8
PART,7,4928648,271,5
PART,8,4327865,9936,31
PART,9,6509514,6817,11
PART,0,4059838,1140,9
PART,1,4061891,1427,16
PART,2,3777622,1769,19
PART,3,3669379,285,4
PART,4,6508378,1615,29
PART,5,4658756,2303,19
PART,6,3953811,5092,8
PART,7,4928540,274,5
PART,8,4328081,9938,31
PART,9,6508162,6817,11
PART,0,4060163,1140,9
PART,1,4074973,1396,16
PART,2,3862000,1756,19
PART,3,3665973,283,4
PART,4,6506892,1619,29
PART,5,4658892,2301,19
PART,6,3954837,5099,8
PART,7,4928892,269,5
PART,8,4327811,9939,31
PART,9,6507352,6817,11
PART,0,4058649,1139,9
PART,1,4058000,1428,16
PART,2,3778649,1767,19
PART,3,3669891,286,4
PART,4,6508054,1620,29
PART,5,4657216,2305,19
PART,6,3955405,5098,8
PART,7,4928432,269,5
PART,8,4327865,9939,31
PART,9,6509351,6818,11
PART,0,4060460,1140,9
PART,1,4055838,1424,16
PART,2,3778595,1761,19
PART,3,3669838,287,4
PART,4,6509649,1622,29
PART,5,4657811,2299,19
PART,6,3954568,5093,8
PART,7,4928460,268,5
PART,8,4328000,9938,31
PART,9,6509541,6818,11
PART,0,4059703,1139,9
PART,1,4042162,1391,16
PART,2,3862676,1760,19
PART,3,3669973,287,4
PART,4,6506702,1629,29
PART,5,4656784,2293,19
PART,6,3954810,5089,8
PART,7,4928946,269,5
PART,8,4328648,9937,31
PART,9,6508486,6827,11
PART,0,4073541,1140,9
PART,1,4072703,1434,16
PART,2,3777702,1776,19
PART,3,3669649,286,4
PART,4,6507757,1624,29
PART,5,4656270,2289,19
PART,6,3955756,5093,8
PART,7,4928567,269,5
PART,8,4328378,9939,31
PART,9,6509270,6827,11
PART,0,4058811,1140,9
PART,1,4059838,1400,16
PART,2,3777757,1767,19
PART,3,3669649,287,4
PART,4,6508108,1618,29
PART,5,4655838,2294,19
PART,6,3954756,5095,8
PART,7,4929216,275,5
PART,8,4327838,9939,31
PART,9,6508946,6828,11
PART,0,4058027,1139,9
PART,1,4058919,1425,16
PART,2,3779595,1768,19
PART,3,3669919,284,4
PART,4,6507513,1623,29
PART,5,4658081,2296,19
PART,6,3954730,5094,8
PART,7,4928730,268,5
PART,8,4327973,9938,31
PART,9,6509216,6819,11
PART,0,4058811,1141,9
PART,1,4054297,1414,16
PART,2,3779027,1764,19
PART,3,3669622,284,4
PART,4,6510568,1623,29
PART,5,4657810,2289,19
PART,6,3955270,5099,8
PART,7,4927891,268,5
PART,8,4328271,9936,31
PART,9,6508297,6828,11
PART,0,4058595,1140,9
PART,1,4058324,1434,16
PART,2,3778757,1773,19
PART,3,3669784,284,4
PART,4,6508729,1622,29
PART,5,4657675,2292,19
PART,6,3954568,5089,8
PART,7,4928460,270,5
PART,8,4328162,9935,31
PART,9,6509379,6827,11
PART,0,4058703,1140,9
PART,1,4059513,1428,16
PART,2,3778784,1766,19
PART,3,3669459,285,4
PART,4,6507514,1620,29
PART,5,4656433,2302,19
PART,6,3954108,5092,8
PART,7,4928757,270,5
PART,8,4328054,9937,31
PART,9,6509702,6811,11
PART,0,4059433,1140,9
PART,1,4040622,1418,16
PART,2,3779486,1764,19
PART,3,3669622,283,4
PART,4,6508189,1623,29
PART,5,4656217,2296,19
PART,6,3954919,5086,8
PART,7,4928865,268,5
PART,8,4328000,9939,31
PART,9,6508460,6828,11
PART,0,4058108,1139,9
PART,1,4054378,1426,16
PART,2,3779649,1773,19
PART,3,3669730,284,4
PART,4,6507189,1622,29
PART,5,4658567,2298,19
PART,6,3954594,5104,8
PART,7,4929081,269,5
PART,8,4328108,9940,31
PART,9,6509919,6828,11
PART,0,4058973,1140,9
PART,1,4071676,1392,16
PART,2,3779946,1779,19
PART,3,3669865,285,4
PART,4,6509270,1621,29
PART,5,4657351,2292,19
PART,6,3954702,5099,8
PART,7,4928838,269,5
PART,8,4328216,9936,31
PART,9,6509486,6825,11
PART,0,4059270,1141,9
PART,1,4075324,1434,16
PART,2,3861865,1758,19
PART,3,3670081,283,4
PART,4,6511676,1627,29
PART,5,4659027,2291,19
PART,6,3954757,5083,8
PART,7,4928973,270,5
PART,8,4327864,9939,31
PART,9,6508703,6825,11
PART,0,4059189,1140,9
PART,1,4059649,1435,16
PART,2,3778568,1766,19
PART,3,3669568,284,4
PART,4,6509892,1624,29
PART,5,4656810,2296,19
PART,6,3954378,5093,8
PART,7,4928946,268,5
PART,8,4327973,9939,31
PART,9,6508081,6826,11
PART,0,4059946,1140,9
PART,1,4063027,1421,16
PART,2,3778379,1759,19
PART,3,3670270,283,4
PART,4,6509297,1622,29
PART,5,4656378,2296,19
PART,6,3955000,5094,8
PART,7,4929217,267,5
PART,8,4327892,9939,31
PART,9,6508027,6808,11
PART,0,4059757,1137,9
PART,1,4041946,1431,16
PART,2,3779054,1761,19
PART,3,3669946,282,4
PART,4,6508270,1625,29
PART,5,4656756,2295,19
PART,6,3954216,5097,8
PART,7,4929297,268,5
PART,8,4327837,9939,31
PART,9,6509081,6829,11
PART,0,4059946,1138,9
PART,1,4043973,1431,16
PART,2,3778622,1768,19
PART,3,3669568,283,4
PART,4,6506784,1623,29
PART,5,4656459,2292,19
PART,6,3955163,5084,8
PART,7,4928594,268,5
PART,8,4328729,9937,31
PART,9,6508216,6828,11
PART,0,4060297,1140,9
PART,1,4059243,1431,16
PART,2,3779108,1765,19
PART,3,3670243,285,4
PART,4,6510054,1622,29
PART,5,4658163,2294,19
PART,6,3955406,5098,8
PART,7,4928514,269,5
PART,8,4328297,9935,31
PART,9,6508838,6827,11
PART,0,4059757,1137,9
PART,1,4059702,1431,16
PART,2,3779892,1764,19
PART,3,3669757,287,4
PART,4,6507810,1630,29
PART,5,4657892,2289,19
PART,6,3955459,5094,8
PART,7,4928757,269,5
PART,8,4328027,9936,31
PART,9,6508324,6810,11
PART,0,4057892,1138,9
PART,1,4043027,1433,16
PART,2,3779838,1769,19
PART,3,3665703,285,4
PART,4,6510190,1624,29
PART,5,4655054,2285,19
PART,6,3954783,5096,8
PART,7,4928621,267,5
PART,8,4328378,9937,31
PART,9,6507919,6829,11
PART,0,4060541,1133,9
PART,1,4042892,1435,16
PART,2,3779379,1774,19
PART,3,3665433,284,4
PART,4,6509594,1628,29
PART,5,4658703,2293,19
PART,6,3955027,5090,8
PART,7,4928729,268,5
PART,8,4328162,9936,31
PART,9,6508324,6828,11
PART,0,4064297,1138,9
PART,1,4041568,1421,16
PART,2,3778865,1761,19
PART,3,3669540,284,4
PART,4,6508135,1627,29
PART,5,4658432,2302,19
PART,6,3954811,5094,8
PART,7,4928648,269,5
PART,8,4328135,9936,31
PART,9,6509865,6827,11
PART,0,4059541,1141,9
PART,1,4061135,1422,16
PART,2,3777351,1763,19
PART,3,3670217,281,4
PART,4,6509297,1622,29
PART,5,4656973,2298,19
PART,6,3955730,5088,8
PART,7,4929108,269,4
PART,8,4328243,9935,31
PART,9,6508783,6828,11
PART,0,4058676,1141,9
PART,1,4084594,1422,16
PART,2,3778730,1768,19
PART,3,3670054,285,4
PART,4,6508108,1626,29
PART,5,4657892,2294,19
PART,6,3955081,5084,8
PART,7,4928676,269,5
PART,8,4327973,9936,31
PART,9,6509730,6825,11
PART,0,4058919,1140,9
PART,1,4065541,1420,16
PART,2,3777189,1760,19
PART,3,3669324,284,4
PART,4,6507757,1616,29
PART,5,4655297,2298,19
PART,6,3954460,5093,8
PART,7,4928622,269,5
PART,8,4327810,9937,31
PART,9,6508541,6826,11
PART,0,4059406,1139,9
PART,1,4042162,1424,16
PART,2,3779081,1765,19
PART,3,3669838,285,4
PART,4,6509135,1626,29
PART,5,4655622,2295,19
PART,6,3955027,5089,8
PART,7,4928486,267,5
PART,8,4327973,9937,31
PART,9,6507973,6809,11
PART,0,4059298,1140,9
PART,1,4057486,1417,16
PART,2,3778973,1761,19
PART,3,3669622,283,4
PART,4,6509676,1627,29
PART,5,4658973,2298,19
PART,6,3955027,5092,8
PART,7,4928811,273,5
PART,8,4327919,9939,31
PART,9,6507946,6829,11
PART,0,4059595,1141,9
PART,1,4050621,1417,16
PART,2,3778459,1773,19
PART,3,3670297,284,4
PART,4,6509621,1624,29
PART,5,4655108,2290,19
PART,6,3954622,5094,8
PART,7,4928621,269,5
PART,8,4328054,9938,31
PART,9,6508460,6828,11
PART,0,4059675,1140,9
PART,1,4058756,1418,16
PART,2,3777810,1766,19
PART,3,3670108,284,4
PART,4,6507757,1626,29
PART,5,4657648,2303,19
PART,6,3916811,5086,8
PART,7,4928405,268,5
PART,8,4327946,9938,31
