Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,11621,318,2
ExtINT,1,4973,146,0
ExtINT,1,4460,130,0
ExtINT,1,4946,131,0
ExtINT,1,4459,134,0
ExtINT,1,4460,136,0
ExtINT,1,4486,129,0
ExtINT,1,4783,130,0
ExtINT,1,4622,135,0
ExtINT,1,4513,134,0
ExtINT,1,4460,128,0
ExtINT,1,4757,130,0
ExtINT,1,4433,133,0
ExtINT,1,4459,135,0
ExtINT,1,4460,130,0
ExtINT,1,4757,130,0
ExtINT,1,4594,136,0
ExtINT,1,4487,136,0
ExtINT,1,4459,129,0
ExtINT,1,4729,132,0
ExtINT,1,4459,133,0
ExtINT,1,4541,134,0
ExtINT,1,4432,129,0
ExtINT,1,4892,129,0
ExtINT,1,4595,135,0
ExtINT,1,4459,134,0
ExtINT,1,4459,127,0
ExtINT,1,4919,132,0
ExtINT,1,4514,133,0
ExtINT,1,4459,137,0
ExtINT,1,4460,129,0
ExtINT,1,4757,129,0
ExtINT,1,4621,135,0
ExtINT,1,4487,136,0
ExtINT,1,4459,130,0
ExtINT,1,4729,132,0
ExtINT,1,4541,133,0
ExtINT,1,4486,134,0
ExtINT,1,4459,129,0
ExtINT,1,4757,129,0
ExtINT,1,4568,135,0
ExtINT,1,4540,134,0
ExtINT,1,4460,130,0
ExtINT,1,4703,131,0
ExtINT,1,4433,133,0
ExtINT,1,4459,135,0
ExtINT,1,4487,128,0
ExtINT,1,4757,130,0
ExtINT,1,4595,135,0
ExtINT,1,4459,134,0
ExtINT,1,4433,129,0
ExtINT,1,4757,129,0
ExtINT,1,4459,133,0
ExtINT,1,4459,134,0
ExtINT,1,4568,129,0
ExtINT,1,4757,129,0
ExtINT,1,18000,450,0
ExtINT,1,21433,527,0
ExtINT,1,21027,521,0
ExtINT,1,20297,492,0
ExtINT,1,22216,539,0
ExtINT,1,21027,500,0
ExtINT,1,20379,509,0
ExtINT,1,21000,505,0
ExtINT,1,20810,510,0
ExtINT,1,21189,507,0
ExtINT,1,20703,512,0
ExtINT,1,21244,523,0
ExtINT,1,20676,512,0
ExtINT,1,22189,508,0
ExtINT,1,20622,505,0
ExtINT,1,20919,496,0
ExtINT,1,20514,506,0
ExtINT,1,20865,505,0
ExtINT,1,20892,522,0
ExtINT,1,20837,501,0
ExtINT,1,20757,507,0
ExtINT,1,21108,502,0
ExtINT,1,20756,500,0
ExtINT,1,22892,553,0
ExtINT,1,21162,514,0
ExtINT,1,21757,512,0
ExtINT,1,21460,517,0
ExtINT,1,21892,522,0
ExtINT,1,21027,512,0
ExtINT,1,21622,522,0
ExtINT,1,21378,514,0
ExtINT,1,21325,510,0
ExtINT,1,21676,507,0
ExtINT,1,21298,511,0
ExtINT,1,21189,494,0
ExtINT,1,21784,515,0
ExtINT,1,21756,506,0
ExtINT,1,21567,505,0
ExtINT,1,21162,521,0
ExtINT,1,21243,504,0
ExtINT,1,21054,501,0
ExtINT,1,21703,517,0
ExtINT,1,22649,545,0
ExtINT,1,20649,494,0
ExtINT,1,20460,491,0
ExtINT,1,21027,513,0
ExtINT,1,20324,494,0
ExtINT,1,20567,495,0
ExtINT,1,20568,503,0
ExtINT,1,20297,490,0
ExtINT,1,20784,507,0
ExtINT,1,21000,513,0
ExtINT,1,20540,506,0
ExtINT,1,20784,514,0
ExtINT,1,20594,506,0
ExtINT,1,20757,501,0
ExtINT,1,20919,507,0
ExtINT,1,20541,497,0
ExtINT,1,20757,496,0
ExtINT,1,20676,496,0
ExtINT,1,20621,509,0
ExtINT,1,22351,555,0
ExtINT,1,21784,519,0
ExtINT,1,20595,508,0
ExtINT,1,20648,491,0
ExtINT,1,20838,521,0
ExtINT,1,20676,508,0
ExtINT,1,21027,496,0
ExtINT,1,21054,512,0
ExtINT,1,20514,501,0
ExtINT,1,21082,506,0
ExtINT,1,21270,509,0
ExtINT,1,20243,491,0
ExtINT,1,20433,494,0
ExtINT,1,20757,497,0
ExtINT,1,20757,502,0
ExtINT,1,20324,503,0
ExtINT,1,20946,505,0
ExtINT,1,20189,496,0
ExtINT,1,20459,489,0
ExtINT,1,22730,558,0
ExtINT,1,21730,517,0
ExtINT,1,20837,498,0
ExtINT,1,21378,527,0
ExtINT,1,21568,526,0
ExtINT,1,21432,514,0
ExtINT,1,21351,497,0
ExtINT,1,20973,507,0
ExtINT,1,21135,509,0
ExtINT,1,21486,517,0
ExtINT,1,21217,507,0
ExtINT,1,20973,498,0
ExtINT,1,21298,510,0
ExtINT,1,21729,515,0
ExtINT,1,21892,508,0
ExtINT,1,21298,510,0
ExtINT,1,21325,511,0
ExtINT,1,21216,505,0
ExtINT,1,21243,510,0
ExtINT,1,23027,562,0
ExtINT,1,20730,504,0
ExtINT,1,21028,505,0
ExtINT,1,20919,509,0
ExtINT,1,20216,495,0
ExtINT,1,20081,494,0
ExtINT,1,20892,506,0
ExtINT,1,20595,507,0
ExtINT,1,21352,513,0
ExtINT,1,20811,519,0
ExtINT,1,20729,508,0
ExtINT,1,20811,520,0
ExtINT,1,21108,506,0
ExtINT,1,20271,503,0
ExtINT,1,20189,501,0
ExtINT,1,20108,502,0
ExtINT,1,21352,527,0
ExtINT,1,21081,511,0
ExtINT,1,20406,494,0
ExtINT,1,21648,534,0
ExtINT,1,21081,510,0
ExtINT,1,20379,513,0
ExtINT,1,20703,499,0
ExtINT,1,21162,518,0
ExtINT,1,21243,507,0
ExtINT,1,19892,490,0
ExtINT,1,21243,503,0
ExtINT,1,20919,509,0
ExtINT,1,21838,512,0
ExtINT,1,21109,509,0
ExtINT,1,20892,501,0
ExtINT,1,22081,506,0
ExtINT,1,22270,523,0
ExtINT,1,21027,514,0
ExtINT,1,20730,503,0
ExtINT,1,20324,498,0
ExtINT,1,21162,511,0
ExtINT,1,23054,572,0
ExtINT,1,22459,528,0
ExtINT,1,21135,501,0
ExtINT,1,21513,514,0
ExtINT,1,21514,525,0
ExtINT,1,22379,532,0
ExtINT,1,21325,511,0
ExtINT,1,21675,528,0
ExtINT,1,21081,500,0
ExtINT,1,21838,519,0
ExtINT,1,21811,519,0
ExtINT,1,24108,525,0
ExtINT,1,31054,516,0
ExtINT,1,22082,514,0
ExtINT,1,21649,523,0
ExtINT,1,21892,530,0
ExtINT,1,36000,544,0
ExtINT,1,23568,520,0
ExtINT,1,21190,513,0
ExtINT,1,22541,541,0
ExtINT,1,21541,518,0
ExtINT,1,21811,531,0
ExtINT,1,20811,515,0
ExtINT,1,20783,520,0
ExtINT,1,21081,521,0
ExtINT,1,21000,506,0
ExtINT,1,20676,522,0
ExtINT,1,21622,511,0
ExtINT,1,20892,500,0
ExtINT,1,22190,509,0
ExtINT,1,20865,505,0
ExtINT,1,21513,518,0
ExtINT,1,21162,502,0
ExtINT,1,20865,501,0
ExtINT,1,20649,504,0
ExtINT,1,21621,527,0
ExtINT,1,20919,509,0
ExtINT,1,21027,509,0
ExtINT,1,20865,516,0
ExtINT,1,21406,527,0
ExtINT,1,20567,506,0
ExtINT,1,20487,504,0
ExtINT,1,20460,502,0
ExtINT,1,20486,501,0
ExtINT,1,20405,510,0
ExtINT,1,21108,516,0
ExtINT,1,21568,498,0
ExtINT,1,21027,510,0
ExtINT,1,20621,494,0
ExtINT,1,20919,504,0
ExtINT,1,20811,498,0
ExtINT,1,21000,499,0
ExtINT,1,21190,492,0
ExtINT,1,20595,499,0
ExtINT,1,21730,509,0
ExtINT,1,20919,510,0
ExtINT,1,20783,514,0
ExtINT,1,21567,544,0
ExtINT,1,21649,519,0
ExtINT,1,22054,521,0
ExtINT,1,21405,520,0
ExtINT,1,21649,521,0
ExtINT,1,21594,534,0
ExtINT,1,21676,521,0
ExtINT,1,25216,535,0
ExtINT,1,22324,526,0
ExtINT,1,21541,503,0
ExtINT,1,21135,504,0
ExtINT,1,21432,506,0
ExtINT,1,21757,513,0
ExtINT,1,21405,507,0
ExtINT,1,21567,509,0
ExtINT,1,21027,502,0
ExtINT,1,21243,508,0
ExtINT,1,21216,507,0
ExtINT,1,21973,521,0
ExtINT,1,22514,525,0
ExtINT,1,22162,529,0
ExtINT,1,21027,512,0
ExtINT,1,21432,519,0
ExtINT,1,20459,512,0
ExtINT,1,20675,503,0
ExtINT,1,20324,490,0
ExtINT,1,21865,503,0
ExtINT,1,21675,502,0
ExtINT,1,22081,526,0
ExtINT,1,21784,501,0
ExtINT,1,21838,512,0
ExtINT,1,22568,505,0
ExtINT,1,23135,527,0
ExtINT,1,23487,524,0
ExtINT,1,21918,504,0
ExtINT,1,20595,504,0
ExtINT,1,20621,497,0
ExtINT,1,20865,501,0
ExtINT,1,21783,525,0
ExtINT,1,20811,519,0
ExtINT,1,20729,519,0
ExtINT,1,20459,503,0
ExtINT,1,21216,524,0
ExtINT,1,20459,507,0
ExtINT,1,24811,520,0
ExtINT,1,22162,505,0
ExtINT,1,22081,502,0
ExtINT,1,21378,506,0
ExtINT,1,22027,503,0
ExtINT,1,22379,513,0
ExtINT,1,23000,517,0
ExtINT,1,21757,504,0
ExtINT,1,21054,504,0
ExtINT,1,20649,504,0
ExtINT,1,20567,499,0
ExtINT,1,20514,507,0
ExtINT,1,20541,514,0
ExtINT,1,21324,530,0
ExtINT,1,22190,532,0
ExtINT,1,21027,521,0
ExtINT,1,22919,528,0
ExtINT,1,21081,506,0
ExtINT,1,22054,522,0
ExtINT,1,21432,520,0
ExtINT,1,21243,508,0
ExtINT,1,21703,525,0
ExtINT,1,21405,511,0
ExtINT,1,21406,513,0
ExtINT,1,22648,536,0
ExtINT,1,21027,503,0
ExtINT,1,21135,507,0
ExtINT,1,20919,505,0
ExtINT,1,22405,524,0
ExtINT,1,21622,511,0
ExtINT,1,21865,525,0
ExtINT,1,21460,528,0
ExtINT,1,22405,531,0
ExtINT,1,21324,511,0
ExtINT,1,20568,503,0
ExtINT,1,20513,501,0
ExtINT,1,20865,521,0
ExtINT,1,21487,527,0
ExtINT,1,22621,528,0
ExtINT,1,21271,506,0
ExtINT,1,21702,517,0
ExtINT,1,20676,501,0
ExtINT,1,21108,519,0
ExtINT,1,20703,504,0
ExtINT,1,20946,500,0
ExtINT,1,20189,501,0
ExtINT,1,21297,532,0
