Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4101108,9568,9
PART,1,4677243,54500,16
PART,2,5404756,22336,19
PART,3,3670109,14168,4
PART,4,6603162,7259,29
PART,5,4759405,34163,19
PART,6,3993459,42932,8
PART,7,4929540,620,5
PART,8,4331649,16491,31
PART,9,6517351,43457,11
PART,0,4105000,9596,9
PART,1,4663513,54206,16
PART,2,5301189,22233,19
PART,3,3670162,14174,4
PART,4,6601243,7253,29
PART,5,4757946,34175,19
PART,6,3944000,42661,8
PART,7,4930027,614,5
PART,8,4331784,16518,31
PART,9,6516946,43456,11
PART,0,4103405,9601,9
PART,1,4671784,54260,16
PART,2,5403216,22345,19
PART,3,3671027,14193,4
PART,4,6601135,7244,29
PART,5,4758892,34278,19
PART,6,3944675,42656,8
PART,7,4929297,618,5
PART,8,4332784,16522,31
PART,9,6517433,43464,11
PART,0,4104676,9599,9
PART,1,4670757,54371,16
PART,2,5295271,22199,19
PART,3,3670648,14172,4
PART,4,6604432,7287,29
PART,5,4759000,34176,19
PART,6,3945081,42683,8
PART,7,4929216,642,5
PART,8,4332432,16517,31
PART,9,6520081,43436,11
PART,0,4104054,9569,9
PART,1,4670406,54260,16
PART,2,5298757,22254,19
PART,3,3670351,14185,4
PART,4,6600730,7252,29
PART,5,4755756,34080,19
PART,6,3944054,42656,8
PART,7,4929270,628,5
PART,8,4332108,16517,31
PART,9,6517027,43442,11
PART,0,4104919,9607,9
PART,1,4662433,54093,16
PART,2,5401405,22343,19
PART,3,3669919,14179,4
PART,4,6605973,7345,29
PART,5,4758081,34072,19
PART,6,3945054,42700,8
PART,7,4929297,628,5
PART,8,4332919,16502,31
PART,9,6518973,43358,11
PART,0,4104621,9579,9
PART,1,4666324,54411,16
PART,2,5297216,22225,19
PART,3,3670108,14158,4
PART,4,6602433,7274,29
PART,5,4761351,34158,19
PART,6,3944162,42656,8
PART,7,4929595,629,5
PART,8,4332649,16517,31
PART,9,6518649,43347,11
PART,0,4102216,9606,9
PART,1,4668243,54165,16
PART,2,5294811,22190,19
PART,3,3670757,14189,4
PART,4,6603459,7247,29
PART,5,4760892,34096,19
PART,6,3943865,42671,8
PART,7,4929891,632,5
PART,8,4331270,16485,31
PART,9,6517514,43326,11
PART,0,4109162,9661,9
PART,1,4692406,54305,16
PART,2,5325649,22384,19
PART,3,3668676,14173,4
PART,4,6604973,7271,29
PART,5,4769432,34194,19
PART,6,3950243,42670,8
PART,7,4930136,631,5
PART,8,4333162,11826,31
PART,9,6524406,43339,11
PART,0,4107838,9545,9
PART,1,4707216,54613,16
PART,2,5431703,22517,19
PART,3,3672757,14171,4
PART,4,6603648,7259,29
PART,5,4764406,34105,19
PART,6,3944919,42666,8
PART,7,4932649,630,5
PART,8,4333054,12949,31
PART,9,6524973,43365,11
PART,0,4108135,9575,9
PART,1,4682216,54224,16
PART,2,5330324,22381,19
PART,3,3671054,14167,4
PART,4,6603243,7238,29
PART,5,4764730,34202,19
PART,6,3944594,42651,8
PART,7,4930298,629,5
PART,8,4331892,11610,31
PART,9,6529703,43407,11
PART,0,4105081,9616,9
PART,1,4687622,54476,16
PART,2,5334216,22418,19
PART,3,3672432,14203,4
PART,4,6612324,7309,29
PART,5,4763217,34087,19
PART,6,3945324,42635,8
PART,7,4929973,638,5
PART,8,4331540,14305,31
PART,9,6524783,43338,11
PART,0,4107811,9612,9
PART,1,4679811,54315,16
PART,2,5333729,22420,19
PART,3,3671702,14199,4
PART,4,6602865,7297,29
PART,5,4761432,34049,19
PART,6,3946189,42662,8
PART,7,4931838,624,5
PART,8,4332243,15419,31
PART,9,6530702,43450,11
PART,0,4103892,9580,9
PART,1,4687730,54313,16
PART,2,5328000,22377,19
PART,3,3671108,14165,4
PART,4,6604865,7229,29
PART,5,4767595,34159,19
PART,6,3955919,42669,8
PART,7,4930054,638,5
PART,8,4332162,12618,31
PART,9,6526270,43468,11
PART,0,4107811,9604,9
PART,1,4692406,54397,16
PART,2,5329000,22402,19
PART,3,3673730,14197,4
PART,4,6605297,7248,29
PART,5,4760487,34128,19
PART,6,3954216,42675,8
PART,7,4929946,625,5
PART,8,4332621,13308,31
PART,9,6522514,43486,11
PART,0,4105865,9600,9
PART,1,4686351,54300,16
PART,2,5333189,22415,19
PART,3,3671081,14157,4
PART,4,6603379,7243,29
PART,5,4760162,34209,19
PART,6,3956432,42642,8
PART,7,4930567,633,5
PART,8,4331702,11808,31
PART,9,6530271,43396,11
PART,0,4108405,9607,9
PART,1,4690136,54403,16
PART,2,5331838,22405,19
PART,3,3671433,14190,4
PART,4,6605081,7226,29
PART,5,4767081,34123,19
PART,6,3957973,42650,8
PART,7,4930675,656,5
PART,8,4331729,11960,31
PART,9,6528433,43472,11
PART,0,4106892,9585,9
PART,1,4683730,54460,16
PART,2,5329189,22374,19
PART,3,3671513,14193,4
PART,4,6603216,7262,29
PART,5,4766486,34124,19
PART,6,3961918,42676,8
PART,7,4930027,638,5
PART,8,4332217,13373,31
PART,9,6526379,43471,11
PART,0,4107000,9594,9
PART,1,4682000,54296,16
PART,2,5429811,22498,19
PART,3,3671351,14186,4
PART,4,6603298,7251,29
PART,5,4763406,34124,19
PART,6,3958108,42684,8
PART,7,4930352,626,5
PART,8,4332837,13020,31
PART,9,6523810,43514,11
PART,0,4108513,9606,9
PART,1,4705811,54729,16
PART,2,5435892,22534,19
PART,3,3670675,14175,4
PART,4,6603567,7285,29
PART,5,4766513,34143,19
PART,6,3957432,42683,8
PART,7,4929595,627,5
PART,8,4332081,16520,31
PART,9,6527271,43406,11
PART,0,4105459,9559,9
PART,1,4693351,54451,16
PART,2,5431378,22504,19
PART,3,3672865,14158,4
PART,4,6605973,7276,29
PART,5,4765892,34072,19
PART,6,3957486,42645,8
PART,7,4929351,620,5
