Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,7622,178,1
SC,1,3000,71,0
SC,1,2054,67,0
SC,1,2000,65,0
SC,1,2054,66,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,2000,65,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,65,0
SC,1,1973,67,0
SC,1,1973,65,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,1973,65,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,1973,65,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2027,67,0
SC,1,2135,66,0
SC,1,1973,65,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1972,65,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,65,0
SC,1,2000,67,0
SC,1,1973,65,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,65,0
SC,1,1946,65,0
SC,1,1973,65,0
SC,1,1973,65,0
SC,1,1973,65,0
SC,1,2108,65,0
SC,1,2000,65,0
SC,1,1973,65,0
SC,1,1973,65,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,1973,65,0
SC,1,1973,65,0
SC,1,2000,65,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,2000,65,0
SC,1,1973,65,0
SC,1,1973,66,0
SC,1,1973,65,0
SC,1,2540,73,0
SC,1,1973,64,0
SC,1,1973,66,0
SC,1,2244,66,0
SC,1,2000,65,0
SC,1,2000,65,0
SC,1,1973,65,0
SC,1,2000,65,0
SC,1,1973,66,0
SC,1,2000,65,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,65,0
SC,1,1973,65,0
SC,1,1973,65,0
SC,1,1973,65,0
SC,1,2000,65,0
SC,1,2000,65,0
SC,1,2000,67,0
SC,1,2000,65,0
SC,1,1973,66,0
SC,1,2162,66,0
SC,1,2000,67,0
SC,1,2162,66,0
SC,1,1973,66,0
SC,1,2135,65,0
SC,1,1973,67,0
SC,1,2324,65,0
SC,1,1973,66,0
SC,1,2027,66,0
SC,1,1973,65,0
SC,1,2243,66,0
SC,1,2000,66,0
SC,1,2027,65,0
SC,1,1973,65,0
SC,1,2216,65,0
SC,1,2000,66,0
SC,1,2108,67,0
SC,1,2000,67,0
SC,1,2162,66,0
SC,1,1973,66,0
SC,1,2163,66,0
SC,1,1973,66,0
SC,1,2135,65,0
SC,1,1973,65,0
SC,1,2217,65,0
SC,1,1973,65,0
SC,1,2135,66,0
SC,1,1973,66,0
SC,1,2163,65,0
SC,1,2000,67,0
SC,1,2243,66,0
SC,1,1973,65,0
SC,1,2081,67,0
SC,1,2000,65,0
SC,1,2135,65,0
SC,1,2216,67,0
SC,1,2297,66,0
SC,1,1972,66,0
SC,1,1973,65,0
