Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,11811,316,2
ExtINT,1,4865,141,0
ExtINT,1,4649,135,0
ExtINT,1,4946,131,0
ExtINT,1,4595,135,0
ExtINT,1,4757,136,0
ExtINT,1,4649,130,0
ExtINT,1,4729,134,0
ExtINT,1,5081,136,0
ExtINT,1,4757,130,0
ExtINT,1,4595,135,0
ExtINT,1,4757,134,0
ExtINT,1,4756,130,0
ExtINT,1,4567,136,0
ExtINT,1,4729,134,0
ExtINT,1,4676,130,0
ExtINT,1,4730,137,0
ExtINT,1,4730,134,0
ExtINT,1,4918,131,0
ExtINT,1,4568,135,0
ExtINT,1,4730,136,0
ExtINT,1,4730,130,0
ExtINT,1,4730,134,0
ExtINT,1,4784,136,0
ExtINT,1,4891,132,0
ExtINT,1,4595,135,0
ExtINT,1,4676,136,0
ExtINT,1,4757,130,0
ExtINT,1,4622,135,0
ExtINT,1,4784,137,0
ExtINT,1,4756,131,0
ExtINT,1,4595,135,0
ExtINT,1,5000,137,0
ExtINT,1,4919,130,0
ExtINT,1,4567,136,0
ExtINT,1,4676,134,0
ExtINT,1,4703,129,0
ExtINT,1,4568,135,0
ExtINT,1,4648,134,0
ExtINT,1,4703,129,0
ExtINT,1,4703,137,0
ExtINT,1,4622,136,0
ExtINT,1,4675,132,0
ExtINT,1,4594,135,0
ExtINT,1,4838,134,0
ExtINT,1,4811,131,0
ExtINT,1,4568,135,0
ExtINT,1,4729,136,0
ExtINT,1,4784,133,0
ExtINT,1,4567,135,0
ExtINT,1,4757,135,0
ExtINT,1,4757,129,0
ExtINT,1,4568,135,0
ExtINT,1,4729,134,0
ExtINT,1,4865,129,0
ExtINT,1,4567,135,0
ExtINT,1,17595,445,0
ExtINT,1,21406,526,0
ExtINT,1,20486,513,0
ExtINT,1,20622,504,0
ExtINT,1,22054,543,0
ExtINT,1,20784,498,0
ExtINT,1,20027,500,0
ExtINT,1,20297,498,0
ExtINT,1,20162,496,0
ExtINT,1,20675,494,0
ExtINT,1,20757,502,0
ExtINT,1,20757,517,0
ExtINT,1,20757,520,0
ExtINT,1,20567,497,0
ExtINT,1,20189,494,0
ExtINT,1,20892,497,0
ExtINT,1,20595,498,0
ExtINT,1,21081,508,0
ExtINT,1,20351,500,0
ExtINT,1,20513,499,0
ExtINT,1,20757,510,0
ExtINT,1,21081,516,0
ExtINT,1,20540,496,0
ExtINT,1,22784,559,0
ExtINT,1,21324,514,0
ExtINT,1,21757,516,0
ExtINT,1,21108,510,0
ExtINT,1,20919,501,0
ExtINT,1,20892,499,0
ExtINT,1,21378,514,0
ExtINT,1,21432,513,0
ExtINT,1,21567,511,0
ExtINT,1,21784,512,0
ExtINT,1,21351,529,0
ExtINT,1,21054,506,0
ExtINT,1,21513,509,0
ExtINT,1,21216,507,0
ExtINT,1,21487,517,0
ExtINT,1,21541,535,0
ExtINT,1,21324,506,0
ExtINT,1,21622,509,0
ExtINT,1,21918,526,0
ExtINT,1,23162,559,0
ExtINT,1,20432,505,0
ExtINT,1,20973,511,0
ExtINT,1,20649,508,0
ExtINT,1,20784,500,0
ExtINT,1,20784,501,0
ExtINT,1,20541,508,0
ExtINT,1,20783,489,0
ExtINT,1,20919,505,0
ExtINT,1,21162,516,0
ExtINT,1,20432,504,0
ExtINT,1,20621,497,0
ExtINT,1,20271,494,0
ExtINT,1,20487,495,0
ExtINT,1,21000,512,0
ExtINT,1,20379,499,0
ExtINT,1,19892,501,0
ExtINT,1,20756,496,0
ExtINT,1,20352,498,0
ExtINT,1,22000,543,0
ExtINT,1,20541,510,0
ExtINT,1,20406,504,0
ExtINT,1,20838,502,0
ExtINT,1,21000,507,0
ExtINT,1,20351,506,0
ExtINT,1,20622,500,0
ExtINT,1,20756,513,0
ExtINT,1,20487,495,0
ExtINT,1,21054,511,0
ExtINT,1,20730,513,0
ExtINT,1,20513,492,0
ExtINT,1,20838,500,0
ExtINT,1,20136,501,0
ExtINT,1,20784,503,0
ExtINT,1,20325,488,0
ExtINT,1,20838,502,0
ExtINT,1,20054,490,0
ExtINT,1,20351,493,0
ExtINT,1,22892,552,0
ExtINT,1,21540,515,0
ExtINT,1,21352,505,0
ExtINT,1,21433,521,0
ExtINT,1,21000,504,0
ExtINT,1,21243,506,0
ExtINT,1,21351,507,0
ExtINT,1,21352,504,0
ExtINT,1,21081,507,0
ExtINT,1,21622,506,0
ExtINT,1,21216,505,0
ExtINT,1,21297,506,0
ExtINT,1,21351,503,0
ExtINT,1,21297,512,0
ExtINT,1,21513,516,0
ExtINT,1,21567,523,0
ExtINT,1,21162,503,0
ExtINT,1,21081,501,0
ExtINT,1,21216,509,0
ExtINT,1,22324,534,0
ExtINT,1,20622,498,0
ExtINT,1,20730,504,0
ExtINT,1,19865,494,0
ExtINT,1,20460,491,0
ExtINT,1,20568,491,0
ExtINT,1,20811,498,0
ExtINT,1,20460,487,0
ExtINT,1,20379,501,0
ExtINT,1,20406,503,0
ExtINT,1,20378,502,0
ExtINT,1,20351,498,0
ExtINT,1,20676,498,0
ExtINT,1,20783,503,0
ExtINT,1,20784,506,0
ExtINT,1,20297,491,0
ExtINT,1,20514,505,0
ExtINT,1,20892,498,0
ExtINT,1,20649,501,0
ExtINT,1,21756,538,0
ExtINT,1,20676,505,0
ExtINT,1,20108,498,0
ExtINT,1,20540,502,0
ExtINT,1,21459,513,0
ExtINT,1,20351,508,0
ExtINT,1,20729,497,0
ExtINT,1,20973,501,0
ExtINT,1,20135,498,0
ExtINT,1,22000,496,0
ExtINT,1,20513,504,0
ExtINT,1,21135,495,0
ExtINT,1,21676,500,0
ExtINT,1,20919,493,0
ExtINT,1,21270,494,0
ExtINT,1,21892,501,0
ExtINT,1,20324,505,0
ExtINT,1,20325,498,0
ExtINT,1,23675,567,0
ExtINT,1,22270,527,0
ExtINT,1,21622,514,0
ExtINT,1,21108,508,0
ExtINT,1,21297,514,0
ExtINT,1,21621,526,0
ExtINT,1,21567,524,0
ExtINT,1,21352,519,0
ExtINT,1,21054,506,0
ExtINT,1,22108,522,0
ExtINT,1,21594,511,0
ExtINT,1,22487,528,0
ExtINT,1,27486,512,0
ExtINT,1,21838,517,0
ExtINT,1,21486,513,0
ExtINT,1,22054,510,0
ExtINT,1,43703,554,0
ExtINT,1,27649,535,0
ExtINT,1,21676,518,0
ExtINT,1,22271,526,0
ExtINT,1,21513,527,0
ExtINT,1,21244,511,0
ExtINT,1,20568,492,0
ExtINT,1,21000,507,0
ExtINT,1,20486,496,0
ExtINT,1,20730,490,0
ExtINT,1,20487,496,0
ExtINT,1,20486,507,0
ExtINT,1,20730,485,0
ExtINT,1,21108,501,0
ExtINT,1,20973,512,0
ExtINT,1,20838,505,0
ExtINT,1,21865,495,0
ExtINT,1,20973,504,0
ExtINT,1,20838,497,0
ExtINT,1,20919,504,0
ExtINT,1,21595,508,0
ExtINT,1,24000,507,0
ExtINT,1,20730,519,0
ExtINT,1,21270,520,0
ExtINT,1,20216,497,0
ExtINT,1,21297,514,0
ExtINT,1,20541,515,0
ExtINT,1,21216,498,0
ExtINT,1,20946,508,0
ExtINT,1,20595,504,0
ExtINT,1,20865,486,0
ExtINT,1,20730,497,0
ExtINT,1,20892,496,0
ExtINT,1,21297,501,0
ExtINT,1,20514,493,0
ExtINT,1,21163,490,0
ExtINT,1,21162,512,0
ExtINT,1,20649,500,0
ExtINT,1,20784,499,0
ExtINT,1,20513,505,0
ExtINT,1,21135,508,0
ExtINT,1,21703,529,0
ExtINT,1,21703,527,0
ExtINT,1,21757,512,0
ExtINT,1,21513,519,0
ExtINT,1,21595,499,0
ExtINT,1,21513,511,0
ExtINT,1,21514,508,0
ExtINT,1,22378,514,0
ExtINT,1,21621,510,0
ExtINT,1,21406,517,0
ExtINT,1,21432,517,0
ExtINT,1,21297,508,0
ExtINT,1,21621,511,0
ExtINT,1,21730,523,0
ExtINT,1,21648,505,0
ExtINT,1,21514,505,0
ExtINT,1,20973,500,0
ExtINT,1,21540,516,0
ExtINT,1,22270,524,0
ExtINT,1,22190,527,0
ExtINT,1,21729,533,0
ExtINT,1,20486,493,0
ExtINT,1,20594,498,0
ExtINT,1,20514,509,0
ExtINT,1,20648,516,0
ExtINT,1,20460,499,0
ExtINT,1,21460,497,0
ExtINT,1,21649,512,0
ExtINT,1,21379,516,0
ExtINT,1,21865,516,0
ExtINT,1,21568,515,0
ExtINT,1,22918,503,0
ExtINT,1,21567,505,0
ExtINT,1,22405,497,0
ExtINT,1,22135,501,0
ExtINT,1,20487,502,0
ExtINT,1,20216,500,0
ExtINT,1,20568,498,0
ExtINT,1,21514,532,0
ExtINT,1,21324,517,0
ExtINT,1,20460,509,0
ExtINT,1,20703,499,0
ExtINT,1,20513,496,0
ExtINT,1,20730,506,0
ExtINT,1,23514,501,0
ExtINT,1,21594,501,0
ExtINT,1,21487,502,0
ExtINT,1,22027,512,0
ExtINT,1,21946,505,0
ExtINT,1,23243,514,0
ExtINT,1,23298,514,0
ExtINT,1,21594,503,0
ExtINT,1,20892,502,0
ExtINT,1,20405,505,0
ExtINT,1,20406,494,0
ExtINT,1,20000,494,0
ExtINT,1,20189,498,0
ExtINT,1,21054,519,0
ExtINT,1,22189,522,0
ExtINT,1,20757,510,0
ExtINT,1,21406,519,0
ExtINT,1,21270,497,0
ExtINT,1,21459,517,0
ExtINT,1,21406,509,0
ExtINT,1,21432,506,0
ExtINT,1,21000,510,0
ExtINT,1,21297,500,0
ExtINT,1,21054,507,0
ExtINT,1,21460,507,0
ExtINT,1,21054,506,0
ExtINT,1,21243,507,0
ExtINT,1,21027,510,0
ExtINT,1,21973,514,0
ExtINT,1,21406,517,0
ExtINT,1,21648,517,0
ExtINT,1,20757,505,0
ExtINT,1,21729,520,0
ExtINT,1,21486,526,0
ExtINT,1,21108,520,0
ExtINT,1,20352,499,0
ExtINT,1,20784,506,0
ExtINT,1,22973,507,0
ExtINT,1,21027,502,0
ExtINT,1,21919,526,0
ExtINT,1,21919,519,0
ExtINT,1,20757,497,0
ExtINT,1,21486,505,0
ExtINT,1,21189,503,0
ExtINT,1,21135,493,0
ExtINT,1,21298,497,0
ExtINT,1,21054,512,0
ExtINT,1,20973,499,0
ExtINT,1,21081,508,0
ExtINT,1,20784,519,0
ExtINT,1,20973,509,0
ExtINT,1,21568,537,0
ExtINT,1,21594,525,0
ExtINT,1,20568,498,0
ExtINT,1,21190,500,0
ExtINT,1,20433,501,0
ExtINT,1,61729,569,0
ExtINT,1,21729,510,0
ExtINT,1,22189,516,0
ExtINT,1,21973,506,0
ExtINT,1,21811,505,0
ExtINT,1,22000,511,0
ExtINT,1,21973,496,0
ExtINT,1,21757,509,0
ExtINT,1,22135,511,0
ExtINT,1,21352,495,0
ExtINT,1,21864,505,0
ExtINT,1,21406,505,0
ExtINT,1,20541,505,0
