Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4102703,9592,9
PART,1,4662973,54320,16
PART,2,5298325,22208,19
PART,3,3670136,14171,4
PART,4,6601135,7277,29
PART,5,4759784,34204,19
PART,6,3992973,42950,8
PART,7,4929432,629,5
PART,8,4331270,16495,31
PART,9,6516919,43471,11
PART,0,4104459,9590,9
PART,1,4664676,54323,16
PART,2,5297757,22212,19
PART,3,3666351,14186,4
PART,4,6602378,7239,29
PART,5,4757432,34114,19
PART,6,3944216,42678,8
PART,7,4929621,632,5
PART,8,4331406,16517,31
PART,9,6517946,43441,11
PART,0,4104244,9590,9
PART,1,4665757,54406,16
PART,2,5298243,22220,19
PART,3,3671189,14205,4
PART,4,6602892,7257,29
PART,5,4756703,34179,19
PART,6,3943838,42645,8
PART,7,4929027,617,5
PART,8,4333108,16520,31
PART,9,6517568,43454,11
PART,0,4104270,9606,9
PART,1,4674622,54286,16
PART,2,5301864,22229,19
PART,3,3669838,14181,4
PART,4,6603486,7270,29
PART,5,4759189,34020,19
PART,6,3944270,42648,8
PART,7,4929271,626,5
PART,8,4332379,16512,31
PART,9,6521406,43398,11
PART,0,4104432,9637,9
PART,1,4670190,54155,16
PART,2,5299892,22261,19
PART,3,3670459,14177,4
PART,4,6603351,7270,29
PART,5,4756865,34025,19
PART,6,3944649,42657,8
PART,7,4929297,623,5
PART,8,4332405,16504,31
PART,9,6517594,43341,11
PART,0,4104919,9596,9
PART,1,4667378,54154,16
PART,2,5300946,22274,19
PART,3,3670352,14193,4
PART,4,6603730,7265,29
PART,5,4758189,34242,19
PART,6,3944378,42663,8
PART,7,4929378,629,5
PART,8,4332486,16514,31
PART,9,6516865,43412,11
PART,0,4103811,9611,9
PART,1,4670163,54336,16
PART,2,5301081,22261,19
PART,3,3670729,14179,4
PART,4,6604163,7289,29
PART,5,4758000,34026,19
PART,6,3945189,42631,8
PART,7,4929675,639,5
PART,8,4332594,16516,31
PART,9,6520838,43352,11
PART,0,4103567,9599,9
PART,1,4667054,54401,16
PART,2,5300838,22253,19
PART,3,3670351,14185,4
PART,4,6602487,7270,29
PART,5,4755486,34068,19
PART,6,3944027,42635,8
PART,7,4929460,620,5
PART,8,4332838,16508,31
PART,9,6517541,43457,11
PART,0,4106676,9616,9
PART,1,4679513,54442,16
PART,2,5320270,22352,19
PART,3,3670892,14167,4
PART,4,6605703,7278,29
PART,5,4762946,34113,19
PART,6,3944648,42664,8
PART,7,4930000,649,5
PART,8,4332946,16505,31
PART,9,6522892,43453,11
PART,0,4111459,9688,9
PART,1,4676406,54355,16
PART,2,5423460,22492,19
PART,3,3670514,14187,4
PART,4,6606676,7288,29
PART,5,4760216,34104,19
PART,6,3945108,42684,8
PART,7,4929460,627,5
PART,8,4333379,16523,31
PART,9,6523000,43487,11
PART,0,4108541,9608,9
PART,1,4684648,54397,16
PART,2,5319081,22361,19
PART,3,3670838,14178,4
PART,4,6604000,7251,29
PART,5,4762405,34142,19
PART,6,3944055,42594,8
PART,7,4929567,626,5
PART,8,4331756,13860,31
PART,9,6526054,43444,11
PART,0,4107270,9648,9
PART,1,4677919,54480,16
PART,2,5426541,22479,19
PART,3,3670405,14162,4
PART,4,6605162,7245,29
PART,5,4763108,34132,19
PART,6,3947027,42655,8
PART,7,4929757,627,5
PART,8,4332405,15682,31
PART,9,6522621,43456,11
PART,0,4105621,9587,9
PART,1,4683730,54254,16
PART,2,5318676,22341,19
PART,3,3670297,14172,4
PART,4,6603703,7260,29
PART,5,4758135,34078,19
PART,6,3946135,42653,8
PART,7,4930027,625,5
PART,8,4331595,14369,31
PART,9,6525000,43395,11
PART,0,4109541,9572,9
PART,1,4678054,54266,16
PART,2,5319108,22332,19
PART,3,3675676,14196,4
PART,4,6603324,7217,29
PART,5,4763892,34105,19
PART,6,3948811,42646,8
PART,7,4930081,635,5
PART,8,4331595,16486,31
PART,9,6527189,43459,11
PART,0,4106946,9620,9
PART,1,4685243,54464,16
PART,2,5419270,22438,19
PART,3,3670540,14172,4
PART,4,6609676,7309,29
PART,5,4766460,34169,19
PART,6,3954351,42670,8
PART,7,4929622,615,5
PART,8,4332270,13335,31
PART,9,6522460,43459,11
PART,0,4104568,9591,9
PART,1,4681351,54358,16
PART,2,5319027,22369,19
PART,3,3669270,14194,4
PART,4,6606703,7268,29
PART,5,4760865,34164,19
PART,6,3957379,42658,8
PART,7,4929540,626,5
PART,8,4331973,15945,31
PART,9,6526487,43385,11
PART,0,4106649,9616,9
PART,1,4679757,54192,16
PART,2,5318568,22350,19
PART,3,3670379,14176,4
PART,4,6603378,7239,29
PART,5,4759189,34085,19
PART,6,3957810,42673,8
PART,7,4929918,626,5
PART,8,4331811,16493,31
PART,9,6525216,43396,11
PART,0,4106135,9614,9
PART,1,4682891,54370,16
PART,2,5316756,22342,19
PART,3,3671054,14185,4
PART,4,6608027,7257,29
PART,5,4760324,34099,19
PART,6,3958162,42665,8
PART,7,4930460,651,5
PART,8,4331567,11942,31
PART,9,6522270,43390,11
PART,0,4107676,9557,9
PART,1,4673540,54259,16
PART,2,5422081,22458,19
PART,3,3670540,14169,4
PART,4,6605406,7259,29
PART,5,4763676,34131,19
PART,6,3957973,42670,8
PART,7,4930054,638,5
PART,8,4331838,12963,31
PART,9,6530162,43431,11
PART,0,4113568,9633,9
PART,1,4679784,54195,16
PART,2,5317163,22336,19
PART,3,3671054,14180,4
PART,4,6605135,7287,29
PART,5,4763351,34103,19
PART,6,3961027,42660,8
PART,7,4930000,632,5
PART,8,4331729,14965,31
PART,9,6524757,43416,11
PART,0,4104324,9561,9
PART,1,4675865,54164,16
PART,2,5422351,22467,19
PART,3,3670837,14185,4
PART,4,6601568,7207,29
PART,5,4758297,34068,19
PART,6,3958162,42667,8
PART,7,4929676,630,5
PART,8,4331622,14406,31
PART,9,6521730,43468,11
PART,0,4109162,9598,9
PART,1,4679730,54283,16
PART,2,5320973,22322,19
PART,3,3673865,14209,4
PART,4,6603865,7245,29
PART,5,4761811,34122,19
PART,6,3957703,42663,8
PART,7,4929757,641,5
PART,8,4332244,16494,31
PART,9,6525189,43458,11
PART,0,4108081,9650,9
PART,1,4673460,54365,16
PART,2,5432676,22524,19
PART,3,3670081,14147,4
PART,4,6603567,7270,29
PART,5,4764217,34199,19
PART,6,3958973,42663,8
PART,7,4930135,626,5
PART,8,4332270,16492,31
PART,9,6523433,43346,11
PART,0,4104730,9582,9
PART,1,4684892,54328,16
PART,2,5318892,22351,19
PART,3,3671189,14197,4
PART,4,6603054,7229,29
PART,5,4760568,34089,19
PART,6,3957702,42677,8
PART,7,4929595,628,5
PART,8,4331595,12830,31
PART,9,6519757,43452,11
PART,0,4116919,9621,9
PART,1,4685702,54350,16
PART,2,5320621,22336,19
PART,3,3675298,14197,4
PART,4,6602946,7280,29
PART,5,4761298,34077,19
PART,6,3958405,42659,8
PART,7,4930919,633,5
PART,8,4333000,16259,31
PART,9,6529595,43384,11
PART,0,4104352,9562,9
PART,1,4682378,54487,16
PART,2,5318081,22319,19
PART,3,3670919,14177,4
PART,4,6611027,7339,29
PART,5,4761487,34123,19
PART,6,3958540,42664,8
PART,7,4929865,628,5
PART,8,4333054,16511,31
PART,9,6525568,43435,11
PART,0,4106973,9601,9
PART,1,4673297,54200,16
PART,2,5320919,22363,19
PART,3,3666432,14165,4
PART,4,6602351,7219,29
PART,5,4759838,34102,19
PART,6,3957621,42666,8
PART,7,4929540,625,5
PART,8,4332838,15214,31
PART,9,6522784,43426,11
PART,0,4116540,9611,9
PART,1,4673730,54233,16
PART,2,5323109,22394,19
PART,3,3673352,14174,4
PART,4,6601649,7243,29
