Type,Id,ExecTime,l2Miss,tlbMiss
IntINT,1,3054,111,0
IntINT,1,2703,95,0
IntINT,1,2162,82,0
IntINT,1,2054,84,0
IntINT,1,2027,85,0
IntINT,1,2081,84,0
IntINT,1,2027,83,0
IntINT,1,2027,82,0
IntINT,1,2054,84,0
IntINT,1,2000,84,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2027,85,0
IntINT,1,2054,84,0
IntINT,1,2054,84,0
IntINT,1,2054,84,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,83,0
IntINT,1,2054,85,0
IntINT,1,2054,85,0
IntINT,1,2027,84,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2027,84,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2054,83,0
IntINT,1,2055,84,0
IntINT,1,2054,85,0
IntINT,1,2000,83,0
IntINT,1,2595,92,0
IntINT,1,2000,76,0
IntINT,1,2054,82,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2000,82,0
IntINT,1,2027,82,0
IntINT,1,2027,83,0
IntINT,1,2027,84,0
IntINT,1,2027,84,0
IntINT,1,2000,83,0
IntINT,1,2054,82,0
IntINT,1,2000,83,0
IntINT,1,2027,82,0
IntINT,1,2027,82,0
IntINT,1,2082,83,0
IntINT,1,2027,82,0
IntINT,1,2324,82,0
IntINT,1,2000,84,0
IntINT,1,2027,83,0
IntINT,1,2027,84,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2054,84,0
IntINT,1,2054,82,0
IntINT,1,2054,83,0
IntINT,1,2000,82,0
IntINT,1,2000,82,0
IntINT,1,2054,85,0
IntINT,1,2000,83,0
IntINT,1,2054,83,0
IntINT,1,2027,85,0
IntINT,1,2000,82,0
IntINT,1,2054,82,0
IntINT,1,2054,82,0
IntINT,1,2000,82,0
IntINT,1,2054,83,0
IntINT,1,2054,82,0
IntINT,1,2000,84,0
IntINT,1,2000,84,0
