Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4101946,9638,9
PART,1,4670865,54219,16
PART,2,5400000,22328,19
PART,3,3670136,14180,4
PART,4,6606379,7332,29
PART,5,4758946,34117,19
PART,6,3994027,42960,8
PART,7,4929541,635,5
PART,8,4331351,16485,31
PART,9,6517027,43444,11
PART,0,4109784,9666,9
PART,1,4665784,54289,16
PART,2,5299432,22257,19
PART,3,3669946,14171,4
PART,4,6602514,7246,29
PART,5,4757757,34106,19
PART,6,3945027,42665,8
PART,7,4929000,630,5
PART,8,4331271,16484,31
PART,9,6519838,43455,11
PART,0,4105000,9607,9
PART,1,4667594,54387,16
PART,2,5404000,22363,19
PART,3,3670568,14183,4
PART,4,6603568,7297,29
PART,5,4758270,34220,19
PART,6,3943351,42682,8
PART,7,4929730,638,5
PART,8,4332837,16516,31
PART,9,6520540,43455,11
PART,0,4104054,9600,9
PART,1,4662757,54416,16
PART,2,5300054,22242,19
PART,3,3670243,14171,4
PART,4,6600892,7254,29
PART,5,4759811,34208,19
PART,6,3944297,42672,8
PART,7,4929919,639,5
PART,8,4332459,16518,31
PART,9,6517297,43465,11
PART,0,4109297,9600,9
PART,1,4662756,54272,16
PART,2,5402514,22394,19
PART,3,3670540,14190,4
PART,4,6602622,7305,29
PART,5,4758459,34126,19
PART,6,3945270,42706,8
PART,7,4929324,646,5
PART,8,4332379,16509,31
PART,9,6516622,43372,11
PART,0,4110703,9665,9
PART,1,4673216,54443,16
PART,2,5294783,22237,19
PART,3,3670324,14168,4
PART,4,6604162,7266,29
PART,5,4756730,34179,19
PART,6,3944487,42656,8
PART,7,4929324,646,5
PART,8,4332189,16530,31
PART,9,6519297,43415,11
PART,0,4104298,9562,9
PART,1,4670460,54303,16
PART,2,5300946,22253,19
PART,3,3670594,14174,4
PART,4,6602027,7308,29
PART,5,4759541,34162,19
PART,6,3945351,42692,8
PART,7,4929730,649,5
PART,8,4332243,16553,31
PART,9,6521460,43445,11
PART,0,4103351,9606,9
PART,1,4660162,54198,16
PART,2,5302865,22277,19
PART,3,3670190,14198,4
PART,4,6601351,7312,29
PART,5,4758270,34119,19
PART,6,3944622,42665,8
PART,7,4929487,622,5
PART,8,4332351,16512,31
PART,9,6518864,43406,11
PART,0,4104270,9619,9
PART,1,4672108,54202,16
PART,2,5306811,22294,19
PART,3,3670459,14194,4
PART,4,6602135,7292,29
PART,5,4759108,34126,19
PART,6,3943973,42665,8
PART,7,4929648,645,5
PART,8,4332730,16519,31
PART,9,6520135,43467,11
PART,0,4104513,9637,9
PART,1,4665000,54150,16
PART,2,5308351,22312,19
PART,3,3671108,14198,4
PART,4,6603946,7265,29
PART,5,4756216,34066,19
PART,6,3944892,42696,8
PART,7,4929702,637,5
PART,8,4332297,16509,31
