Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4103379,9598,9
PART,1,4663243,54235,16
PART,2,5298189,22216,19
PART,3,3670405,14190,4
PART,4,6601217,7198,29
PART,5,4761298,34239,19
PART,6,3993027,42939,8
PART,7,4928892,618,5
PART,8,4331810,16483,31
PART,9,6516189,43458,11
PART,0,4104649,9616,9
PART,1,4667135,54261,16
PART,2,5298730,22230,19
PART,3,3670027,14172,5
PART,4,6600432,7230,29
PART,5,4758729,34114,19
PART,6,3944325,42646,8
PART,7,4929487,640,5
PART,8,4331378,16488,31
PART,9,6518460,43468,11
PART,0,4104486,9586,9
PART,1,4659946,54243,16
PART,2,5297919,22211,19
PART,3,3670324,14177,4
PART,4,6603676,7278,29
PART,5,4756352,34108,19
PART,6,3944162,42642,8
PART,7,4930054,619,5
PART,8,4332297,16529,31
PART,9,6517865,43382,11
PART,0,4105189,9576,9
PART,1,4667513,54365,16
PART,2,5299702,22214,19
PART,3,3670135,14166,4
PART,4,6602892,7247,29
PART,5,4761135,34097,19
PART,6,3944459,42667,8
PART,7,4929244,622,5
PART,8,4332784,16554,31
PART,9,6517189,43455,11
PART,0,4104567,9583,9
PART,1,4667486,54355,16
PART,2,5403432,22385,19
PART,3,3670513,14193,4
PART,4,6601946,7215,29
PART,5,4757000,34082,19
PART,6,3944460,42609,8
PART,7,4929567,634,5
PART,8,4332541,16505,31
PART,9,6517486,43335,11
PART,0,4107054,9602,9
PART,1,4671514,54492,16
PART,2,5296136,22221,19
PART,3,3670271,14176,4
PART,4,6602783,7274,29
PART,5,4756460,34122,19
PART,6,3944216,42653,8
PART,7,4929730,625,5
PART,8,4332622,16508,31
PART,9,6516973,43463,11
PART,0,4108432,9653,9
PART,1,4660054,54446,16
PART,2,5303325,22267,19
PART,3,3670567,14181,4
PART,4,6604487,7242,29
PART,5,4757757,34125,19
PART,6,3945514,42694,8
PART,7,4929946,622,5
PART,8,4332595,16511,31
PART,9,6520270,43409,11
PART,0,4105378,9583,9
PART,1,4674730,54129,16
PART,2,5297865,22240,19
PART,3,3670243,14168,4
PART,4,6602351,7259,29
PART,5,4757648,34105,19
PART,6,3945189,42687,8
PART,7,4929432,634,5
PART,8,4332730,16511,31
PART,9,6516973,43447,11
PART,0,4149568,9661,9
PART,1,4669270,54346,16
PART,2,5303648,22283,19
PART,3,3670702,14178,4
PART,4,6601973,7280,29
PART,5,4756054,34126,19
PART,6,3944567,42645,8
PART,7,4929271,620,5
