Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,6621,182,1
SC,1,2405,69,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,1973,68,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2027,67,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2027,68,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2027,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,1973,69,0
SC,1,2000,67,0
SC,1,1973,68,0
SC,1,2000,68,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,2000,69,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,69,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,1972,67,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,1973,68,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,2000,68,0
SC,1,1973,68,0
SC,1,2622,73,0
SC,1,2000,64,0
SC,1,2000,65,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,2000,69,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,2000,68,0
SC,1,2027,67,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2000,69,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,1972,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2000,70,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,68,0
SC,1,2216,67,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,1973,68,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,1973,70,0
SC,1,2027,68,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2135,66,0
SC,1,2000,64,0
SC,1,2000,65,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,1973,68,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,1972,67,0
SC,1,2000,66,0
SC,1,2487,72,0
SC,1,2108,70,0
SC,1,2027,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,2000,69,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2432,66,0
SC,1,2027,69,0
SC,1,1973,66,0
SC,1,2027,66,0
SC,1,1973,66,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2027,67,0
SC,1,2486,66,0
SC,1,2000,63,0
SC,1,2027,68,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,68,0
SC,1,2081,67,0
SC,1,2000,68,0
SC,1,2081,66,0
SC,1,2243,66,0
SC,1,2351,66,0
SC,1,2054,66,0
SC,1,1972,67,0
SC,1,2000,67,0
SC,1,2027,67,0
SC,1,2055,66,0
SC,1,2000,66,0
SC,1,2027,66,0
SC,1,2000,68,0
SC,1,2108,65,0
SC,1,2000,66,0
SC,1,2000,65,0
SC,1,1973,66,0
SC,1,1973,69,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,2000,65,0
SC,1,1973,66,0
SC,1,2027,66,0
SC,1,2000,66,0
SC,1,2216,66,0
SC,1,2054,67,0
SC,1,2108,67,0
SC,1,1972,66,0
SC,1,2108,67,0
SC,1,1973,68,0
SC,1,2162,66,0
SC,1,2000,66,0
SC,1,2216,66,0
SC,1,2000,67,0
SC,1,2135,66,0
SC,1,2000,67,0
SC,1,2135,67,0
SC,1,2270,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2054,66,0
SC,1,2000,68,0
SC,1,2136,66,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2324,68,0
SC,1,2027,67,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2000,65,0
SC,1,1973,67,0
SC,1,2000,64,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,68,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,1973,69,0
SC,1,1973,68,0
SC,1,1973,68,0
SC,1,2027,64,0
SC,1,2027,68,0
SC,1,2027,66,0
SC,1,2000,66,0
SC,1,2081,66,0
SC,1,2000,64,0
SC,1,2243,66,0
SC,1,1973,66,0
SC,1,2054,66,0
SC,1,1973,66,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,68,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,2135,67,0
SC,1,2000,64,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,1946,66,0
SC,1,1973,68,0
SC,1,2000,64,0
SC,1,2081,67,0
SC,1,2000,68,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,2189,66,0
SC,1,1973,67,0
SC,1,2270,66,0
SC,1,2000,66,0
SC,1,2000,65,0
SC,1,2000,67,0
SC,1,2136,66,0
SC,1,1973,67,0
SC,1,2189,66,0
SC,1,2000,66,0
SC,1,2109,66,0
SC,1,2000,66,0
SC,1,2162,66,0
SC,1,1973,66,0
SC,1,1973,68,0
SC,1,1973,66,0
SC,1,2513,67,0
SC,1,1973,66,0
SC,1,2000,65,0
SC,1,1973,66,0
SC,1,2162,66,0
SC,1,2000,64,0
SC,1,2027,64,0
SC,1,2054,67,0
SC,1,2162,66,0
SC,1,2054,67,0
SC,1,2054,66,0
SC,1,2000,67,0
SC,1,2162,66,0
SC,1,2081,66,0
SC,1,2054,68,0
SC,1,2000,67,0
SC,1,2108,66,0
SC,1,1972,66,0
SC,1,2189,66,0
SC,1,2000,67,0
SC,1,2162,66,0
SC,1,2000,66,0
SC,1,2135,67,0
SC,1,2000,67,0
SC,1,2135,67,0
SC,1,2000,67,0
SC,1,2135,66,0
SC,1,1973,66,0
SC,1,2297,67,0
SC,1,2081,68,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2135,67,0
SC,1,2027,68,0
SC,1,2135,66,0
SC,1,2000,66,0
SC,1,2190,66,0
SC,1,1973,66,0
SC,1,2189,67,0
SC,1,2378,71,0
SC,1,2000,66,0
SC,1,2054,66,0
SC,1,2298,68,0
SC,1,1973,66,0
SC,1,2108,65,0
SC,1,2000,65,0
SC,1,2622,60,0
SC,1,2108,66,0
SC,1,2136,67,0
SC,1,2000,66,0
SC,1,2054,66,0
SC,1,2000,67,0
SC,1,2135,66,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,2271,64,0
SC,1,2027,66,0
SC,1,2270,66,0
SC,1,2108,65,0
SC,1,2000,66,0
SC,1,2271,68,0
SC,1,2108,64,0
SC,1,2000,67,0
SC,1,2216,66,0
SC,1,2000,67,0
SC,1,2298,66,0
SC,1,2000,68,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2135,67,0
SC,1,1973,68,0
SC,1,2162,66,0
SC,1,1973,68,0
SC,1,2162,67,0
SC,1,1973,66,0
SC,1,2135,66,0
SC,1,1973,64,0
SC,1,2216,66,0
SC,1,2000,66,0
SC,1,2135,67,0
SC,1,2000,67,0
SC,1,2189,66,0
SC,1,2081,66,0
SC,1,2054,66,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2027,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,1972,68,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,2000,66,0
SC,1,1973,69,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2136,67,0
SC,1,2054,66,0
SC,1,1946,66,0
SC,1,1946,66,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2162,66,0
SC,1,2270,68,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2000,69,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,2216,65,0
SC,1,2000,64,0
SC,1,2027,65,0
SC,1,2000,67,0
SC,1,2135,66,0
SC,1,2000,66,0
SC,1,2189,67,0
SC,1,1973,66,0
SC,1,2162,66,0
SC,1,2000,66,0
SC,1,2541,65,0
SC,1,2000,67,0
SC,1,2000,66,0
SC,1,2000,67,0
SC,1,2217,67,0
SC,1,2000,66,0
SC,1,2054,67,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2135,66,0
SC,1,1973,66,0
SC,1,2162,66,0
SC,1,1973,66,0
SC,1,2243,66,0
SC,1,2000,66,0
SC,1,2108,66,0
SC,1,2000,67,0
SC,1,2162,67,0
SC,1,1973,67,0
SC,1,2162,67,0
SC,1,1973,67,0
SC,1,2135,66,0
SC,1,2000,67,0
SC,1,2162,66,0
SC,1,1973,67,0
SC,1,2163,66,0
SC,1,1973,66,0
SC,1,2216,66,0
SC,1,1973,67,0
SC,1,2136,66,0
SC,1,2000,66,0
SC,1,2162,67,0
SC,1,1973,67,0
SC,1,2163,66,0
SC,1,1973,67,0
SC,1,2162,66,0
SC,1,1973,66,0
SC,1,2190,66,0
SC,1,1973,67,0
SC,1,2135,66,0
SC,1,1973,66,0
SC,1,1973,68,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,1973,68,0
SC,1,2027,66,0
SC,1,2000,66,0
SC,1,1973,68,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,2027,66,0
SC,1,1973,67,0
SC,1,1973,64,0
SC,1,1973,67,0
SC,1,2000,68,0
SC,1,2054,68,0
SC,1,2081,68,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,2000,67,0
SC,1,1973,68,0
SC,1,1973,66,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,2081,65,0
SC,1,2000,64,0
SC,1,2000,64,0
SC,1,2027,67,0
SC,1,2000,67,0
SC,1,1973,66,0
SC,1,2135,67,0
SC,1,2000,65,0
SC,1,2162,66,0
SC,1,2000,67,0
SC,1,2189,66,0
SC,1,1973,66,0
SC,1,2108,66,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,1946,66,0
SC,1,1973,66,0
SC,1,2054,66,0
SC,1,2000,66,0
SC,1,2216,66,0
SC,1,2459,67,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2081,66,0
SC,1,3000,66,0
SC,1,2055,67,0
SC,1,2054,66,0
SC,1,1973,67,0
SC,1,1973,66,0
SC,1,2568,73,0
SC,1,2109,70,0
SC,1,2000,66,0
SC,1,1973,66,0
SC,1,2000,66,0
SC,1,2000,66,0
SC,1,2027,67,0
SC,1,2108,66,0
SC,1,2027,66,0
SC,1,2027,66,0
SC,1,2027,68,0
SC,1,2000,66,0
SC,1,2054,67,0
SC,1,2432,67,0
SC,1,2000,66,0
SC,1,2108,66,0
SC,1,2000,66,0
SC,1,2000,68,0
SC,1,2000,67,0
SC,1,1973,67,0
SC,1,1973,67,0
SC,1,2000,66,0
