Type,Id,ExecTime,l2Miss,tlbMiss
IPI,1,5729,72,0
IPI,1,2243,17,0
IPI,1,4324,41,0
IPI,1,4864,39,0
IPI,1,4216,35,0
IPI,1,3243,28,0
IPI,1,4649,49,0
IPI,1,4081,35,0
IPI,1,4567,44,0
IPI,1,4081,34,0
IPI,1,4406,42,0
IPI,1,3865,35,0
IPI,1,4352,40,0
IPI,1,3838,34,0
IPI,1,4541,40,0
IPI,1,3594,32,0
IPI,1,4352,40,0
IPI,1,3325,31,0
IPI,1,4324,40,0
IPI,1,3378,31,0
IPI,1,4244,38,0
IPI,1,3460,28,0
IPI,1,4459,38,0
IPI,1,3568,31,0
IPI,1,4162,36,0
IPI,1,3540,31,0
IPI,1,4297,36,0
IPI,1,3595,31,0
IPI,1,4351,36,0
IPI,1,3513,30,0
IPI,1,4108,36,0
IPI,1,3460,31,0
IPI,1,4108,36,0
IPI,1,3459,31,0
IPI,1,4621,40,0
IPI,1,4730,34,0
IPI,1,5838,34,0
IPI,1,5594,35,0
IPI,1,2703,20,0
IPI,1,4217,39,0
IPI,1,2135,18,0
IPI,1,3865,33,0
IPI,1,2649,20,0
IPI,1,3973,34,0
IPI,1,2783,20,0
IPI,1,4027,33,0
IPI,1,2676,20,0
IPI,1,3919,33,0
IPI,1,2649,21,0
IPI,1,3837,33,0
IPI,1,2648,20,0
IPI,1,3838,34,0
IPI,1,2594,20,0
IPI,1,3865,33,0
IPI,1,2621,20,0
IPI,1,3973,35,0
IPI,1,3243,25,0
IPI,1,4108,41,0
IPI,1,2946,22,0
IPI,1,4108,42,0
IPI,1,2946,22,0
IPI,1,4190,41,0
IPI,1,3189,22,0
IPI,1,3432,30,0
IPI,1,3054,24,0
IPI,1,3513,29,0
IPI,1,3216,23,0
IPI,1,3838,30,0
IPI,1,3297,23,0
IPI,1,3784,29,0
IPI,1,3135,23,0
IPI,1,3675,29,0
IPI,1,3082,24,0
IPI,1,3622,29,0
IPI,1,3081,23,0
IPI,1,3405,38,0
IPI,1,3324,27,0
IPI,1,3324,25,0
IPI,1,3487,23,0
IPI,1,3622,24,0
IPI,1,2946,24,0
IPI,1,3513,26,0
IPI,1,2972,24,0
IPI,1,3460,26,0
IPI,1,2540,20,0
IPI,1,3135,26,0
IPI,1,2973,22,0
IPI,1,3514,28,0
IPI,1,2622,20,0
IPI,1,3216,26,0
IPI,1,2621,20,0
IPI,1,3162,26,0
IPI,1,2676,21,0
IPI,1,3135,26,0
IPI,1,3000,34,0
IPI,1,3162,26,0
IPI,1,3162,26,0
IPI,1,3270,26,0
IPI,1,3000,24,0
IPI,1,3162,26,0
IPI,1,3000,25,0
IPI,1,3513,26,0
