Type,Id,ExecTime,l2Miss,tlbMiss
SC,1,7676,89,1
SC,1,3595,33,0
SC,1,3946,42,0
SC,1,3216,28,0
SC,1,3892,38,0
SC,1,3297,29,0
SC,1,4027,38,0
SC,1,3351,28,0
SC,1,4163,38,0
SC,1,3217,26,0
SC,1,4108,36,0
SC,1,3918,36,0
SC,1,3918,37,0
SC,1,3433,32,0
SC,1,4135,37,0
SC,1,3054,27,0
SC,1,4027,35,0
SC,1,3351,29,0
SC,1,3811,34,0
SC,1,3270,28,0
SC,1,3811,33,0
SC,1,3351,29,0
SC,1,3811,33,0
SC,1,3270,28,0
SC,1,3946,33,0
SC,1,3135,29,0
SC,1,3730,33,0
SC,1,3135,28,0
SC,1,3757,33,0
SC,1,3324,30,0
SC,1,3676,27,0
SC,1,3919,38,0
SC,1,2649,19,0
SC,1,2189,15,0
SC,1,3514,31,0
SC,1,2108,15,0
SC,1,3379,27,0
SC,1,2270,15,0
SC,1,3297,27,0
SC,1,2243,15,0
SC,1,3405,27,0
SC,1,2243,15,0
SC,1,3325,27,0
SC,1,2459,15,0
SC,1,3405,27,0
SC,1,2270,16,0
SC,1,3298,27,0
SC,1,2324,15,0
SC,1,3432,27,0
SC,1,2190,15,0
SC,1,3676,38,0
SC,1,2513,17,0
SC,1,3487,34,0
SC,1,2702,18,0
SC,1,3432,34,0
SC,1,2406,17,0
SC,1,3460,34,0
SC,1,2487,17,0
SC,1,3108,23,0
SC,1,2298,16,0
SC,1,2892,20,0
SC,1,2325,17,0
SC,1,2730,20,0
SC,1,2297,16,0
SC,1,3054,20,0
SC,1,2351,16,0
SC,1,2810,21,0
SC,1,2297,16,0
SC,1,2784,20,0
SC,1,2946,22,0
SC,1,3054,32,0
SC,1,2676,18,0
SC,1,2730,19,0
SC,1,2487,16,0
SC,1,2757,20,0
SC,1,2460,17,0
SC,1,3054,22,0
SC,1,2514,17,0
SC,1,4000,21,0
SC,1,3216,26,0
SC,1,2675,20,0
SC,1,2649,21,0
SC,1,2567,17,0
SC,1,2621,21,0
SC,1,2271,17,0
SC,1,2865,22,0
SC,1,2297,17,0
SC,1,2865,21,0
SC,1,2594,20,0
SC,1,3432,34,0
SC,1,2864,24,0
SC,1,2973,22,0
SC,1,2757,22,0
SC,1,2784,22,0
SC,1,2811,22,0
SC,1,2784,22,0
SC,1,2946,23,0
SC,1,2649,21,0
SC,1,2432,17,0
SC,1,2297,18,0
SC,1,2433,17,0
SC,1,2487,19,0
SC,1,2540,17,0
SC,1,2324,18,0
SC,1,2460,17,0
SC,1,2271,18,0
SC,1,2405,17,0
SC,1,2486,21,0
SC,1,3243,31,0
SC,1,2649,21,0
SC,1,2324,16,0
SC,1,2567,19,0
SC,1,2324,17,0
SC,1,2649,19,0
SC,1,2324,16,0
SC,1,2837,19,0
SC,1,2568,17,0
SC,1,2648,20,0
SC,1,2460,17,0
SC,1,2676,19,0
SC,1,2459,17,0
SC,1,2784,19,0
SC,1,2486,17,0
SC,1,2567,20,0
SC,1,2757,17,0
SC,1,2703,23,0
SC,1,2513,20,0
SC,1,3297,35,0
SC,1,3108,23,0
SC,1,2622,20,0
SC,1,2541,20,0
SC,1,2540,20,0
SC,1,2703,20,0
