Type,Id,ExecTime,l2Miss,tlbMiss
ExtINT,1,13433,144,2
ExtINT,1,4946,40,0
ExtINT,1,7271,76,0
ExtINT,1,4568,38,0
ExtINT,1,4460,38,0
ExtINT,1,6108,60,0
ExtINT,1,4351,38,0
ExtINT,1,4568,41,0
ExtINT,1,4486,40,0
ExtINT,1,4351,38,0
ExtINT,1,4567,40,0
ExtINT,1,4378,38,0
ExtINT,1,4351,38,0
ExtINT,1,4648,41,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4675,42,0
ExtINT,1,4324,38,0
ExtINT,1,5946,61,0
ExtINT,1,4378,38,0
ExtINT,1,4298,38,0
ExtINT,1,4325,38,0
ExtINT,1,4352,38,0
ExtINT,1,4325,38,0
ExtINT,1,4460,40,0
ExtINT,1,4352,38,0
ExtINT,1,4324,38,0
ExtINT,1,4351,38,0
ExtINT,1,4324,38,0
ExtINT,1,4351,39,0
ExtINT,1,4324,38,0
ExtINT,1,4351,38,0
ExtINT,1,4486,40,0
ExtINT,1,4351,38,0
ExtINT,1,4351,39,0
ExtINT,1,4351,38,0
ExtINT,1,4324,38,0
ExtINT,1,5433,59,0
ExtINT,1,4351,38,0
ExtINT,1,4352,38,0
ExtINT,1,4541,40,0
ExtINT,1,4324,38,0
ExtINT,1,4325,38,0
ExtINT,1,4325,38,0
ExtINT,1,4352,38,0
ExtINT,1,4379,39,0
ExtINT,1,4352,38,0
ExtINT,1,4352,38,0
ExtINT,1,4460,40,0
ExtINT,1,4352,38,0
ExtINT,1,4352,39,0
ExtINT,1,4351,38,0
ExtINT,1,4324,38,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,4351,38,0
ExtINT,1,15297,184,0
ExtINT,1,13297,81,0
ExtINT,1,13216,81,0
ExtINT,1,13162,80,0
ExtINT,1,13811,82,0
ExtINT,1,13000,79,0
ExtINT,1,13054,76,0
ExtINT,1,13054,79,0
ExtINT,1,13081,80,0
ExtINT,1,13027,79,0
ExtINT,1,13054,79,0
ExtINT,1,13081,78,0
ExtINT,1,13027,77,0
ExtINT,1,13054,79,0
ExtINT,1,13027,79,0
ExtINT,1,13027,78,0
ExtINT,1,13162,80,0
ExtINT,1,13027,78,0
ExtINT,1,13027,77,0
ExtINT,1,13757,91,0
ExtINT,1,13027,79,0
ExtINT,1,13081,79,0
ExtINT,1,13054,78,0
ExtINT,1,13784,80,0
ExtINT,1,13163,79,0
ExtINT,1,13135,78,0
ExtINT,1,13108,79,0
ExtINT,1,13135,78,0
ExtINT,1,13054,79,0
ExtINT,1,13108,79,0
ExtINT,1,13081,76,0
ExtINT,1,13081,79,0
ExtINT,1,13243,81,0
ExtINT,1,13108,79,0
ExtINT,1,13027,78,0
ExtINT,1,13108,78,0
ExtINT,1,13108,76,0
ExtINT,1,13135,79,0
ExtINT,1,13837,89,0
ExtINT,1,13081,79,0
ExtINT,1,13216,81,0
ExtINT,1,13081,78,0
ExtINT,1,13432,76,0
ExtINT,1,13054,79,0
ExtINT,1,12946,78,0
ExtINT,1,13027,79,0
ExtINT,1,12973,78,0
ExtINT,1,13054,79,0
ExtINT,1,13162,79,0
ExtINT,1,12973,78,0
ExtINT,1,12973,79,0
ExtINT,1,13027,79,0
ExtINT,1,12973,79,0
ExtINT,1,13000,78,0
ExtINT,1,13000,76,0
