Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4053163,1104,9
PART,1,4030540,1298,16
PART,2,3837406,3044,19
PART,3,3667514,227,4
PART,4,6468459,1237,29
PART,5,4646054,2127,19
PART,6,3987892,1207,8
PART,7,4926595,177,5
PART,8,4328676,9915,31
PART,9,6510757,7007,11
PART,0,4038108,768,9
PART,1,4000405,734,16
PART,2,3802351,469,19
PART,3,3662730,127,4
PART,4,6470648,1151,29
PART,5,4587649,1510,19
PART,6,3935406,4550,8
PART,7,4925027,128,5
PART,8,4327108,9889,31
PART,9,6460567,1095,11
PART,0,4020486,483,9
PART,1,3988081,570,16
PART,2,3717649,445,19
PART,3,3662622,122,5
PART,4,6452622,960,29
PART,5,4569109,1281,19
PART,6,3933919,4514,8
PART,7,4925135,131,5
PART,8,4327055,9879,31
PART,9,6460135,1021,11
PART,0,4015027,394,9
PART,1,3986162,557,16
PART,2,3717162,444,19
PART,3,3662513,114,4
PART,4,6450676,952,29
PART,5,4566919,1266,19
PART,6,3933514,4504,8
PART,7,4925000,130,5
PART,8,4327000,9877,31
PART,9,6459351,997,11
PART,0,4013081,371,9
PART,1,3984460,539,16
PART,2,3717298,443,19
PART,3,3662730,119,4
PART,4,6451352,946,29
PART,5,4564648,1255,19
PART,6,3932838,4487,8
PART,7,4924702,116,5
PART,8,4326703,9876,31
PART,9,6458594,910,11
PART,0,4013946,385,9
PART,1,3983513,526,16
PART,2,3716892,439,19
PART,3,3662757,119,4
PART,4,6449811,946,29
PART,5,4565649,1257,19
PART,6,3933378,4516,8
PART,7,4924864,136,5
PART,8,4327459,9878,31
PART,9,6458919,952,11
PART,0,4015460,391,9
PART,1,3986783,520,16
PART,2,3716919,433,19
PART,3,3662541,113,4
PART,4,6451027,948,29
PART,5,4565325,1253,19
PART,6,3933541,4494,8
PART,7,4924595,130,5
PART,8,4327270,9876,31
PART,9,6458622,908,11
PART,0,4015324,387,9
PART,1,3984865,526,16
PART,2,3717244,428,19
PART,3,3662351,112,4
PART,4,6449622,935,29
PART,5,4566703,1247,19
PART,6,3933540,4494,8
PART,7,4925378,141,5
PART,8,4327189,9881,31
PART,9,6458621,939,11
PART,0,4027270,561,9
PART,1,4000676,650,16
PART,2,3723054,559,19
PART,3,3664459,153,4
PART,4,6457135,1038,29
PART,5,4571919,1334,19
PART,6,3933919,4615,8
PART,7,4926027,161,5
PART,8,4328973,9905,31
PART,9,6469973,1583,11
PART,0,4023000,515,9
PART,1,3988703,512,16
PART,2,3803946,476,19
PART,3,3663487,130,4
PART,4,6457892,1028,29
PART,5,4566568,1271,19
PART,6,3933514,4798,8
PART,7,4924811,129,5
PART,8,4328379,9894,31
PART,9,6464514,1006,11
PART,0,4022162,499,9
PART,1,4001297,508,16
PART,2,3719459,474,19
PART,3,3658838,124,4
PART,4,6454244,984,29
PART,5,4563162,1216,19
PART,6,3932919,4786,8
PART,7,4925027,129,5
PART,8,4328973,9910,31
PART,9,6464540,977,11
PART,0,4019108,477,9
PART,1,3987594,487,16
PART,2,3720108,477,19
PART,3,3662649,125,4
PART,4,6450135,968,29
PART,5,4564946,1250,19
PART,6,3933837,4774,8
PART,7,4925486,147,5
PART,8,4329135,9907,31
PART,9,6464649,963,11
PART,0,4017892,450,9
PART,1,3987324,473,16
PART,2,3719703,477,19
PART,3,3662730,126,4
PART,4,6451973,966,29
PART,5,4560513,1205,19
PART,6,3935837,4771,8
PART,7,4925324,133,5
PART,8,4328567,9900,31
PART,9,6467892,967,11
PART,0,4017648,419,9
PART,1,3993243,484,16
PART,2,3804378,472,19
PART,3,3662379,127,4
PART,4,6452460,968,29
PART,5,4565460,1252,19
PART,6,3937730,4766,8
PART,7,4925324,144,5
PART,8,4328946,9906,31
PART,9,6461703,1007,11
PART,0,4016081,409,9
PART,1,3984297,478,16
PART,2,3719783,473,19
PART,3,3662703,125,4
PART,4,6451487,977,29
PART,5,4559676,1184,19
PART,6,3943216,4772,8
PART,7,4925324,148,5
PART,8,4329298,9910,31
